time,error,jx_l,jx_r
0,0,0,0
1,0.041773068848037,-0.10517610228628,0.10517610228629
2,0.053473582534534,-0.070423422113336,0.070423422113348
3,0.051374372613016,-0.047153852199751,0.047153852199761
4,0.043904350592968,-0.031573100405398,0.031573100405405
5,0.035200271944713,-0.021140598757159,0.021140598757163
6,0.027111962789991,-0.014155243231506,0.014155243231509
7,0.020316335820415,-0.009478014943889,0.0094780149438912
8,0.014923726917757,-0.0063462538797379,0.0063462538797394
9,0.010798669229412,-0.0042493009922987,0.0042493009922996
10,0.0077226525707413,-0.0028452311025249,0.0028452311025255
11,0.005471343132733,-0.0019050992248952,0.0019050992248956
12,0.0038468984717108,-0.0012756092302927,0.0012756092302929
13,0.0026877676117668,-0.00085411766859406,0.00085411766859426
14,0.0018680263443791,-0.00057189692147116,0.0005718969214713
15,0.0012925203257634,-0.00038292860669486,0.00038292860669495
16,0.00089091959353958,-0.00025639990760584,0.0002563999076059
17,0.00061209328668065,-0.00017167929340067,0.00017167929340071
18,0.00041933923401394,-0.00011495238066882,0.00011495238066884
19,0.00028657694688407,-7.6969386113381e-05,7.6969386113399e-05
20,0.00019542439183665,-5.1536874349204e-05,5.1536874349216e-05
21,0.00013301225186045,-3.450786802136e-05,3.4507868021368e-05
22,9.0380960606603e-05,-2.3105649506624e-05,2.3105649506629e-05
23,6.1322262437057e-05,-1.5470994579917e-05,1.547099457992e-05
24,4.1551575542165e-05,-1.0359010822145e-05,1.0359010822147e-05
25,2.8122096522236e-05,-6.9361478125406e-06,6.9361478125422e-06
26,1.9013127981548e-05,-4.6442799706867e-06,4.6442799706877e-06
27,1.2842606657647e-05,-3.1096996530441e-06,3.1096996530449e-06
28,8.6673994529864e-06,-2.0821810901106e-06,2.0821810901111e-06
29,5.8451788296432e-06,-1.394179044838e-06,1.3941790448383e-06
30,3.9392470403559e-06,-9.335092025844e-07,9.3350920258462e-07
31,2.6531659573957e-06,-6.2505560855781e-07,6.2505560855795e-07
32,1.7859838708936e-06,-4.1852240203732e-07,4.1852240203742e-07
33,1.2016441553611e-06,-2.8023266827608e-07,2.8023266827614e-07
34,8.0812825514075e-07,-1.8763714436038e-07,1.8763714436043e-07
35,5.4326212826627e-07,-1.2563737896908e-07,1.2563737896911e-07
36,3.6507326601589e-07,-8.4123807405126e-08,8.4123807405146e-08
37,2.4524893229315e-07,-5.6327305061626e-08,5.6327305061639e-08
38,1.6470403325434e-07,-3.7715426742707e-08,3.7715426742716e-08
39,1.1058176928155e-07,-2.5253354706536e-08,2.5253354706541e-08
40,7.4225990722853e-08,-1.6909047013697e-08,1.6909047013701e-08
41,4.9811721056889e-08,-1.1321896604788e-08,1.132189660479e-08
42,3.3420975061521e-08,-7.5808732819578e-09,7.5808732819595e-09
43,2.2419545287926e-08,-5.0759728447617e-09,5.0759728447629e-09
44,1.503702486516e-08,-3.3987509568426e-09,3.3987509568434e-09
45,1.0083959590932e-08,-2.275722983538e-09,2.2757229835385e-09
46,6.7614577676679e-09,-1.5237701036542e-09,1.5237701036546e-09
47,4.5330977990693e-09,-1.0202803001887e-09,1.0202803001889e-09
48,3.0387871345222e-09,-6.8315547631284e-10,6.8315547631299e-10
49,2.0368562891001e-09,-4.5742469469409e-10,4.5742469469419e-10
50,1.3651471962216e-09,-3.0628072023267e-10,3.0628072023275e-10
