x,y,z,id,T,jx,dTdx,mat_therm_cond
0,0,0,0,0,-0.014155243231506,0.28310486463012,0.05
0.01,0,0,0.01,0.0028306016050205,-0.014149655314771,0.28299310629541,0.05
0.02,0,0,0.02,0.0056584097479995,-0.014130103396548,0.28260206793096,0.05
0.03,0,0,0.03,0.0084806337237052,-0.01409660677222,0.28193213544441,0.05
0.04,0,0,0.04,0.011294488337805,-0.014049198498913,0.28098396997826,0.05
0.05,0,0,0.05,0.014097196655515,-0.013987925362868,0.27975850725736,0.05
0.06,0,0,0.06,0.016885992742102,-0.013912847833272,0.27825695666544,0.05
0.07,0,0,0.07,0.019658124392523,-0.013824040002583,0.27648080005166,0.05
0.08,0,0,0.08,0.022410855847522,-0.013721589513409,0.27443179026817,0.05
0.09,0,0,0.09,0.025141470493496,-0.013605597472012,0.27211194944023,0.05
0.1,0,0,0.1,0.027847273543459,-0.013476178348534,0.26952356697067,0.05
0.11,0,0,0.11,0.030525594696476,-0.013333459864024,0.26666919728049,0.05
0.12,0,0,0.12,0.033173790772928,-0.013177582864397,0.26355165728794,0.05
0.13,0,0,0.13,0.035789248323008,-0.013008701181432,0.26017402362865,0.05
0.14,0,0,0.14,0.038369386205881,-0.01282698148096,0.2565396296192,0.05
0.15,0,0,0.15,0.040911658136961,-0.012632603098388,0.25265206196775,0.05
0.16,0,0,0.16,0.043413555200784,-0.012425757861708,0.24851515723417,0.05
0.17,0,0,0.17,0.045872608327006,-0.012206649902201,0.24413299804401,0.05
0.18,0,0,0.18,0.048286390727076,-0.011975495452965,0.2395099090593,0.05
0.19,0,0,0.19,0.050652520289186,-0.011732522635537,0.23465045271073,0.05
0.2,0,0,0.2,0.052968661929123,-0.011477971234752,0.22955942469504,0.05
0.21,0,0,0.21,0.05523252989472,-0.011212092462111,0.22424184924222,0.05
0.22,0,0,0.22,0.057441890021615,-0.010935148707862,0.21870297415725,0.05
0.23,0,0,0.23,0.059594561938102,-0.010647413282055,0.2129482656411,0.05
0.24,0,0,0.24,0.061688421216895,-0.010349170144817,0.20698340289633,0.05
