time,error,jx_l,jx_r
0,0,0,0
1,0.26361386904512,-0.00047914518433601,0.00047914518433743
2,0.4076258431131,-0.00010618910808091,0.00010618910808375
3,0.49528176583045,-3.2926736108152e-05,3.2926736102468e-05
4,0.54957087709694,-1.0822788641462e-05,1.0822788641462e-05
5,0.58315855715467,-3.6135582462293e-06,3.6135582490715e-06
6,0.6038570349973,-1.2122944468729e-06,1.2122944468729e-06
7,0.61657024410694,-4.0733121409176e-07,4.0733121124958e-07
8,0.62436106009469,-1.3693229163891e-07,1.3693229163891e-07
9,0.62912842520965,-4.6040122470004e-08,4.6040125312174e-08
10,0.63204303943301,-1.5480719639527e-08,1.5480719639527e-08
11,0.63382395222786,-5.2053962917853e-09,5.2053962917853e-09
12,0.63491177206528,-1.7503282379039e-09,1.7503253957329e-09
13,0.63557609846113,-5.8855107454292e-10,5.8855675888481e-10
14,0.63598174830884,-1.9790320493485e-10,1.9790320493485e-10
15,0.63622942649831,-6.6543748289405e-11,6.6543748289405e-11
16,0.63638064462985,-2.2373569663614e-11,2.2376411834557e-11
17,0.63647296713098,-7.526068657171e-12,7.5232264862279e-12
18,0.6365293313747,-2.5266899683629e-12,2.532374310249e-12
19,0.63656374220772,-8.4980911196908e-13,8.4696694102604e-13
20,0.63658475016708,-2.8705926524708e-13,2.8990143619012e-13
21,0.63659757556444,-9.9475983006414e-14,9.3791641120333e-14
22,0.63660540547388,-3.4106051316485e-14,3.1263880373444e-14
23,0.6366101856292,-8.5265128291212e-15,1.1368683772162e-14
24,0.63661310390871,-2.8421709430404e-15,2.8421709430404e-15
25,0.63661488551412,-2.8421709430404e-15,0
26,0.63661597318128,0,0
27,0.63661663720015,0,0
28,0.63661704258244,0,0
29,0.63661729006755,0,0
30,0.63661744115674,0,0
31,0.63661753339639,0,0
32,0.63661758970852,0,0
33,0.63661762408696,0,0
34,0.63661764507493,0,0
35,0.63661765788805,0,0
36,0.63661766571043,0,0
37,0.63661767048598,0,0
38,0.63661767340144,0,0
39,0.63661767518133,0,0
40,0.63661767626794,0,0
41,0.63661767693132,0,0
42,0.63661767733631,0,0
43,0.63661767758356,0,0
44,0.6366176777345,0,0
45,0.63661767782665,0,0
46,0.63661767788291,0,0
47,0.63661767791725,0,0
48,0.63661767793822,0,0
49,0.63661767795102,0,0
50,0.63661767795884,0,0
