x,y,z,id,T,jx,dTdx,mat_therm_cond
0,0,0,0,0.63661757771094,-1.9790320493485e-10,3.9580640986969e-09,0.05
0.01,0,0,0.01,0.63661757790878,-1.7801909280024e-09,3.5603818560048e-08,0.05
0.02,0,0,0.02,0.63661757850152,-3.7512535300266e-09,7.5025070600532e-08,0.05
0.03,0,0,0.03,0.63661757948682,-5.7075226322922e-09,1.1415045264584e-07,0.05
0.04,0,0,0.04,0.6366175808608,-7.6412590033215e-09,1.5282518006643e-07,0.05
0.05,0,0,0.05,0.63661758261802,-9.5448370984741e-09,1.9089674196948e-07,0.05
0.06,0,0,0.06,0.63661758475156,-1.1410747902119e-08,2.2821495804237e-07,0.05
0.07,0,0,0.07,0.636617587253,-1.3231630191513e-08,2.6463260383025e-07,0.05
0.08,0,0,0.08,0.63661759011245,-1.5000290431999e-08,3.0000580863998e-07,0.05
0.09,0,0,0.09,0.63661759331865,-1.6709745409571e-08,3.3419490819142e-07,0.05
0.1,0,0,0.1,0.63661759685893,-1.8353264863435e-08,3.6706529726871e-07,0.05
0.11,0,0,0.11,0.63661760071932,-1.9924345906475e-08,3.9848691812949e-07,0.05
0.12,0,0,0.12,0.63661760488459,-2.1416801132546e-08,4.2833602265091e-07,0.05
0.13,0,0,0.13,0.6366176093383,-2.2824724510428e-08,4.5649449020857e-07,0.05
0.14,0,0,0.14,0.63661761406287,-2.4142570964614e-08,4.8285141929227e-07,0.05
0.15,0,0,0.15,0.63661761903965,-2.5365142164446e-08,5.0730284328893e-07,0.05
0.16,0,0,0.16,0.63661762424902,-2.6487606419323e-08,5.2975212838646e-07,0.05
0.17,0,0,0.17,0.6366176296704,-2.7505538469086e-08,5.5011076938172e-07,0.05
0.18,0,0,0.18,0.6366176352824,-2.841491664185e-08,5.68298332837e-07,0.05
0.19,0,0,0.19,0.63661764106287,-2.9212154117886e-08,5.8424308235772e-07,0.05
0.2,0,0,0.2,0.636617646989,-2.9894104613959e-08,5.9788209227918e-07,0.05
0.21,0,0,0.21,0.63661765303741,-3.0458076594186e-08,6.0916153188373e-07,0.05
0.22,0,0,0.22,0.63661765918421,-3.090184463872e-08,6.180368927744e-07,0.05
0.23,0,0,0.23,0.63661766540516,-3.1223660812429e-08,6.2447321624859e-07,0.05
0.24,0,0,0.24,0.6366176716757,-3.1422246138391e-08,6.2844492276781e-07,0.05
0.25,0,0,0.25,0.63661767797109,-3.1496821861765e-08,6.299364372353e-07,0.05
0.26,0,0,0.26,0.63661768426647,-3.1447100923288e-08,6.2894201846575e-07,0.05
0.27,0,0,0.27,0.63661769053702,-3.1273262379727e-08,6.2546524759455e-07,0.05
0.28,0,0,0.28,0.63661769675796,-3.0976008247308e-08,6.1952016494615e-07,0.05
0.29,0,0,0.29,0.63661770290477,-3.0556506658286e-08,6.1113013316572e-07,0.05
0.3,0,0,0.3,0.63661770895317,-3.0016414598322e-08,6.0032829196643e-07,0.05
0.31,0,0,0.31,0.63661771487931,-2.9357858011281e-08,5.8715716022562e-07,0.05
0.32,0,0,0.32,0.63661772065978,-2.8583440325747e-08,5.7166880651494e-07,0.05
0.33,0,0,0.33,0.63661772627178,-2.7696216875484e-08,5.5392433750967e-07,0.05
0.34,0,0,0.34,0.63661773169315,-2.6699686372922e-08,5.3399372745844e-07,0.05
0.35,0,0,0.35,0.63661773690252,-2.5597788066989e-08,5.1195576133978e-07,0.05
0.36,0,0,0.36,0.6366177418793,-2.4394864794886e-08,4.8789729589771e-07,0.05
0.37,0,0,0.37,0.63661774660387,-2.3095665824258e-08,4.6191331648515e-07,0.05
0.38,0,0,0.38,0.63661775105758,-2.1705324115828e-08,4.3410648231657e-07,0.05
0.39,0,0,0.39,0.63661775522285,-2.0229313690834e-08,4.0458627381668e-07,0.05
0.4,0,0,0.4,0.63661775908324,-1.867346952622e-08,3.7346939052441e-07,0.05
0.41,0,0,0.41,0.63661776262352,-1.7043933553396e-08,3.4087867106791e-07,0.05
0.42,0,0,0.42,0.63661776582971,-1.5347131920862e-08,3.0694263841724e-07,0.05
0.43,0,0,0.43,0.63661776868917,-1.358975794119e-08,2.7179515882381e-07,0.05
0.44,0,0,0.44,0.6366177711906,-1.1778757880165e-08,2.3557515760331e-07,0.05
0.45,0,0,0.45,0.63661777332414,-9.9212684290251e-09,1.984253685805e-07,0.05
0.46,0,0,0.46,0.63661777508136,-8.0246252309735e-09,1.6049250461947e-07,0.05
0.47,0,0,0.47,0.63661777645534,-6.0963117221036e-09,1.2192623444207e-07,0.05
0.48,0,0,0.48,0.63661777744064,-4.1439392362008e-09,8.2878784724016e-08,0.05
0.49,0,0,0.49,0.63661777803338,-2.1752157408628e-09,4.3504314817255e-08,0.05
0.5,0,0,0.5,0.63661777823122,-1.9790320493485e-10,3.9580640986969e-09,0.05
0.51,0,0,0.51,0.63661777803338,1.7801880858315e-09,-3.5603761716629e-08,0.05
0.52,0,0,0.52,0.63661777744064,3.7512563721975e-09,-7.5025127443951e-08,0.05
