time,average_xi,average_xv,left_jix,left_jvx,right_jix,right_jvx,total_ci,total_cv,xDi,xDv
0,0,0,0,0,0,0,0,0,0,0
25.958682112,6.6564193280504e-14,3.0556798941293e-08,-1.4462650086451e-14,-3.6776622105372e-13,1.4462969180159e-14,3.6775386427639e-13,6.6564193280504e-10,0.00030556798941293,1,0.01205217468147
186.68799962237,4.7788937234176e-13,3.0557225072927e-08,-3.9287997971213e-14,-1.4433228561587e-13,3.9288014564704e-14,1.4429285810695e-13,4.7788937234176e-09,0.00030557225072927,1,0.01205217468147
1181.8815689988,3.0141385146627e-12,3.0559885828807e-08,-9.9283769418095e-14,-6.6986929245848e-14,9.9283769987302e-14,6.6982364951552e-14,3.0141385146627e-08,0.00030559885828807,1,0.01205217468147
7343.8578398454,1.85190073079e-11,3.0576341243871e-08,-2.473824328917e-13,-5.0689944973347e-14,2.473824329656e-13,5.0689637725762e-14,1.85190073079e-07,0.00030576341243871,1,0.01205217468147
45497.190750011,1.1011621010403e-10,3.0675789268949e-08,-6.0744965133144e-13,-7.9703757655636e-14,6.0744965133692e-13,7.970373723144e-14,1.1011621010403e-06,0.00030675789268949,1,0.01205217468147
281732.57176583,5.6973456983351e-10,3.1209782869345e-08,-1.3870833199301e-12,-1.7727108186293e-13,1.3870833199348e-12,1.7727108053262e-13,5.6973456983351e-06,0.00031209782869345,1,0.01205217468147
1744439.784661,1.5818903713491e-09,3.2901187667833e-08,-2.2368241838461e-12,-4.0261849983931e-13,2.2368241854429e-12,4.0261849973212e-13,1.5818903713491e-05,0.00032901187667833,1,0.01205217468147
10801137.310052,1.6033937948447e-09,3.6899934361327e-08,-2.1122266943639e-12,-8.0753247142539e-13,2.1122266944844e-12,8.0753247074939e-13,1.6033937948447e-05,0.00036899934361327,1,0.01205217468147
66877821.244672,1.1648883079161e-09,5.2241660334297e-08,-1.7417746563928e-12,-1.2774491975194e-12,1.741774656758e-12,1.2774491972705e-12,1.1648883079161e-05,0.00052241660334297,1,0.012052174681469
375428698.94817,6.2931506327565e-10,9.4214569487563e-08,-1.4853894145185e-12,-1.6650220524714e-12,1.4853894145446e-12,1.6650220524108e-12,6.2931506327565e-06,0.00094214569487563,1,0.01205217468147
1194958566.8294,4.4664055076839e-10,1.3525262108367e-07,-1.3840287639706e-12,-1.9015170730892e-12,1.3840287641331e-12,1.90151707267e-12,4.4664055076839e-06,0.0013525262108367,1,0.01205217468147
3946536289.4324,4.0183733385439e-10,1.5214570889347e-07,-1.3529143737962e-12,-1.991820543375e-12,1.3529143737972e-12,1.9918205433699e-12,4.0183733385439e-06,0.0015214570889347,1,0.01205217468147
19920068116.45,4.013232868953e-10,1.5236500885504e-07,-1.3525352894238e-12,-1.9929829755171e-12,1.3525352894483e-12,1.9929829754517e-12,4.013232868953e-06,0.0015236500885504,1,0.01205217468147
