Di,Dv,K0_dist,id,jix,jvx,super_saturation,void_nucleation_rate,x,xi,xie,xv,xve,y,z
1,0.20618269576472,1.0169012261306e-21,0,-1.2476067276602e-13,1.2362718331089e-09,1,4.3037883693406e-07,0,0,0,2.8692047497016e-06,2.8692047497016e-06,0,0
1,0.20618269576472,1.0219979537389e-21,1,-1.2476067276602e-13,1.2362718331089e-09,0.99791001078384,4.2553011412262e-07,1,1.2476067276602e-13,0,2.8632087478134e-06,2.8692047497016e-06,0,0
1,0.20618269576472,1.0271191991198e-21,2,-1.2368197757635e-13,1.2362627577799e-09,0.99582003873191,4.207260629616e-07,2,2.4844265034237e-13,0,2.8572127899412e-06,2.8692047497016e-06,0,0
1,0.20618269576472,1.032265074864e-21,3,-1.2261879727269e-13,1.2362435699275e-09,0.99373010091207,4.1596640259462e-07,3,3.7106144761506e-13,0,2.8512169251314e-06,2.8692047497016e-06,0,0
1,0.20618269576472,1.0374356940523e-21,4,-1.2131087089782e-13,1.2362056813051e-09,0.99164021439146,4.1125085235764e-07,4,4.926323838178e-13,0,2.8452212024274e-06,2.8692047497016e-06,0,0
1,0.20618269576472,1.0426311702577e-21,5,-1.202818871048e-13,1.2361637428835e-09,0.98955039623609,4.0657913179891e-07,5,6.1317058113205e-13,0,2.8392256708684e-06,2.8692047497016e-06,0,0
1,0.20618269576472,1.047851617547e-21,6,-1.192677788491e-13,1.2361116948396e-09,0.98746066351042,4.0195096069878e-07,6,7.3269096332077e-13,0,2.8332303794882e-06,2.8692047497016e-06,0,0
1,0.20618269576472,1.0530971504832e-21,7,-1.1826835522933e-13,1.2360495385438e-09,0.985371033277,3.973660590895e-07,7,8.5120826257893e-13,0,2.8272353773143e-06,2.8692047497016e-06,0,0
1,0.20618269576472,1.0583678841276e-21,8,-1.1728342798576e-13,1.235977275589e-09,0.98328152259612,3.9282414727468e-07,8,9.6873702218497e-13,0,2.8212407133666e-06,2.8692047497016e-06,0,0
1,0.20618269576472,1.0636639340412e-21,9,-1.1583281333523e-13,1.2358499351848e-09,0.98119214852542,3.8832494584863e-07,9,1.0852915993419e-12,0,2.8152464366566e-06,2.8692047497016e-06,0,0
1,0.20618269576472,1.0689854162878e-21,10,-1.1535632349321e-13,1.2358024371664e-09,0.97910292811948,3.8386817571555e-07,10,1.2008861677561e-12,0,2.8092525961861e-06,2.8692047497016e-06,0,0
1,0.20618269576472,1.0743324474348e-21,11,-1.1429682986879e-13,1.2356864133971e-09,0.97701387842949,3.7945355810837e-07,11,1.3155347196791e-12,0,2.8032592409465e-06,2.8692047497016e-06,0,0
1,0.20618269576472,1.0797051445564e-21,12,-1.1336976887619e-13,1.2355724820364e-09,0.97492501650285,3.7508081460762e-07,12,1.4292510693406e-12,0,2.7972664199171e-06,2.8692047497016e-06,0,0
1,0.20618269576472,1.0851036252348e-21,13,-1.1245627940315e-13,1.2354484556579e-09,0.97283635938276,3.7074966715983e-07,13,1.5420488538115e-12,0,2.7912741820645e-06,2.8692047497016e-06,0,0
1,0.20618269576472,1.0905280075629e-21,14,-1.1155618854818e-13,1.2353143372134e-09,0.97074792410786,3.66459838096e-07,14,1.6539415363585e-12,0,2.7852825763414e-06,2.8692047497016e-06,0,0
1,0.20618269576472,1.0959784101458e-21,15,-1.1066932577875e-13,1.2351701298773e-09,0.96865972771186,3.6221105014973e-07,15,1.7649424088357e-12,0,2.7792916516854e-06,2.8692047497016e-06,0,0
1,0.20618269576472,1.1014549521035e-21,16,-1.0979552291824e-13,1.235015837045e-09,0.96657178722316,3.5800302647519e-07,16,1.8750645940333e-12,0,2.7733014570181e-06,2.8692047497016e-06,0,0
1,0.20618269576472,1.1069577530724e-21,17,-1.0893461411025e-13,1.2348514623337e-09,0.96448411966445,3.5383549066496e-07,17,1.9843210480246e-12,0,2.7673120412441e-06,2.8692047497016e-06,0,0
1,0.20618269576472,1.1124869332079e-21,18,-1.0808643578604e-13,1.2346770095823e-09,0.96239674205237,3.4970816676752e-07,18,2.0927245624528e-12,0,2.7613234532494e-06,2.8692047497016e-06,0,0
1,0.20618269576472,1.1180426131862e-21,19,-1.0725082656404e-13,1.2344924828508e-09,0.96030967139711,3.456207793047e-07,19,2.2002877667593e-12,0,2.7553357419012e-06,2.8692047497016e-06,0,0
1,0.20618269576472,1.1236249142064e-21,20,-1.064276273356e-13,1.2342978864216e-09,0.95822292470202,3.4157305328885e-07,20,2.3070231304352e-12,0,2.7493489560459e-06,2.8692047497016e-06,0,0
1,0.20618269576472,1.129233957993e-21,21,-1.0561668116014e-13,1.2340932247982e-09,0.95613651896324,3.3756471423982e-07,21,2.4129429652171e-12,0,2.7433631445088e-06,2.8692047497016e-06,0,0
1,0.20618269576472,1.1348698667976e-21,22,-1.0481783324446e-13,1.2338785027042e-09,0.95405047116935,3.3359548820172e-07,22,2.5180594272477e-12,0,2.7373783560924e-06,2.8692047497016e-06,0,0
1,0.20618269576472,1.1405327634011e-21,23,-1.040309309051e-13,1.233653725086e-09,0.95196479830095,3.2966510175957e-07,23,2.6223845191916e-12,0,2.7313946395758e-06,2.8692047497016e-06,0,0
1,0.20618269576472,1.1462227711163e-21,24,-1.0325582360124e-13,1.2334188971092e-09,0.94987951733032,3.2577328205561e-07,24,2.7259300923782e-12,0,2.7254120437134e-06,2.8692047497016e-06,0,0
1,0.20618269576472,1.1519400137894e-21,25,-1.0249236276145e-13,1.2331740241618e-09,0.947794645221,3.2191975680556e-07,25,2.8287078488246e-12,0,2.7194306172339e-06,2.8692047497016e-06,0,0
1,0.20618269576472,1.1576846158026e-21,26,-1.0174040188533e-13,1.2329191118524e-09,0.94571019892746,3.1810425431454e-07,26,2.930729343275e-12,0,2.7134504088391e-06,2.8692047497016e-06,0,0
1,0.20618269576472,1.1634567020761e-21,27,-1.0099979649213e-13,1.2326541660095e-09,0.94362619539471,3.1432650349288e-07,27,3.0320059852369e-12,0,2.7074714672031e-06,2.8692047497016e-06,0,0
1,0.20618269576472,1.1692563980706e-21,28,-1.0027040407074e-13,1.2323791926821e-09,0.94154265155788,3.1058623387171e-07,28,3.1325490409694e-12,0,2.7014938409709e-06,2.8692047497016e-06,0,0
1,0.20618269576472,1.175083829789e-21,29,-9.9552084023323e-14,1.2320941981405e-09,0.93945958434191,3.068831756183e-07,29,3.2323696354215e-12,0,2.6955175787575e-06,2.8692047497016e-06,0,0
1,0.20618269576472,1.1809391237787e-21,30,-9.8844697732302e-14,1.2317991888739e-09,0.93737701066114,3.0321705955127e-07,30,3.331478754184e-12,0,2.689542729147e-06,2.8692047497016e-06,0,0
1,0.20618269576472,1.1868224071343e-21,31,-9.8148108373104e-14,1.2314941715923e-09,0.93529494741894,2.9958761715554e-07,31,3.4298872453493e-12,0,2.6835693406911e-06,2.8692047497016e-06,0,0
1,0.20618269576472,1.1927338074991e-21,32,-9.7462181039958e-14,1.2311791532257e-09,0.93321341150733,2.9599458059707e-07,32,3.5276058213953e-12,0,2.6775974619085e-06,2.8692047497016e-06,0,0
1,0.20618269576472,1.198673453068e-21,33,-9.6786782666112e-14,1.2308541409229e-09,0.93113241980661,2.924376827375e-07,33,3.6246450610384e-12,0,2.6716271412836e-06,2.8692047497016e-06,0,0
1,0.20618269576472,1.2046414725892e-21,34,-9.6121781996927e-14,1.2305191420528e-09,0.92905198918499,2.8891665714841e-07,34,3.7210154110527e-12,0,2.6656584272653e-06,2.8692047497016e-06,0,0
1,0.20618269576472,1.2106379953667e-21,35,-9.5467049501253e-14,1.2301741642033e-09,0.92697213649821,2.8543123812555e-07,35,3.8167271880478e-12,0,2.6596913682663e-06,2.8692047497016e-06,0,0
1,0.20618269576472,1.2166631512625e-21,36,-9.4822457523925e-14,1.2298192151813e-09,0.92489287858916,2.8198116070276e-07,36,3.9117905802825e-12,0,2.6537260126617e-06,2.8692047497016e-06,0,0
1,0.20618269576472,1.2227170706989e-21,37,-9.4187879979467e-14,1.2294543030135e-09,0.92281423228755,2.7856616066569e-07,37,4.0062156493441e-12,0,2.6477624087881e-06,2.8692047497016e-06,0,0
1,0.20618269576472,1.2287998846606e-21,38,-9.3563192582379e-14,1.2290794359433e-09,0.92073621440946,2.7518597456539e-07,38,4.1000123318565e-12,0,2.6418006049426e-06,2.8692047497016e-06,0,0
1,0.20618269576472,1.2349117246972e-21,39,-9.2948272790248e-14,1.2286946224337e-09,0.91865884175703,2.7184033973162e-07,39,4.193190441224e-12,0,2.6358406493815e-06,2.8692047497016e-06,0,0
1,0.20618269576472,1.2410527229253e-21,40,-9.2342999589071e-14,1.2282998711662e-09,0.91658213111808,2.6852899428597e-07,40,4.2857596693031e-12,0,2.6298825903194e-06,2.8692047497016e-06,0,0
1,0.20618269576472,1.2472230120311e-21,41,-9.1747253659139e-14,1.2278951910399e-09,0.91450609926571,2.6525167715482e-07,41,4.3777295879915e-12,0,2.6239264759284e-06,2.8692047497016e-06,0,0
1,0.20618269576472,1.2534227252721e-21,42,-9.1160917318045e-14,1.2274805911712e-09,0.91243076295796,2.6200812808202e-07,42,4.4691096508722e-12,0,2.6179723543364e-06,2.8692047497016e-06,0,0
1,0.20618269576472,1.25965199648e-21,43,-9.0583874437054e-14,1.2270560808941e-09,0.91035613893741,2.5879808764147e-07,43,4.5599091948383e-12,0,2.6120202736268e-06,2.8692047497016e-06,0,0
1,0.20618269576472,1.2659109600628e-21,44,-9.0016010406642e-14,1.2266216697598e-09,0.90828224393086,2.5562129724935e-07,44,4.6501374415826e-12,0,2.6060702818367e-06,2.8692047497016e-06,0,0
1,0.20618269576472,1.2721997510071e-21,45,-8.9457212270478e-14,1.226177367537e-09,0.90620909464888,2.5247749917633e-07,45,4.7398034992647e-12,0,2.6001224269564e-06,2.8692047497016e-06,0,0
1,0.20618269576472,1.2785185048802e-21,46,-8.8907368542618e-14,1.2257231842102e-09,0.90413670778554,2.493664365594e-07,46,4.8289163639721e-12,0,2.5941767569283e-06,2.8692047497016e-06,0,0
1,0.20618269576472,1.2848673578331e-21,47,-8.8366369165069e-14,1.2252591299801e-09,0.90206510001795,2.4628785341361e-07,47,4.917484921189e-12,0,2.5882333196455e-06,2.8692047497016e-06,0,0
1,0.20618269576472,1.2912464466023e-21,48,-8.7834105631042e-14,1.2247852152645e-09,0.89999428800595,2.4324149464357e-07,48,5.0055179473592e-12,0,2.5822921629511e-06,2.8692047497016e-06,0,0
1,0.20618269576472,1.297655908512e-21,49,-8.7310470916806e-14,1.2243014506964e-09,0.89792428839173,2.4022710605472e-07,49,5.0930241113183e-12,0,2.5763533346369e-06,2.8692047497016e-06,0,0
1,0.20618269576472,1.3040958814772e-21,50,-8.679535939228e-14,1.223807847124e-09,0.89585511779943,2.3724443436449e-07,50,5.1800119757543e-12,0,2.5704168824425e-06,2.8692047497016e-06,0,0
1,0.20618269576472,1.3105665040055e-21,51,-8.6288666786019e-14,1.2233044156113e-09,0.89378679283484,2.3429322721313e-07,51,5.2664899985646e-12,0,2.5644828540544e-06,2.8692047497016e-06,0,0
1,0.20618269576472,1.3170679151995e-21,52,-8.579029032323e-14,1.222791167436e-09,0.89171933008497,2.3137323317442e-07,52,5.352466534355e-12,0,2.5585512971047e-06,2.8692047497016e-06,0,0
1,0.20618269576472,1.3236002547595e-21,53,-8.5300128517599e-14,1.2222681140914e-09,0.88965274611772,2.2848420176619e-07,53,5.4379498357004e-12,0,2.55262225917e-06,2.8692047497016e-06,0,0
1,0.20618269576472,1.3301636629857e-21,54,-8.4818081273591e-14,1.2217352672854e-09,0.8875870574815,2.2562588346058e-07,54,5.5229480546095e-12,0,2.5466957877706e-06,2.8692047497016e-06,0,0
1,0.20618269576472,1.3367582807806e-21,55,-8.4344049858865e-14,1.221192638938e-09,0.88552228070488,2.2279802969415e-07,55,5.6074692438415e-12,0,2.5407719303695e-06,2.8692047497016e-06,0,0
1,0.20618269576472,1.3433842496514e-21,56,-8.3877936824818e-14,1.2206402411845e-09,0.88345843229621,2.2000039287776e-07,56,5.6915213581999e-12,0,2.5348507343712e-06,2.8692047497016e-06,0,0
1,0.20618269576472,1.3500417117127e-21,57,-8.3419646007018e-14,1.2200780863719e-09,0.88139552874328,2.1723272640626e-07,57,5.7751122558763e-12,0,2.5289322471204e-06,2.8692047497016e-06,0,0
1,0.20618269576472,1.3567308096885e-21,58,-8.2969082520387e-14,1.2195061870612e-09,0.87933358651292,2.1449478466799e-07,58,5.8582496996834e-12,0,2.5230165159017e-06,2.8692047497016e-06,0,0
1,0.20618269576472,1.3634516869152e-21,59,-8.2526152808163e-14,1.2189245560255e-09,0.87727262205069,2.1178632305409e-07,59,5.9409413583772e-12,0,2.5171035879378e-06,2.8692047497016e-06,0,0
1,0.20618269576472,1.3702044873435e-21,60,-8.2090764442326e-14,1.2183332062492e-09,0.87521265178048,2.0910709796757e-07,60,6.0231948078704e-12,0,2.5111935103891e-06,2.8692047497016e-06,0,0
1,0.20618269576472,1.3769893555411e-21,61,-8.1662826281494e-14,1.2177321509293e-09,0.87315369210416,2.0645686683222e-07,61,6.1050175324418e-12,0,2.5052863303521e-06,2.8692047497016e-06,0,0
1,0.20618269576472,1.3838064366953e-21,62,-8.1242248354372e-14,1.2171214034738e-09,0.87109575940121,2.0383538810134e-07,62,6.1864169259797e-12,0,2.4993820948588e-06,2.8692047497016e-06,0,0
1,0.20618269576472,1.3906558766155e-21,63,-8.082894201066e-14,1.2165009775015e-09,0.8690388700284,2.012424212662e-07,63,6.2674002932294e-12,0,2.4934808508755e-06,2.8692047497016e-06,0,0
1,0.20618269576472,1.3975378217352e-21,64,-8.0422819654848e-14,1.2158708868422e-09,0.86698304031939,1.9867772686443e-07,64,6.3479748509215e-12,0,2.4875826453018e-06,2.8692047497016e-06,0,0
1,0.20618269576472,1.4044524191152e-21,65,-8.0023794746685e-14,1.2152311455351e-09,0.86492828658437,1.9614106648805e-07,65,6.428147728864e-12,0,2.4816875249698e-06,2.8692047497016e-06,0,0
1,0.20618269576472,1.4113998164456e-21,66,-7.9631782124096e-14,1.2145817678297e-09,0.86287462510976,1.9363220279148e-07,66,6.5079259712034e-12,0,2.4757955366424e-06,2.8692047497016e-06,0,0
1,0.20618269576472,1.4183801620487e-21,67,-7.9246697558014e-14,1.2139227681844e-09,0.86082207215779,1.9115089949923e-07,67,6.587316537482e-12,0,2.4699067270132e-06,2.8692047497016e-06,0,0
1,0.20618269576472,1.4253936048812e-21,68,-7.8868457975594e-14,1.2132541612665e-09,0.85877064396617,1.8869692141347e-07,68,6.6663263037672e-12,0,2.4640211427048e-06,2.8692047497016e-06,0,0
1,0.20618269576472,1.4324402945368e-21,69,-7.8496981387415e-14,1.2125759619522e-09,0.85672035674773,1.8627003442136e-07,69,6.7449620636845e-12,0,2.4581388302682e-06,2.8692047497016e-06,0,0
1,0.20618269576472,1.4395203812491e-21,70,-7.8132186927689e-14,1.2118881853249e-09,0.8546712266901,1.8387000550224e-07,70,6.8232305296235e-12,0,2.4522598361814e-06,2.8692047497016e-06,0,0
1,0.20618269576472,1.4466340158936e-21,71,-7.777399482243e-14,1.2111908466762e-09,0.85262326995531,1.8149660273458e-07,71,6.9011383337674e-12,0,2.4463842068489e-06,2.8692047497016e-06,0,0
1,0.20618269576472,1.4537813499908e-21,72,-7.7422326120189e-14,1.2104839615054e-09,0.85057650267944,1.791495953028e-07,72,6.9786920290591e-12,0,2.4405119886001e-06,2.8692047497016e-06,0,0
1,0.20618269576472,1.4609625357084e-21,73,-7.7077103151313e-14,1.2097675455163e-09,0.84853094097231,1.7682875350384e-07,73,7.0558980902668e-12,0,2.4346432276888e-06,2.8692047497016e-06,0,0
