Di,Dv,K0_dist,id,jix,jvx,super_saturation,void_nucleation_rate,x,xi,xie,xv,xve,y,z
1,0.37505908844328,8.498152630256e-22,0,-4.6650288815482e-14,-5.2584884481881e-12,1,4.3037883693406e-07,0,0,0,7.4733876396637e-06,7.4733876396637e-06,0,0
1,0.37505908844328,8.5407455272033e-22,1,-4.6650288815482e-14,-5.2584884481881e-12,1.0000018594038,4.3038317067117e-07,1,4.6650288815482e-14,0,7.4734016600903e-06,7.4733876396637e-06,0,0
1,0.37505908844328,8.5835433169841e-22,2,-4.5531176070398e-14,-5.2579381961297e-12,1.0000037189709,4.3038750482436e-07,2,9.2403548155326e-14,0,7.4734156793453e-06,7.4733876396637e-06,0,0
1,0.37505908844328,8.6265469405092e-22,3,-4.4655672915041e-14,-5.2574890020232e-12,1.0000055786923,4.3039183937283e-07,3,1.3727703460598e-13,0,7.473429697408e-06,7.4733876396637e-06,0,0
1,0.37505908844328,8.6697573427848e-22,4,-4.3797002041257e-14,-5.257031615394e-12,1.0000074385591,4.3039617429578e-07,4,1.8128766253416e-13,0,7.4734437142567e-06,7.4733876396637e-06,0,0
1,0.37505908844328,8.7131754729291e-22,5,-4.2954839850168e-14,-5.2565657122009e-12,1.0000092985623,4.3040050957241e-07,5,2.2445202112969e-13,0,7.4734577298689e-06,7.4733876396637e-06,0,0
1,0.37505908844328,8.7568022841892e-22,6,-4.1721857750717e-14,-5.2558502026489e-12,1.0000111586931,4.3040484518192e-07,6,2.6678638065671e-13,0,7.4734717442212e-06,7.4733876396637e-06,0,0
1,0.37505908844328,8.800638733958e-22,7,-4.1318778105284e-14,-5.2556071025282e-12,1.0000130189425,4.304091811035e-07,7,3.0830669858471e-13,0,7.4734857572896e-06,7.4733876396637e-06,0,0
1,0.37505908844328,8.8446857837913e-22,8,-4.0524261981956e-14,-5.2551137822766e-12,1.0000148793016,4.3041351731637e-07,8,3.4902862560166e-13,0,7.473499769049e-06,7.4733876396637e-06,0,0
1,0.37505908844328,8.8889443994243e-22,9,-3.9361037012676e-14,-5.2543554452855e-12,1.0000167397615,4.3041785379973e-07,9,3.8896751151155e-13,0,7.4735137794737e-06,7.4733876396637e-06,0,0
1,0.37505908844328,8.9334155507889e-22,10,-3.8980762001479e-14,-5.2540976254365e-12,1.0000186003132,4.3042219053277e-07,10,4.2813841101863e-13,0,7.473527788537e-06,7.4733876396637e-06,0,0
1,0.37505908844328,8.9781002120311e-22,11,-3.8231196454408e-14,-5.2535742119278e-12,1.0000204609478,4.304265274947e-07,11,4.6655608940039e-13,0,7.4735417962118e-06,7.4733876396637e-06,0,0
1,0.37505908844328,9.0229993615277e-22,12,-3.7496042043465e-14,-5.2530402010026e-12,1.0000223216564,4.3043086466473e-07,12,5.0423502807157e-13,0,7.4735558024698e-06,7.4733876396637e-06,0,0
1,0.37505908844328,9.0681139819038e-22,13,-3.6775021713932e-14,-5.2524953175437e-12,1.0000241824301,4.3043520202207e-07,13,5.4118943004112e-13,0,7.4735698072824e-06,7.4733876396637e-06,0,0
1,0.37505908844328,9.11344506005e-22,14,-3.6067863737233e-14,-5.2519392953289e-12,1.0000260432599,4.3043953954593e-07,14,5.7743322526438e-13,0,7.4735838106199e-06,7.4733876396637e-06,0,0
1,0.37505908844328,9.1589935871398e-22,15,-3.5374301608541e-14,-5.2513718706778e-12,1.000027904137,4.3044387721552e-07,15,6.1298007589222e-13,0,7.4735978124522e-06,7.4733876396637e-06,0,0
1,0.37505908844328,9.2047605586473e-22,16,-3.4694073946365e-14,-5.2507927862636e-12,1.0000297650524,4.3044821501006e-07,16,6.4784338141943e-13,0,7.4736118127483e-06,7.4733876396637e-06,0,0
1,0.37505908844328,9.2507469743642e-22,17,-3.4026924394059e-14,-5.2502017917486e-12,1.0000316259971,4.3045255290877e-07,17,6.8203628373403e-13,0,7.4736258114766e-06,7.4733876396637e-06,0,0
1,0.37505908844328,9.2969538384176e-22,18,-3.3372601523232e-14,-5.2495986393365e-12,1.0000334869624,4.3045689089088e-07,18,7.1557167206956e-13,0,7.4736398086049e-06,7.4733876396637e-06,0,0
1,0.37505908844328,9.3433821592878e-22,19,-3.2730858739008e-14,-5.2489830882205e-12,1.0000353479392,4.304612289356e-07,19,7.4846218786218e-13,0,7.4736538041004e-06,7.4733876396637e-06,0,0
1,0.37505908844328,9.3900329498259e-22,20,-3.2101454187111e-14,-5.2483549014055e-12,1.0000372089187,4.3046556702217e-07,20,7.8072022951435e-13,0,7.4736677979294e-06,7.4733876396637e-06,0,0
1,0.37505908844328,9.4369072272714e-22,21,-3.1484150662732e-14,-5.2477138482507e-12,1.0000390698919,4.3046990512983e-07,21,8.1235795706702e-13,0,7.4736817900578e-06,7.4733876396637e-06,0,0
1,0.37505908844328,9.4840060132701e-22,22,-3.0878715521153e-14,-5.2470597012918e-12,1.00004093085,4.3047424323781e-07,22,8.4338729678193e-13,0,7.4736957804508e-06,7.4733876396637e-06,0,0
1,0.37505908844328,9.5313303338922e-22,23,-3.0284920590089e-14,-5.246392238783e-12,1.0000427917841,4.3047858132536e-07,23,8.7381994563584e-13,0,7.4737097690732e-06,7.4733876396637e-06,0,0
1,0.37505908844328,9.57888121965e-22,24,-2.9702542083706e-14,-5.2457112446968e-12,1.0000446526851,4.3048291937172e-07,24,9.036673757284e-13,0,7.4737237558889e-06,7.4733876396637e-06,0,0
1,0.37505908844328,9.6266597055162e-22,25,-2.9131360518303e-14,-5.2450165055474e-12,1.0000465135444,4.3048725735615e-07,25,9.3294083860521e-13,0,7.4737377408614e-06,7.4733876396637e-06,0,0
1,0.37505908844328,9.6746668309418e-22,26,-2.857116062961e-14,-5.2443078129318e-12,1.0000483743528,4.3049159525791e-07,26,9.6165136949792e-13,0,7.4737517239537e-06,7.4733876396637e-06,0,0
1,0.37505908844328,9.7229036398741e-22,27,-2.8021731291674e-14,-5.2435849648007e-12,1.0000502351016,4.3049593305625e-07,27,9.898097914826e-13,0,7.4737657051282e-06,7.4733876396637e-06,0,0
