Di,Dv,K0_dist,id,jix,jvx,super_saturation,void_nucleation_rate,x,xi,xie,xv,xve,y,z
1,1,8.397177670131e-21,0,-3.6746785582833e-15,7.7957508439228e-09,1,4.3037883693406e-07,0,0,0,3.5888722498768e-05,3.5888722498768e-05,0,0
1,1,8.4392644787249e-21,1,-3.3536581540376e-15,7.7616382716724e-09,0.99978325508599,4.2987391043641e-07,1,3.5141683561604e-15,0,3.588094380421e-05,3.5888722498768e-05,0,0
1,1,8.4815537456179e-21,2,-2.7014693430145e-15,7.5636118371887e-09,0.99957028214018,4.2937824164096e-07,2,6.4250828092327e-15,0,3.5873300480169e-05,3.5888722498768e-05,0,0
1,1,8.5240464005409e-21,3,-2.2014648006996e-15,7.2525249305471e-09,0.99936468701431,4.2890018598946e-07,3,8.808384163036e-15,0,3.5865921936133e-05,3.5888722498768e-05,0,0
1,1,8.5667433772713e-21,4,-1.7717819733937e-15,6.829587582914e-09,0.99916974394293,4.2844729971026e-07,4,1.073598306639e-14,0,3.5858925680269e-05,3.5888722498768e-05,0,0
1,1,8.6096456136501e-21,5,-1.4075466245762e-15,6.313396578965e-09,0.99898825395793,4.280260178135e-07,5,1.2275212592255e-14,0,3.58524122381e-05,3.5888722498768e-05,0,0
1,1,8.6527540515979e-21,6,-1.1032327960891e-15,5.7255797501429e-09,0.99882244391222,4.2764142812118e-07,6,1.3488110569136e-14,0,3.5846461528595e-05,3.5888722498768e-05,0,0
1,1,8.6960696371319e-21,7,-8.5283951873626e-16,5.0897055523642e-09,0.99867390266568,4.2729713201778e-07,7,1.443087798852e-14,0,3.5841130573961e-05,3.5888722498768e-05,0,0
1,1,8.7395933203826e-21,8,-6.5007681107597e-16,4.4307304521824e-09,0.99854353714693,4.2699515074763e-07,8,1.5153518970162e-14,0,3.5836451922758e-05,3.5888722498768e-05,0,0
1,1,8.7833260556103e-21,9,-4.8857058872345e-16,3.7742202614892e-09,0.99843154552982,4.2673587011763e-07,9,1.5699678724025e-14,0,3.5832432687235e-05,3.5888722498768e-05,0,0
1,1,8.8272688012224e-21,10,-3.620663946716e-16,3.1444238694225e-09,0.99833743136538,4.2651807826858e-07,10,1.6106687485882e-14,0,3.5829055050511e-05,3.5888722498768e-05,0,0
1,1,8.87142251979e-21,11,-2.6463057051581e-16,2.5620201412322e-09,0.99826008037242,4.2633914633767e-07,11,1.6405805771981e-14,0,3.5826279022489e-05,3.5888722498768e-05,0,0
1,1,8.9157881780647e-21,12,-1.9083519498612e-16,2.042414961684e-09,0.99819789036849,4.2619532990452e-07,12,1.6622664915793e-14,0,3.5824047102913e-05,3.5888722498768e-05,0,0
1,1,8.9603667469963e-21,13,-1.3581910338964e-16,1.5935823549152e-09,0.99814895604349,4.260821954748e-07,13,1.6777819857888e-14,0,3.5822290912657e-05,3.5888722498768e-05,0,0
1,1,9.0051592017489e-21,14,-9.546133003239e-17,1.218360156822e-09,0.99811124499705,4.2599502557566e-07,14,1.6887416925637e-14,0,3.5820937511486e-05,3.5888722498768e-05,0,0
1,1,9.0501665217192e-21,15,-6.6326757498887e-17,9.1418448923105e-10,0.99808274624978,4.2592915975199e-07,15,1.6963902098631e-14,0,3.581991472793e-05,3.5888722498768e-05,0,0
1,1,9.0953896905529e-21,16,-3.9515397904178e-17,5.9840013291192e-10,0.99806159007329,4.2588026932418e-07,16,1.7016703276577e-14,0,3.5819155459836e-05,3.5888722498768e-05,0,0
1,1,9.1408296961621e-21,17,-3.2522077303062e-17,5.0822594765444e-10,0.99804617260959,4.2584464353812e-07,17,1.7052722014181e-14,0,3.5818602146795e-05,3.5888722498768e-05,0,0
1,1,9.1864875307431e-21,18,-2.1933095508023e-17,3.6367720042862e-10,0.99803511222976,4.258190873471e-07,18,1.7077044040478e-14,0,3.5818205203917e-05,3.5888722498768e-05,0,0
1,1,9.2323641907933e-21,19,-1.0797046547384e-17,1.9581418656819e-10,0.99802727826501,4.2580098688988e-07,19,1.709334576276e-14,0,3.5817924052947e-05,3.5888722498768e-05,0,0
1,1,9.2784606771292e-21,20,-1.0797046547384e-17,1.9581418656819e-10,0.99802182211657,4.2578838077263e-07,20,1.7104142809307e-14,0,3.581772823876e-05,3.5888722498768e-05,0,0
1,1,9.3247779949033e-21,21,-7.057664979859e-18,1.340685020751e-10,0.9980180864442,4.2577974989191e-07,21,1.7111200474287e-14,0,3.5817594170258e-05,3.5888722498768e-05,0,0
1,1,9.3713171536224e-21,22,-4.5740008182665e-18,9.0645553529314e-11,0.99801556070486,4.2577391451589e-07,22,1.7115774475105e-14,0,3.5817503524704e-05,3.5888722498768e-05,0,0
1,1,9.4180791671648e-21,23,-2.9407587890108e-18,6.0580622176988e-11,0.998013872692,4.2577001462891e-07,23,1.7118715233894e-14,0,3.5817442944082e-05,3.5888722498768e-05,0,0
1,1,9.4650650537985e-21,24,-1.8766590523948e-18,4.0057614208088e-11,0.99801275653034,4.2576743592976e-07,24,1.7120591892946e-14,0,3.5817402886468e-05,3.5888722498768e-05,0,0
