Di,Dv,K0_dist,id,jix,jvx,super_saturation,void_nucleation_rate,x,xi,xie,xv,xve,y,z
1,1.845691146725e-11,1.0512517368763e-18,0,-1.0934640338771e-10,-8.1661877276337e-19,1,-nan,0,0,0,2.4033246774688e-22,2.4033246774688e-22,0,0
1,1.845691146725e-11,1.0565206298748e-18,1,-1.0807941905061e-10,-1.3915048073729e-21,-2.4555531021467e+22,-nan,1,1.0892330385006e-10,0,8.6938944496813e-09,2.4033246774688e-22,0,0
1,1.845691146725e-11,1.0618148688464e-18,2,-1.0668281847506e-10,-3.1702566894856e-23,-4.8857681253792e+22,-nan,2,2.1672266228235e-10,0,8.7222724913129e-09,2.4033246774688e-22,0,0
1,1.845691146725e-11,1.067134570185e-18,3,-1.0668281847506e-10,-3.1702566894856e-23,-7.2908120138629e+22,-nan,3,3.2340548075741e-10,0,8.7239901441797e-09,2.4033246774688e-22,0,0
1,1.845691146725e-11,1.0724798507912e-18,4,-1.0557368268661e-10,1.0816282454008e-23,-9.6708516862268e+22,-nan,4,4.2897916344402e-10,0,8.7234041153377e-09,2.4033246774688e-22,0,0
1,1.845691146725e-11,1.0778508280744e-18,5,-1.0447194932037e-10,-6.0424467548797e-25,-1.2026054021735e+23,-nan,5,5.3345111276439e-10,0,8.7234368534628e-09,2.4033246774688e-22,0,0
1,1.845691146725e-11,1.0832476199546e-18,6,-1.03377616126e-10,2.4261684762542e-24,-1.435658584892e+23,-nan,6,6.3682872889039e-10,0,8.7233054030584e-09,2.4033246774688e-22,0,0
1,1.845691146725e-11,1.0886703448647e-18,7,-1.0229068038084e-10,1.5846160428569e-24,-1.6662613934936e+23,-nan,7,7.3911940927123e-10,0,8.7232195481717e-09,2.4033246774688e-22,0,0
1,1.845691146725e-11,1.0941191217526e-18,8,-1.0121113889144e-10,1.7808079276771e-24,-1.8944304974944e+23,-nan,8,8.4033054816267e-10,0,8.7231230635604e-09,2.4033246774688e-22,0,0
1,1.845691146725e-11,1.0995940700832e-18,9,-1.0013898799368e-10,1.6992086135366e-24,-2.1201825581503e+23,-nan,9,9.4046953615635e-10,0,8.7230310000201e-09,2.4033246774688e-22,0,0
1,1.845691146725e-11,1.1050953098405e-18,10,-9.9074223553389e-11,1.6923128672931e-24,-2.343534227397e+23,-nan,10,1.0395437597097e-09,0,8.722939310093e-09,2.4033246774688e-22,0,0
1,1.845691146725e-11,1.1106229615298e-18,11,-9.8016840966989e-11,1.6656701546222e-24,-2.5645021467919e+23,-nan,11,1.1375606006767e-09,0,8.7228490636746e-09,2.4033246774688e-22,0,0
1,1.845691146725e-11,1.1161771461798e-18,12,-9.6966835162158e-11,1.6445877583301e-24,-2.7831029464576e+23,-nan,12,1.2345274358389e-09,0,8.7227599595056e-09,2.4033246774688e-22,0,0
1,1.845691146725e-11,1.1217579853448e-18,13,-9.5924200598637e-11,1.6222840980915e-24,-2.9993532440268e+23,-nan,13,1.3304516364375e-09,0,8.7226720637544e-09,2.4033246774688e-22,0,0
1,1.845691146725e-11,1.1273656011066e-18,14,-9.4888931269099e-11,1.6005756852832e-24,-3.2132696435892e+23,-nan,14,1.4253405677066e-09,0,8.7225853441703e-09,2.4033246774688e-22,0,0
1,1.845691146725e-11,1.1330001160769e-18,15,-9.386102070011e-11,1.5789751525511e-24,-3.4248687346411e+23,-nan,15,1.5192015884067e-09,0,8.7224997949085e-09,2.4033246774688e-22,0,0
1,1.845691146725e-11,1.1386616533994e-18,16,-9.2840461953154e-11,1.5576124120365e-24,-3.6341670910364e+23,-nan,16,1.6120420503599e-09,0,8.7224154030851e-09,2.4033246774688e-22,0,0
1,1.845691146725e-11,1.144350336752e-18,17,-9.1827247625765e-11,1.5364519385847e-24,-3.8411812699412e+23,-nan,17,1.7038692979857e-09,0,8.7223321577414e-09,2.4033246774688e-22,0,0
1,1.845691146725e-11,1.1500662903486e-18,18,-9.0821369852722e-11,1.5155024978278e-24,-4.0459278107904e+23,-nan,18,1.7946906678384e-09,0,8.7222500474436e-09,2.4033246774688e-22,0,0
1,1.845691146725e-11,1.155809638942e-18,19,-8.9822820307334e-11,1.4947609511654e-24,-4.2484232342471e+23,-nan,19,1.8845134881457e-09,0,8.7221690609278e-09,2.4033246774688e-22,0,0
1,1.845691146725e-11,1.1615805078253e-18,20,-8.8831590202805e-11,1.4742273141702e-24,-4.4486840411656e+23,-nan,20,1.9733450783485e-09,0,8.7220891869296e-09,2.4033246774688e-22,0,0
1,1.845691146725e-11,1.1673790228348e-18,21,-8.7847670293683e-11,1.4539007218025e-24,-4.6467267115576e+23,-nan,21,2.0611927486422e-09,0,8.7220104142311e-09,2.4033246774688e-22,0,0
1,1.845691146725e-11,1.1732053103516e-18,22,-8.6871050877382e-11,1.4337805117102e-24,-4.8425677035611e+23,-nan,22,2.1480637995196e-09,0,8.7219327316506e-09,2.4033246774688e-22,0,0
1,1.845691146725e-11,1.1790594973044e-18,23,-8.5901721795794e-11,1.4138659339379e-24,-5.036223452414e+23,-nan,23,2.2339655213154e-09,0,8.7218561280467e-09,2.4033246774688e-22,0,0
1,1.845691146725e-11,1.1849417111711e-18,24,-8.4939672436976e-11,1.3941562293394e-24,-5.2277103694307e+23,-nan,24,2.3189051937523e-09,0,8.7217805923196e-09,2.4033246774688e-22,0,0
1,1.845691146725e-11,1.1908520799815e-18,25,-8.3984891736912e-11,1.3746506110738e-24,-5.4170448409831e+23,-nan,25,2.4028900854893e-09,0,8.7217061134116e-09,2.4033246774688e-22,0,0
1,1.845691146725e-11,1.1967907323195e-18,26,-8.3037368181368e-11,1.3553482683002e-24,-5.6042432274853e+23,-nan,26,2.4859274536706e-09,0,8.7216326803092e-09,2.4033246774688e-22,0,0
1,1.845691146725e-11,1.202757797325e-18,27,-8.209708980781e-11,1.3362483670935e-24,-5.7893218623836e+23,-nan,27,2.5680245434784e-09,0,8.7215602820443e-09,2.4033246774688e-22,0,0
1,1.845691146725e-11,1.2087534046965e-18,28,-8.1164044207407e-11,1.3173500516968e-24,-5.9722970511496e+23,-nan,28,2.6491885876858e-09,0,8.7214889076947e-09,2.4033246774688e-22,0,0
1,1.845691146725e-11,1.2147776846935e-18,29,-8.0238218527119e-11,1.2986524433605e-24,-6.1531850702796e+23,-nan,29,2.729426806213e-09,0,8.7214185463861e-09,2.4033246774688e-22,0,0
1,1.845691146725e-11,1.220830768138e-18,30,-7.9319599471846e-11,1.2801546429993e-24,-6.3320021662972e+23,-nan,30,2.8087464056848e-09,0,8.7213491872928e-09,2.4033246774688e-22,0,0
1,1.845691146725e-11,1.2269127864178e-18,31,-7.8408173306669e-11,1.2618557303675e-24,-6.5087645547623e+23,-nan,31,2.8871545789915e-09,0,8.7212808196392e-09,2.4033246774688e-22,0,0
1,1.845691146725e-11,1.2330238714881e-18,32,-7.7503925859158e-11,1.2437547652499e-24,-6.6834884192848e+23,-nan,32,2.9646585048506e-09,0,8.7212134327003e-09,2.4033246774688e-22,0,0
1,1.845691146725e-11,1.2391641558739e-18,33,-7.6606842521758e-11,1.2258507883472e-24,-6.8561899105433e+23,-nan,33,3.0412653473724e-09,0,8.7211470158033e-09,2.4033246774688e-22,0,0
1,1.845691146725e-11,1.2453337726726e-18,34,-7.5716908254254e-11,1.208142820971e-24,-7.0268851453101e+23,-nan,34,3.1169822556266e-09,0,8.7210815583283e-09,2.4033246774688e-22,0,0
