Di,Dv,K0_dist,id,jix,jvx,super_saturation,void_nucleation_rate,x,xi,xie,xv,xve,y,z
1,1.3268352593384e-08,1.461198890822e-19,0,-3.7773418026545e-11,-4.7881443764905e-16,1,-nan,0,0,0,8.9426288355642e-18,8.9426288355642e-18,0,0
1,1.3268352593384e-08,1.4685224464798e-19,1,-3.7596833650226e-11,-6.7683419461835e-19,-3.1785218464311e+14,-nan,1,3.7714513151356e-11,0,7.1698461270671e-09,8.9426288355642e-18,0,0
1,1.3268352593384e-08,1.475881232051e-19,2,-3.7401257034552e-11,-1.3621804825591e-20,-6.3438337126313e+14,-nan,2,7.5272189788759e-11,0,7.1890481914157e-09,8.9426288355642e-18,0,0
1,1.3268352593384e-08,1.4832754093188e-19,3,-3.7401257034552e-11,-1.3621804825591e-20,-9.4959627595158e+14,-nan,3,1.1267344682331e-10,0,7.1900748301585e-09,8.9426288355642e-18,0,0
1,1.3268352593384e-08,1.4907051407703e-19,4,-3.7245254299926e-11,6.6589808094942e-21,-1.2634944101578e+15,-nan,4,1.4991870112324e-10,0,7.1895729607092e-09,8.9426288355642e-18,0,0
1,1.3268352593384e-08,1.4981705896e-19,5,-3.7089668380658e-11,1.2276262084365e-21,-1.5760812865305e+15,-nan,5,1.8700836950389e-10,0,7.1894804378281e-09,8.9426288355642e-18,0,0
1,1.3268352593384e-08,1.5056719197122e-19,6,-3.6934499218655e-11,2.6623515668299e-21,-1.8873604175033e+15,-nan,6,2.2394286872255e-10,0,7.1892797835609e-09,8.9426288355642e-18,0,0
1,1.3268352593384e-08,1.513209295724e-19,7,-3.6779746751574e-11,2.2635912242782e-21,-2.1973353149111e+15,-nan,7,2.6072261547412e-10,0,7.1891091827868e-09,8.9426288355642e-18,0,0
1,1.3268352593384e-08,1.5207828829683e-19,8,-3.6625410913072e-11,2.3545020732692e-21,-2.506009490049e+15,-nan,8,2.973480263872e-10,0,7.1889317303067e-09,8.9426288355642e-18,0,0
1,1.3268352593384e-08,1.5283928474966e-19,9,-3.647149163274e-11,2.3147083388279e-21,-2.813386453614e+15,-nan,9,3.3381951801994e-10,0,7.1887572769733e-09,8.9426288355642e-18,0,0
1,1.3268352593384e-08,1.536039356082e-19,10,-3.6317988836118e-11,2.3098747775033e-21,-3.1194697156765e+15,-nan,10,3.7013750685605e-10,0,7.1885831879324e-09,8.9426288355642e-18,0,0
1,1.3268352593384e-08,1.5437225762223e-19,11,-3.6164902444694e-11,2.2957625309901e-21,-3.424262785645e+15,-nan,11,4.0630240930075e-10,0,7.1884101624935e-09,8.9426288355642e-18,0,0
1,1.3268352593384e-08,1.5514426761425e-19,12,-3.6012232375905e-11,2.2841849867425e-21,-3.7277691722323e+15,-nan,12,4.4231464167665e-10,0,7.1882380096229e-09,8.9426288355642e-18,0,0
1,1.3268352593384e-08,1.5591998247984e-19,13,-3.5859978543132e-11,2.2719875071232e-21,-4.029992383421e+15,-nan,13,4.7817462021979e-10,0,7.1880667760436e-09,8.9426288355642e-18,0,0
1,1.3268352593384e-08,1.566994191879e-19,14,-3.5708140855707e-11,2.2600124534865e-21,-4.3309359264299e+15,-nan,14,5.1388276107549e-10,0,7.1878964449917e-09,8.9426288355642e-18,0,0
1,1.3268352593384e-08,1.5748259478097e-19,15,-3.5556719218909e-11,2.2480348477906e-21,-4.6306033076792e+15,-nan,15,5.494394802944e-10,0,7.1877270166597e-09,8.9426288355642e-18,0,0
1,1.3268352593384e-08,1.5826952637555e-19,16,-3.5405713533968e-11,2.2361147258262e-21,-4.9289980327567e+15,-nan,16,5.8484519382837e-10,0,7.1875584867153e-09,8.9426288355642e-18,0,0
1,1.3268352593384e-08,1.5906023116237e-19,17,-3.525512369806e-11,2.2242360146923e-21,-5.2261236063837e+15,-nan,17,6.2010031752643e-10,0,7.1873908520373e-09,8.9426288355642e-18,0,0
1,1.3268352593384e-08,1.598547264067e-19,18,-3.5104949604315e-11,2.2124029624868e-21,-5.521983532381e+15,-nan,18,6.5520526713074e-10,0,7.1872241091845e-09,8.9426288355642e-18,0,0
1,1.3268352593384e-08,1.6065302944866e-19,19,-3.4955191141814e-11,2.2006143903721e-21,-5.8165813136341e+15,-nan,19,6.9016045827256e-10,0,7.1870582548047e-09,8.9426288355642e-18,0,0
1,1.3268352593384e-08,1.6145515770355e-19,20,-3.480584819559e-11,2.1888705668485e-21,-6.10992045206e+15,-nan,20,7.2496630646815e-10,0,7.1868932855253e-09,8.9426288355642e-18,0,0
1,1.3268352593384e-08,1.6226112866208e-19,21,-3.465692064663e-11,2.1771713725593e-21,-6.4020044485726e+15,-nan,21,7.5962322711478e-10,0,7.1867291979826e-09,8.9426288355642e-18,0,0
1,1.3268352593384e-08,1.6307095989075e-19,22,-3.4508408371875e-11,2.1655167906356e-21,-6.6928368030486e+15,-nan,22,7.9413163548665e-10,0,7.1865659888144e-09,8.9426288355642e-18,0,0
1,1.3268352593384e-08,1.6388466903214e-19,23,-3.4360311244227e-11,2.1539067749479e-21,-6.9824210142934e+15,-nan,23,8.2849194673088e-10,0,7.1864036546617e-09,8.9426288355642e-18,0,0
1,1.3268352593384e-08,1.6470227380521e-19,24,-3.4212629132542e-11,2.1423412864572e-21,-7.2707605800074e+15,-nan,24,8.6270457586342e-10,0,7.1862421921688e-09,8.9426288355642e-18,0,0
1,1.3268352593384e-08,1.6552379200558e-19,25,-3.4065361901637e-11,2.1308202823925e-21,-7.5578589967515e+15,-nan,25,8.9676993776506e-10,0,7.186081597983e-09,8.9426288355642e-18,0,0
1,1.3268352593384e-08,1.663492415059e-19,26,-3.3918509412292e-11,2.1193437198951e-21,-7.8437197599135e+15,-nan,26,9.3068844717735e-10,0,7.1859218687547e-09,8.9426288355642e-18,0,0
1,1.3268352593384e-08,1.6717864025614e-19,27,-3.3772071521251e-11,2.1079115547347e-21,-8.1283463636735e+15,-nan,27,9.644605186986e-10,0,7.185763001138e-09,8.9426288355642e-18,0,0
1,1.3268352593384e-08,1.6801200628388e-19,28,-3.3626048081222e-11,2.0965237416598e-21,-8.4117423009706e+15,-nan,28,9.9808656677982e-10,0,7.18560499179e-09,8.9426288355642e-18,0,0
1,1.3268352593384e-08,1.6884935769465e-19,29,-3.3480438940884e-11,2.0851802347717e-21,-8.6939110634684e+15,-nan,29,1.0315670057207e-09,0,7.1854478373716e-09,8.9426288355642e-18,0,0
1,1.3268352593384e-08,1.6969071267224e-19,30,-3.3335243944883e-11,2.0738809865253e-21,-8.9748561415212e+15,-nan,30,1.0649022496656e-09,0,7.1852915345472e-09,8.9426288355642e-18,0,0
1,1.3268352593384e-08,1.7053608947902e-19,31,-3.3190462933841e-11,2.0626259490242e-21,-9.2545810241401e+15,-nan,31,1.0980927125994e-09,0,7.1851360799845e-09,8.9426288355642e-18,0,0
1,1.3268352593384e-08,1.7138550645624e-19,32,-3.3046095744355e-11,2.0514150729893e-21,-9.5330891989592e+15,-nan,32,1.1311388083438e-09,0,7.1849814703555e-09,8.9426288355642e-18,0,0
1,1.3268352593384e-08,1.7223898202438e-19,33,-3.2902142208998e-11,2.0402483083073e-21,-9.8103841522013e+15,-nan,33,1.1640409505528e-09,0,7.1848277023354e-09,8.9426288355642e-18,0,0
1,1.3268352593384e-08,1.7309653468345e-19,34,-3.2758602156327e-11,2.0291256037782e-21,-1.0086469368644e+16,-nan,34,1.1967995527091e-09,0,7.1846747726035e-09,8.9426288355642e-18,0,0
1,1.3268352593384e-08,1.7395818301331e-19,35,-3.2615475410881e-11,2.0180469075436e-21,-1.0361348331588e+16,-nan,35,1.22941502812e-09,0,7.1845226778432e-09,8.9426288355642e-18,0,0
1,1.3268352593384e-08,1.74823945674e-19,36,-3.2472761793186e-11,2.0070121665049e-21,-1.0635024522818e+16,-nan,36,1.2618877899132e-09,0,7.1843714147416e-09,8.9426288355642e-18,0,0
1,1.3268352593384e-08,1.7569384140608e-19,37,-3.233046111976e-11,1.9960213266416e-21,-1.0907501422576e+16,-nan,37,1.2942182510329e-09,0,7.18422097999e-09,8.9426288355642e-18,0,0
1,1.3268352593384e-08,1.7656788903091e-19,38,-3.2188573203113e-11,1.9850743333076e-21,-1.1178782509521e+16,-nan,38,1.3264068242361e-09,0,7.1840713702838e-09,8.9426288355642e-18,0,0
1,1.3268352593384e-08,1.7744610745104e-19,39,-3.2047097851752e-11,1.9741711304298e-21,-1.14488712607e+16,-nan,39,1.3584539220878e-09,0,7.1839225823226e-09,8.9426288355642e-18,0,0
1,1.3268352593384e-08,1.7832851565048e-19,40,-3.1906034870186e-11,1.9633116616391e-21,-1.1717771151512e+16,-nan,40,1.390359956958e-09,0,7.1837746128104e-09,8.9426288355642e-18,0,0
1,1.3268352593384e-08,1.7921513269505e-19,41,-3.1765384058927e-11,1.9524958691833e-21,-1.1985485655673e+16,-nan,41,1.4221253410169e-09,0,7.1836274584553e-09,8.9426288355642e-18,0,0
1,1.3268352593384e-08,1.8010597773274e-19,42,-3.1625145214495e-11,1.9417236946187e-21,-1.2252018245187e+16,-nan,42,1.4537504862314e-09,0,7.1834811159699e-09,8.9426288355642e-18,0,0
1,1.3268352593384e-08,1.8100106999399e-19,43,-3.1485318129422e-11,1.9309950787117e-21,-1.2517372390308e+16,-nan,43,1.4852358043608e-09,0,7.1833355820715e-09,8.9426288355642e-18,0,0
1,1.3268352593384e-08,1.8190042879206e-19,44,-3.1345902592255e-11,1.920309961021e-21,-1.2781551559507e+16,-nan,44,1.5165817069531e-09,0,7.1831908534816e-09,8.9426288355642e-18,0,0
1,1.3268352593384e-08,1.8280407352335e-19,45,-3.1206898387565e-11,1.9096682806665e-21,-1.3044559219441e+16,-nan,45,1.5477886053407e-09,0,7.1830469269265e-09,8.9426288355642e-18,0,0
1,1.3268352593384e-08,1.8371202366773e-19,46,-3.1068305295943e-11,1.8990699757474e-21,-1.3306398834917e+16,-nan,46,1.5788569106366e-09,0,7.1829037991371e-09,8.9426288355642e-18,0,0
1,1.3268352593384e-08,1.8462429878889e-19,47,-3.093012309401e-11,1.8885149833641e-21,-1.356707386886e+16,-nan,47,1.6097870337306e-09,0,7.1827614668491e-09,8.9426288355642e-18,0,0
1,1.3268352593384e-08,1.8554091853468e-19,48,-3.0792351554422e-11,1.8780032399805e-21,-1.3826587782277e+16,-nan,48,1.640579385285e-09,0,7.1826199268028e-09,8.9426288355642e-18,0,0
1,1.3268352593384e-08,1.8646190263743e-19,49,-3.0654990445871e-11,1.8675346812592e-21,-1.408494403423e+16,-nan,49,1.6712343757309e-09,0,7.1824791757436e-09,8.9426288355642e-18,0,0
1,1.3268352593384e-08,1.873872709143e-19,50,-3.0518039533093e-11,1.8571092418422e-21,-1.4342146081793e+16,-nan,50,1.701752415264e-09,0,7.1823392104217e-09,8.9426288355642e-18,0,0
1,1.3268352593384e-08,1.8831704326763e-19,51,-3.0381498576871e-11,1.8467268557129e-21,-1.4598197380026e+16,-nan,51,1.7321339138409e-09,0,7.1822000275923e-09,8.9426288355642e-18,0,0
1,1.3268352593384e-08,1.8925123968527e-19,52,-3.024536733404e-11,1.8363874560425e-21,-1.4853101381942e+16,-nan,52,1.7623792811749e-09,0,7.1820616240156e-09,8.9426288355642e-18,0,0
