Di,Dv,K0_dist,id,jix,jvx,super_saturation,void_nucleation_rate,x,xi,xie,xv,xve,y,z
1,0.000181,8.397177670131e-21,0,-1.5939744219143e-12,-1.5939152379575e-12,1,4.3037883693406e-07,0,0,0,3.7e-11,3.7e-11,0,0
1,0.000181,8.4392644787249e-21,1,-1.5871967893631e-12,-1.5871375376501e-12,0.99115755763579,4.1016802166821e-07,1,1.5905855895127e-12,0,8.8244385175477e-09,3.7e-11,0,0
1,0.000181,8.4815537456179e-21,2,-1.5781608051957e-12,-1.5781014631858e-12,0.98230162922742,3.9070880912883e-07,2,3.172134779091e-12,0,1.7561951674596e-08,3.7e-11,0,0
1,0.000181,8.5240464005409e-21,3,-1.5691267253881e-12,-1.5690672931322e-12,0.97343222238929,3.7198110029806e-07,3,4.7446490967087e-12,0,2.6249547913271e-08,3.7e-11,0,0
1,0.000181,8.5667433772713e-21,4,-1.5600955399221e-12,-1.5600360174713e-12,0.96454934473534,3.5396509569758e-07,4,6.3081310668145e-12,0,3.4887241181084e-08,3.7e-11,0,0
1,0.000181,8.6096456136501e-21,5,-1.5510682215499e-12,-1.5510086089552e-12,0.95565300387815,3.366412959704e-07,5,7.8625841930621e-12,0,4.347505083552e-08,3.7e-11,0,0
1,0.000181,8.6527540515979e-21,6,-1.5420457259034e-12,-1.5419860232157e-12,0.9467432074303,3.1999050238738e-07,6,9.4080129411483e-12,0,5.2013001549218e-08,3.7e-11,0,0
1,0.000181,8.6960696371319e-21,7,-1.5330289916073e-12,-1.5329691988776e-12,0.93781996300378,3.0399381726951e-07,7,1.0944422721764e-11,0,6.0501123215778e-08,3.7e-11,0,0
1,0.000181,8.7395933203826e-21,8,-1.5240189403944e-12,-1.5239590576737e-12,0.92888327820996,2.8863264433093e-07,8,1.2471819873656e-11,0,6.893945085619e-08,3.7e-11,0,0
1,0.000181,8.7833260556103e-21,9,-1.5150164772236e-12,-1.5149565045628e-12,0.91993316065877,2.7388868893951e-07,9,1.3990211646815e-11,0,7.732802452592e-08,3.7e-11,0,0
1,0.000181,8.8272688012224e-21,10,-1.5060224904007e-12,-1.5059624278509e-12,0.91096961796086,2.5974395830125e-07,10,1.5499606185768e-11,0,8.5666889222651e-08,3.7e-11,0,0
1,0.000181,8.87142251979e-21,11,-1.4970378517014e-12,-1.4969776993134e-12,0.90199265772472,2.4618076155446e-07,11,1.7000012513012e-11,0,9.3956094794698e-08,3.7e-11,0,0
1,0.000181,8.9157881780647e-21,12,-1.4880634164966e-12,-1.4880031743214e-12,0.89300228755859,2.3318170979005e-07,12,1.8491440512551e-11,0,1.0219569585012e-07,3.7e-11,0,0
1,0.000181,8.9603667469963e-21,13,-1.4791000238797e-12,-1.4790396919682e-12,0.88399851507166,2.2072971598757e-07,13,1.9973900913582e-11,0,1.1038575166651e-07,3.7e-11,0,0
