T,Di/Dv,Dv/Di
373,54180245800,1.85E-11
473,75367306.75,1.33E-08
573,1041389.8,9.60E-07
673,51364.68705,1.95E-05
773,5524.861878,1.81E-04
873,988.5845321,0.001011547
973,252.1605928,0.003965727
1073,82.97257768,0.012052175
1173,32.99901735,0.030303933
1273,15.16977809,0.065920542
1335,9.933664719,0.100667783
1373,7.809496569,0.128049227
1455,4.85006754,0.206182696
1473,4.399659648,0.227290309
1491,3.999856265,0.250008984
1573,2.666246548,0.375059088
1637,1.998181823,0.500454958
1673,1.715477282,0.582928151
1728,1.37562433,0.726942653
