bias,size,xi_center,xv_center,Fi,Fv,Di,Dv,rho,Zi,Zv,ki,kv,Zi_scaled,Zv_scaled,ki_scaled,kv_scaled,super_saturation_center
0.0,5.0,2.8191731657826e-12,1.5612542141361e-08,5.61934360927275e-10,5.619343548759999e-10,1.0,0.000181,1.5278874536821953e-05,199.32594696476636,198.85356704483962,0.0030454761356078918,0.0030382587020776172,1.9932594696476636e-08,1.9885356704483963e-08,3.045476135607891e+17,3.0382587020776166e+17,0.99999429651662
5.0,5.0,2.8191546925754e-12,1.6391319537468e-08,5.619316680383e-10,5.900310809664e-10,1.0,0.000181,1.5278874536821953e-05,199.32629788575204,198.8760098832931,0.0030454814972856042,0.003038601603390598,1.9932629788575205e-08,1.9887600988329313e-08,3.045481497285604e+17,3.038601603390598e+17,22.050790459349
10.0,5.0,2.8191362195908e-12,1.7170096934868e-08,5.61928975182375e-10,6.18127807090375e-10,1.0,0.000181,1.5278874536821953e-05,199.3266488073214,198.89641685541486,0.0030454868589722345,0.0030389133989573228,1.993266488073214e-08,1.9889641685541486e-08,3.045486858972234e+17,3.038913398957322e+17,43.101586623908
20.0,5.0,2.8190992743474e-12,1.8727651733557e-08,5.61923589572525e-10,6.743212594393001e-10,1.0,0.000181,1.5278874536821953e-05,199.32735064912035,198.9321391229774,0.0030454975823250257,0.0030394591950015813,1.9932735064912035e-08,1.989321391229774e-08,3.045497582325025e+17,3.039459195001581e+17,85.203178949733
30.0,5.0,2.8190623300417e-12,2.0285206537426e-08,5.6191820409715e-10,7.30514711922725e-10,1.0,0.000181,1.5278874536821953e-05,199.3280524907152,198.9623756654684,0.0030455083056746984,0.0030399211753407286,1.9932805249071522e-08,1.989623756654684e-08,3.045508305674698e+17,3.039921175340728e+17,127.30477127556
40.0,5.0,2.8190253866735e-12,2.1842761346475e-08,5.619128187563001e-10,7.8670816454065e-10,1.0,0.000181,1.5278874536821953e-05,199.32875433213715,198.98830000446952,0.0030455190290217286,0.003040317270063777,1.9932875433213717e-08,1.9898830000446953e-08,3.045519029021728e+17,3.0403172700637766e+17,169.40636360138
50.0,5.0,2.818988444243e-12,2.3400316160704e-08,5.619074335499e-10,8.4290161729305e-10,1.0,0.000181,1.5278874536821953e-05,199.32945617334462,199.01077321720598,0.0030455297523654824,0.0030406606354616166,1.9932945617334463e-08,1.99010773217206e-08,3.045529752365482e+17,3.0406606354616166e+17,211.50795592721
0.0,50.0,1.5929702215446e-10,8.8013102617317e-07,3.8156529558860005e-07,3.81565290567225e-07,1.0,0.000181,1.5278874536821954e-08,2395.3071465367434,2395.206469611424,3.65975973690879e-05,3.659605913897719e-05,2.3953071465367435e-07,2.395206469611424e-07,3659759736908789.5,3659605913897718.5,0.99948975396996
5.0,50.0,1.5505562559048e-10,9.3470852362508e-07,3.7519471907700004e-07,4.0342095801675e-07,1.0,0.000181,1.5278874536821954e-08,2419.7427061945696,2384.534874328113,3.6970945219336856e-05,3.643300917353574e-05,2.4197427061945697e-07,2.384534874328113e-07,3697094521933685.0,3643300917353573.5,2109.3948313663
10.0,50.0,1.5096676311083e-10,9.9012876046247e-07,3.6904369911615003e-07,4.25496184201075e-07,1.0,0.000181,1.5278874536821954e-08,2444.536078747493,2374.244382540443,3.734976004791765e-05,3.627578204058974e-05,2.444536078747493e-07,2.3742443825404431e-07,3734976004791765.0,3627578204058973.5,4217.7904334597
