bias,size,xi_center,xv_center,Fi,Fv,Di,Dv,rho,Zi,Zv,ki,kv,Zi_scaled,Zv_scaled,ki_scaled,kv_scaled,super_saturation_center
0.0,5.0,1.2223342566695e-12,6.7902278452225e-09,1.306472212592725e-10,1.306472186008725e-10,1.0,0.000181,1.5278874536821953e-05,106.88338361329053,106.30097458095372,0.0016330578082984775,0.0016241592537642915,1.0688338361329053e-08,1.0630097458095372e-08,1.6330578082984774e+17,1.6241592537642912e+17,0.9999975086993
5.0,5.0,1.2223308050301e-12,7.1278893552619e-09,1.3064678231591e-10,1.3717958260991e-10,1.0,0.000181,1.5278874536821953e-05,106.88332632890881,106.32856497752745,0.0016330569330575962,0.0016245808039719626,1.0688332632890881e-08,1.0632856497752746e-08,1.633056933057596e+17,1.6245808039719626e+17,10.126499667362
10.0,5.0,1.2223273534099e-12,7.4655508654074e-09,1.306463433750675e-10,1.4371194662147e-10,1.0,0.000181,1.5278874536821953e-05,106.88326904458633,106.35365958676768,0.0016330560578176202,0.0016249642213580946,1.0688326904458634e-08,1.0635365958676768e-08,1.6330560578176202e+17,1.6249642213580944e+17,19.253001826014
20.0,5.0,1.2223204502259e-12,8.1408738860098e-09,1.306454655007525e-10,1.5677667465195251e-10,1.0,0.000181,1.5278874536821953e-05,106.88315447606853,106.39760366558816,0.0016330543073396107,0.001625635637425029,1.0688315447606852e-08,1.0639760366558816e-08,1.6330543073396106e+17,1.6256356374250288e+17,37.506006143336
30.0,5.0,1.2223135471176e-12,8.8161969070312e-09,1.30644587636365e-10,1.6984140269236e-10,1.0,0.000181,1.5278874536821953e-05,106.88303990775908,106.43481548939164,0.0016330525568647848,0.0016262041922122086,1.068830399077591e-08,1.0643481548939164e-08,1.6330525568647846e+17,1.6262041922122083e+17,55.759010460656
40.0,5.0,1.2223066440852e-12,9.4915199284714e-09,1.306437097819e-10,1.8290613074269003e-10,1.0,0.000181,1.5278874536821953e-05,106.88292533963646,106.46673206093985,0.0016330508063928132,0.0016266918415045392,1.0688292533963646e-08,1.0646673206093985e-08,1.633050806392813e+17,1.6266918415045392e+17,74.012014777977
50.0,5.0,1.2222997411286e-12,1.0166842950331e-08,1.3064283193736e-10,1.9597085880294752e-10,1.0,0.000181,1.5278874536821953e-05,106.8828107717114,106.49440857674094,0.0016330490559238605,0.0016271147075170805,1.0688281077171142e-08,1.0649440857674094e-08,1.6330490559238605e+17,1.6271147075170803e+17,92.265019095299
0.0,50.0,8.9621513576247e-11,4.95182966082e-07,8.6388623274675e-08,8.6388474697425e-08,1.0,0.000181,1.5278874536821954e-08,963.9272963313484,963.854621999401,1.472772422326467e-05,1.4726613841264798e-05,9.639272963313485e-08,9.638546219994011e-08,1472772422326466.8,1472661384126479.8,0.98600636028515
5.0,50.0,8.823750004683e-11,5.2222152135382e-07,8.470266867805e-08,9.123306413052e-08,1.0,0.000181,1.5278874536821954e-08,959.939579352271,965.2035725422791,1.4666796395852991e-05,1.474722428736581e-05,9.599395793522711e-08,9.65203572542279e-08,1466679639585299.0,1474722428736580.8,938.41948905635
10.0,50.0,8.6886237362866e-11,5.4944100513379e-07,8.305851734621e-08,9.61194527234925e-08,1.0,0.000181,1.5278874536821954e-08,955.9456119538222,966.5217833541235,1.4605773069067935e-05,1.4767365064973063e-05,9.559456119538223e-08,9.665217833541235e-08,1460577306906793.2,1476736506497306.2,1875.8525558236
20.0,50.0,8.4278687432658e-11,6.0440468645972e-07,7.98914888749425e-08,1.0601350064507e-07,1.0,0.000181,1.5278874536821954e-08,947.9441518210516,969.069170767156,1.448351976358795e-05,1.4806286277653466e-05,9.479441518210517e-08,9.69069170767156e-08,1448351976358795.0,1480628627765346.5,3750.7183539721
30.0,50.0,8.179232017882e-11,6.6003785716007e-07,7.687923327038501e-08,1.1606231414477749e-07,1.0,0.000181,1.5278874536821954e-08,939.9321733667211,971.5022373148721,1.4361105749992513e-05,1.4843460796175758e-05,9.399321733667212e-08,9.715022373148722e-08,1436110574999251.2,1484346079617575.5,5625.5833906453
40.0,50.0,7.942083382975e-11,7.1630567823696e-07,7.401372683618001e-08,1.2625786422112e-07,1.0,0.000181,1.5278874536821954e-08,931.9182797153591,973.8262338043448,1.4238662474341919e-05,1.4878968846962427e-05,9.319182797153591e-08,9.738262338043449e-08,1423866247434191.8,1487896884696242.5,7500.4470555681
50.0,50.0,7.71582017671e-11,7.7317490693305e-07,7.12872772108e-08,1.365924721565175e-07,1.0,0.000181,1.5278874536821954e-08,923.9105575059767,976.0463454442502,1.4116313491379044e-05,1.4912889654166278e-05,9.239105575059767e-08,9.760463454442502e-08,1411631349137904.2,1491288965416627.8,9375.3107940544
0.0,250.0,1.5966257574991e-10,8.8215041186869e-07,2.856983895875437e-07,2.8569808472295e-07,1.0,0.000181,1.2223099629457562e-10,1789.3885792939475,1789.3121578770258,2.187187488052344e-07,2.1870940773930584e-07,1.7893885792939475e-07,1.789312157877026e-07,21871874880523.438,21870940773930.582,0.99280249693492
5.0,250.0,1.0114403317849e-10,1.4276556901208e-06,6.289859527446876e-08,8.789201524904375e-07,1.0,0.000181,1.2223099629457562e-10,621.8715360447502,3401.3190143119664,7.60119774179879e-08,4.1574661183503556e-07,6.218715360447502e-08,3.4013190143119666e-07,7601197741798.79,41574661183503.555,23482.40208054
10.0,250.0,6.9280313998608e-11,2.1204256195991e-06,1.6759761425875625e-08,1.6488037845840626e-06,1.0,0.000181,1.2223099629457562e-10,241.91231907829354,4296.030518731358,2.956918377687109e-08,5.251080904164364e-07,2.4191231907829355e-08,4.296030518731358e-07,2956918377687.109,52510809041643.64,46963.823077322
20.0,250.0,4.028534576233e-11,3.6978574884905e-06,2.6511212209596874e-09,3.2667400788874376e-06,1.0,0.000181,1.2223099629457562e-10,65.8085755698961,4880.741830866866,8.04384775663527e-09,5.965779366434681e-07,6.580857556989611e-09,4.880741830866866e-07,804384775663.527,59657793664346.805,93926.662633186
30.0,250.0,2.7868787929477e-11,5.3668828548722e-06,7.824158087231875e-10,4.896916483968125e-06,1.0,0.000181,1.2223099629457562e-10,28.074985202195364,5041.061624753505,3.4316334122198068e-09,6.16173984775973e-07,2.8074985202195367e-09,5.041061624753505e-07,343163341221.98065,61617398477597.3,140889.50407681
40.0,250.0,2.1189708008219e-11,7.0676067230976e-06,3.2126089896072497e-10,6.528500027826251e-06,1.0,0.000181,1.2223099629457562e-10,15.161176304841732,5103.43350166044,1.8531656847385173e-09,6.237977614310703e-07,1.5161176304841731e-09,5.10343350166044e-07,185316568473.8517,62379776143107.02,187852.33819209
50.0,250.0,1.7058694602568e-11,8.7824082699904e-06,1.6102264336035626e-10,8.16038439246875e-06,1.0,0.000181,1.2223099629457562e-10,9.439329744265194,5133.557363477369,1.1537786789945564e-09,6.274798310731937e-07,9.439329744265194e-10,5.13355736347737e-07,115377867899.45563,62747983107319.37,234815.17131039
0.0,500.0,1.632579134654e-10,9.0200077431092e-07,2.91889181603825e-07,2.91850372219075e-07,1.0,0.000181,1.5278874536821952e-11,1787.9021935784228,1787.618194582271,2.7317133299793476e-08,2.731279411476269e-08,1.7879021935784228e-07,1.787618194582271e-07,2731713329979.347,2731279411476.2686,0.63113108467364
