bias,size,xi_center,xv_center,Fi,Fv,Di,Dv,rho,Zi,Zv,ki,kv,Zi_scaled,Zv_scaled,ki_scaled,kv_scaled,super_saturation_center
0.0,5.0,2.8195423092563e-15,5.2590920296231e-11,5.619881718492499e-13,5.6236809587655e-13,1.0,0.000181,1.5278874536821953e-05,199.31893556067385,59.078754223459406,0.003045369009244435,0.0009026568735719763,1.9931893556067387e-08,5.907875422345941e-09,3.0453690092444346e+17,9.026568735719762e+16,1.000360499382
5.0,5.0,2.819542290767e-15,5.3370495668434e-11,5.61988169154125e-13,5.904873391936749e-13,1.0,0.000181,1.5278874536821953e-05,199.31893591184527,61.12667587514703,0.0030453690146099396,0.0009339468115493527,1.993189359118453e-08,6.1126675875147036e-09,3.045369014609939e+17,9.339468115493526e+16,1.021430106797
10.0,5.0,2.8195422738785e-15,5.415019152598e-11,5.6198816661775e-13,6.186100175345751e-13,1.0,0.000181,1.5278874536821953e-05,199.31893620615642,63.11584146228162,0.0030453690191066824,0.0009643390229881459,1.9931893620615642e-08,6.311584146228163e-09,3.045369019106682e+17,9.643390229881458e+16,1.0425029703336
20.0,5.0,2.8195422370627e-15,5.5709342176248e-11,5.619881612437251e-13,6.7484850147045e-13,1.0,0.000181,1.5278874536821953e-05,199.3189369027451,66.92674179690624,0.0030453690297497734,0.0010225652910732083,1.993189369027451e-08,6.692674179690624e-09,3.0453690297497734e+17,1.0225652910732082e+17,1.0846421825949
30.0,5.0,2.8195422001878e-15,5.7268493251325e-11,5.619881558635251e-13,7.31086997512475e-13,1.0,0.000181,1.5278874536821953e-05,199.31893760132158,70.53013713253075,0.003045369040423236,0.0010776211163127847,1.993189376013216e-08,7.053013713253076e-09,3.045369040423236e+17,1.0776211163127846e+17,1.1267814063464
40.0,5.0,2.819542163372e-15,5.882764406192e-11,5.619881504895e-13,7.873254860172e-13,1.0,0.000181,1.5278874536821953e-05,199.31893829791025,73.94252537212637,0.003045369051066327,0.0011297585680964928,1.9931893829791024e-08,7.3942525372126374e-09,3.0453690510663264e+17,1.1297585680964928e+17,1.1689206229409
50.0,5.0,2.8195421265563e-15,6.0386794847094e-11,5.619881451155e-13,8.4356397379625e-13,1.0,0.000181,1.5278874536821953e-05,199.3189389945007,77.17870194409798,0.0030453690617094453,0.0011792037039186495,1.993189389945007e-08,7.717870194409798e-09,3.045369061709445e+17,1.1792037039186494e+17,1.2110598388484
0.0,50.0,2.820190690645e-13,1.5950949879284e-09,5.639715359849e-10,5.6396540721175e-10,1.0,0.000181,1.5278874536821954e-08,1999.7638381534948,1953.3827155441504,3.055414078642077e-05,2.9845489433195642e-05,1.999763838153495e-07,1.9533827155441504e-07,3055414078642076.5,2984548943319564.0,0.99942119613901
5.0,50.0,2.8200062155424e-13,1.673002651762e-09,5.639447010590751e-10,5.921645194450751e-10,1.0,0.000181,1.5278874536821954e-08,1999.799496720634,1955.5421360563253,3.0554685609194254e-05,2.98784829482734e-05,1.9997994967206338e-07,1.9555421360563254e-07,3055468560919425.0,2987848294827340.0,3.1077883253221
10.0,50.0,2.8198217627705e-13,1.7509103245098e-09,5.639178693394499e-10,6.20363633870575e-10,1.0,0.000181,1.5278874536821954e-08,1999.8351554865496,1957.5093844453222,3.055523043500481e-05,2.990854028959165e-05,1.9998351554865496e-07,1.9575093844453224e-07,3055523043500481.0,2990854028959164.5,5.216155361985
