time,T_cold,T_hot,average_ci,average_cv,jx,k_x_direct,left_jix,left_jvx,left_jx,left_jy,right_jix,right_jvx,right_jy,tot_ci,tot_cv
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5,15,9.9001200299435e-07,9.9002178278156e-07,0.038660305792596,0,-5.8574112695556e-13,-7.0428761726405e-16,0.038660304094334,-1.3809058063696e-12,5.8730702271766e-14,-6.3413877970921e-16,1.63226290123e-12,0.064881426628238,0.064882067556372
2.2,5,15,2.1852759444812e-06,2.1853068211484e-06,0.03857366267113,0.98970382829045,-5.8297001977934e-13,-7.0102144914196e-16,0.03857366276552,-2.3584953434685e-13,5.8605225217487e-14,-6.3132903349245e-16,-3.3094143744861e-13,0.14321424429752,0.14321626783078
3.64,5,15,3.6217504157509e-06,3.6218239346605e-06,0.038574090771423,0.98748576438093,-5.8138162253892e-13,-6.9922880523055e-16,0.038574090771312,2.5587171270658e-16,5.8746990543753e-14,-6.2994354510251e-16,-6.6439909129912e-16,0.23735503524665,0.23735985338191
5.368,5,15,5.3445358371476e-06,5.3446871015327e-06,0.038583262863721,0.98749672374842,-5.7990968710924e-13,-6.9767680633528e-16,0.038583262863746,1.2307863062055e-15,5.915153651801e-14,-6.2901153271662e-16,-2.4494295480793e-15,0.35025950062331,0.35026941388605
7.4416,5,15,7.4077039132919e-06,7.4079873689913e-06,0.038585888619015,0.98773152931126,-5.780711048638e-13,-6.9581217525749e-16,0.038585888619096,-3.3393426912554e-16,5.9882382259465e-14,-6.2805653780067e-16,-1.0408340855861e-17,0.48547128366149,0.48548986021421
9.92992,5,15,9.8745412621709e-06,9.8750394742794e-06,0.038585823554201,0.98779874864677,-5.7541216508863e-13,-6.9315158694445e-16,0.038585823554201,-2.8189256484623e-16,6.1154754723137e-14,-6.2668705095777e-16,-1.5959455978987e-16,0.64713793615763,0.64717058698637
12.915904,5,15,1.2817565598103e-05,1.2818402046326e-05,0.038585635297599,0.98779708298754,-5.7187423602582e-13,-6.8963381753544e-16,0.038585635297597,-3.4087316302944e-16,6.2955624519014e-14,-6.2484926022822e-16,-1.647987302178e-16,0.84001197903725,0.840066796508
16.4990848,5,15,1.6317593197288e-05,1.6318950614253e-05,0.038585605551619,0.98779226361853,-5.6674473268708e-13,-6.8453324859816e-16,0.038585605551619,-3.2699537522163e-16,6.6146974765988e-14,-6.2162812847901e-16,-1.7867651802561e-16,1.0693897877775,1.0694787474557
20.79890176,5,15,2.0460884207883e-05,2.046303053099e-05,0.038585610076634,0.98779150212146,-5.5669064639759e-13,-6.7450096709154e-16,0.038585610076634,-3.3393426912554e-16,7.014335158714e-14,-6.1764515112765e-16,-1.4571677198205e-16,1.3409245074478,1.341065168879
25.958682112,5,15,2.5332965355702e-05,2.5336289935955e-05,0.038585611843851,0.98779161796182,-5.5148247571429e-13,-6.6936479762005e-16,0.038585611843851,-2.8883145875014e-16,8.1951813713088e-14,-6.053307462796e-16,-1.6826817716975e-16,1.6602212175513,1.6604390972427
32.1504185344,5,15,3.1007214467786e-05,3.1012277650937e-05,0.038585611878312,0.98779166320257,-5.4057454789933e-13,-6.5860280648304e-16,0.038585611878312,-2.0903417885521e-16,9.3220058195071e-14,-5.9382831822125e-16,-1.4918621893401e-16,2.0320888073608,2.0324206281318
39.58050224128,5,15,3.7526004057125e-05,3.7533603333376e-05,0.038585611831143,0.98779166408479,-5.0173767203132e-13,-6.1985000698792e-16,0.038585611831144,-2.7148422399037e-16,1.0775176617993e-13,-5.7897410003793e-16,-1.2533377113932e-16,2.4593042018878,2.4598022280561
48.496602689536,5,15,4.4872857618424e-05,4.4884112715557e-05,0.03858561182679,0.98779166287727,-4.8018187298957e-13,-5.9892263050086e-16,0.03858561182679,-2.5066754227865e-16,1.2638903444771e-13,-5.5999343917711e-16,-1.4831885719602e-16,2.940787596881,2.9415252109268
59.195923227443,5,15,5.2936915233733e-05,5.2953372107051e-05,0.038585611827459,0.98779166276581,-4.1767107529307e-13,-5.3546388930824e-16,0.03858561182746,-2.7495367094232e-16,1.5762700629286e-13,-5.2463359041349e-16,-1.4615045285105e-16,3.4692736767579,3.4703521944077
72.035107872932,5,15,6.1477384668456e-05,6.1501133748442e-05,0.038585611827567,0.98779166278295,-3.3227009552335e-13,-4.48292334728e-16,0.038585611827567,-2.4025920142279e-16,1.9177421794325e-13,-4.847786597517e-16,-1.2836953722228e-16,4.028981881632,4.0305383013379
87.442129447518,5,15,7.0105212076225e-05,7.0139009732625e-05,0.038585611827563,0.98779166278573,-3.4366826413257e-13,-4.6980750642008e-16,0.038585611827562,-1.7780915628762e-16,2.0304563191334e-13,-4.9286059049507e-16,-1.2099696244938e-16,4.5944151786275,4.5966301418373
105.93055533702,5,15,7.8306668473789e-05,7.8354044892537e-05,0.038585611827561,0.9877916627856,-1.2841790694609e-13,-2.4417511197676e-16,0.038585611827561,-1.8821749714348e-16,2.2917064287726e-13,-4.5693987438211e-16,-1.1449174941447e-16,5.1319058250982,5.1350106860773
128.11666640443,5,15,8.5527653799557e-05,8.5592990116864e-05,0.038585611827561,0.98779166278557,-1.888424195893e-14,-1.303673303646e-16,0.038585611827561,-1.6046192152785e-16,2.5910285679882e-13,-4.2283662120059e-16,-1.0234868508263e-16,5.6051403194078,5.6094222002988
154.73999968531,5,15,9.1309192824345e-05,9.1397760695937e-05,0.038585611827561,0.98779166278557,3.3855938725047e-14,-7.52562945748e-17,0.038585611827561,-2.1944251971107e-16,2.8912779373628e-13,-3.9108688960148e-16,-6.505213034913e-17,5.9840392609363,5.9898436449689
186.68799962237,5,15,9.542381796157e-05,9.5541795726724e-05,0.038585611827561,0.98779166278557,1.6734214245212e-14,-9.1763530718008e-17,0.038585611827561,-1.569924745759e-16,3.1723788704443e-13,-3.5657283795412e-16,-3.8597597340484e-17,6.2536953339295,6.2614271247466
225.02559954685,5,15,9.7942599150097e-05,9.8097102203156e-05,0.038585611827561,0.98779166278557,1.7753767494884e-14,-9.4684665562432e-17,0.038585611827561,-1.4311468676809e-16,3.3013494984434e-13,-3.4055909877021e-16,-4.4669129506403e-17,6.4187661779008,6.428891689986
271.03071945622,5,15,9.9191129043641e-05,9.9390303991452e-05,0.038585611827558,0.98779166278557,-2.2670001742817e-12,-1.1904596684508e-16,0.038585611827537,-4.5883435939587e-16,6.4882357836814e-13,8.6014490645545e-16,-6.5485811218124e-17,6.500589833004,6.5136429623838
326.23686334746,5,15,9.9615672665377e-05,9.9868894857515e-05,0.038585611827561,0.98779166278548,-2.3480597310238e-12,3.5290792983808e-16,0.03858561182756,-2.8189256484623e-16,2.068560895289e-13,6.8391254983003e-16,-4.8572257327351e-17,6.5284127237982,6.5450078933821
392.48423601695,5,15,9.9630149744622e-05,9.9948338578018e-05,0.038585611827561,0.98779166278556,-1.954663315373e-12,9.6683069746379e-16,0.038585611827561,-1.0148132334464e-16,-1.1710952138083e-13,4.7622487953109e-16,-6.505213034913e-18,6.5293614936636,6.550214317049
471.98108322034,5,15,9.9515782567484e-05,9.9911818492292e-05,0.038585611827561,0.98779166278557,-1.7729305162324e-12,1.2056364698842e-15,0.038585611827561,-6.3317406873153e-17,-3.0028843115926e-13,3.2492143105788e-16,6.0715321659188e-18,6.5218663263427,6.5478209367108
567.37729986441,5,15,9.9403790333329e-05,9.989300636648e-05,0.038585611827562,0.98779166278556,-1.8572165106009e-12,1.0251697739693e-15,0.038585611827561,-9.1072982488782e-17,-3.2470416599517e-13,2.435736972628e-16,-1.7347234759768e-18,6.5145268032851,6.5465880652337
681.8527598373,5,15,9.9320799546766e-05,9.9921530643202e-05,0.038585611827561,0.98779166278557,-1.5376201877337e-12,1.2916294761723e-15,0.038585611827561,-1.3270634591223e-16,-2.8769708361334e-13,2.0656361122273e-16,3.512815038853e-17,6.5090879190969,6.5484574322329
819.22331180476,5,15,9.925027043603e-05,9.9984468689138e-05,0.03858561182756,0.98779166278557,-1.3459106031292e-12,1.2076061456487e-15,0.03858561182756,-7.3725747729014e-17,-2.8590879735382e-13,1.6499588125232e-16,1.0408340855861e-17,6.5044657232957,6.5525821400114
984.06797416571,5,15,9.9173086100963e-05,0.00010006703004346,0.038585611827562,0.98779166278554,-1.5342286669527e-12,9.4696049900972e-16,0.038585611827561,-2.8622937353617e-17,-4.1959775421928e-13,2.8146375095576e-16,6.2450045135165e-17,6.4994073707127,6.5579928809282
1181.8815689988,5,15,9.9079622103089e-05,0.00010016475517282,0.038585611827561,0.98779166278558,-1.3340399209028e-12,1.1114859716276e-15,0.038585611827561,5.1174342541316e-17,-4.3006327664152e-13,3.9156664738859e-16,1.1752751549743e-16,6.493282114148,6.5643973950059
1419.2578827986,5,15,9.8966285992636e-05,0.00010028021600236,0.038585611827561,0.98779166278557,-1.2219905643499e-12,1.2353231905429e-15,0.038585611827561,6.1582683397177e-17,-4.3554157353993e-13,4.3789999978059e-16,7.329206686002e-17,6.4858545188134,6.5719642359307
1704.1094593583,5,15,9.8830366841062e-05,0.00010041805575297,0.038585611827562,0.98779166278557,-1.2297091877365e-12,1.2589266536711e-15,0.038585611827562,-4.2500725161432e-17,-4.3977819710516e-13,4.5150761980582e-16,2.2117724318704e-17,6.4769469212958,6.5809977018264
2045.93135123,5,15,9.8668039236045e-05,0.00010058321483456,0.038585611827562,0.98779166278558,-1.3288596733786e-12,1.3481212317291e-15,0.038585611827562,-5.6378512969246e-17,-4.3021558879584e-13,4.4511863037183e-16,1.1015494072453e-16,6.4663086193734,6.5918215673976
2456.117621476,5,15,9.8474320900467e-05,0.00010078114777033,0.038585611827562,0.98779166278558,-1.2794781123999e-12,1.3369819220928e-15,0.038585611827562,-1.4745149545803e-17,-4.0981007588863e-13,4.2534157948245e-16,7.5026790335997e-17,6.453613094533,6.6047933002761
2948.3411457712,5,15,9.8243258570368e-05,0.00010101831182477,0.038585611827562,0.98779166278558,-1.4801995720552e-12,1.5462381114731e-15,0.038585611827561,-4.9439619065339e-17,-4.0388548869909e-13,4.1124540694687e-16,7.2858385991026e-17,6.4384701936676,6.6203360837481
3539.0093749255,5,15,9.7967878166846e-05,0.0001013024685772,0.038585611827552,0.98779166278558,2.2485882083605e-12,-1.9114239515214e-15,0.038585611827581,-8.1618739544709e-16,-2.5890441419588e-12,2.1587743215476e-15,8.456776945387e-17,6.4204228635424,6.6389585806754
4247.8112499105,5,15,9.7640024222046e-05,0.0001016429276616,0.038585611827561,0.98779166278534,4.6394246627207e-12,-4.6374589569599e-15,0.038585611827562,2.6020852139652e-18,-3.2842998775042e-12,3.3164986089271e-15,6.0715321659188e-17,6.398936627416,6.6612709072305
