x,y,z,id,cv,ci,jvx,jix,D,jx,jy,mat_therm_cond
0,128,0,0,0.0059356415603193,9.9999951283805e-05,5.9571932890107e-16,2.4266115477417e-13,15,0.038585611827563,8.8817841970013e-16,1
0.05,128,0,0.05,0.0059356415602431,9.9999951271691e-05,5.9571932890107e-16,2.4266115477417e-13,14.998070719409,0.038585611827563,8.8817841970013e-16,1
0.1,128,0,0.1,0.0059356415601669,9.9999951259576e-05,5.9571932890107e-16,2.4266115477417e-13,14.996141438817,0.038585611827563,8.8817841970013e-16,1
0.15,128,0,0.15,0.0059356415600907,9.9999951247462e-05,5.9571932890107e-16,2.4266115477417e-13,14.994212158226,0.038585611827563,8.8817841970013e-16,1
0.2,128,0,0.2,0.0059356415600145,9.9999951235348e-05,5.9571932890107e-16,2.4266115477417e-13,14.992282877634,0.038585611827563,8.8817841970013e-16,1
0.25,128,0,0.25,0.0059356415599383,9.9999951223234e-05,5.9571932890107e-16,2.4266115477417e-13,14.990353597043,0.038585611827563,8.8817841970013e-16,1
0.3,128,0,0.3,0.0059356415598621,9.999995121112e-05,5.9571932890107e-16,2.4266115477417e-13,14.988424316452,0.038585611827563,8.8817841970013e-16,1
0.35,128,0,0.35,0.0059356415597859,9.9999951199006e-05,5.9571932890107e-16,2.4266115477417e-13,14.98649503586,0.038585611827563,8.8817841970013e-16,1
0.4,128,0,0.4,0.0059356415597097,9.9999951186892e-05,5.9571932890107e-16,2.4266115477417e-13,14.984565755269,0.038585611827563,8.8817841970013e-16,1
0.45,128,0,0.45,0.0059356415596335,9.9999951174778e-05,5.9571932890107e-16,2.4266115477417e-13,14.982636474678,0.038585611827563,8.8817841970013e-16,1
0.5,128,0,0.5,0.0059356415595573,9.9999951162664e-05,5.9571932890107e-16,2.4266115477417e-13,14.980707194086,0.038585611827563,8.8817841970013e-16,1
0.55,128,0,0.55,0.0059356415594811,9.999995115055e-05,5.9571932890107e-16,2.4266115477417e-13,14.978777913495,0.038585611827563,8.8817841970013e-16,1
0.6,128,0,0.6,0.0059356415594049,9.9999951138435e-05,5.9571932890107e-16,2.4266115477417e-13,14.976848632903,0.038585611827563,8.8817841970013e-16,1
0.65,128,0,0.65,0.0059356415593287,9.9999951126321e-05,5.9571932890107e-16,2.4266115477417e-13,14.974919352312,0.038585611827563,8.8817841970013e-16,1
0.7,128,0,0.7,0.0059356415592525,9.9999951114207e-05,5.9571932890107e-16,2.4266115477417e-13,14.972990071721,0.038585611827563,8.8817841970013e-16,1
0.75,128,0,0.75,0.0059356415591763,9.9999951102093e-05,5.9571932890107e-16,2.4266115477417e-13,14.971060791129,0.038585611827563,8.8817841970013e-16,1
0.8,128,0,0.8,0.0059356415591001,9.9999951089979e-05,5.9571932890107e-16,2.4266115477417e-13,14.969131510538,0.038585611827563,8.8817841970013e-16,1
0.85,128,0,0.85,0.0059356415590239,9.9999951077865e-05,5.9571932890107e-16,2.4266115477417e-13,14.967202229947,0.038585611827563,8.8817841970013e-16,1
0.9,128,0,0.9,0.0059356415589477,9.9999951065751e-05,5.9571932890107e-16,2.4266115477417e-13,14.965272949355,0.038585611827563,8.8817841970013e-16,1
0.95,128,0,0.95,0.0059356415588715,9.9999951053637e-05,5.9571932890107e-16,2.4266115477417e-13,14.963343668764,0.038585611827563,8.8817841970013e-16,1
1,128,0,1,0.0059356415587953,9.9999951041523e-05,5.9571932890107e-16,2.4266115477417e-13,14.961414388172,0.038585611827563,8.8817841970013e-16,1
1.05,128,0,1.05,0.0059356415589374,9.9999951005016e-05,-1.5406565996925e-15,7.3012167702512e-13,14.959485107581,0.038585611827566,1.1102230246252e-15,1
1.1,128,0,1.1,0.0059356415590794,9.9999950968509e-05,-1.5406565996925e-15,7.3012167702512e-13,14.95755582699,0.038585611827566,1.1102230246252e-15,1
1.15,128,0,1.15,0.0059356415592215,9.9999950932003e-05,-1.5406565996925e-15,7.3012167702512e-13,14.955626546398,0.038585611827566,1.1102230246252e-15,1
1.2,128,0,1.2,0.0059356415593636,9.9999950895496e-05,-1.5406565996925e-15,7.3012167702512e-13,14.953697265807,0.038585611827566,1.1102230246252e-15,1
1.25,128,0,1.25,0.0059356415595056,9.9999950858989e-05,-1.5406565996925e-15,7.3012167702512e-13,14.951767985216,0.038585611827566,1.1102230246252e-15,1
1.3,128,0,1.3,0.0059356415596477,9.9999950822483e-05,-1.5406565996925e-15,7.3012167702512e-13,14.949838704624,0.038585611827566,1.1102230246252e-15,1
1.35,128,0,1.35,0.0059356415597898,9.9999950785976e-05,-1.5406565996925e-15,7.3012167702512e-13,14.947909424033,0.038585611827566,1.1102230246252e-15,1
1.4,128,0,1.4,0.0059356415599318,9.9999950749469e-05,-1.5406565996925e-15,7.3012167702512e-13,14.945980143441,0.038585611827566,1.1102230246252e-15,1
1.45,128,0,1.45,0.0059356415600739,9.9999950712963e-05,-1.5406565996925e-15,7.3012167702512e-13,14.94405086285,0.038585611827566,1.1102230246252e-15,1
1.5,128,0,1.5,0.005935641560216,9.9999950676456e-05,-1.5406565996925e-15,7.3012167702512e-13,14.942121582259,0.038585611827566,1.1102230246252e-15,1
1.55,128,0,1.55,0.005935641560358,9.9999950639949e-05,-1.5406565996925e-15,7.3012167702512e-13,14.940192301667,0.038585611827566,1.1102230246252e-15,1
1.6,128,0,1.6,0.0059356415605001,9.9999950603443e-05,-1.5406565996925e-15,7.3012167702512e-13,14.938263021076,0.038585611827566,1.1102230246252e-15,1
1.65,128,0,1.65,0.0059356415606422,9.9999950566936e-05,-1.5406565996925e-15,7.3012167702512e-13,14.936333740485,0.038585611827566,1.1102230246252e-15,1
1.7,128,0,1.7,0.0059356415607842,9.9999950530429e-05,-1.5406565996925e-15,7.3012167702512e-13,14.934404459893,0.038585611827566,1.1102230246252e-15,1
1.75,128,0,1.75,0.0059356415609263,9.9999950493923e-05,-1.5406565996925e-15,7.3012167702512e-13,14.932475179302,0.038585611827566,1.1102230246252e-15,1
1.8,128,0,1.8,0.0059356415610684,9.9999950457416e-05,-1.5406565996925e-15,7.3012167702512e-13,14.93054589871,0.038585611827566,1.1102230246252e-15,1
1.85,128,0,1.85,0.0059356415612104,9.999995042091e-05,-1.5406565996925e-15,7.3012167702512e-13,14.928616618119,0.038585611827566,1.1102230246252e-15,1
1.9,128,0,1.9,0.0059356415613525,9.9999950384403e-05,-1.5406565996925e-15,7.3012167702512e-13,14.926687337528,0.038585611827566,1.1102230246252e-15,1
1.95,128,0,1.95,0.0059356415614946,9.9999950347896e-05,-1.5406565996925e-15,7.3012167702512e-13,14.924758056936,0.038585611827566,1.1102230246252e-15,1
2,128,0,2,0.0059356415616366,9.999995031139e-05,-1.5406565996925e-15,7.3012167702512e-13,14.922828776345,0.038585611827566,1.1102230246252e-15,1
2.05,128,0,2.05,0.0059356415615808,9.9999950250128e-05,-6.1374299739625e-17,1.2250279051796e-12,14.920899495753,0.038585611827562,2.2204460492503e-16,1
2.1,128,0,2.1,0.0059356415615249,9.9999950188866e-05,-6.1374299739625e-17,1.2250279051796e-12,14.918970215162,0.038585611827562,2.2204460492503e-16,1
2.15,128,0,2.15,0.005935641561469,9.9999950127605e-05,-6.1374299739625e-17,1.2250279051796e-12,14.917040934571,0.038585611827562,2.2204460492503e-16,1
2.2,128,0,2.2,0.0059356415614132,9.9999950066343e-05,-6.1374299739625e-17,1.2250279051796e-12,14.915111653979,0.038585611827562,2.2204460492503e-16,1
2.25,128,0,2.25,0.0059356415613573,9.9999950005082e-05,-6.1374299739625e-17,1.2250279051796e-12,14.913182373388,0.038585611827562,2.2204460492503e-16,1
2.3,128,0,2.3,0.0059356415613015,9.999994994382e-05,-6.1374299739625e-17,1.2250279051796e-12,14.911253092797,0.038585611827562,2.2204460492503e-16,1
2.35,128,0,2.35,0.0059356415612456,9.9999949882559e-05,-6.1374299739625e-17,1.2250279051796e-12,14.909323812205,0.038585611827562,2.2204460492503e-16,1
2.4,128,0,2.4,0.0059356415611897,9.9999949821297e-05,-6.1374299739625e-17,1.2250279051796e-12,14.907394531614,0.038585611827562,2.2204460492503e-16,1
2.45,128,0,2.45,0.0059356415611339,9.9999949760036e-05,-6.1374299739625e-17,1.2250279051796e-12,14.905465251022,0.038585611827562,2.2204460492503e-16,1
2.5,128,0,2.5,0.005935641561078,9.9999949698774e-05,-6.1374299739625e-17,1.2250279051796e-12,14.903535970431,0.038585611827562,2.2204460492503e-16,1
