x,y,z,id,cv,ci,jvx,jix
0,128,0,0,5.3719160463484e-63,5.0641021136244e-63,-2.4905771389263e-08,-2.9907082955346e-06
1,128,0,1,2.4905767865087e-05,2.990708298157e-06,-2.4905771389263e-08,-2.9907082955346e-06
2,128,0,2,1.8577315778331e-05,5.1650982900509e-06,6.3284564322527e-09,-2.1743899813925e-06
3,128,0,3,2.0183988736119e-05,6.6944212406409e-06,-1.6066702527702e-09,-1.5293229709882e-06
4,128,0,4,1.9776439435011e-05,7.7322192138711e-06,4.0754177486402e-10,-1.0377979571043e-06
5,128,0,5,1.9879719431715e-05,8.4108627599902e-06,-1.0327755368337e-10,-6.7864354909876e-07
6,128,0,6,1.9853584820584e-05,8.8386929967188e-06,2.6139602659552e-11,-4.2783020737345e-07
7,128,0,7,1.9860188641108e-05,9.0991732497522e-06,-6.6040487463486e-12,-2.6048028782818e-07
8,128,0,8,1.9858513127347e-05,9.2527342367352e-06,1.667311422874e-12,-1.5356098358595e-07
9,128,0,9,1.9858938395524e-05,9.3406505120359e-06,-4.2320657713282e-13,-8.7916275769346e-08
10,128,0,10,1.9858838242554e-05,9.3896772365454e-06,1.0631527017677e-13,-4.9026726653699e-08
11,128,0,11,1.9858866599426e-05,9.4163824774981e-06,-3.2904105674487e-14,-2.6705264505205e-08
12,128,0,12,1.985884680244e-05,9.4306282393876e-06,2.1567988055029e-14,-1.424578183963e-08
13,128,0,13,1.9858854022093e-05,9.4380876233883e-06,-5.1027007885583e-15,-7.459384746859e-09
14,128,0,14,1.9858860273646e-05,9.4419294925604e-06,-9.1228745279042e-15,-3.8418804514223e-09
15,128,0,15,1.9858861474873e-05,9.4438792613375e-06,5.2226678483057e-15,-1.9497852595057e-09
16,128,0,16,1.985886146906e-05,9.4448559063078e-06,-2.2425658911514e-16,-9.7664428630672e-10
17,128,0,17,1.9858854370211e-05,9.4453393945578e-06,2.9645392471727e-15,-4.8348874021305e-10
18,128,0,18,1.9858862015093e-05,9.4455762271733e-06,-1.0434075149131e-14,-2.3681998532787e-10
19,128,0,19,1.9858859334401e-05,9.4456911448069e-06,4.8992880738771e-15,-1.1493553700944e-10
20,128,0,20,1.9858860142533e-05,9.4457464645697e-06,3.6463769452167e-15,-5.5300914243383e-11
21,128,0,21,1.9858848970362e-05,9.445772881966e-06,1.3307659129795e-15,-2.6414830182387e-11
22,128,0,22,1.9858850931937e-05,9.4457853843502e-06,3.5271395077915e-15,-1.2478437615073e-11
23,128,0,23,1.9858849144426e-05,9.4457912542066e-06,-7.2216948222274e-15,-5.8829183494709e-12
24,128,0,24,1.9858855395706e-05,9.4457940198644e-06,-4.2522549388834e-17,-2.7433263970499e-12
25,128,0,25,1.9858854585151e-05,9.4457953010113e-06,5.6302095672683e-15,-1.2792299121455e-12
26,128,0,26,1.9858864089648e-05,9.4457958619239e-06,-7.4933605399674e-15,-5.4187623414712e-13
27,128,0,27,1.9858849066134e-05,9.4457960836327e-06,1.4765957363315e-15,-2.4016578851178e-13
28,128,0,28,1.9858853535258e-05,9.4457961876306e-06,1.8264846473242e-15,-8.8712341475333e-14
29,128,0,29,1.9858860304037e-05,9.4457962204119e-06,-8.5517881440365e-16,-3.5832963751084e-14
30,128,0,30,1.9858855167668e-05,9.4457961994199e-06,-1.6839004649143e-15,3.4542804246924e-14
31,128,0,31,1.9858861526625e-05,9.4457961559156e-06,-3.8318732342442e-15,2.0176896550837e-14
32,128,0,32,1.9858864232124e-05,9.445796152572e-06,-1.6029424424087e-15,1.5807551631325e-14
33,128,0,33,1.9858856964765e-05,9.4457961572103e-06,9.0665188623782e-15,-6.7648066103898e-15
34,128,0,34,1.9858852619202e-05,9.4457961497452e-06,2.3655034526697e-16,2.4651843608982e-14
35,128,0,35,1.9858865526856e-05,9.4457961462127e-06,-9.4445671583916e-15,-1.5465475893269e-14
36,128,0,36,1.9858859881513e-05,9.4457961989733e-06,8.3811561596441e-15,-3.8164286836646e-14
37,128,0,37,1.9858855453957e-05,9.4457962668732e-06,-3.0780428462568e-15,-6.8993143200952e-14
38,128,0,38,1.9858859156759e-05,9.4457963243955e-06,1.0533008791341e-15,-3.6964645931911e-14
39,128,0,39,1.9858854433115e-05,9.4457963799192e-06,-2.61338312661e-15,-6.7466014159578e-14
40,128,0,40,1.9858851889558e-05,9.4457964757355e-06,2.0393193440057e-15,-7.2588643690292e-14
41,128,0,41,1.9858850117391e-05,9.4457965716601e-06,3.9569145740347e-15,-9.0145873376035e-14
42,128,0,42,1.985884702684e-05,9.4457966509172e-06,6.5968238757e-15,-5.5029910309308e-14
43,128,0,43,1.9858854284579e-05,9.4457967217938e-06,-8.1986574956531e-15,-8.3001334272095e-14
44,128,0,44,1.9858863559299e-05,9.4457968194054e-06,-9.0071582881794e-15,-7.9440265460303e-14
45,128,0,45,1.9858860731614e-05,9.4457968936312e-06,8.0471965040942e-15,-7.856282784189e-14
46,128,0,46,1.985886322093e-05,9.4457969234197e-06,-7.9256835520432e-16,-2.0197673210242e-14
47,128,0,47,1.9858856156471e-05,9.4457969277944e-06,-3.5803390938277e-15,-3.2858413162739e-14
48,128,0,48,1.9858850570818e-05,9.4457969616907e-06,4.2964307835064e-15,-2.9201537724832e-14
49,128,0,49,1.9858864523825e-05,9.4457969889973e-06,-2.3540270096201e-15,-4.0242908865582e-14
