x,y,z,id,cv,ci,jvx,jix
0,128,0,0,5.9161224863993e-05,4.4705293508167e-05,-2.6642407565019e-14,-2.1124582423213e-13
1,128,0,1,5.9161251330533e-05,4.4705293718274e-05,-2.6642407565019e-14,-2.1124582423213e-13
2,128,0,2,5.916124998393e-05,4.4705293690133e-05,3.5219135711579e-15,-6.9744309170994e-14
3,128,0,3,5.9161251819363e-05,4.4705293660355e-05,-2.0282337329693e-16,1.2597692664431e-13
4,128,0,4,5.9161244934201e-05,4.4705293699813e-05,2.9582731621267e-15,-5.28553709047e-14
5,128,0,5,5.9161247770191e-05,4.4705294021769e-05,-1.8893550647467e-15,-2.9315406608569e-13
6,128,0,6,5.9161255981185e-05,4.4705294211019e-05,-4.3282250316963e-15,-2.1934357863953e-13
7,128,0,7,5.9161249975179e-05,4.470529429192e-05,5.6490981343297e-15,4.9520256601918e-15
8,128,0,8,5.9161245690686e-05,4.4705294353365e-05,-1.7310986526891e-15,-1.4137461343201e-13
9,128,0,9,5.9161249655483e-05,4.4705294354718e-05,-1.8411592136146e-15,3.5096490838061e-14
10,128,0,10,5.916125297998e-05,4.4705294530232e-05,-3.3527306568504e-16,-2.2708343960386e-13
11,128,0,11,5.9161254191959e-05,4.4705294739946e-05,-3.3965652530748e-15,-1.430999636414e-13
12,128,0,12,5.9161244190931e-05,4.4705294709812e-05,1.0946165517545e-14,-2.3311948447742e-14
13,128,0,13,5.9161247198349e-05,4.4705294612292e-05,-2.1491615334845e-15,1.1603965807986e-13
14,128,0,14,5.9161254068271e-05,4.4705294574965e-05,-7.6303035740046e-15,-1.3895002058402e-14
15,128,0,15,5.9161255209924e-05,4.4705294496077e-05,2.944352057901e-15,1.4758716726629e-13
16,128,0,16,5.9161254518559e-05,4.4705294314276e-05,7.3846820500912e-16,1.4464692447692e-13
17,128,0,17,5.9161249721848e-05,4.4705294090728e-05,1.1940571542795e-15,2.3521738942315e-13
18,128,0,18,5.9161255868098e-05,4.4705293941797e-05,-7.3878933722229e-15,1.329397576993e-13
19,128,0,19,5.9161253761208e-05,4.4705293759933e-05,3.4037861377994e-15,2.5203271290303e-13
20,128,0,20,5.9161251692453e-05,4.4705293639223e-05,3.3470224899604e-15,4.9651949896425e-14
21,128,0,21,5.9161245671736e-05,4.4705293604817e-05,2.1349453094275e-15,7.2225921735904e-14
22,128,0,22,5.9161245903537e-05,4.4705293763123e-05,1.9205496263155e-15,-2.1795751171234e-13
23,128,0,23,5.9161246948229e-05,4.4705294006876e-05,-5.7018742703844e-15,-1.4561124777045e-13
24,128,0,24,5.9161250044056e-05,4.4705294216246e-05,2.3234921812617e-16,-2.7865016084062e-13
25,128,0,25,5.9161250353585e-05,4.4705294528334e-05,3.1434140890691e-15,-3.0349423349479e-13
26,128,0,26,5.9161255430767e-05,4.4705294839037e-05,-4.8954732886279e-15,-3.6248843333307e-13
27,128,0,27,5.9161246991233e-05,4.4705295210639e-05,8.2272620604385e-16,-2.9887235078425e-13
28,128,0,28,5.916124812501e-05,4.4705295356843e-05,1.6066529786544e-15,-1.6405809731421e-13
29,128,0,29,5.916125280242e-05,4.4705295508478e-05,-3.5472265739572e-16,-1.8309762936369e-13
30,128,0,30,5.9161250916809e-05,4.4705295561074e-05,-2.1018808938285e-15,-5.4272191057111e-14
31,128,0,31,5.9161255144218e-05,4.4705295632324e-05,-3.3418526252139e-15,-3.1109544024785e-14
32,128,0,32,5.9161257841938e-05,4.470529552193e-05,-5.8820214442825e-16,1.0429899877248e-13
33,128,0,33,5.9161251218409e-05,4.4705295433335e-05,6.9960444365859e-15,6.61115025978e-14
34,128,0,34,5.9161249258219e-05,4.4705295345464e-05,-8.3116648702259e-17,8.1162842695574e-14
35,128,0,35,5.9161258135177e-05,4.4705295304966e-05,-6.5788793920799e-15,9.2031611179804e-14
36,128,0,36,5.9161253343748e-05,4.4705295168135e-05,5.0721962268046e-15,1.105864819883e-13
37,128,0,37,5.9161251291292e-05,4.4705295088302e-05,-8.9471605546219e-16,7.1833832725719e-14
38,128,0,38,5.9161253088288e-05,4.4705295051922e-05,-3.9437296507074e-16,1.5502863715802e-14
39,128,0,39,5.9161250735117e-05,4.4705295068032e-05,-1.4031743364343e-15,4.4529778187019e-14
40,128,0,40,5.916124832748e-05,4.4705294992045e-05,1.5582619465672e-15,4.2749750306826e-14
41,128,0,41,5.9161246456701e-05,4.47052949686e-05,4.0901776780913e-15,1.8050931944655e-14
42,128,0,42,5.9161243019211e-05,4.4705294979664e-05,4.8968414645252e-15,-3.4559169558739e-14
43,128,0,43,5.9161249564844e-05,4.470529503416e-05,-6.9228684522032e-15,6.9913099967492e-15
44,128,0,44,5.9161256461797e-05,4.4705294985636e-05,-6.8897295366684e-15,1.5280036452434e-14
45,128,0,45,5.9161254401497e-05,4.4705294982018e-05,5.6119297390692e-15,-2.206062582773e-15
