x,y,z,id,mat_therm_cond,cv,ci,jvx,jix,T,jx,jy,dTdx,dTdy,gr0
0,433,0,0,1,4.9752633588999e-07,4.9752386334523e-07,1.159101722591e-21,7.292655890839e-18,0,-0.49428003154313,-4.3642538416228e-06,0.49428003154313,4.3642538416228e-06,-1.5003325814747e-09
0.2,433,0,0.2,1,4.9752633588901e-07,4.9752386332567e-07,1.159101722591e-21,7.292655890839e-18,0.098861564314254,-0.49428003154313,-4.3642538416228e-06,0.49428003154313,4.3642538416228e-06,3.3692624662274e-10
0.4,433,0,0.4,1,4.9752633588802e-07,4.975238633061e-07,1.159101722591e-21,7.292655890839e-18,0.19772312862851,-0.49428003154313,-4.3642538416228e-06,0.49428003154313,4.3642538416228e-06,2.1741850747201e-09
0.6,433,0,0.6,1,4.9752633588703e-07,4.9752386328653e-07,1.159101722591e-21,7.292655890839e-18,0.29658469294276,-0.49428003154313,-4.3642538416228e-06,0.49428003154313,4.3642538416228e-06,4.0114439028176e-09
0.8,433,0,0.8,1,4.9752633588605e-07,4.9752386326697e-07,1.159101722591e-21,7.292655890839e-18,0.39544625725702,-0.49428003154313,-4.3642538416228e-06,0.49428003154313,4.3642538416228e-06,5.8487027309149e-09
1,433,0,1,1,4.9752633588506e-07,4.975238632474e-07,1.159101722591e-21,7.292655890839e-18,0.49430782157127,-0.49428003154313,-4.3642538416228e-06,0.49428003154313,4.3642538416228e-06,7.6859615590124e-09
1.2,433,0,1.2,1,4.9752633588408e-07,4.9752386322784e-07,1.159101722591e-21,7.292655890839e-18,0.59316938588553,-0.49428003154313,-4.3642538416228e-06,0.49428003154313,4.3642538416228e-06,9.5232203871098e-09
1.4,433,0,1.4,1,4.9752633588309e-07,4.9752386320827e-07,1.159101722591e-21,7.292655890839e-18,0.69203095019978,-0.49428003154313,-4.3642538416228e-06,0.49428003154313,4.3642538416228e-06,1.1360479215207e-08
1.6,433,0,1.6,1,4.975263358821e-07,4.975238631887e-07,1.159101722591e-21,7.292655890839e-18,0.79089251451403,-0.49428003154313,-4.3642538416228e-06,0.49428003154313,4.3642538416228e-06,1.3197738043305e-08
1.8,433,0,1.8,1,4.9752633588112e-07,4.9752386316914e-07,1.159101722591e-21,7.292655890839e-18,0.88975407882829,-0.49428003154313,-4.3642538416228e-06,0.49428003154313,4.3642538416228e-06,1.5034996871402e-08
2,433,0,2,1,4.9752633588013e-07,4.9752386314957e-07,1.159101722591e-21,7.292655890839e-18,0.98861564314254,-0.49428003154313,-4.3642538416228e-06,0.49428003154313,4.3642538416228e-06,1.6872255699499e-08
2.2,433,0,2.2,1,4.9752633587914e-07,4.9752386313001e-07,1.159101722591e-21,7.292655890839e-18,1.0874772074568,-0.49428003154313,-4.3642538416228e-06,0.49428003154313,4.3642538416228e-06,1.8709514527597e-08
2.4,433,0,2.4,1,4.9752633587816e-07,4.9752386311044e-07,1.159101722591e-21,7.292655890839e-18,1.1863387717711,-0.49428003154313,-4.3642538416228e-06,0.49428003154313,4.3642538416228e-06,2.0546773355694e-08
2.6,433,0,2.6,1,4.9752633587717e-07,4.9752386309087e-07,1.159101722591e-21,7.292655890839e-18,1.2852003360853,-0.49428003154313,-4.3642538416228e-06,0.49428003154313,4.3642538416228e-06,2.2384032183792e-08
2.8,433,0,2.8,1,4.9752633587618e-07,4.9752386307131e-07,1.159101722591e-21,7.292655890839e-18,1.3840619003996,-0.49428003154313,-4.3642538416228e-06,0.49428003154313,4.3642538416228e-06,2.4221291011889e-08
3,433,0,3,1,4.975263358752e-07,4.9752386305174e-07,1.159101722591e-21,7.292655890839e-18,1.4829234647138,-0.49428003154313,-4.3642538416228e-06,0.49428003154313,4.3642538416228e-06,2.6058549839986e-08
3.2,433,0,3.2,1,4.9752633587421e-07,4.9752386303218e-07,1.159101722591e-21,7.292655890839e-18,1.5817850290281,-0.49428003154313,-4.3642538416228e-06,0.49428003154313,4.3642538416228e-06,2.7895808668084e-08
3.4,433,0,3.4,1,4.9752633587323e-07,4.9752386301261e-07,1.159101722591e-21,7.292655890839e-18,1.6806465933423,-0.49428003154313,-4.3642538416228e-06,0.49428003154313,4.3642538416228e-06,2.9733067496181e-08
3.6,433,0,3.6,1,4.9752633587224e-07,4.9752386299304e-07,1.159101722591e-21,7.292655890839e-18,1.7795081576566,-0.49428003154313,-4.3642538416228e-06,0.49428003154313,4.3642538416228e-06,3.1570326324279e-08
3.8,433,0,3.8,1,4.9752633587125e-07,4.9752386297348e-07,1.159101722591e-21,7.292655890839e-18,1.8783697219708,-0.49428003154313,-4.3642538416228e-06,0.49428003154313,4.3642538416228e-06,3.3407585152376e-08
4,433,0,4,1,4.9752633587027e-07,4.9752386295391e-07,1.159101722591e-21,7.292655890839e-18,1.9772312862851,-0.49428003154313,-4.3642538416228e-06,0.49428003154313,4.3642538416228e-06,3.5244843980473e-08
4.2,433,0,4.2,1,4.975263358711e-07,4.9752386296941e-07,-1.7985222622618e-21,-5.1106808207385e-18,2.0760933784591,-0.49428281289469,-1.3070452979458e-05,0.49428281289469,1.3070452979458e-05,3.6375160287707e-08
4.4,433,0,4.4,1,4.9752633587194e-07,4.9752386298492e-07,-1.7985222622618e-21,-5.1106808207385e-18,2.174955470633,-0.49428281289469,-1.3070452979458e-05,0.49428281289469,1.3070452979458e-05,3.7505476594941e-08
4.6,433,0,4.6,1,4.9752633587277e-07,4.9752386300042e-07,-1.7985222622618e-21,-5.1106808207385e-18,2.273817562807,-0.49428281289469,-1.3070452979458e-05,0.49428281289469,1.3070452979458e-05,3.8635792902174e-08
4.8,433,0,4.8,1,4.9752633587361e-07,4.9752386301592e-07,-1.7985222622618e-21,-5.1106808207385e-18,2.372679654981,-0.49428281289469,-1.3070452979458e-05,0.49428281289469,1.3070452979458e-05,3.9766109209408e-08
5,433,0,5,1,4.9752633587445e-07,4.9752386303143e-07,-1.7985222622618e-21,-5.1106808207385e-18,2.471541747155,-0.49428281289469,-1.3070452979458e-05,0.49428281289469,1.3070452979458e-05,4.0896425516642e-08
5.2,433,0,5.2,1,4.9752633587528e-07,4.9752386304693e-07,-1.7985222622618e-21,-5.1106808207385e-18,2.570403839329,-0.49428281289469,-1.3070452979458e-05,0.49428281289469,1.3070452979458e-05,4.2026741823875e-08
5.4,433,0,5.4,1,4.9752633587612e-07,4.9752386306243e-07,-1.7985222622618e-21,-5.1106808207385e-18,2.6692659315029,-0.49428281289469,-1.3070452979458e-05,0.49428281289469,1.3070452979458e-05,4.3157058131109e-08
5.6,433,0,5.6,1,4.9752633587695e-07,4.9752386307793e-07,-1.7985222622618e-21,-5.1106808207385e-18,2.7681280236769,-0.49428281289469,-1.3070452979458e-05,0.49428281289469,1.3070452979458e-05,4.4287374438343e-08
5.8,433,0,5.8,1,4.9752633587779e-07,4.9752386309344e-07,-1.7985222622618e-21,-5.1106808207385e-18,2.8669901158509,-0.49428281289469,-1.3070452979458e-05,0.49428281289469,1.3070452979458e-05,4.5417690745576e-08
6,433,0,6,1,4.9752633587863e-07,4.9752386310894e-07,-1.7985222622618e-21,-5.1106808207385e-18,2.9658522080249,-0.49428281289469,-1.3070452979458e-05,0.49428281289469,1.3070452979458e-05,4.654800705281e-08
6.2,433,0,6.2,1,4.9752633587946e-07,4.9752386312444e-07,-1.7985222622618e-21,-5.1106808207385e-18,3.0647143001988,-0.49428281289469,-1.3070452979458e-05,0.49428281289469,1.3070452979458e-05,4.7678323360044e-08
6.4,433,0,6.4,1,4.975263358803e-07,4.9752386313994e-07,-1.7985222622618e-21,-5.1106808207385e-18,3.1635763923728,-0.49428281289469,-1.3070452979458e-05,0.49428281289469,1.3070452979458e-05,4.8808639667277e-08
6.6,433,0,6.6,1,4.9752633588113e-07,4.9752386315545e-07,-1.7985222622618e-21,-5.1106808207385e-18,3.2624384845468,-0.49428281289469,-1.3070452979458e-05,0.49428281289469,1.3070452979458e-05,4.9938955974511e-08
6.8,433,0,6.8,1,4.9752633588197e-07,4.9752386317095e-07,-1.7985222622618e-21,-5.1106808207385e-18,3.3613005767208,-0.49428281289469,-1.3070452979458e-05,0.49428281289469,1.3070452979458e-05,5.1069272281745e-08
7,433,0,7,1,4.9752633588281e-07,4.9752386318645e-07,-1.7985222622618e-21,-5.1106808207385e-18,3.4601626688948,-0.49428281289469,-1.3070452979458e-05,0.49428281289469,1.3070452979458e-05,5.2199588588978e-08
7.2,433,0,7.2,1,4.9752633588364e-07,4.9752386320195e-07,-1.7985222622618e-21,-5.1106808207385e-18,3.5590247610687,-0.49428281289469,-1.3070452979458e-05,0.49428281289469,1.3070452979458e-05,5.3329904896212e-08
