x,y,z,id,mat_therm_cond,cv,ci,jvx,jix,T,jx,jy,dTdx,dTdy,gr0
0,433,0,0,1,6.3470040495154e-05,4.7348277451772e-05,-9.7342932122596e-20,2.8513401170461e-15,0,-0.49033853796169,-4.8323853945546e-06,0.49033853796169,4.8323853945546e-06,5.3426164025986e-10
0.2,433,0,0.2,1,6.3470040494982e-05,4.7348277450914e-05,-9.7342932122596e-20,2.8513401170461e-15,0.098073861777266,-0.49033853796169,-4.8323853945546e-06,0.49033853796169,4.8323853945546e-06,4.9244975009553e-10
0.4,433,0,0.4,1,6.3470040494809e-05,4.7348277450056e-05,-9.7342932122596e-20,2.8513401170461e-15,0.19614772355453,-0.49033853796169,-4.8323853945546e-06,0.49033853796169,4.8323853945546e-06,4.5063785993119e-10
0.6,433,0,0.6,1,6.3470040494636e-05,4.7348277449199e-05,-9.7342932122596e-20,2.8513401170461e-15,0.2942215853318,-0.49033853796169,-4.8323853945546e-06,0.49033853796169,4.8323853945546e-06,4.0882596976686e-10
0.8,433,0,0.8,1,6.3470040494464e-05,4.7348277448341e-05,-9.7342932122596e-20,2.8513401170461e-15,0.39229544710906,-0.49033853796169,-4.8323853945546e-06,0.49033853796169,4.8323853945546e-06,3.6701407960253e-10
1,433,0,1,1,6.3470040494291e-05,4.7348277447484e-05,-9.7342932122596e-20,2.8513401170461e-15,0.49036930888633,-0.49033853796169,-4.8323853945546e-06,0.49033853796169,4.8323853945546e-06,3.252021894382e-10
1.2,433,0,1.2,1,6.3470040494118e-05,4.7348277446626e-05,-9.7342932122596e-20,2.8513401170461e-15,0.5884431706636,-0.49033853796169,-4.8323853945546e-06,0.49033853796169,4.8323853945546e-06,2.8339029927387e-10
1.4,433,0,1.4,1,6.3470040493945e-05,4.7348277445769e-05,-9.7342932122596e-20,2.8513401170461e-15,0.68651703244086,-0.49033853796169,-4.8323853945546e-06,0.49033853796169,4.8323853945546e-06,2.4157840910953e-10
1.6,433,0,1.6,1,6.3470040493773e-05,4.7348277444911e-05,-9.7342932122596e-20,2.8513401170461e-15,0.78459089421813,-0.49033853796169,-4.8323853945546e-06,0.49033853796169,4.8323853945546e-06,1.997665189452e-10
1.8,433,0,1.8,1,6.34700404936e-05,4.7348277444054e-05,-9.7342932122596e-20,2.8513401170461e-15,0.8826647559954,-0.49033853796169,-4.8323853945546e-06,0.49033853796169,4.8323853945546e-06,1.5795462878087e-10
2,433,0,2,1,6.3470040493427e-05,4.7348277443196e-05,-9.7342932122596e-20,2.8513401170461e-15,0.98073861777266,-0.49033853796169,-4.8323853945546e-06,0.49033853796169,4.8323853945546e-06,1.1614273861654e-10
2.2,433,0,2.2,1,6.3470040493255e-05,4.7348277442339e-05,-9.7342932122596e-20,2.8513401170461e-15,1.0788124795499,-0.49033853796169,-4.8323853945546e-06,0.49033853796169,4.8323853945546e-06,7.4330848452206e-11
2.4,433,0,2.4,1,6.3470040493082e-05,4.7348277441481e-05,-9.7342932122596e-20,2.8513401170461e-15,1.1768863413272,-0.49033853796169,-4.8323853945546e-06,0.49033853796169,4.8323853945546e-06,3.2518958287875e-11
2.6,433,0,2.6,1,6.3470040492909e-05,4.7348277440623e-05,-9.7342932122596e-20,2.8513401170461e-15,1.2749602031045,-0.49033853796169,-4.8323853945546e-06,0.49033853796169,4.8323853945546e-06,-9.2929318764572e-12
2.8,433,0,2.8,1,6.3470040492737e-05,4.7348277439766e-05,-9.7342932122596e-20,2.8513401170461e-15,1.3730340648817,-0.49033853796169,-4.8323853945546e-06,0.49033853796169,4.8323853945546e-06,-5.1104822040789e-11
3,433,0,3,1,6.3470040492564e-05,4.7348277438908e-05,-9.7342932122596e-20,2.8513401170461e-15,1.471107926659,-0.49033853796169,-4.8323853945546e-06,0.49033853796169,4.8323853945546e-06,-9.2916712205121e-11
3.2,433,0,3.2,1,6.3470040492391e-05,4.7348277438051e-05,-9.7342932122596e-20,2.8513401170461e-15,1.5691817884363,-0.49033853796169,-4.8323853945546e-06,0.49033853796169,4.8323853945546e-06,-1.3472860236945e-10
3.4,433,0,3.4,1,6.3470040492219e-05,4.7348277437193e-05,-9.7342932122596e-20,2.8513401170461e-15,1.6672556502135,-0.49033853796169,-4.8323853945546e-06,0.49033853796169,4.8323853945546e-06,-1.7654049253378e-10
3.6,433,0,3.6,1,6.3470040492046e-05,4.7348277436336e-05,-9.7342932122596e-20,2.8513401170461e-15,1.7653295119908,-0.49033853796169,-4.8323853945546e-06,0.49033853796169,4.8323853945546e-06,-2.1835238269812e-10
3.8,433,0,3.8,1,6.3470040491873e-05,4.7348277435478e-05,-9.7342932122596e-20,2.8513401170461e-15,1.8634033737681,-0.49033853796169,-4.8323853945546e-06,0.49033853796169,4.8323853945546e-06,-2.6016427286245e-10
4,433,0,4,1,6.34700404917e-05,4.7348277434621e-05,-9.7342932122596e-20,2.8513401170461e-15,1.9614772355453,-0.49033853796169,-4.8323853945546e-06,0.49033853796169,4.8323853945546e-06,-3.0197616302678e-10
4.2,433,0,4.2,1,6.3470040494911e-05,4.7348277436788e-05,8.3425251180548e-18,3.2090071905625e-15,2.0595516677478,-0.49034166460466,-1.4454044984707e-05,0.49034166460466,1.4454044984707e-05,-2.8745493432838e-10
4.4,433,0,4.4,1,6.3470040498121e-05,4.7348277438954e-05,8.3425251180548e-18,3.2090071905625e-15,2.1576260999503,-0.49034166460466,-1.4454044984707e-05,0.49034166460466,1.4454044984707e-05,-2.7293370562997e-10
4.6,433,0,4.6,1,6.3470040501332e-05,4.7348277441121e-05,8.3425251180548e-18,3.2090071905625e-15,2.2557005321528,-0.49034166460466,-1.4454044984707e-05,0.49034166460466,1.4454044984707e-05,-2.5841247693157e-10
4.8,433,0,4.8,1,6.3470040504542e-05,4.7348277443288e-05,8.3425251180548e-18,3.2090071905625e-15,2.3537749643553,-0.49034166460466,-1.4454044984707e-05,0.49034166460466,1.4454044984707e-05,-2.4389124823316e-10
5,433,0,5,1,6.3470040507752e-05,4.7348277445455e-05,8.3425251180548e-18,3.2090071905625e-15,2.4518493965577,-0.49034166460466,-1.4454044984707e-05,0.49034166460466,1.4454044984707e-05,-2.2937001953476e-10
5.2,433,0,5.2,1,6.3470040510963e-05,4.7348277447622e-05,8.3425251180548e-18,3.2090071905625e-15,2.5499238287602,-0.49034166460466,-1.4454044984707e-05,0.49034166460466,1.4454044984707e-05,-2.1484879083636e-10
5.4,433,0,5.4,1,6.3470040514173e-05,4.7348277449788e-05,8.3425251180548e-18,3.2090071905625e-15,2.6479982609627,-0.49034166460466,-1.4454044984707e-05,0.49034166460466,1.4454044984707e-05,-2.0032756213795e-10
5.6,433,0,5.6,1,6.3470040517384e-05,4.7348277451955e-05,8.3425251180548e-18,3.2090071905625e-15,2.7460726931652,-0.49034166460466,-1.4454044984707e-05,0.49034166460466,1.4454044984707e-05,-1.8580633343955e-10
5.8,433,0,5.8,1,6.3470040520594e-05,4.7348277454122e-05,8.3425251180548e-18,3.2090071905625e-15,2.8441471253677,-0.49034166460466,-1.4454044984707e-05,0.49034166460466,1.4454044984707e-05,-1.7128510474115e-10
6,433,0,6,1,6.3470040523804e-05,4.7348277456289e-05,8.3425251180548e-18,3.2090071905625e-15,2.9422215575701,-0.49034166460466,-1.4454044984707e-05,0.49034166460466,1.4454044984707e-05,-1.5676387604274e-10
6.2,433,0,6.2,1,6.3470040527015e-05,4.7348277458456e-05,8.3425251180548e-18,3.2090071905625e-15,3.0402959897726,-0.49034166460466,-1.4454044984707e-05,0.49034166460466,1.4454044984707e-05,-1.4224264734434e-10
6.4,433,0,6.4,1,6.3470040530225e-05,4.7348277460623e-05,8.3425251180548e-18,3.2090071905625e-15,3.1383704219751,-0.49034166460466,-1.4454044984707e-05,0.49034166460466,1.4454044984707e-05,-1.2772141864593e-10
6.6,433,0,6.6,1,6.3470040533436e-05,4.7348277462789e-05,8.3425251180548e-18,3.2090071905625e-15,3.2364448541776,-0.49034166460466,-1.4454044984707e-05,0.49034166460466,1.4454044984707e-05,-1.1320018994753e-10
6.8,433,0,6.8,1,6.3470040536646e-05,4.7348277464956e-05,8.3425251180548e-18,3.2090071905625e-15,3.3345192863801,-0.49034166460466,-1.4454044984707e-05,0.49034166460466,1.4454044984707e-05,-9.8678961249126e-11
7,433,0,7,1,6.3470040539857e-05,4.7348277467123e-05,8.3425251180548e-18,3.2090071905625e-15,3.4325937185825,-0.49034166460466,-1.4454044984707e-05,0.49034166460466,1.4454044984707e-05,-8.4157732550722e-11
7.2,433,0,7.2,1,6.3470040543067e-05,4.734827746929e-05,8.3425251180548e-18,3.2090071905625e-15,3.530668150785,-0.49034166460466,-1.4454044984707e-05,0.49034166460466,1.4454044984707e-05,-6.9636503852318e-11
7.4,433,0,7.4,1,6.3470040546277e-05,4.7348277471457e-05,8.3425251180548e-18,3.2090071905625e-15,3.6287425829875,-0.49034166460466,-1.4454044984707e-05,0.49034166460466,1.4454044984707e-05,-5.5115275153914e-11
7.6,433,0,7.6,1,6.3470040549488e-05,4.7348277473624e-05,8.3425251180548e-18,3.2090071905625e-15,3.72681701519,-0.49034166460466,-1.4454044984707e-05,0.49034166460466,1.4454044984707e-05,-4.059404645551e-11
7.8,433,0,7.8,1,6.3470040552698e-05,4.734827747579e-05,8.3425251180548e-18,3.2090071905625e-15,3.8248914473925,-0.49034166460466,-1.4454044984707e-05,0.49034166460466,1.4454044984707e-05,-2.6072817757107e-11
8,433,0,8,1,6.3470040555909e-05,4.7348277477957e-05,8.3425251180548e-18,3.2090071905625e-15,3.922965879595,-0.49034166460466,-1.4454044984707e-05,0.49034166460466,1.4454044984707e-05,-1.1551589058703e-11
8.2,433,0,8.2,1,6.3470040557695e-05,4.7348277476566e-05,5.0127594048176e-18,-3.6500168003746e-15,4.0210415001773,-0.49034776786614,-2.4007252448053e-05,0.49034776786614,2.4007252448053e-05,-1.2231080068132e-11
