x,y,z,id,xi,xv,jvx,jix
0,128,0,0,3.1186592812987e-46,3.1186592812987e-46,-4.6126963047151e-21,-4.6126963047151e-21
1,128,0,1,4.6126894614493e-06,4.6126894614493e-06,-4.6126963047151e-21,-4.6126963047151e-21
2,128,0,2,3.3769279150354e-06,3.3769279150354e-06,1.2357647047804e-21,1.2357647047804e-21
3,128,0,3,3.7080597901595e-06,3.7080597901595e-06,-3.3113123076115e-22,-3.3113123076115e-22
4,128,0,4,3.6193325121988e-06,3.6193325121988e-06,8.8727347961009e-23,8.8727347961009e-23
5,128,0,5,3.6431141377022e-06,3.6431141377022e-06,-2.3778065029182e-23,-2.3778065029182e-23
6,128,0,6,3.6367474990003e-06,3.6367474990003e-06,6.3661909503177e-24,6.3661909503164e-24
7,128,0,7,3.6384609709378e-06,3.6384609709378e-06,-1.7106468645648e-24,-1.7106468645644e-24
8,128,0,8,3.6380009705848e-06,3.6380009705848e-06,4.6486227527078e-25,4.6486227526877e-25
9,128,0,9,3.6381139622168e-06,3.6381139622168e-06,-1.2150710083487e-25,-1.2150710083249e-25
10,128,0,10,3.6380922767269e-06,3.6380922767269e-06,2.8447246235666e-26,2.8447246236354e-26
11,128,0,11,3.6380947014895e-06,3.6380947014895e-06,-7.3592734785763e-27,-7.3592734807997e-27
12,128,0,12,3.6380858122062e-06,3.6380858122062e-06,3.9513341372779e-28,3.9513341436307e-28
13,128,0,13,3.6380830164201e-06,3.6380830164201e-06,2.1598120161255e-27,2.1598120175548e-27
14,128,0,14,3.6380920333156e-06,3.6380920333156e-06,-4.2925037201226e-27,-4.2925037220813e-27
15,128,0,15,3.6380926343717e-06,3.6380926343717e-06,5.0093533926924e-28,5.0093533963982e-28
16,128,0,16,3.638094955395e-06,3.638094955395e-06,-2.5259549668097e-27,-2.5259549654332e-27
17,128,0,17,3.6380955939297e-06,3.6380955939297e-06,6.8585315046469e-27,6.8585315042234e-27
18,128,0,18,3.6380994733466e-06,3.6380994733466e-06,-6.9265954824038e-27,-6.9265954824038e-27
19,128,0,19,3.6380832332697e-06,3.6380832332697e-06,1.1467911466041e-26,1.1467911466094e-26
20,128,0,20,3.6380933366714e-06,3.6380933366714e-06,-5.3851489812363e-27,-5.3851489809187e-27
21,128,0,21,3.6380856940283e-06,3.6380856940283e-06,3.8347584077159e-27,3.8347584072394e-27
22,128,0,22,3.6380870339329e-06,3.6380870339329e-06,1.2332943433397e-27,1.2332943432338e-27
23,128,0,23,3.6380855090901e-06,3.6380855090901e-06,-7.2522270697294e-27,-7.2522270699941e-27
24,128,0,24,3.6381012572292e-06,3.6381012572292e-06,-7.9312901241604e-27,-7.9312901228898e-27
25,128,0,25,3.6380869271767e-06,3.6380869271767e-06,1.1084579079236e-26,1.108457907733e-26
26,128,0,26,3.6380826254446e-06,3.6380826254446e-06,9.1317931902217e-28,9.131793196045e-28
27,128,0,27,3.6380818252373e-06,3.6380818252373e-06,-1.1562347193524e-27,-1.1562347181348e-27
28,128,0,28,3.6380870634132e-06,3.6380870634132e-06,3.4312261037508e-27,3.431226102639e-27
29,128,0,29,3.6380828067234e-06,3.6380828067234e-06,4.6913740670308e-27,4.6913740669778e-27
30,128,0,30,3.6380885070918e-06,3.6380885070918e-06,-9.9168615728215e-27,-9.916861573192e-27
31,128,0,31,3.6380830275612e-06,3.6380830275612e-06,6.5206265468173e-27,6.5206265472937e-27
32,128,0,32,3.6380868592292e-06,3.6380868592292e-06,-4.3185479691122e-27,-4.3185479680534e-27
33,128,0,33,3.638083536517e-06,3.638083536517e-06,-1.464229835313e-27,-1.4642298365836e-27
34,128,0,34,3.6380999353513e-06,3.6380999353513e-06,-8.206603056504e-27,-8.2066030559216e-27
35,128,0,35,3.6380980628399e-06,3.6380980628399e-06,7.5123213928734e-27,7.5123213922381e-27
36,128,0,36,3.6380881040935e-06,3.6380881040935e-06,-2.1503270145563e-27,-2.1503270131799e-27
37,128,0,37,3.6380973725808e-06,3.6380973725808e-06,2.1787428686068e-27,2.1787428680245e-27
38,128,0,38,3.6380847789285e-06,3.6380847789285e-06,8.8575199137937e-27,8.8575199138467e-27
39,128,0,39,3.6380818097315e-06,3.6380818097315e-06,-6.2890386765266e-27,-6.289038677056e-27
40,128,0,40,3.6381000437214e-06,3.6381000437214e-06,-6.0687538515297e-27,-6.0687538521121e-27
41,128,0,41,3.6380878573211e-06,3.6380878573211e-06,6.7203862986646e-27,6.7203862992469e-27
42,128,0,42,3.6380857526388e-06,3.6380857526388e-06,7.6115241246922e-28,7.6115241162218e-28
43,128,0,43,3.6380968874759e-06,3.6380968874759e-06,-8.7661510480322e-27,-8.7661510468146e-27
44,128,0,44,3.6380993354198e-06,3.6380993354198e-06,-1.8801623261786e-27,-1.8801623264962e-27
45,128,0,45,3.6380883810798e-06,3.6380883810798e-06,8.3683892319886e-27,8.3683892318827e-27
46,128,0,46,3.638094834033e-06,3.638094834033e-06,-3.9909698575633e-27,-3.9909698568751e-27
47,128,0,47,3.6380988746201e-06,3.6380988746201e-06,-5.1687841562685e-27,-5.1687841568508e-27
48,128,0,48,3.6380996595791e-06,3.6380996595791e-06,8.0790242423257e-27,8.0790242422198e-27
49,128,0,49,3.638082146048e-06,3.638082146048e-06,5.7978481641713e-27,5.7978481639066e-27
50,128,0,50,3.6380928013087e-06,3.6380928013087e-06,-6.7051726242789e-27,-6.7051726225849e-27
51,128,0,51,3.6380953929097e-06,3.6380953929097e-06,-6.3307501585165e-28,-6.330750173869e-28
52,128,0,52,3.6380838606329e-06,3.6380838606329e-06,1.5650548790654e-27,1.5650548783772e-27
53,128,0,53,3.6380930821306e-06,3.6380930821306e-06,-2.9858285317114e-27,-2.9858285299115e-27
54,128,0,54,3.6380834608481e-06,3.6380834608481e-06,2.7055984411836e-27,2.7055984414483e-27
55,128,0,55,3.6380982098391e-06,3.6380982098391e-06,-5.866321613378e-27,-5.8663216145956e-27
56,128,0,56,3.6381001656565e-06,3.6381001656565e-06,3.8656385808301e-27,3.8656385831595e-27
57,128,0,57,3.638084697821e-06,3.638084697821e-06,9.8954977401719e-27,9.8954977388484e-27
