x,y,z,id,xi,xv
153.6,128,0,0,0,0
154,128,0,0.40000000000001,1.6697246389204e-05,1.6697246389206e-05
154.4,128,0,0.80000000000001,3.339449277841e-05,3.3394492778413e-05
154.8,128,0,1.2,5.0091739167612e-05,5.0091739167616e-05
155.2,128,0,1.6,6.6788985556815e-05,6.678898555682e-05
155.6,128,0,2,8.3486231946019e-05,8.3486231946025e-05
156,128,0,2.4,0.00010018347833522,0.00010018347833523
156.4,128,0,2.8,0.00010800226139417,0.00010800226139418
156.8,128,0,3.2,0.00010547262023108,0.00010547262023108
157.2,128,0,3.6,0.00010367099290875,0.00010367099290876
157.6,128,0,4,0.00010186936558643,0.00010186936558644
158,128,0,4.4,0.00010006773826411,0.00010006773826411
158.4,128,0,4.8,9.920021710168e-05,9.9200217101687e-05
158.8,128,0,5.2,9.9248018951908e-05,9.9248018951914e-05
159.2,128,0,5.6,9.9295820802135e-05,9.9295820802141e-05
159.6,128,0,6,9.9567228064606e-05,9.9567228064612e-05
160,128,0,6.4,9.9915731900168e-05,9.9915731900175e-05
160.4,128,0,6.8,0.00010026423573573,0.00010026423573574
160.8,128,0,7.2,0.00010061273957129,0.0001006127395713
161.2,128,0,7.6,0.00010056493018393,0.00010056493018394
161.6,128,0,8,0.00010034391480293,0.00010034391480294
162,128,0,8.4,0.00010012289942193,0.00010012289942194
162.4,128,0,8.8,0.00010005126933877,0.00010005126933877
162.8,128,0,9.2,0.00010001529859174,0.00010001529859174
163.2,128,0,9.6,9.9979327844709e-05,9.9979327844716e-05
163.6,128,0,10,9.9943357097681e-05,9.9943357097688e-05
164,128,0,10.4,9.9907386350652e-05,9.9907386350659e-05
164.4,128,0,10.8,9.9888621375864e-05,9.9888621375871e-05
164.8,128,0,11.2,9.9939522635068e-05,9.9939522635075e-05
165.2,128,0,11.6,9.9990423894271e-05,9.9990423894278e-05
165.6,128,0,12,0.00010003515329324,0.00010003515329325
166,128,0,12.4,0.00010003712695431,0.00010003712695432
166.4,128,0,12.8,0.00010003910061538,0.00010003910061538
166.8,128,0,13.2,0.00010004107427645,0.00010004107427645
167.2,128,0,13.6,0.00010004140181829,0.0001000414018183
167.6,128,0,14,0.00010003770546721,0.00010003770546722
168,128,0,14.4,0.00010003400911613,0.00010003400911614
168.4,128,0,14.8,0.00010003031276505,0.00010003031276506
168.8,128,0,15.2,0.00010002613063648,0.00010002613063649
169.2,128,0,15.6,0.00010001754928767,0.00010001754928768
169.6,128,0,16,0.00010000896793886,0.00010000896793886
170,128,0,16.4,0.00010000038659005,0.00010000038659005
170.4,128,0,16.8,9.9991805241236e-05,9.9991805241243e-05
170.8,128,0,17.2,9.9991373742262e-05,9.9991373742269e-05
171.2,128,0,17.6,9.99926089569e-05,9.9992608956907e-05
171.6,128,0,18,9.9993844171537e-05,9.9993844171544e-05
172,128,0,18.4,9.9995079386175e-05,9.9995079386182e-05
172.4,128,0,18.8,9.9996314600812e-05,9.9996314600819e-05
172.8,128,0,19.2,9.999754981545e-05,9.9997549815457e-05
173.2,128,0,19.6,9.9998784297894e-05,9.99987842979e-05
173.6,128,0,20,9.9999924425974e-05,9.999992442598e-05
174,128,0,20.4,0.00010000106455405,0.00010000106455406
174.4,128,0,20.8,0.00010000220468213,0.00010000220468214
174.8,128,0,21.2,0.00010000263519718,0.00010000263519719
175.2,128,0,21.6,0.00010000248266338,0.00010000248266339
175.6,128,0,22,0.00010000218723017,0.00010000218723018
176,128,0,22.4,0.00010000189179696,0.00010000189179697
176.4,128,0,22.8,0.00010000159636376,0.00010000159636376
176.8,128,0,23.2,0.0001000012789434,0.00010000127894341
177.2,128,0,23.6,0.00010000090651548,0.00010000090651549
177.6,128,0,24,0.00010000053408756,0.00010000053408757
178,128,0,24.4,0.00010000016165965,0.00010000016165965
178.4,128,0,24.8,9.9999789231727e-05,9.9999789231734e-05
178.8,128,0,25.2,9.999972563083e-05,9.9999725630837e-05
179.2,128,0,25.6,9.9999776464936e-05,9.9999776464943e-05
179.6,128,0,26,9.9999827299042e-05,9.9999827299049e-05
180,128,0,26.4,9.9999878133148e-05,9.9999878133155e-05
180.4,128,0,26.8,9.9999928967254e-05,9.9999928967261e-05
180.8,128,0,27.2,9.999997980136e-05,9.9999979801367e-05
181.2,128,0,27.6,0.00010000002763084,0.00010000002763084
181.6,128,0,28,0.00010000007144871,0.00010000007144871
182,128,0,28.4,0.00010000011526658,0.00010000011526659
182.4,128,0,28.8,0.00010000015596212,0.00010000015596213
182.8,128,0,29.2,0.00010000013992477,0.00010000013992478
183.2,128,0,29.6,0.0001000001296547,0.0001000001296547
183.6,128,0,30,0.00010000012546049,0.0001000001254605
184,128,0,30.4,0.00010000012126629,0.0001000001212663
184.4,128,0,30.8,0.00010000011707209,0.0001000001170721
184.8,128,0,31.2,0.00010000011287789,0.0001000001128779
185.2,128,0,31.6,0.00010000010868369,0.0001000001086837
185.6,128,0,32,0.00010000010448949,0.0001000001044895
186,128,0,32.4,0.00010000010029529,0.0001000001002953
186.4,128,0,32.8,0.00010000009610109,0.0001000000961011
186.8,128,0,33.2,0.00010000009190689,0.0001000000919069
187.2,128,0,33.6,0.00010000008771269,0.0001000000877127
187.6,128,0,34,0.00010000008748449,0.0001000000874845
188,128,0,34.4,0.00010000009278204,0.00010000009278205
188.4,128,0,34.8,0.00010000009807959,0.0001000000980796
188.8,128,0,35.2,0.00010000010337715,0.00010000010337715
189.2,128,0,35.6,0.0001000001086747,0.0001000001086747
189.6,128,0,36,0.00010000011397225,0.00010000011397226
190,128,0,36.4,0.0001000001192698,0.00010000011926981
190.4,128,0,36.8,0.00010000012456735,0.00010000012456736
190.8,128,0,37.2,0.00010000012986491,0.00010000012986491
191.2,128,0,37.6,0.00010000009526049,0.0001000000952605
191.6,128,0,38,0.0001000000473613,0.00010000004736131
192,128,0,38.4,9.9999999462109e-05,9.9999999462116e-05
192.4,128,0,38.8,9.9999951562917e-05,9.9999951562924e-05
192.8,128,0,39.2,9.9999972717028e-05,9.9999972717035e-05
193.2,128,0,39.6,0.00010000008345456,0.00010000008345457
193.6,128,0,40,0.00010000019419209,0.0001000001941921
194,128,0,40.4,0.00010000030492963,0.00010000030492963
194.4,128,0,40.8,0.00010000041566716,0.00010000041566717
194.8,128,0,41.2,0.00010000052640469,0.0001000005264047
195.2,128,0,41.6,0.00010000061237425,0.00010000061237425
195.6,128,0,42,0.00010000064042605,0.00010000064042606
196,128,0,42.4,0.00010000066847786,0.00010000066847786
196.4,128,0,42.8,0.00010000069652966,0.00010000069652967
196.8,128,0,43.2,0.00010000072458147,0.00010000072458147
197.2,128,0,43.6,0.00010000075263327,0.00010000075263328
197.6,128,0,44,0.00010000078068508,0.00010000078068508
198,128,0,44.4,0.00010000080873688,0.00010000080873689
198.4,128,0,44.8,0.00010000083678869,0.00010000083678869
198.8,128,0,45.2,0.00010000099680948,0.00010000099680949
199.2,128,0,45.6,0.00010000116330053,0.00010000116330054
199.6,128,0,46,0.00010000132979158,0.00010000132979159
200,128,0,46.4,0.00010000149628264,0.00010000149628264
200.4,128,0,46.8,0.00010000120499262,0.00010000120499262
200.8,128,0,47.2,0.00010000068405233,0.00010000068405234
201.2,128,0,47.6,0.00010000016311205,0.00010000016311206
201.6,128,0,48,9.9999642171774e-05,9.9999642171781e-05
202,128,0,48.4,9.9999121231493e-05,9.99991212315e-05
202.4,128,0,48.8,9.9998600291213e-05,9.999860029122e-05
202.8,128,0,49.2,9.9998079350932e-05,9.9998079350939e-05
203.2,128,0,49.6,9.9997558410652e-05,9.9997558410659e-05
203.6,128,0,50,9.9997037470372e-05,9.9997037470378e-05
204,128,0,50.4,9.9996516530091e-05,9.9996516530098e-05
204.4,128,0,50.8,9.9995995589811e-05,9.9995995589817e-05
204.8,128,0,51.2,9.999547464953e-05,9.9995474649537e-05
205.2,128,0,51.6,9.999495370925e-05,9.9994953709256e-05
205.6,128,0,52,9.9995443942274e-05,9.9995443942281e-05
206,128,0,52.4,9.9997261845819e-05,9.9997261845826e-05
206.4,128,0,52.8,9.9999079749364e-05,9.999907974937e-05
206.8,128,0,53.2,0.00010000089765291,0.00010000089765292
207.2,128,0,53.6,0.00010000271555645,0.00010000271555646
207.6,128,0,54,0.00010000453346,0.00010000453346
208,128,0,54.4,0.00010000635136354,0.00010000635136355
208.4,128,0,54.8,0.00010000816926709,0.00010000816926709
208.8,128,0,55.2,0.00010000998717063,0.00010000998717064
209.2,128,0,55.6,0.00010001180507418,0.00010001180507418
209.6,128,0,56,0.00010001362297772,0.00010001362297773
210,128,0,56.4,0.00010001544088127,0.00010001544088127
210.4,128,0,56.8,0.00010001725878481,0.00010001725878482
210.8,128,0,57.2,0.00010001907668836,0.00010001907668836
211.2,128,0,57.6,0.00010002111986597,0.00010002111986598
211.6,128,0,58,0.00010001443658345,0.00010001443658346
212,128,0,58.4,0.00010000750770232,0.00010000750770233
212.4,128,0,58.8,0.00010000057882119,0.00010000057882119
212.8,128,0,59.2,9.9993649940055e-05,9.9993649940062e-05
213.2,128,0,59.6,9.9986721058921e-05,9.9986721058928e-05
213.6,128,0,60,9.9979792177788e-05,9.9979792177795e-05
214,128,0,60.4,9.9972863296655e-05,9.9972863296662e-05
214.4,128,0,60.8,9.9965934415522e-05,9.9965934415528e-05
214.8,128,0,61.2,9.9959005534388e-05,9.9959005534395e-05
215.2,128,0,61.6,9.9952076653255e-05,9.9952076653262e-05
215.6,128,0,62,9.9945147772122e-05,9.9945147772129e-05
216,128,0,62.4,9.9938218890988e-05,9.9938218890995e-05
216.4,128,0,62.8,9.9931290009855e-05,9.9931290009862e-05
216.8,128,0,63.2,9.9924361128722e-05,9.9924361128729e-05
217.2,128,0,63.6,9.9917432247589e-05,9.9917432247595e-05
217.6,128,0,64,9.9910503366455e-05,9.9910503366462e-05
218,128,0,64.4,9.991373012731e-05,9.9913730127317e-05
218.4,128,0,64.8,9.9929854069662e-05,9.9929854069669e-05
218.8,128,0,65.2,9.9945978012013e-05,9.994597801202e-05
219.2,128,0,65.6,9.9942388424422e-05,9.9942388424429e-05
219.6,128,0,66,9.9901046050834e-05,9.9901046050841e-05
220,128,0,66.4,9.9859703677247e-05,9.9859703677254e-05
