x,y,z,id,xi,xv
153.6,128,0,0,5.5656969042441e-240,5.5656969042441e-240
154,128,0,0.40000000000001,1.5369488625415e-05,1.5369488625416e-05
154.4,128,0,0.80000000000001,3.0738977250832e-05,3.0738977250834e-05
154.8,128,0,1.2,4.6108465876245e-05,4.6108465876248e-05
155.2,128,0,1.6,6.1477954501659e-05,6.1477954501662e-05
155.6,128,0,2,7.6847443127074e-05,7.6847443127078e-05
156,128,0,2.4,9.2216931752488e-05,9.2216931752493e-05
156.4,128,0,2.8,9.9327422006344e-05,9.9327422006349e-05
156.8,128,0,3.2,9.6867046439176e-05,9.6867046439181e-05
157.2,128,0,3.6,9.5160130117384e-05,9.5160130117389e-05
157.6,128,0,4,9.3453213795592e-05,9.3453213795597e-05
158,128,0,4.4,9.17462974738e-05,9.1746297473804e-05
158.4,128,0,4.8,9.0918537033076e-05,9.0918537033081e-05
158.8,128,0,5.2,9.0952254274657e-05,9.0952254274662e-05
159.2,128,0,5.6,9.0985971516238e-05,9.0985971516243e-05
159.6,128,0,6,9.1247044294858e-05,9.1247044294863e-05
160,128,0,6.4,9.1586506646445e-05,9.158650664645e-05
160.4,128,0,6.8,9.1925968998032e-05,9.1925968998037e-05
160.8,128,0,7.2,9.2265431349619e-05,9.2265431349624e-05
161.2,128,0,7.6,9.221989751749e-05,9.2219897517495e-05
161.6,128,0,8,9.2006103726589e-05,9.2006103726593e-05
162,128,0,8.4,9.1792309935687e-05,9.1792309935692e-05
162.4,128,0,8.8,9.1722642236975e-05,9.1722642236979e-05
162.8,128,0,9.2,9.1687378464499e-05,9.1687378464503e-05
163.2,128,0,9.6,9.1652114692023e-05,9.1652114692027e-05
163.6,128,0,10,9.1616850919547e-05,9.1616850919551e-05
164,128,0,10.4,9.1581587147071e-05,9.1581587147075e-05
164.4,128,0,10.8,9.1563122021772e-05,9.1563122021776e-05
164.8,128,0,11.2,9.1612674679612e-05,9.1612674679617e-05
165.2,128,0,11.6,9.1662227337453e-05,9.1662227337457e-05
165.6,128,0,12,9.1705782379397e-05,9.1705782379402e-05
166,128,0,12.4,9.1707788766063e-05,9.1707788766067e-05
166.4,128,0,12.8,9.1709795152728e-05,9.1709795152733e-05
166.8,128,0,13.2,9.1711801539394e-05,9.1711801539398e-05
167.2,128,0,13.6,9.1712177662427e-05,9.1712177662432e-05
167.6,128,0,14,9.1708568651086e-05,9.1708568651091e-05
168,128,0,14.4,9.1704959639745e-05,9.170495963975e-05
168.4,128,0,14.8,9.1701350628404e-05,9.1701350628409e-05
168.8,128,0,15.2,9.169726783539e-05,9.1697267835395e-05
169.2,128,0,15.6,9.1688894456707e-05,9.1688894456712e-05
169.6,128,0,16,9.1680521078025e-05,9.1680521078029e-05
170,128,0,16.4,9.1672147699342e-05,9.1672147699347e-05
170.4,128,0,16.8,9.166377432066e-05,9.1663774320664e-05
170.8,128,0,17.2,9.1663355137838e-05,9.1663355137843e-05
171.2,128,0,17.6,9.1664562655726e-05,9.166456265573e-05
171.6,128,0,18,9.1665770173613e-05,9.1665770173618e-05
172,128,0,18.4,9.1666977691501e-05,9.1666977691505e-05
172.4,128,0,18.8,9.1668185209388e-05,9.1668185209393e-05
172.8,128,0,19.2,9.1669392727276e-05,9.166939272728e-05
173.2,128,0,19.6,9.167059951272e-05,9.1670599512725e-05
173.6,128,0,20,9.1671711911753e-05,9.1671711911758e-05
174,128,0,20.4,9.1672824310786e-05,9.167282431079e-05
174.4,128,0,20.8,9.1673936709818e-05,9.1673936709823e-05
174.8,128,0,21.2,9.1674357162878e-05,9.1674357162883e-05
175.2,128,0,21.6,9.1674208653764e-05,9.1674208653769e-05
175.6,128,0,22,9.1673915637035e-05,9.167391563704e-05
176,128,0,22.4,9.1673622620307e-05,9.1673622620311e-05
176.4,128,0,22.8,9.1673329603578e-05,9.1673329603583e-05
176.8,128,0,23.2,9.1673015596936e-05,9.1673015596941e-05
177.2,128,0,23.6,9.1672649077621e-05,9.1672649077626e-05
177.6,128,0,24,9.1672282558305e-05,9.167228255831e-05
178,128,0,24.4,9.167191603899e-05,9.1671916038995e-05
178.4,128,0,24.8,9.1671549519674e-05,9.1671549519679e-05
178.8,128,0,25.2,9.1671488119565e-05,9.167148811957e-05
179.2,128,0,25.6,9.1671539780539e-05,9.1671539780544e-05
179.6,128,0,26,9.1671591441513e-05,9.1671591441518e-05
180,128,0,26.4,9.1671643102487e-05,9.1671643102492e-05
180.4,128,0,26.8,9.1671694763462e-05,9.1671694763466e-05
180.8,128,0,27.2,9.1671746424436e-05,9.167174642444e-05
181.2,128,0,27.6,9.1671795547459e-05,9.1671795547463e-05
181.6,128,0,28,9.1671841281957e-05,9.1671841281962e-05
182,128,0,28.4,9.1671887016455e-05,9.167188701646e-05
182.4,128,0,28.8,9.1671929567396e-05,9.16719295674e-05
182.8,128,0,29.2,9.1671914272843e-05,9.1671914272848e-05
183.2,128,0,29.6,9.1671904549179e-05,9.1671904549183e-05
183.6,128,0,30,9.1671900694489e-05,9.1671900694494e-05
184,128,0,30.4,9.16718968398e-05,9.1671896839805e-05
184.4,128,0,30.8,9.1671892985111e-05,9.1671892985115e-05
184.8,128,0,31.2,9.1671889130421e-05,9.1671889130426e-05
185.2,128,0,31.6,9.1671885275732e-05,9.1671885275737e-05
185.6,128,0,32,9.1671881421043e-05,9.1671881421047e-05
186,128,0,32.4,9.1671877566353e-05,9.1671877566358e-05
186.4,128,0,32.8,9.1671873711664e-05,9.1671873711668e-05
186.8,128,0,33.2,9.1671869856974e-05,9.1671869856979e-05
187.2,128,0,33.6,9.1671866002285e-05,9.167186600229e-05
187.6,128,0,34,9.167186519661e-05,9.1671865196614e-05
188,128,0,34.4,9.1671868639065e-05,9.167186863907e-05
188.4,128,0,34.8,9.1671872081521e-05,9.1671872081526e-05
188.8,128,0,35.2,9.1671875523977e-05,9.1671875523982e-05
189.2,128,0,35.6,9.1671878966433e-05,9.1671878966438e-05
189.6,128,0,36,9.1671882408889e-05,9.1671882408894e-05
190,128,0,36.4,9.1671885851345e-05,9.167188585135e-05
190.4,128,0,36.8,9.1671889293801e-05,9.1671889293806e-05
190.8,128,0,37.2,9.1671892736257e-05,9.1671892736261e-05
191.2,128,0,37.6,9.1671857753544e-05,9.1671857753549e-05
191.6,128,0,38,9.16718099681e-05,9.1671809968105e-05
192,128,0,38.4,9.1671762182656e-05,9.1671762182661e-05
192.4,128,0,38.8,9.1671714397212e-05,9.1671714397216e-05
192.8,128,0,39.2,9.1671735029278e-05,9.1671735029283e-05
193.2,128,0,39.6,9.1671844419947e-05,9.1671844419952e-05
193.6,128,0,40,9.1671953810617e-05,9.1671953810621e-05
194,128,0,40.4,9.1672063201286e-05,9.1672063201291e-05
194.4,128,0,40.8,9.1672172591955e-05,9.167217259196e-05
194.8,128,0,41.2,9.1672281982625e-05,9.1672281982629e-05
195.2,128,0,41.6,9.167236737935e-05,9.1672367379354e-05
195.6,128,0,42,9.1672396668342e-05,9.1672396668347e-05
196,128,0,42.4,9.1672425957335e-05,9.167242595734e-05
196.4,128,0,42.8,9.1672455246328e-05,9.1672455246333e-05
196.8,128,0,43.2,9.1672484535321e-05,9.1672484535325e-05
197.2,128,0,43.6,9.1672513824314e-05,9.1672513824318e-05
197.6,128,0,44,9.1672543113306e-05,9.1672543113311e-05
198,128,0,44.4,9.1672572402299e-05,9.1672572402304e-05
198.4,128,0,44.8,9.1672601691292e-05,9.1672601691297e-05
198.8,128,0,45.2,9.1672758268131e-05,9.1672758268136e-05
199.2,128,0,45.6,9.167292108572e-05,9.1672921085724e-05
199.6,128,0,46,9.1673083903308e-05,9.1673083903313e-05
200,128,0,46.4,9.1673246720897e-05,9.1673246720902e-05
200.4,128,0,46.8,9.1672959847039e-05,9.1672959847043e-05
200.8,128,0,47.2,9.1672447381161e-05,9.1672447381166e-05
201.2,128,0,47.6,9.1671934915284e-05,9.1671934915289e-05
201.6,128,0,48,9.1671422449407e-05,9.1671422449411e-05
202,128,0,48.4,9.1670909983529e-05,9.1670909983534e-05
202.4,128,0,48.8,9.1670397517652e-05,9.1670397517657e-05
202.8,128,0,49.2,9.1669885051775e-05,9.1669885051779e-05
203.2,128,0,49.6,9.1669372585897e-05,9.1669372585902e-05
203.6,128,0,50,9.166886012002e-05,9.1668860120025e-05
204,128,0,50.4,9.1668347654143e-05,9.1668347654147e-05
204.4,128,0,50.8,9.1667835188265e-05,9.166783518827e-05
204.8,128,0,51.2,9.1667322722388e-05,9.1667322722393e-05
205.2,128,0,51.6,9.1666810256511e-05,9.1666810256515e-05
205.6,128,0,52,9.1667289567995e-05,9.1667289568e-05
206,128,0,52.4,9.1669071083127e-05,9.1669071083132e-05
206.4,128,0,52.8,9.1670852598259e-05,9.1670852598264e-05
206.8,128,0,53.2,9.1672634113391e-05,9.1672634113396e-05
207.2,128,0,53.6,9.1674415628523e-05,9.1674415628527e-05
207.6,128,0,54,9.1676197143655e-05,9.1676197143659e-05
208,128,0,54.4,9.1677978658787e-05,9.1677978658791e-05
208.4,128,0,54.8,9.1679760173919e-05,9.1679760173923e-05
208.8,128,0,55.2,9.1681541689051e-05,9.1681541689055e-05
209.2,128,0,55.6,9.1683323204183e-05,9.1683323204187e-05
209.6,128,0,56,9.1685104719315e-05,9.1685104719319e-05
210,128,0,56.4,9.1686886234446e-05,9.1686886234451e-05
210.4,128,0,56.8,9.1688667749578e-05,9.1688667749583e-05
210.8,128,0,57.2,9.169044926471e-05,9.1690449264715e-05
211.2,128,0,57.6,9.1692454393319e-05,9.1692454393324e-05
