x,y,z,id,xi,xv
153.6,128,0,0,3.2793814687306e-218,3.2793814687306e-218
154,128,0,0.40000000000001,1.3215840276939e-05,1.321584027694e-05
154.4,128,0,0.80000000000001,2.643168055388e-05,2.6431680553881e-05
154.8,128,0,1.2,3.9647520830817e-05,3.9647520830818e-05
155.2,128,0,1.6,5.2863361107755e-05,5.2863361107757e-05
155.6,128,0,2,6.6079201384694e-05,6.6079201384696e-05
156,128,0,2.4,7.9295041661633e-05,7.9295041661635e-05
156.4,128,0,2.8,8.5349402197891e-05,8.5349402197894e-05
156.8,128,0,3.2,8.314311389833e-05,8.3143113898333e-05
157.2,128,0,3.6,8.1642834360944e-05,8.1642834360946e-05
157.6,128,0,4,8.0142554823557e-05,8.0142554823559e-05
158,128,0,4.4,7.864227528617e-05,7.8642275286173e-05
158.4,128,0,4.8,7.7911253960758e-05,7.7911253960761e-05
158.8,128,0,5.2,7.7934022487427e-05,7.7934022487429e-05
159.2,128,0,5.6,7.7956791014095e-05,7.7956791014097e-05
159.6,128,0,6,7.8188436081992e-05,7.8188436081994e-05
160,128,0,6.4,7.8492099377741e-05,7.8492099377743e-05
160.4,128,0,6.8,7.879576267349e-05,7.8795762673492e-05
160.8,128,0,7.2,7.9099425969239e-05,7.9099425969242e-05
161.2,128,0,7.6,7.9059315593169e-05,7.9059315593171e-05
161.6,128,0,8,7.8868961276265e-05,7.8868961276267e-05
162,128,0,8.4,7.8678606959361e-05,7.8678606959363e-05
162.4,128,0,8.8,7.8616323183642e-05,7.8616323183644e-05
162.8,128,0,9.2,7.8584610759613e-05,7.8584610759616e-05
163.2,128,0,9.6,7.8552898335584e-05,7.8552898335587e-05
163.6,128,0,10,7.8521185911556e-05,7.8521185911558e-05
164,128,0,10.4,7.8489473487527e-05,7.8489473487529e-05
164.4,128,0,10.8,7.8472820855719e-05,7.8472820855721e-05
164.8,128,0,11.2,7.8517145377047e-05,7.8517145377049e-05
165.2,128,0,11.6,7.8561469898375e-05,7.8561469898378e-05
165.6,128,0,12,7.8600437301441e-05,7.8600437301443e-05
166,128,0,12.4,7.8602293114861e-05,7.8602293114864e-05
166.4,128,0,12.8,7.8604148928282e-05,7.8604148928284e-05
166.8,128,0,13.2,7.8606004741703e-05,7.8606004741705e-05
167.2,128,0,13.6,7.8606382247347e-05,7.8606382247349e-05
167.6,128,0,14,7.8603146070502e-05,7.8603146070504e-05
168,128,0,14.4,7.8599909893657e-05,7.859990989366e-05
168.4,128,0,14.8,7.8596673716813e-05,7.8596673716815e-05
168.8,128,0,15.2,7.8593013156506e-05,7.8593013156509e-05
169.2,128,0,15.6,7.85855093627e-05,7.8585509362702e-05
169.6,128,0,16,7.8578005568893e-05,7.8578005568896e-05
170,128,0,16.4,7.8570501775087e-05,7.8570501775089e-05
170.4,128,0,16.8,7.856299798128e-05,7.8562997981282e-05
170.8,128,0,17.2,7.8562623619137e-05,7.8562623619139e-05
171.2,128,0,17.6,7.8563707286409e-05,7.8563707286411e-05
171.6,128,0,18,7.8564790953681e-05,7.8564790953683e-05
172,128,0,18.4,7.8565874620953e-05,7.8565874620956e-05
172.4,128,0,18.8,7.8566958288226e-05,7.8566958288228e-05
172.8,128,0,19.2,7.8568041955498e-05,7.85680419555e-05
173.2,128,0,19.6,7.8569124951204e-05,7.8569124951207e-05
173.6,128,0,20,7.8570121405454e-05,7.8570121405456e-05
174,128,0,20.4,7.8571117859704e-05,7.8571117859706e-05
174.4,128,0,20.8,7.8572114313953e-05,7.8572114313955e-05
174.8,128,0,21.2,7.8572492309963e-05,7.8572492309965e-05
175.2,128,0,21.6,7.8572361329883e-05,7.8572361329885e-05
175.6,128,0,22,7.8572095892792e-05,7.8572095892794e-05
176,128,0,22.4,7.8571830455701e-05,7.8571830455704e-05
176.4,128,0,22.8,7.857156501861e-05,7.8571565018613e-05
176.8,128,0,23.2,7.8571280914077e-05,7.8571280914079e-05
177.2,128,0,23.6,7.8570950107237e-05,7.8570950107239e-05
177.6,128,0,24,7.8570619300397e-05,7.8570619300399e-05
178,128,0,24.4,7.8570288493557e-05,7.857028849356e-05
178.4,128,0,24.8,7.8569957686717e-05,7.856995768672e-05
178.8,128,0,25.2,7.8569903730113e-05,7.8569903730115e-05
179.2,128,0,25.6,7.8569952359602e-05,7.8569952359605e-05
179.6,128,0,26,7.8570000989092e-05,7.8570000989094e-05
180,128,0,26.4,7.8570049618581e-05,7.8570049618583e-05
180.4,128,0,26.8,7.8570098248071e-05,7.8570098248073e-05
180.8,128,0,27.2,7.857014687756e-05,7.8570146877562e-05
181.2,128,0,27.6,7.8570193151662e-05,7.8570193151664e-05
181.6,128,0,28,7.8570236280988e-05,7.857023628099e-05
182,128,0,28.4,7.8570279410314e-05,7.8570279410316e-05
182.4,128,0,28.8,7.8570319737857e-05,7.857031973786e-05
182.8,128,0,29.2,7.8570309156798e-05,7.8570309156801e-05
183.2,128,0,29.6,7.8570298930484e-05,7.8570298930486e-05
183.6,128,0,30,7.8570289077895e-05,7.8570289077898e-05
184,128,0,30.4,7.8570279225307e-05,7.8570279225309e-05
184.4,128,0,30.8,7.8570269372718e-05,7.8570269372721e-05
184.8,128,0,31.2,7.857025952013e-05,7.8570259520132e-05
185.2,128,0,31.6,7.8570249667541e-05,7.8570249667544e-05
185.6,128,0,32,7.8570239814953e-05,7.8570239814955e-05
186,128,0,32.4,7.8570229962364e-05,7.8570229962367e-05
186.4,128,0,32.8,7.8570220109776e-05,7.8570220109778e-05
186.8,128,0,33.2,7.8570210257187e-05,7.857021025719e-05
187.2,128,0,33.6,7.8570200404599e-05,7.8570200404601e-05
187.6,128,0,34,7.8570195046066e-05,7.8570195046068e-05
188,128,0,34.4,7.8570195949013e-05,7.8570195949015e-05
188.4,128,0,34.8,7.857019685196e-05,7.8570196851962e-05
188.8,128,0,35.2,7.8570197754906e-05,7.8570197754909e-05
189.2,128,0,35.6,7.8570198657853e-05,7.8570198657855e-05
189.6,128,0,36,7.85701995608e-05,7.8570199560802e-05
190,128,0,36.4,7.8570200463747e-05,7.8570200463749e-05
190.4,128,0,36.8,7.8570201366694e-05,7.8570201366696e-05
190.8,128,0,37.2,7.857020226964e-05,7.8570202269643e-05
191.2,128,0,37.6,7.857020373861e-05,7.8570203738613e-05
191.6,128,0,38,7.8570205396172e-05,7.8570205396174e-05
192,128,0,38.4,7.8570207053733e-05,7.8570207053735e-05
192.4,128,0,38.8,7.8570208711294e-05,7.8570208711296e-05
192.8,128,0,39.2,7.8570209586572e-05,7.8570209586574e-05
193.2,128,0,39.6,7.8570209446988e-05,7.857020944699e-05
193.6,128,0,40,7.8570209307404e-05,7.8570209307406e-05
194,128,0,40.4,7.857020916782e-05,7.8570209167823e-05
194.4,128,0,40.8,7.8570209028236e-05,7.8570209028239e-05
194.8,128,0,41.2,7.8570208888652e-05,7.8570208888655e-05
195.2,128,0,41.6,7.8570209191006e-05,7.8570209191009e-05
195.6,128,0,42,7.8570210526794e-05,7.8570210526796e-05
196,128,0,42.4,7.8570211862581e-05,7.8570211862583e-05
196.4,128,0,42.8,7.8570213198368e-05,7.857021319837e-05
196.8,128,0,43.2,7.8570214534155e-05,7.8570214534157e-05
197.2,128,0,43.6,7.8570215869942e-05,7.8570215869944e-05
197.6,128,0,44,7.8570217205729e-05,7.8570217205731e-05
198,128,0,44.4,7.8570218541516e-05,7.8570218541518e-05
198.4,128,0,44.8,7.8570219877303e-05,7.8570219877306e-05
198.8,128,0,45.2,7.8570219145208e-05,7.8570219145211e-05
199.2,128,0,45.6,7.8570218311728e-05,7.857021831173e-05
199.6,128,0,46,7.8570217478248e-05,7.857021747825e-05
200,128,0,46.4,7.8570216644768e-05,7.857021664477e-05
200.4,128,0,46.8,7.8570216558069e-05,7.8570216558071e-05
200.8,128,0,47.2,7.8570216846e-05,7.8570216846003e-05
201.2,128,0,47.6,7.8570217133932e-05,7.8570217133934e-05
201.6,128,0,48,7.8570217421863e-05,7.8570217421865e-05
202,128,0,48.4,7.8570217709794e-05,7.8570217709797e-05
202.4,128,0,48.8,7.8570217997726e-05,7.8570217997728e-05
202.8,128,0,49.2,7.8570218285657e-05,7.8570218285659e-05
203.2,128,0,49.6,7.8570218573588e-05,7.857021857359e-05
203.6,128,0,50,7.8570218861519e-05,7.8570218861522e-05
204,128,0,50.4,7.8570219149451e-05,7.8570219149453e-05
204.4,128,0,50.8,7.8570219437382e-05,7.8570219437384e-05
204.8,128,0,51.2,7.8570219725313e-05,7.8570219725316e-05
205.2,128,0,51.6,7.8570220013245e-05,7.8570220013247e-05
205.6,128,0,52,7.8570220010312e-05,7.8570220010315e-05
206,128,0,52.4,7.8570219625476e-05,7.8570219625478e-05
206.4,128,0,52.8,7.8570219240639e-05,7.8570219240641e-05
206.8,128,0,53.2,7.8570218855803e-05,7.8570218855805e-05
207.2,128,0,53.6,7.8570218470966e-05,7.8570218470968e-05
207.6,128,0,54,7.8570218086129e-05,7.8570218086132e-05
208,128,0,54.4,7.8570217701293e-05,7.8570217701295e-05
208.4,128,0,54.8,7.8570217316456e-05,7.8570217316459e-05
208.8,128,0,55.2,7.857021693162e-05,7.8570216931622e-05
209.2,128,0,55.6,7.8570216546783e-05,7.8570216546785e-05
209.6,128,0,56,7.8570216161947e-05,7.8570216161949e-05
210,128,0,56.4,7.857021577711e-05,7.8570215777112e-05
210.4,128,0,56.8,7.8570215392273e-05,7.8570215392276e-05
210.8,128,0,57.2,7.8570215007437e-05,7.8570215007439e-05
211.2,128,0,57.6,7.8570214646468e-05,7.8570214646471e-05
211.6,128,0,58,7.8570214581728e-05,7.857021458173e-05
212,128,0,58.4,7.8570214806905e-05,7.8570214806908e-05
212.4,128,0,58.8,7.8570215032083e-05,7.8570215032085e-05
212.8,128,0,59.2,7.857021525726e-05,7.8570215257263e-05
213.2,128,0,59.6,7.8570215482438e-05,7.857021548244e-05
213.6,128,0,60,7.8570215707615e-05,7.8570215707617e-05
214,128,0,60.4,7.8570215932793e-05,7.8570215932795e-05
214.4,128,0,60.8,7.857021615797e-05,7.8570216157972e-05
214.8,128,0,61.2,7.8570216383148e-05,7.857021638315e-05
215.2,128,0,61.6,7.8570216608325e-05,7.8570216608327e-05
215.6,128,0,62,7.8570216833503e-05,7.8570216833505e-05
216,128,0,62.4,7.857021705868e-05,7.8570217058682e-05
216.4,128,0,62.8,7.8570217283858e-05,7.857021728386e-05
216.8,128,0,63.2,7.8570217509035e-05,7.8570217509037e-05
217.2,128,0,63.6,7.8570217734213e-05,7.8570217734215e-05
217.6,128,0,64,7.857021795939e-05,7.8570217959392e-05
218,128,0,64.4,7.8570217491982e-05,7.8570217491985e-05
218.4,128,0,64.8,7.8570216145025e-05,7.8570216145027e-05
218.8,128,0,65.2,7.8570214798067e-05,7.857021479807e-05
219.2,128,0,65.6,7.8570214203412e-05,7.8570214203414e-05
219.6,128,0,66,7.8570215049468e-05,7.8570215049471e-05
220,128,0,66.4,7.8570215895525e-05,7.8570215895527e-05
220.4,128,0,66.8,7.8570216741581e-05,7.8570216741584e-05
220.8,128,0,67.2,7.8570217587638e-05,7.857021758764e-05
221.2,128,0,67.6,7.8570218433694e-05,7.8570218433696e-05
221.6,128,0,68,7.8570219279751e-05,7.8570219279753e-05
222,128,0,68.4,7.8570220045401e-05,7.8570220045403e-05
222.4,128,0,68.8,7.8570220482147e-05,7.8570220482149e-05
222.8,128,0,69.2,7.8570220918893e-05,7.8570220918895e-05
223.2,128,0,69.6,7.8570221355639e-05,7.8570221355641e-05
223.6,128,0,70,7.8570221792385e-05,7.8570221792388e-05
224,128,0,70.4,7.8570222229132e-05,7.8570222229134e-05
224.4,128,0,70.8,7.8570222665878e-05,7.857022266588e-05
224.8,128,0,71.2,7.8570223102624e-05,7.8570223102626e-05
225.2,128,0,71.6,7.857022353937e-05,7.8570223539373e-05
225.6,128,0,72,7.8570223976116e-05,7.8570223976119e-05
226,128,0,72.4,7.8570224412863e-05,7.8570224412865e-05
226.4,128,0,72.8,7.8570224849609e-05,7.8570224849611e-05
226.8,128,0,73.2,7.8570224968902e-05,7.8570224968904e-05
227.2,128,0,73.6,7.8570224696224e-05,7.8570224696226e-05
227.6,128,0,74,7.8570224423546e-05,7.8570224423548e-05
228,128,0,74.4,7.8570224150868e-05,7.857022415087e-05
228.4,128,0,74.8,7.857022387819e-05,7.8570223878192e-05
228.8,128,0,75.2,7.8570223605511e-05,7.8570223605514e-05
229.2,128,0,75.6,7.8570223332833e-05,7.8570223332836e-05
229.6,128,0,76,7.8570223060155e-05,7.8570223060158e-05
230,128,0,76.4,7.8570222787477e-05,7.8570222787479e-05
230.4,128,0,76.8,7.8570222514799e-05,7.8570222514801e-05
230.8,128,0,77.2,7.8570222242121e-05,7.8570222242123e-05
231.2,128,0,77.6,7.8570221969443e-05,7.8570221969445e-05
231.6,128,0,78,7.8570221696765e-05,7.8570221696767e-05
232,128,0,78.4,7.8570221424086e-05,7.8570221424089e-05
232.4,128,0,78.8,7.8570221151408e-05,7.8570221151411e-05
232.8,128,0,79.2,7.857022087873e-05,7.8570220878732e-05
233.2,128,0,79.6,7.8570220606052e-05,7.8570220606054e-05
233.6,128,0,80,7.8570220294126e-05,7.8570220294128e-05
234,128,0,80.4,7.8570219975444e-05,7.8570219975446e-05
234.4,128,0,80.8,7.8570219656762e-05,7.8570219656764e-05
234.8,128,0,81.2,7.8570219405324e-05,7.8570219405326e-05
235.2,128,0,81.6,7.8570219196001e-05,7.8570219196004e-05
235.6,128,0,82,7.8570218986679e-05,7.8570218986681e-05
236,128,0,82.4,7.8570218777356e-05,7.8570218777358e-05
236.4,128,0,82.8,7.8570218568033e-05,7.8570218568035e-05
236.8,128,0,83.2,7.857021835871e-05,7.8570218358713e-05
237.2,128,0,83.6,7.8570218149387e-05,7.857021814939e-05
237.6,128,0,84,7.8570217940065e-05,7.8570217940067e-05
238,128,0,84.4,7.8570217730742e-05,7.8570217730744e-05
238.4,128,0,84.8,7.8570217521419e-05,7.8570217521421e-05
238.8,128,0,85.2,7.8570217312096e-05,7.8570217312099e-05
239.2,128,0,85.6,7.8570217102774e-05,7.8570217102776e-05
239.6,128,0,86,7.8570216893451e-05,7.8570216893453e-05
240,128,0,86.4,7.8570216684128e-05,7.857021668413e-05
240.4,128,0,86.8,7.8570216474805e-05,7.8570216474807e-05
240.8,128,0,87.2,7.8570216356325e-05,7.8570216356327e-05
241.2,128,0,87.6,7.8570216320576e-05,7.8570216320578e-05
241.6,128,0,88,7.8570216284827e-05,7.8570216284829e-05
242,128,0,88.4,7.8570216249078e-05,7.857021624908e-05
242.4,128,0,88.8,7.8570216213329e-05,7.8570216213331e-05
242.8,128,0,89.2,7.857021617758e-05,7.8570216177582e-05
243.2,128,0,89.6,7.857021614183e-05,7.8570216141833e-05
243.6,128,0,90,7.8570216106081e-05,7.8570216106084e-05
244,128,0,90.4,7.8570216070332e-05,7.8570216070335e-05
244.4,128,0,90.8,7.8570216034583e-05,7.8570216034586e-05
244.8,128,0,91.2,7.8570215998834e-05,7.8570215998837e-05
245.2,128,0,91.6,7.8570215963085e-05,7.8570215963088e-05
245.6,128,0,92,7.8570215927336e-05,7.8570215927339e-05
246,128,0,92.4,7.8570215942751e-05,7.8570215942753e-05
246.4,128,0,92.8,7.857021622111e-05,7.8570216221113e-05
246.8,128,0,93.2,7.857021649947e-05,7.8570216499472e-05
247.2,128,0,93.6,7.8570216777829e-05,7.8570216777832e-05
247.6,128,0,94,7.8570217056189e-05,7.8570217056191e-05
248,128,0,94.4,7.8570217334549e-05,7.8570217334551e-05
248.4,128,0,94.8,7.8570217612908e-05,7.8570217612911e-05
248.8,128,0,95.2,7.8570218015325e-05,7.8570218015327e-05
249.2,128,0,95.6,7.8570218444981e-05,7.8570218444984e-05
249.6,128,0,96,7.8570218874638e-05,7.857021887464e-05
250,128,0,96.4,7.8570219304294e-05,7.8570219304297e-05
250.4,128,0,96.8,7.8570219733951e-05,7.8570219733953e-05
250.8,128,0,97.2,7.8570220163607e-05,7.857022016361e-05
251.2,128,0,97.6,7.8570220593264e-05,7.8570220593266e-05
251.6,128,0,98,7.857022102292e-05,7.8570221022923e-05
252,128,0,98.4,7.8570221452577e-05,7.8570221452579e-05
252.4,128,0,98.8,7.8570221882233e-05,7.8570221882236e-05
252.8,128,0,99.2,7.857022231189e-05,7.8570222311892e-05
253.2,128,0,99.6,7.8570222741546e-05,7.8570222741549e-05
253.6,128,0,100,7.8570223171203e-05,7.8570223171205e-05
254,128,0,100.4,7.8570223600859e-05,7.8570223600862e-05
254.4,128,0,100.8,7.8570224030516e-05,7.8570224030518e-05
254.8,128,0,101.2,7.8570224460172e-05,7.8570224460175e-05
255.2,128,0,101.6,7.8570224889829e-05,7.8570224889831e-05
255.6,128,0,102,7.8570225319485e-05,7.8570225319488e-05
256,128,0,102.4,7.8570225749142e-05,7.8570225749144e-05
