x,y,z,id,xi,xv
153.6,128,0,0,6.9536173402652e-279,6.9536173402652e-279
154,128,0,0.40000000000001,1.6651691963724e-05,1.6651691963726e-05
154.4,128,0,0.80000000000001,3.330338392745e-05,3.3303383927453e-05
154.8,128,0,1.2,4.9955075891172e-05,4.9955075891175e-05
155.2,128,0,1.6,6.6606767854895e-05,6.6606767854899e-05
155.6,128,0,2,8.3258459818619e-05,8.3258459818624e-05
156,128,0,2.4,9.9910151782342e-05,9.9910151782349e-05
156.4,128,0,2.8,0.00010769373586751,0.00010769373586752
156.8,128,0,3.2,0.00010514974964844,0.00010514974964844
157.2,128,0,3.6,0.00010334498772531,0.00010334498772532
157.6,128,0,4,0.00010154022580218,0.00010154022580219
158,128,0,4.4,9.9735463879051e-05,9.9735463879058e-05
158.4,128,0,4.8,9.8865322347513e-05,9.886532234752e-05
158.8,128,0,5.2,9.8911007720078e-05,9.8911007720085e-05
159.2,128,0,5.6,9.8956693092643e-05,9.895669309265e-05
159.6,128,0,6,9.922938162694e-05,9.9229381626947e-05
160,128,0,6.4,9.9580338239253e-05,9.958033823926e-05
160.4,128,0,6.8,9.9931294851566e-05,9.9931294851573e-05
160.8,128,0,7.2,0.00010028225146388,0.00010028225146389
161.2,128,0,7.6,0.00010023429683432,0.00010023429683433
161.6,128,0,8,0.00010001200076465,0.00010001200076465
162,128,0,8.4,9.9789704694967e-05,9.9789704694974e-05
162.4,128,0,8.8,9.9717599293487e-05,9.9717599293494e-05
162.8,128,0,9.2,9.9681345475795e-05,9.9681345475801e-05
163.2,128,0,9.6,9.9645091658102e-05,9.9645091658109e-05
163.6,128,0,10,9.960883784041e-05,9.9608837840416e-05
164,128,0,10.4,9.9572584022717e-05,9.9572584022724e-05
164.4,128,0,10.8,9.9553660769699e-05,9.9553660769706e-05
164.8,128,0,11.2,9.9604909035688e-05,9.9604909035695e-05
165.2,128,0,11.6,9.9656157301677e-05,9.9656157301684e-05
165.6,128,0,12,9.9701193312636e-05,9.9701193312643e-05
166,128,0,12.4,9.9703193749594e-05,9.9703193749601e-05
166.4,128,0,12.8,9.9705194186552e-05,9.9705194186559e-05
166.8,128,0,13.2,9.970719462351e-05,9.9707194623517e-05
167.2,128,0,13.6,9.9707533430755e-05,9.9707533430762e-05
167.6,128,0,14,9.9703810430109e-05,9.9703810430116e-05
168,128,0,14.4,9.9700087429463e-05,9.9700087429469e-05
168.4,128,0,14.8,9.9696364428816e-05,9.9696364428823e-05
168.8,128,0,15.2,9.9692152181425e-05,9.9692152181432e-05
169.2,128,0,15.6,9.9683509296058e-05,9.9683509296064e-05
169.6,128,0,16,9.967486641069e-05,9.9674866410697e-05
170,128,0,16.4,9.9666223525323e-05,9.966622352533e-05
170.4,128,0,16.8,9.9657580639956e-05,9.9657580639963e-05
170.8,128,0,17.2,9.9657146640599e-05,9.9657146640606e-05
171.2,128,0,17.6,9.9658391428253e-05,9.9658391428259e-05
171.6,128,0,18,9.9659636215906e-05,9.9659636215913e-05
172,128,0,18.4,9.966088100356e-05,9.9660881003567e-05
172.4,128,0,18.8,9.9662125791214e-05,9.9662125791221e-05
172.8,128,0,19.2,9.9663370578868e-05,9.9663370578874e-05
173.2,128,0,19.6,9.9664614622451e-05,9.9664614622458e-05
173.6,128,0,20,9.9665762781194e-05,9.96657627812e-05
174,128,0,20.4,9.9666910939936e-05,9.9666910939943e-05
174.4,128,0,20.8,9.9668059098679e-05,9.9668059098686e-05
174.8,128,0,21.2,9.966849310504e-05,9.9668493105046e-05
175.2,128,0,21.6,9.9668340147725e-05,9.9668340147731e-05
175.6,128,0,22,9.9668041149705e-05,9.9668041149712e-05
176,128,0,22.4,9.9667742151686e-05,9.9667742151693e-05
176.4,128,0,22.8,9.9667443153667e-05,9.9667443153674e-05
176.8,128,0,23.2,9.9667122066044e-05,9.9667122066051e-05
177.2,128,0,23.6,9.9666745714537e-05,9.9666745714544e-05
177.6,128,0,24,9.966636936303e-05,9.9666369363036e-05
178,128,0,24.4,9.9665993011522e-05,9.9665993011529e-05
178.4,128,0,24.8,9.9665616660015e-05,9.9665616660022e-05
178.8,128,0,25.2,9.9665553575654e-05,9.9665553575661e-05
179.2,128,0,25.6,9.9665606571572e-05,9.9665606571579e-05
179.6,128,0,26,9.9665659567491e-05,9.9665659567498e-05
180,128,0,26.4,9.9665712563409e-05,9.9665712563416e-05
180.4,128,0,26.8,9.9665765559328e-05,9.9665765559335e-05
180.8,128,0,27.2,9.9665818555246e-05,9.9665818555253e-05
181.2,128,0,27.6,9.9665868357659e-05,9.9665868357666e-05
181.6,128,0,28,9.9665913896288e-05,9.9665913896294e-05
182,128,0,28.4,9.9665959434916e-05,9.9665959434923e-05
182.4,128,0,28.8,9.9666001973929e-05,9.9666001973935e-05
182.8,128,0,29.2,9.9665990009678e-05,9.9665990009685e-05
183.2,128,0,29.6,9.9665978519957e-05,9.9665978519964e-05
183.6,128,0,30,9.9665967530157e-05,9.9665967530164e-05
184,128,0,30.4,9.9665956540357e-05,9.9665956540364e-05
184.4,128,0,30.8,9.9665945550557e-05,9.9665945550564e-05
184.8,128,0,31.2,9.9665934560757e-05,9.9665934560764e-05
185.2,128,0,31.6,9.9665923570957e-05,9.9665923570964e-05
185.6,128,0,32,9.9665912581157e-05,9.9665912581164e-05
186,128,0,32.4,9.9665901591357e-05,9.9665901591364e-05
186.4,128,0,32.8,9.9665890601557e-05,9.9665890601563e-05
186.8,128,0,33.2,9.9665879611757e-05,9.9665879611763e-05
187.2,128,0,33.6,9.9665868621956e-05,9.9665868621963e-05
187.6,128,0,34,9.9665863383515e-05,9.9665863383522e-05
188,128,0,34.4,9.9665866158329e-05,9.9665866158335e-05
188.4,128,0,34.8,9.9665868933142e-05,9.9665868933149e-05
188.8,128,0,35.2,9.9665871707956e-05,9.9665871707963e-05
189.2,128,0,35.6,9.966587448277e-05,9.9665874482777e-05
189.6,128,0,36,9.9665877257583e-05,9.966587725759e-05
190,128,0,36.4,9.9665880032397e-05,9.9665880032404e-05
190.4,128,0,36.8,9.9665882807211e-05,9.9665882807218e-05
190.8,128,0,37.2,9.9665885582024e-05,9.9665885582031e-05
191.2,128,0,37.6,9.9665887988548e-05,9.9665887988555e-05
191.6,128,0,38,9.9665890272362e-05,9.9665890272368e-05
192,128,0,38.4,9.9665892556175e-05,9.9665892556182e-05
192.4,128,0,38.8,9.9665894839989e-05,9.9665894839996e-05
192.8,128,0,39.2,9.9665895904179e-05,9.9665895904186e-05
193.2,128,0,39.6,9.9665895386141e-05,9.9665895386148e-05
193.6,128,0,40,9.9665894868103e-05,9.966589486811e-05
194,128,0,40.4,9.9665894350065e-05,9.9665894350072e-05
194.4,128,0,40.8,9.9665893832026e-05,9.9665893832033e-05
194.8,128,0,41.2,9.9665893313988e-05,9.9665893313995e-05
195.2,128,0,41.6,9.9665892875123e-05,9.966589287513e-05
195.6,128,0,42,9.9665892621397e-05,9.9665892621404e-05
196,128,0,42.4,9.9665892367671e-05,9.9665892367678e-05
196.4,128,0,42.8,9.9665892113945e-05,9.9665892113952e-05
196.8,128,0,43.2,9.9665891860219e-05,9.9665891860226e-05
197.2,128,0,43.6,9.9665891606493e-05,9.96658916065e-05
197.6,128,0,44,9.9665891352767e-05,9.9665891352774e-05
198,128,0,44.4,9.9665891099041e-05,9.9665891099047e-05
198.4,128,0,44.8,9.9665890845315e-05,9.9665890845321e-05
198.8,128,0,45.2,9.9665890757262e-05,9.9665890757269e-05
199.2,128,0,45.6,9.9665890677333e-05,9.9665890677339e-05
199.6,128,0,46,9.9665890597403e-05,9.966589059741e-05
200,128,0,46.4,9.9665890517473e-05,9.966589051748e-05
200.4,128,0,46.8,9.9665890618118e-05,9.9665890618125e-05
200.8,128,0,47.2,9.9665890809349e-05,9.9665890809356e-05
201.2,128,0,47.6,9.966589100058e-05,9.9665891000587e-05
201.6,128,0,48,9.9665891191812e-05,9.9665891191819e-05
