x,y,z,id,xi,xv
0,128,0,0,3.6361525577616e-298,3.6361525577616e-298
1,128,0,1,3.5187855109968e-05,3.5292616788759e-05
2,128,0,2,2.6783244075119e-05,2.6861731861837e-05
3,128,0,3,2.9094571049368e-05,2.9180209927053e-05
4,128,0,4,2.8479725914473e-05,2.8563456915702e-05
5,128,0,5,2.8644791302457e-05,2.8729034125347e-05
6,128,0,6,2.8600586033114e-05,2.8684691772262e-05
7,128,0,7,2.8612433827098e-05,2.8696576322451e-05
8,128,0,8,2.8609259176076e-05,2.8693391820327e-05
9,128,0,9,2.8610107935468e-05,2.8694243189776e-05
10,128,0,10,2.8609882096913e-05,2.8694016676592e-05
11,128,0,11,2.8609941985414e-05,2.8694076736111e-05
12,128,0,12,2.8609924417868e-05,2.8694059099019e-05
13,128,0,13,2.8609928169628e-05,2.8694062854507e-05
14,128,0,14,2.8609928690023e-05,2.8694063397706e-05
15,128,0,15,2.8609929107343e-05,2.8694063817602e-05
16,128,0,16,2.8609929453548e-05,2.8694064170263e-05
17,128,0,17,2.8609929593377e-05,2.8694064311991e-05
18,128,0,18,2.8609930303363e-05,2.869406503313e-05
19,128,0,19,2.8609927308112e-05,2.8694061991127e-05
20,128,0,20,2.86099291721e-05,2.8694063884202e-05
21,128,0,21,2.8609927761894e-05,2.8694062451992e-05
22,128,0,22,2.860992800912e-05,2.8694062703076e-05
23,128,0,23,2.8609927727744e-05,2.8694062417311e-05
24,128,0,24,2.8609930633793e-05,2.86940653687e-05
25,128,0,25,2.8609927989427e-05,2.8694062683076e-05
26,128,0,26,2.8609927195614e-05,2.8694061876878e-05
27,128,0,27,2.860992704795e-05,2.869406172691e-05
28,128,0,28,2.8609928014566e-05,2.8694062708608e-05
29,128,0,29,2.8609927229066e-05,2.8694061910852e-05
30,128,0,30,2.8609928280973e-05,2.8694062979171e-05
31,128,0,31,2.8609927269818e-05,2.869406195224e-05
32,128,0,32,2.8609927976888e-05,2.8694062670341e-05
33,128,0,33,2.8609927363738e-05,2.8694062047625e-05
34,128,0,34,2.8609930389864e-05,2.8694065120964e-05
35,128,0,35,2.8609930044324e-05,2.8694064770033e-05
36,128,0,36,2.8609928206606e-05,2.8694062903644e-05
37,128,0,37,2.8609929916948e-05,2.869406464067e-05
38,128,0,38,2.8609927593003e-05,2.8694062280467e-05
39,128,0,39,2.8609927045089e-05,2.8694061724004e-05
40,128,0,40,2.8609930409862e-05,2.8694065141274e-05
41,128,0,41,2.8609928161069e-05,2.8694062857396e-05
42,128,0,42,2.8609927772685e-05,2.8694062462953e-05
43,128,0,43,2.860992982743e-05,2.8694064549756e-05
44,128,0,44,2.8609930279157e-05,2.869406500853e-05
45,128,0,45,2.860992825772e-05,2.8694062955554e-05
46,128,0,46,2.8609929448502e-05,2.8694064164916e-05
47,128,0,47,2.8609930194124e-05,2.869406492217e-05
48,128,0,48,2.8609930338975e-05,2.8694065069281e-05
49,128,0,49,2.860992710715e-05,2.8694061787034e-05
50,128,0,50,2.8609929073398e-05,2.8694063783959e-05
51,128,0,51,2.8609929551633e-05,2.8694064269656e-05
52,128,0,52,2.860992742355e-05,2.8694062108371e-05
53,128,0,53,2.8609929125212e-05,2.8694063836581e-05
54,128,0,54,2.8609927349803e-05,2.8694062033472e-05
55,128,0,55,2.8609930071274e-05,2.8694064797406e-05
56,128,0,56,2.8609930430789e-05,2.8694065162549e-05
57,128,0,57,2.8609927582227e-05,2.8694062269469e-05
58,128,0,58,2.8609927196126e-05,2.8694061877518e-05
59,128,0,59,2.86099281912e-05,2.869406288788e-05
60,128,0,60,2.8609929550109e-05,2.8694064267913e-05
61,128,0,61,2.8609927247685e-05,2.869406192978e-05
62,128,0,62,2.8609930388942e-05,2.8694065119076e-05
63,128,0,63,2.8609928324245e-05,2.8694063025388e-05
64,128,0,64,2.8609931113903e-05,2.8694065846626e-05
65,128,0,65,2.8609927366872e-05,2.8694062069379e-05
66,128,0,66,2.8609917664654e-05,2.869405232782e-05
67,128,0,67,2.8609930801489e-05,2.8694065503866e-05
68,128,0,68,2.8609929445685e-05,2.8694064171521e-05
69,128,0,69,2.8609930396728e-05,2.869406512545e-05
70,128,0,70,2.8609929305152e-05,2.8694064020043e-05
71,128,0,71,2.8609927450729e-05,2.8694062135759e-05
72,128,0,72,2.860992821262e-05,2.8694062909815e-05
73,128,0,73,2.8609929109998e-05,2.8694063821122e-05
74,128,0,74,2.8609928645552e-05,2.8694063349441e-05
75,128,0,75,2.8609930487649e-05,2.8694065220274e-05
76,128,0,76,2.8609930182582e-05,2.8694064910449e-05
77,128,0,77,2.8609929371842e-05,2.869406408706e-05
78,128,0,78,2.8609927562906e-05,2.8694062249901e-05
79,128,0,79,2.8609929404243e-05,2.8694064119966e-05
80,128,0,80,2.8609930472953e-05,2.869406520535e-05
81,128,0,81,2.8609929204468e-05,2.8694063917074e-05
82,128,0,82,2.8609927171828e-05,2.8694061852721e-05
83,128,0,83,2.8609928093612e-05,2.8694062788886e-05
84,128,0,84,2.8609928827805e-05,2.8694063534535e-05
85,128,0,85,2.8609928987441e-05,2.8694063696661e-05
86,128,0,86,2.8609928692132e-05,2.8694063396744e-05
87,128,0,87,2.8609929037101e-05,2.8694063747096e-05
88,128,0,88,2.8609927999495e-05,2.8694062693301e-05
89,128,0,89,2.8609927066311e-05,2.8694061745557e-05
90,128,0,90,2.8609927400777e-05,2.8694062085242e-05
91,128,0,91,2.8609930431071e-05,2.8694065162814e-05
92,128,0,92,2.8609927836312e-05,2.8694062527572e-05
93,128,0,93,2.8609929172868e-05,2.8694063884981e-05
94,128,0,94,2.8609927895952e-05,2.8694062588143e-05
95,128,0,95,2.860992943666e-05,2.8694064152888e-05
96,128,0,96,2.8609928209237e-05,2.8694062906315e-05
97,128,0,97,2.8609928916593e-05,2.8694063624707e-05
98,128,0,98,2.8609927606532e-05,2.8694062294207e-05
99,128,0,99,2.8609930094285e-05,2.8694064820774e-05
100,128,0,100,2.8609928279408e-05,2.8694062977581e-05
101,128,0,101,2.8609928615842e-05,2.8694063319265e-05
102,128,0,102,2.8609927798279e-05,2.8694062488946e-05
103,128,0,103,2.8609928348441e-05,2.8694063047692e-05
104,128,0,104,2.8609928697154e-05,2.8694063401845e-05
105,128,0,105,2.8609930520869e-05,2.8694065254013e-05
106,128,0,106,2.8609928831725e-05,2.8694063538515e-05
107,128,0,107,2.8609927864105e-05,2.8694062555798e-05
108,128,0,108,2.8609929192853e-05,2.8694063905278e-05
109,128,0,109,2.8609927899329e-05,2.8694062591572e-05
110,128,0,110,2.8609928407323e-05,2.8694063107492e-05
111,128,0,111,2.8609927135765e-05,2.8694061816095e-05
112,128,0,112,2.8609928728226e-05,2.8694063433402e-05
113,128,0,113,2.8609927393559e-05,2.8694062077912e-05
114,128,0,114,2.8609927910853e-05,2.8694062603276e-05
115,128,0,115,2.8609930260441e-05,2.8694064989522e-05
116,128,0,116,2.8609930183641e-05,2.8694064911525e-05
117,128,0,117,2.8609929291448e-05,2.8694064005411e-05
118,128,0,118,2.8609927338826e-05,2.8694062022324e-05
119,128,0,119,2.8609928282592e-05,2.8694062980815e-05
120,128,0,120,2.8609930712198e-05,2.8694065448327e-05
121,128,0,121,2.8609927518335e-05,2.8694062204634e-05
122,128,0,122,2.8609930132451e-05,2.8694064859536e-05
123,128,0,123,2.8609930494741e-05,2.8694065227478e-05
124,128,0,124,2.8609930539348e-05,2.8694065272779e-05
125,128,0,125,2.860993002598e-05,2.8694064751411e-05
126,128,0,126,2.8609928263967e-05,2.869406296187e-05
127,128,0,127,2.8609927077349e-05,2.8694061756877e-05
128,128,0,128,2.8609928112273e-05,2.869406280743e-05
129,128,0,129,2.8609928437741e-05,2.8694063139911e-05
130,128,0,130,2.8609930880453e-05,2.8694065613511e-05
131,128,0,131,2.8609928086592e-05,2.8694062803018e-05
132,128,0,132,2.8609936171795e-05,2.8694070913758e-05
133,128,0,133,2.8609902311825e-05,2.8694036900964e-05
134,128,0,134,2.8609935637664e-05,2.869407051874e-05
135,128,0,135,2.8609939582023e-05,2.8694074238356e-05
136,128,0,136,2.8609869394333e-05,2.86940040992e-05
137,128,0,137,2.8609943537705e-05,2.8694078251492e-05
138,128,0,138,2.8609922718048e-05,2.8694057414566e-05
139,128,0,139,2.8609930002753e-05,2.869406473052e-05
140,128,0,140,2.8609926138979e-05,2.8694060828526e-05
141,128,0,141,2.860992740362e-05,2.8694062107056e-05
142,128,0,142,2.8609928305026e-05,2.8694063023834e-05
143,128,0,143,2.8609928113416e-05,2.8694062829842e-05
144,128,0,144,2.8609928610215e-05,2.8694063330652e-05
145,128,0,145,2.8609926240987e-05,2.8694060938812e-05
146,128,0,146,2.8609932050582e-05,2.8694066785379e-05
147,128,0,147,2.860991447107e-05,2.8694049131931e-05
148,128,0,148,2.8609934326076e-05,2.8694069066194e-05
149,128,0,149,2.8609928698674e-05,2.8694063429477e-05
150,128,0,150,2.8609930973252e-05,2.8694065699576e-05
151,128,0,151,2.8609928745863e-05,2.8694063448194e-05
152,128,0,152,2.8609927979431e-05,2.8694062666924e-05
153,128,0,153,2.8609928117834e-05,2.8694062808259e-05
