x,y,z,id,xi,xv
153.6,128,0,0,0,0
154,128,0,0.40000000000001,4.3409650649407e-06,0.00064223195797136
154.4,128,0,0.80000000000001,8.6819301298818e-06,0.0012844639159428
154.8,128,0,1.2,1.3022895194822e-05,0.001926695873914
155.2,128,0,1.6,1.7363860259762e-05,0.0025689278318853
155.6,128,0,2,2.1704825324703e-05,0.0032111597898567
156,128,0,2.4,2.6045790389643e-05,0.003853391747828
156.4,128,0,2.8,2.8078523998747e-05,0.0041541279634367
156.8,128,0,3.2,2.7420864699506e-05,0.0040568289849998
157.2,128,0,3.6,2.6952475685806e-05,0.0039875321819134
157.6,128,0,4,2.6484086672106e-05,0.003918235378827
158,128,0,4.4,2.6015697658406e-05,0.0038489385757406
158.4,128,0,4.8,2.5790158522775e-05,0.0038155706963428
158.8,128,0,5.2,2.5802586003317e-05,0.003817409276429
159.2,128,0,5.6,2.5815013483859e-05,0.0038192478565152
159.6,128,0,6,2.5885574265583e-05,0.0038296871318169
160,128,0,6.4,2.597617874061e-05,0.0038430918278599
160.4,128,0,6.8,2.6066783215637e-05,0.0038564965239028
160.8,128,0,7.2,2.6157387690663e-05,0.0038699012199457
161.2,128,0,7.6,2.6144958155207e-05,0.0038680623047305
161.6,128,0,8,2.6087498307532e-05,0.0038595612730832
162,128,0,8.4,2.6030038459856e-05,0.003851060241436
162.4,128,0,8.8,2.6011415983049e-05,0.0038483050934351
162.8,128,0,9.2,2.6002064263689e-05,0.0038469215288453
163.2,128,0,9.6,2.5992712544329e-05,0.0038455379642555
163.6,128,0,10,2.598336082497e-05,0.0038441543996657
164,128,0,10.4,2.597400910561e-05,0.0038427708350758
164.4,128,0,10.8,2.5969130564981e-05,0.0038420490659279
164.8,128,0,11.2,2.5982363941198e-05,0.0038440069089166
165.2,128,0,11.6,2.5995597317415e-05,0.0038459647519052
165.6,128,0,12,2.6007226124828e-05,0.0038476852034726
166,128,0,12.4,2.6007739236065e-05,0.0038477611191954
166.4,128,0,12.8,2.6008252347301e-05,0.0038478370349182
166.8,128,0,13.2,2.6008765458538e-05,0.003847912950641
167.2,128,0,13.6,2.6008850610051e-05,0.0038479255502828
167.6,128,0,14,2.6007889625853e-05,0.003847783375515
168,128,0,14.4,2.6006928641655e-05,0.0038476412007472
168.4,128,0,14.8,2.6005967657457e-05,0.0038474990259795
168.8,128,0,15.2,2.6004880380357e-05,0.0038473381664864
169.2,128,0,15.6,2.6002649389724e-05,0.0038470080973777
169.6,128,0,16,2.600041839909e-05,0.003846678028269
170,128,0,16.4,2.5998187408457e-05,0.0038463479591603
170.4,128,0,16.8,2.5995956417823e-05,0.0038460178900515
170.8,128,0,17.2,2.5995844234095e-05,0.0038460012932413
171.2,128,0,17.6,2.59961653644e-05,0.0038460488041824
171.6,128,0,18,2.5996486494705e-05,0.0038460963151234
172,128,0,18.4,2.599680762501e-05,0.0038461438260645
172.4,128,0,18.8,2.5997128755315e-05,0.0038461913370055
172.8,128,0,19.2,2.599744988562e-05,0.0038462388479466
173.2,128,0,19.6,2.5997770825563e-05,0.0038462863307274
173.6,128,0,20,2.5998067234382e-05,0.0038463301846214
174,128,0,20.4,2.5998363643202e-05,0.0038463740385155
174.4,128,0,20.8,2.5998660052021e-05,0.0038464178924096
174.8,128,0,21.2,2.5998771979578e-05,0.0038464344512831
175.2,128,0,21.6,2.5998732328719e-05,0.0038464285835189
175.6,128,0,22,2.5998655520335e-05,0.0038464172208031
176,128,0,22.4,2.5998578711951e-05,0.0038464058580873
176.4,128,0,22.8,2.5998501903568e-05,0.0038463944953715
176.8,128,0,23.2,2.5998419379341e-05,0.0038463822868341
