x,y,z,id,xi,xv
153.6,128,0,0,0,0
154,128,0,0.40000000000001,5.5565405741949e-06,5.0159862173061e-05
154.4,128,0,0.80000000000001,1.111308114839e-05,0.00010031972434613
154.8,128,0,1.2,1.6669621722584e-05,0.00015047958651918
155.2,128,0,1.6,2.2226162296778e-05,0.00020063944869224
155.6,128,0,2,2.7782702870973e-05,0.00025079931086529
156,128,0,2.4,3.3339243445168e-05,0.00030095917303835
156.4,128,0,2.8,3.5941186892169e-05,0.00032444716908479
156.8,128,0,3.2,3.5099359646814e-05,0.00031684754035173
157.2,128,0,3.6,3.4499807711049e-05,0.00031143516814088
157.6,128,0,4,3.3900255775283e-05,0.00030602279593002
158,128,0,4.4,3.3300703839518e-05,0.00030061042371917
158.4,128,0,4.8,3.3012006702211e-05,0.00029800423627606
158.8,128,0,5.2,3.3027913648295e-05,0.00029814780641508
159.2,128,0,5.6,3.3043820594378e-05,0.0002982913765541
159.6,128,0,6,3.3134140660195e-05,0.00029910673878361
160,128,0,6.4,3.3250117513417e-05,0.00030015372719553
160.4,128,0,6.8,3.3366094366639e-05,0.00030120071560746
160.8,128,0,7.2,3.3482071219861e-05,0.00030224770401938
161.2,128,0,7.6,3.3466160925053e-05,0.00030210407745245
161.6,128,0,8,3.3392610250862e-05,0.00030144010072174
162,128,0,8.4,3.3319059576672e-05,0.00030077612399102
162.4,128,0,8.8,3.3295222283535e-05,0.00030056092922744
162.8,128,0,9.2,3.3283251929055e-05,0.00030045286192051
163.2,128,0,9.6,3.3271281574575e-05,0.00030034479461359
163.6,128,0,10,3.3259311220094e-05,0.00030023672730666
164,128,0,10.4,3.3247340865614e-05,0.00030012865999973
164.4,128,0,10.8,3.3241096300821e-05,0.00030007228342269
164.8,128,0,11.2,3.3258035479166e-05,0.00030022520279783
165.2,128,0,11.6,3.3274974657512e-05,0.00030037812217296
165.6,128,0,12,3.3289859894834e-05,0.00030051250026684
166,128,0,12.4,3.3290516397105e-05,0.00030051843310571
166.4,128,0,12.8,3.3291172899375e-05,0.00030052436594457
166.8,128,0,13.2,3.3291829401646e-05,0.00030053029878344
167.2,128,0,13.6,3.3291938219437e-05,0.00030053128493437
167.6,128,0,14,3.3290708237658e-05,0.00030052017904341
168,128,0,14.4,3.328947825588e-05,0.00030050907315244
168.4,128,0,14.8,3.3288248274102e-05,0.00030049796726148
168.8,128,0,15.2,3.3286856619728e-05,0.00030048540211576
169.2,128,0,15.6,3.32840008519e-05,0.00030045962190099
169.6,128,0,16,3.3281145084073e-05,0.00030043384168623
170,128,0,16.4,3.3278289316245e-05,0.00030040806147146
170.4,128,0,16.8,3.3275433548418e-05,0.00030038228125669
170.8,128,0,17.2,3.3275290009844e-05,0.00030038098431966
171.2,128,0,17.6,3.3275701145221e-05,0.00030038469442117
171.6,128,0,18,3.3276112280598e-05,0.00030038840452268
172,128,0,18.4,3.3276523415976e-05,0.0003003921146242
172.4,128,0,18.8,3.3276934551353e-05,0.00030039582472571
172.8,128,0,19.2,3.3277345686731e-05,0.00030039953482722
173.2,128,0,19.6,3.3277756577656e-05,0.00030040324273728
173.6,128,0,20,3.3278135967088e-05,0.00030040666824448
174,128,0,20.4,3.327851535652e-05,0.00030041009375169
174.4,128,0,20.8,3.3278894745953e-05,0.0003004135192589
174.8,128,0,21.2,3.3279038027148e-05,0.00030041481250632
175.2,128,0,21.6,3.3278987289224e-05,0.00030041435402923
175.6,128,0,22,3.3278888735735e-05,0.00030041346896374
176,128,0,22.4,3.3278790182246e-05,0.00030041258389824
176.4,128,0,22.8,3.3278691628757e-05,0.00030041169883275
176.8,128,0,23.2,3.3278585785968e-05,0.00030041074742354
177.2,128,0,23.6,3.3278461706773e-05,0.00030040963003524
177.6,128,0,24,3.3278337627578e-05,0.00030040851264695
178,128,0,24.4,3.3278213548382e-05,0.00030040739525866
178.4,128,0,24.8,3.3278089469187e-05,0.00030040627787036
178.8,128,0,25.2,3.3278068342815e-05,0.00030040608639258
179.2,128,0,25.6,3.327808536533e-05,0.00030040623800839
179.6,128,0,26,3.3278102387844e-05,0.00030040638962421
180,128,0,26.4,3.3278119410358e-05,0.00030040654124002
180.4,128,0,26.8,3.3278136432873e-05,0.00030040669285583
180.8,128,0,27.2,3.3278153455387e-05,0.00030040684447164
181.2,128,0,27.6,3.3278169500383e-05,0.000300406986827
181.6,128,0,28,3.3278184240254e-05,0.00030040711681834
182,128,0,28.4,3.3278198980125e-05,0.00030040724680968
182.4,128,0,28.8,3.327821267379e-05,0.00030040736749499
182.8,128,0,29.2,3.3278207357817e-05,0.00030040731908893
183.2,128,0,29.6,3.3278203955611e-05,0.00030040728806892
183.6,128,0,30,3.3278202569574e-05,0.00030040727536524
184,128,0,30.4,3.3278201183537e-05,0.00030040726266157
184.4,128,0,30.8,3.3278199797499e-05,0.00030040724995789
184.8,128,0,31.2,3.3278198411462e-05,0.00030040723725422
185.2,128,0,31.6,3.3278197025425e-05,0.00030040722455054
185.6,128,0,32,3.3278195639387e-05,0.00030040721184686
186,128,0,32.4,3.327819425335e-05,0.00030040719914319
186.4,128,0,32.8,3.3278192867313e-05,0.00030040718643951
