x,y,z,id,xi,xv
153.6,128,0,0,0,0
154,128,0,0.40000000000001,7.1679355708933e-07,0.00038892316926609
154.4,128,0,0.80000000000001,1.4335871141787e-06,0.00077784633853222
154.8,128,0,1.2,2.150380671268e-06,0.0011667695077982
155.2,128,0,1.6,2.8671742283572e-06,0.0015556926770643
155.6,128,0,2,3.5839677854465e-06,0.0019446158463304
156,128,0,2.4,4.3007613425358e-06,0.0023335390155964
156.4,128,0,2.8,4.6501099662588e-06,0.0025081820029224
156.8,128,0,3.2,4.5624702157253e-06,0.0024379301084755
157.2,128,0,3.6,4.4930055222295e-06,0.0023919245396946
157.6,128,0,4,4.4235408287336e-06,0.0023459189709138
158,128,0,4.4,4.3540761352377e-06,0.002299913402133
158.4,128,0,4.8,4.3214216940447e-06,0.0022773102034809
158.8,128,0,5.2,4.3248373190616e-06,0.0022776387965771
159.2,128,0,5.6,4.3282529440785e-06,0.0022779673896734
159.6,128,0,6,4.3382142191905e-06,0.0022851823926229
160,128,0,6.4,4.3504323591339e-06,0.0022947717504473
160.4,128,0,6.8,4.3626504990772e-06,0.0023043611082716
160.8,128,0,7.2,4.3748686390205e-06,0.0023139504660959
161.2,128,0,7.6,4.3730377836601e-06,0.0023127175769382
161.6,128,0,8,4.3650669106303e-06,0.0023067548984784
162,128,0,8.4,4.3570960376005e-06,0.0023007922200187
162.4,128,0,8.8,4.3545741371421e-06,0.0022988265177405
162.8,128,0,9.2,4.3533529453031e-06,0.0022978149221867
163.2,128,0,9.6,4.3521317534641e-06,0.0022968033266329
163.6,128,0,10,4.3509105616252e-06,0.0022957917310791
164,128,0,10.4,4.3496893697862e-06,0.0022947801355253
164.4,128,0,10.8,4.3490640030284e-06,0.0022942461845125
164.8,128,0,11.2,4.3508511341775e-06,0.0022956462179728
165.2,128,0,11.6,4.3526382653267e-06,0.002297046251433
165.6,128,0,12,4.3542068326642e-06,0.0022982775350652
166,128,0,12.4,4.3542612929593e-06,0.0022983397994481
166.4,128,0,12.8,4.3543157532544e-06,0.002298402063831
166.8,128,0,13.2,4.3543702135495e-06,0.0022984643282139
167.2,128,0,13.6,4.3543718074869e-06,0.0022984786684848
167.6,128,0,14,4.3542441710748e-06,0.0022983758595891
168,128,0,14.4,4.3541165346627e-06,0.0022982730506933
168.4,128,0,14.8,4.3539888982506e-06,0.0022981702417976
168.8,128,0,15.2,4.3538443037863e-06,0.0022980540130536
169.2,128,0,15.6,4.3535461365267e-06,0.0022978162536303
169.6,128,0,16,4.3532479692671e-06,0.002297578494207
170,128,0,16.4,4.3529498020075e-06,0.0022973407347838
170.4,128,0,16.8,4.3526516347478e-06,0.0022971029753605
170.8,128,0,17.2,4.3526365418265e-06,0.0022970910743184
171.2,128,0,17.6,4.3526793400151e-06,0.0022971253632362
171.6,128,0,18,4.3527221382037e-06,0.002297159652154
172,128,0,18.4,4.3527649363922e-06,0.0022971939410718
172.4,128,0,18.8,4.3528077345808e-06,0.0022972282299897
172.8,128,0,19.2,4.3528505327694e-06,0.0022972625189075
173.2,128,0,19.6,4.3528933058407e-06,0.002297296787334
173.6,128,0,20,4.3529328421722e-06,0.0022973284151481
174,128,0,20.4,4.3529723785037e-06,0.0022973600429622
174.4,128,0,20.8,4.3530119148352e-06,0.0022973916707763
174.8,128,0,21.2,4.3530268430663e-06,0.0022974036141749
175.2,128,0,21.6,4.3530215527477e-06,0.0022973993835724
175.6,128,0,22,4.3530113133451e-06,0.0022973911837951
176,128,0,22.4,4.3530010739424e-06,0.0022973829840177
176.4,128,0,22.8,4.3529908345398e-06,0.0022973747842404
176.8,128,0,23.2,4.3529798341953e-06,0.0022973659736754
177.2,128,0,23.6,4.3529669301223e-06,0.002297355635039
177.6,128,0,24,4.3529540260493e-06,0.0022973452964026
178,128,0,24.4,4.3529411219764e-06,0.0022973349577661
178.4,128,0,24.8,4.3529282179034e-06,0.0022973246191297
178.8,128,0,25.2,4.3529260157935e-06,0.0022973228528378
179.2,128,0,25.6,4.3529277792667e-06,0.0022973242630047
179.6,128,0,26,4.3529295427399e-06,0.0022973256731716
180,128,0,26.4,4.352931306213e-06,0.0022973270833384
180.4,128,0,26.8,4.3529330696862e-06,0.0022973284935053
180.8,128,0,27.2,4.3529348331593e-06,0.0022973299036722
181.2,128,0,27.6,4.3529364929334e-06,0.0022973312301994
181.6,128,0,28,4.3529380142547e-06,0.0022973324450559
182,128,0,28.4,4.3529395355759e-06,0.0022973336599124
182.4,128,0,28.8,4.3529409487967e-06,0.0022973347880366
182.8,128,0,29.2,4.3529403978244e-06,0.0022973343402281
183.2,128,0,29.6,4.3529400393056e-06,0.0022973340565175
183.6,128,0,30,4.3529398835381e-06,0.0022973339456852
184,128,0,30.4,4.3529397277706e-06,0.002297333834853
184.4,128,0,30.8,4.3529395720032e-06,0.0022973337240208
184.8,128,0,31.2,4.3529394162357e-06,0.0022973336131885
185.2,128,0,31.6,4.3529392604682e-06,0.0022973335023563
185.6,128,0,32,4.3529391047007e-06,0.0022973333915241
186,128,0,32.4,4.3529389489332e-06,0.0022973332806919
186.4,128,0,32.8,4.3529387931657e-06,0.0022973331698596
186.8,128,0,33.2,4.3529386373983e-06,0.0022973330590274
187.2,128,0,33.6,4.3529384816308e-06,0.0022973329481952
187.6,128,0,34,4.3529384648462e-06,0.0022973329468366
188,128,0,34.4,4.3529386417037e-06,0.0022973330980057
188.4,128,0,34.8,4.3529388185612e-06,0.0022973332491747
188.8,128,0,35.2,4.3529389954187e-06,0.0022973334003437
189.2,128,0,35.6,4.3529391722763e-06,0.0022973335515128
189.6,128,0,36,4.3529393491338e-06,0.0022973337026818
190,128,0,36.4,4.3529395259913e-06,0.0022973338538508
190.4,128,0,36.8,4.3529397028489e-06,0.0022973340050199
190.8,128,0,37.2,4.3529398797064e-06,0.0022973341561889
191.2,128,0,37.6,4.3529387367914e-06,0.0022973331650339
191.6,128,0,38,4.3529371541465e-06,0.0022973317932724
192,128,0,38.4,4.3529355715017e-06,0.0022973304215108
192.4,128,0,38.8,4.3529339888569e-06,0.0022973290497493
