x,y,z,id,xi,xv
153.6,128,0,0,0,0
154,128,0,0.40000000000001,7.8616048126914e-06,0.00035461599462594
154.4,128,0,0.80000000000001,1.5723209625384e-05,0.00070923198925192
154.8,128,0,1.2,2.3584814438074e-05,0.0010638479838778
155.2,128,0,1.6,3.1446419250764e-05,0.0014184639785037
155.6,128,0,2,3.9308024063456e-05,0.0017730799731296
156,128,0,2.4,4.7169628876146e-05,0.0021276959677556
156.4,128,0,2.8,5.0850963815309e-05,0.0022937509160236
156.8,128,0,3.2,4.9659924395252e-05,0.0022400259472559
157.2,128,0,3.6,4.8811658997999e-05,0.0022017628292745
157.6,128,0,4,4.7963393600746e-05,0.002163499711293
158,128,0,4.4,4.7115128203492e-05,0.0021252365933115
158.4,128,0,4.8,4.6706670589685e-05,0.0021068120828247
158.8,128,0,5.2,4.6729177038227e-05,0.0021078272621273
159.2,128,0,5.6,4.6751683486768e-05,0.0021088424414299
159.6,128,0,6,4.6879471024907e-05,0.0021146066267203
160,128,0,6.4,4.7043558271259e-05,0.0021220082146279
160.4,128,0,6.8,4.7207645517611e-05,0.0021294098025355
160.8,128,0,7.2,4.7371732763963e-05,0.0021368113904432
161.2,128,0,7.6,4.7349222534191e-05,0.0021357960096742
161.6,128,0,8,4.7245161148934e-05,0.0021311020500973
162,128,0,8.4,4.7141099763677e-05,0.0021264080905204
162.4,128,0,8.8,4.710737393603e-05,0.002124886797371
162.8,128,0,9.2,4.7090437707678e-05,0.0021241228423281
163.2,128,0,9.6,4.7073501479325e-05,0.0021233588872851
163.6,128,0,10,4.7056565250973e-05,0.0021225949322422
164,128,0,10.4,4.7039629022621e-05,0.0021218309771992
164.4,128,0,10.8,4.7030793846837e-05,0.0021214324417846
164.8,128,0,11.2,4.7054759862184e-05,0.0021225134917658
165.2,128,0,11.6,4.707872587753e-05,0.0021235945417469
165.6,128,0,12,4.7099785974094e-05,0.0021245445128897
166,128,0,12.4,4.7100715235365e-05,0.0021245864316386
166.4,128,0,12.8,4.7101644496636e-05,0.0021246283503876
166.8,128,0,13.2,4.7102573757906e-05,0.0021246702691366
167.2,128,0,13.6,4.7102727971029e-05,0.002124677226725
167.6,128,0,14,4.7100987600386e-05,0.0021245987227232
168,128,0,14.4,4.7099247229742e-05,0.0021245202187214
168.4,128,0,14.8,4.7097506859098e-05,0.0021244417147196
168.8,128,0,15.2,4.7095537768607e-05,0.0021243528937168
169.2,128,0,15.6,4.7091497382086e-05,0.0021241706415425
169.6,128,0,16,4.7087456995566e-05,0.0021239883893683
170,128,0,16.4,4.7083416609045e-05,0.0021238061371941
170.4,128,0,16.8,4.7079376222525e-05,0.0021236238850198
170.8,128,0,17.2,4.7079173053804e-05,0.0021236147207381
171.2,128,0,17.6,4.7079754628761e-05,0.0021236409544025
171.6,128,0,18,4.7080336203718e-05,0.002123667188067
172,128,0,18.4,4.7080917778675e-05,0.0021236934217315
172.4,128,0,18.8,4.7081499353632e-05,0.0021237196553959
172.8,128,0,19.2,4.7082080928589e-05,0.0021237458890604
173.2,128,0,19.6,4.7082662158799e-05,0.0021237721071775
173.6,128,0,20,4.7083198963072e-05,0.0021237963217862
174,128,0,20.4,4.7083735767345e-05,0.0021238205363948
174.4,128,0,20.8,4.7084272571617e-05,0.0021238447510035
174.8,128,0,21.2,4.7084475275832e-05,0.0021238538941757
175.2,128,0,21.6,4.7084403467895e-05,0.0021238506541304
175.6,128,0,22,4.7084264367351e-05,0.0021238443805973
176,128,0,22.4,4.7084125266808e-05,0.0021238381070642
176.4,128,0,22.8,4.7083986166264e-05,0.0021238318335311
176.8,128,0,23.2,4.7083836714035e-05,0.0021238250929013
177.2,128,0,23.6,4.7083661363902e-05,0.0021238171836869
177.6,128,0,24,4.708348601377e-05,0.0021238092744724
178,128,0,24.4,4.7083310663638e-05,0.0021238013652579
178.4,128,0,24.8,4.7083135313506e-05,0.0021237934560434
178.8,128,0,25.2,4.7083105370157e-05,0.0021237921050434
179.2,128,0,25.6,4.7083129306891e-05,0.0021237931841717
179.6,128,0,26,4.7083153243626e-05,0.0021237942633001
180,128,0,26.4,4.7083177180361e-05,0.0021237953424284
180.4,128,0,26.8,4.7083201117095e-05,0.0021237964215567
180.8,128,0,27.2,4.708322505383e-05,0.0021237975006851
181.2,128,0,27.6,4.7083247575974e-05,0.0021237985159128
181.6,128,0,28,4.708326820944e-05,0.0021237994458242
182,128,0,28.4,4.7083288842906e-05,0.0021238003757356
182.4,128,0,28.8,4.7083308006066e-05,0.0021238012393695
182.8,128,0,29.2,4.7083300453648e-05,0.0021238008987344
183.2,128,0,29.6,4.7083295618667e-05,0.0021238006805217
183.6,128,0,30,4.7083293646527e-05,0.0021238005912819
184,128,0,30.4,4.7083291674388e-05,0.0021238005020421
184.4,128,0,30.8,4.7083289702248e-05,0.0021238004128023
184.8,128,0,31.2,4.7083287730109e-05,0.0021238003235625
185.2,128,0,31.6,4.708328575797e-05,0.0021238002343227
185.6,128,0,32,4.708328378583e-05,0.0021238001450829
186,128,0,32.4,4.7083281813691e-05,0.0021238000558431
186.4,128,0,32.8,4.7083279841551e-05,0.0021237999666033
186.8,128,0,33.2,4.7083277869412e-05,0.0021237998773635
187.2,128,0,33.6,4.7083275897272e-05,0.0021237997881237
187.6,128,0,34,4.7083275791604e-05,0.0021237997833176
188,128,0,34.4,4.7083278286453e-05,0.0021237998961515
188.4,128,0,34.8,4.7083280781302e-05,0.0021238000089854
188.8,128,0,35.2,4.7083283276152e-05,0.0021238001218192
189.2,128,0,35.6,4.7083285771001e-05,0.0021238002346531
189.6,128,0,36,4.708328826585e-05,0.0021238003474869
190,128,0,36.4,4.7083290760699e-05,0.0021238004603208
190.4,128,0,36.8,4.7083293255549e-05,0.0021238005731546
190.8,128,0,37.2,4.7083295750398e-05,0.0021238006859885
191.2,128,0,37.6,4.708327945631e-05,0.0021237999512786
191.6,128,0,38,4.7083256902009e-05,0.002123798934179
192,128,0,38.4,4.7083234347708e-05,0.0021237979170793
192.4,128,0,38.8,4.7083211793408e-05,0.0021237968999797
192.8,128,0,39.2,4.7083221752335e-05,0.0021237973493295
193.2,128,0,39.6,4.7083273890943e-05,0.0021237997011165
193.6,128,0,40,4.7083326029551e-05,0.0021238020529034
194,128,0,40.4,4.7083378168159e-05,0.0021238044046903
194.4,128,0,40.8,4.7083430306767e-05,0.0021238067564773
194.8,128,0,41.2,4.7083482445375e-05,0.0021238091082642
195.2,128,0,41.6,4.7083522922611e-05,0.002123810933939
195.6,128,0,42,4.7083536130752e-05,0.0021238115293465
196,128,0,42.4,4.7083549338893e-05,0.0021238121247541
196.4,128,0,42.8,4.7083562547035e-05,0.0021238127201617
196.8,128,0,43.2,4.7083575755176e-05,0.0021238133155693
197.2,128,0,43.6,4.7083588963317e-05,0.0021238139109769
197.6,128,0,44,4.7083602171458e-05,0.0021238145063845
198,128,0,44.4,4.70836153796e-05,0.0021238151017921
198.4,128,0,44.8,4.7083628587741e-05,0.0021238156971997
198.8,128,0,45.2,4.7083703928676e-05,0.0021238190960505
199.2,128,0,45.6,4.7083782315896e-05,0.0021238226323503
199.6,128,0,46,4.7083860703117e-05,0.0021238261686501
200,128,0,46.4,4.7083939090338e-05,0.0021238297049499
200.4,128,0,46.8,4.7083801940341e-05,0.0021238235185542
200.8,128,0,47.2,4.7083556664035e-05,0.0021238124546751
201.2,128,0,47.6,4.7083311387729e-05,0.002123801390796
201.6,128,0,48,4.7083066111423e-05,0.0021237903269169
202,128,0,48.4,4.7082820835117e-05,0.0021237792630378
202.4,128,0,48.8,4.7082575558811e-05,0.0021237681991588
202.8,128,0,49.2,4.7082330282505e-05,0.0021237571352797
203.2,128,0,49.6,4.7082085006199e-05,0.0021237460714006
203.6,128,0,50,4.7081839729893e-05,0.0021237350075215
204,128,0,50.4,4.7081594453587e-05,0.0021237239436424
204.4,128,0,50.8,4.7081349177281e-05,0.0021237128797633
