x,y,z,id,xi,xv
153.6,128,0,0,0,0
154,128,0,0.40000000000001,1.5623766987516e-06,1.5797232221094e-06
154.4,128,0,0.80000000000001,3.1247533975034e-06,3.159446444219e-06
154.8,128,0,1.2,4.6871300962547e-06,4.7391696663281e-06
155.2,128,0,1.6,6.2495067950062e-06,6.3188928884374e-06
155.6,128,0,2,7.8118834937577e-06,7.8986161105467e-06
156,128,0,2.4,9.3742601925092e-06,9.478339332656e-06
156.4,128,0,2.8,1.0098787952658e-05,1.0210810639556e-05
156.8,128,0,3.2,9.8512863459389e-06,9.9604085840976e-06
157.2,128,0,3.6,9.6787165044557e-06,9.7858682759176e-06
157.6,128,0,4,9.5061466629724e-06,9.6113279677376e-06
158,128,0,4.4,9.3335768214892e-06,9.4367876595577e-06
158.4,128,0,4.8,9.2499934840264e-06,9.3522441230383e-06
158.8,128,0,5.2,9.2536072965695e-06,9.3558876895511e-06
159.2,128,0,5.6,9.2572211091126e-06,9.3595312560639e-06
159.6,128,0,6,9.2835494453191e-06,9.3861638766256e-06
160,128,0,6.4,9.3177094879065e-06,9.4207228584859e-06
160.4,128,0,6.8,9.3518695304939e-06,9.4552818403462e-06
160.8,128,0,7.2,9.3860295730813e-06,9.4898408222065e-06
161.2,128,0,7.6,9.3814295483397e-06,9.4851881387799e-06
161.6,128,0,8,9.3598897002788e-06,9.4633982642237e-06
162,128,0,8.4,9.3383498522178e-06,9.4416083896674e-06
162.4,128,0,8.8,9.3313375060634e-06,9.4345141900165e-06
162.8,128,0,9.2,9.3277929782367e-06,9.4309279527876e-06
163.2,128,0,9.6,9.3242484504101e-06,9.4273417155588e-06
163.6,128,0,10,9.3207039225834e-06,9.42375547833e-06
164,128,0,10.4,9.3171593947567e-06,9.4201692411012e-06
164.4,128,0,10.8,9.3153045708791e-06,9.4182925045118e-06
164.8,128,0,11.2,9.3202913643985e-06,9.4233375421908e-06
165.2,128,0,11.6,9.3252781579179e-06,9.4283825798699e-06
165.6,128,0,12,9.3296612718096e-06,9.4328169056588e-06
166,128,0,12.4,9.3298623778521e-06,9.4330205074014e-06
166.4,128,0,12.8,9.3300634838946e-06,9.4332241091439e-06
166.8,128,0,13.2,9.3302645899371e-06,9.4334277108865e-06
167.2,128,0,13.6,9.3303018643914e-06,9.4334655169213e-06
167.6,128,0,14,9.3299386570577e-06,9.4330980399327e-06
