x,y,z,id,xi,xv
153.6,128,0,0,0,0
154,128,0,0.40000000000001,1.8059801013749e-06,0.0001543584782313
154.4,128,0,0.80000000000001,3.6119602027499e-06,0.00030871695646261
154.8,128,0,1.2,5.4179403041245e-06,0.00046307543469389
155.2,128,0,1.6,7.2239204054992e-06,0.00061743391292517
155.6,128,0,2,9.029900506874e-06,0.00077179239115646
156,128,0,2.4,1.0835880608249e-05,0.00092615086938775
156.4,128,0,2.8,1.1681562373031e-05,0.00099843167710299
156.8,128,0,3.2,1.1407954593259e-05,0.00097504583546056
157.2,128,0,3.6,1.1213089621537e-05,0.0009583904417601
157.6,128,0,4,1.1018224649816e-05,0.00094173504805965
158,128,0,4.4,1.0823359678095e-05,0.0009250796543592
158.4,128,0,4.8,1.0729528084376e-05,0.00091705971458497
158.8,128,0,5.2,1.073469827429e-05,0.00091750158572983
159.2,128,0,5.6,1.0739868464205e-05,0.0009179434568747
159.6,128,0,6,1.0769224040361e-05,0.00092045253301098
160,128,0,6.4,1.080691845939e-05,0.00092367435764075
160.4,128,0,6.8,1.084461287842e-05,0.00092689618227052
160.8,128,0,7.2,1.0882307297449e-05,0.00093011800690029
161.2,128,0,7.6,1.0877136205122e-05,0.00092967602574199
161.6,128,0,8,1.0853231033138e-05,0.00092763280322877
162,128,0,8.4,1.0829325861154e-05,0.00092558958071556
162.4,128,0,8.8,1.0821578307754e-05,0.00092492737952109
162.8,128,0,9.2,1.0817687693161e-05,0.00092459483796603
163.2,128,0,9.6,1.0813797078567e-05,0.00092426229641098
163.6,128,0,10,1.0809906463973e-05,0.00092392975485593
164,128,0,10.4,1.080601584938e-05,0.00092359721330087
164.4,128,0,10.8,1.0803986222164e-05,0.00092342373479597
164.8,128,0,11.2,1.0809491739571e-05,0.00092389430315605
165.2,128,0,11.6,1.0814997256977e-05,0.00092436487151612
165.6,128,0,12,1.0819835219886e-05,0.00092477838290443
166,128,0,12.4,1.0820048679969e-05,0.00092479663049257
166.4,128,0,12.8,1.0820262140051e-05,0.00092481487808071
166.8,128,0,13.2,1.0820475600133e-05,0.00092483312566884
167.2,128,0,13.6,1.0820511020484e-05,0.00092483615478294
167.6,128,0,14,1.0820111227636e-05,0.00092480198275804
168,128,0,14.4,1.0819711434787e-05,0.00092476781073313
168.4,128,0,14.8,1.0819311641939e-05,0.00092473363870822
168.8,128,0,15.2,1.0818859305568e-05,0.00092469497580935
169.2,128,0,15.6,1.0817931132976e-05,0.00092461564337736
169.6,128,0,16,1.0817002960383e-05,0.00092453631094537
170,128,0,16.4,1.081607478779e-05,0.00092445697851337
170.4,128,0,16.8,1.0815146615198e-05,0.00092437764608138
170.8,128,0,17.2,1.0815099951862e-05,0.00092437365697741
171.2,128,0,17.6,1.0815233564667e-05,0.00092438507622486
171.6,128,0,18,1.0815367177472e-05,0.00092439649547231
172,128,0,18.4,1.0815500790278e-05,0.00092440791471976
172.4,128,0,18.8,1.0815634403083e-05,0.00092441933396721
172.8,128,0,19.2,1.0815768015888e-05,0.00092443075321466
173.2,128,0,19.6,1.0815901549362e-05,0.00092444216569314
173.6,128,0,20,1.0816024859826e-05,0.00092445270588627
174,128,0,20.4,1.0816148170291e-05,0.0009244632460794
174.4,128,0,20.8,1.0816271480755e-05,0.00092447378627253
174.8,128,0,21.2,1.0816318063855e-05,0.00092447776717406
175.2,128,0,21.6,1.0816301600896e-05,0.00092447635876398
175.6,128,0,22,1.0816269644372e-05,0.0009244736305115
176,128,0,22.4,1.0816237687848e-05,0.00092447090225902
176.4,128,0,22.8,1.0816205731324e-05,0.00092446817400654
176.8,128,0,23.2,1.0816171386763e-05,0.0009244652412809
177.2,128,0,23.6,1.0816131067795e-05,0.00092446179700325
177.6,128,0,24,1.0816090748827e-05,0.00092445835272561
178,128,0,24.4,1.0816050429859e-05,0.00092445490844796
178.4,128,0,24.8,1.0816010110891e-05,0.00092445146417031
178.8,128,0,25.2,1.0816003314819e-05,0.00092445088276921
179.2,128,0,25.6,1.0816008940563e-05,0.00092445136219916
179.6,128,0,26,1.0816014566307e-05,0.0009244518416291
180,128,0,26.4,1.081602019205e-05,0.00092445232105905
180.4,128,0,26.8,1.0816025817794e-05,0.00092445280048899
180.8,128,0,27.2,1.0816031443538e-05,0.00092445327991893
181.2,128,0,27.6,1.0816036713699e-05,0.00092445372868674
181.6,128,0,28,1.0816041509104e-05,0.00092445413651625
182,128,0,28.4,1.081604630451e-05,0.00092445454434576
182.4,128,0,28.8,1.0816050782568e-05,0.00092445492515661
182.8,128,0,29.2,1.0816049494392e-05,0.0009244548150362
183.2,128,0,29.6,1.0816048261013e-05,0.00092445470957965
