x,y,z,id,xi,xv
153.6,128,0,0,0,0
154,128,0,0.40000000000001,1.5275416594079e-05,1.8525121836866e-05
154.4,128,0,0.80000000000001,3.0550833188159e-05,3.7050243673735e-05
154.8,128,0,1.2,4.5826249782235e-05,5.5575365510598e-05
155.2,128,0,1.6,6.1101666376312e-05,7.4100487347462e-05
155.6,128,0,2,7.637708297039e-05,9.2625609184328e-05
156,128,0,2.4,9.1652499564467e-05,0.00011115073102119
156.4,128,0,2.8,9.8834361877249e-05,0.00011979251354806
156.8,128,0,3.2,9.6563916231963e-05,0.00011693606970937
157.2,128,0,3.6,9.4931387019922e-05,0.00011491948052493
157.6,128,0,4,9.329885780788e-05,0.00011290289134049
158,128,0,4.4,9.1666328595838e-05,0.00011088630215606
158.4,128,0,4.8,9.08819850515e-05,0.00010991330052145
158.8,128,0,5.2,9.0928771729812e-05,0.00010996290182118
159.2,128,0,5.6,9.0975558408125e-05,0.00011001250312091
159.6,128,0,6,9.1220378539468e-05,0.00011031753268117
160,128,0,6.4,9.1533478326624e-05,0.00011071063096642
160.4,128,0,6.8,9.184657811378e-05,0.00011110372925168
160.8,128,0,7.2,9.2159677900936e-05,0.00011149682753694
161.2,128,0,7.6,9.2116404013365e-05,0.00011144326232409
161.6,128,0,8,9.1917379439547e-05,0.00011119448587291
162,128,0,8.4,9.1718354865728e-05,0.00011094570942173
162.4,128,0,8.8,9.1653980095577e-05,0.0001108649356212
162.8,128,0,9.2,9.1621747194e-05,0.00011082426525173
163.2,128,0,9.6,9.1589514292423e-05,0.00011078359488225
163.6,128,0,10,9.1557281390846e-05,0.00011074292451278
164,128,0,10.4,9.1525048489268e-05,0.0001107022541433
164.4,128,0,10.8,9.1508257446342e-05,0.000110681010004
164.8,128,0,11.2,9.155399054491e-05,0.00011073842274088
165.2,128,0,11.6,9.1599723643479e-05,0.00011079583547776
165.6,128,0,12,9.1639907667911e-05,0.00011084629128656
166,128,0,12.4,9.1641650322916e-05,0.00011084855277754
166.4,128,0,12.8,9.1643392977921e-05,0.00011085081426853
166.8,128,0,13.2,9.1645135632927e-05,0.00011085307575951
167.2,128,0,13.6,9.1645409449356e-05,0.00011085346881449
167.6,128,0,14,9.1642092730498e-05,0.00011084929452933
168,128,0,14.4,9.163877601164e-05,0.00011084512024417
168.4,128,0,14.8,9.1635459292783e-05,0.00011084094595901
168.8,128,0,15.2,9.1631706350591e-05,0.00011083622349824
