x,y,z,id,xi,xv
153.6,128,0,0,0,0
154,128,0,0.40000000000001,1.4403561475857e-05,0.00019354634207892
154.4,128,0,0.80000000000001,2.8807122951715e-05,0.00038709268415786
154.8,128,0,1.2,4.321068442757e-05,0.00058063902623675
155.2,128,0,1.6,5.7614245903426e-05,0.00077418536831566
155.6,128,0,2,7.2017807379282e-05,0.00096773171039457
156,128,0,2.4,8.6421368855138e-05,0.0011612780524735
156.4,128,0,2.8,9.3166088326946e-05,0.0012519093018401
156.8,128,0,3.2,9.0983934335897e-05,0.001222586519236
157.2,128,0,3.6,8.9429792244233e-05,0.0012017027824951
157.6,128,0,4,8.7875650152569e-05,0.0011808190457542
158,128,0,4.4,8.6321508060905e-05,0.0011599353090133
158.4,128,0,4.8,8.5573155856908e-05,0.0011498793356172
158.8,128,0,5.2,8.5614390596251e-05,0.0011504333992711
159.2,128,0,5.6,8.5655625335594e-05,0.001150987462925
159.6,128,0,6,8.5889750227853e-05,0.001154133519371
160,128,0,6.4,8.619038142523e-05,0.0011581732651055
160.4,128,0,6.8,8.6491012622608e-05,0.00116221301084
160.8,128,0,7.2,8.6791643819985e-05,0.0011662527565744
161.2,128,0,7.6,8.6750401874815e-05,0.0011656985689368
161.6,128,0,8,8.655974660218e-05,0.0011631366340214
162,128,0,8.4,8.6369091329545e-05,0.001160574699106
162.4,128,0,8.8,8.6307300835162e-05,0.0011597443854892
162.8,128,0,9.2,8.6276271282522e-05,0.0011593274222278
163.2,128,0,9.6,8.6245241729882e-05,0.0011589104589664
163.6,128,0,10,8.6214212177242e-05,0.0011584934957049
164,128,0,10.4,8.6183182624602e-05,0.0011580765324435
164.4,128,0,10.8,8.616699534903e-05,0.0011578590133527
164.8,128,0,11.2,8.6210904506957e-05,0.0011584490444293
165.2,128,0,11.6,8.6254813664884e-05,0.0011590390755059
165.6,128,0,12,8.6293398758269e-05,0.0011595575646051
166,128,0,12.4,8.6295101242603e-05,0.0011595804446144
166.4,128,0,12.8,8.6296803726937e-05,0.0011596033246237
166.8,128,0,13.2,8.6298506211271e-05,0.0011596262046329
167.2,128,0,13.6,8.6298788727113e-05,0.001159630002688
167.6,128,0,14,8.6295600169236e-05,0.0011595871554336
168,128,0,14.4,8.6292411611359e-05,0.0011595443081792
168.4,128,0,14.8,8.6289223053482e-05,0.0011595014609248
168.8,128,0,15.2,8.6285615438298e-05,0.0011594529827065
169.2,128,0,15.6,8.627821282348e-05,0.0011593535102563
169.6,128,0,16,8.6270810208662e-05,0.001159254037806
170,128,0,16.4,8.6263407593844e-05,0.0011591545653558
170.4,128,0,16.8,8.6256004979026e-05,0.0011590550929055
170.8,128,0,17.2,8.6255632801518e-05,0.0011590500910754
171.2,128,0,17.6,8.6256698408238e-05,0.0011590644092907
171.6,128,0,18,8.6257764014958e-05,0.0011590787275059
172,128,0,18.4,8.6258829621678e-05,0.0011590930457211
172.4,128,0,18.8,8.6259895228397e-05,0.0011591073639364
172.8,128,0,19.2,8.6260960835117e-05,0.0011591216821516
173.2,128,0,19.6,8.6262025809328e-05,0.0011591359918796
173.6,128,0,20,8.6263009274994e-05,0.0011591492079053
174,128,0,20.4,8.626399274066e-05,0.001159162423931
174.4,128,0,20.8,8.6264976206326e-05,0.0011591756399567
174.8,128,0,21.2,8.6265347719977e-05,0.0011591806314775
175.2,128,0,21.6,8.6265216405182e-05,0.0011591788655032
175.6,128,0,22,8.6264961591346e-05,0.0011591754446878
176,128,0,22.4,8.626470677751e-05,0.0011591720238725
176.4,128,0,22.8,8.6264451963674e-05,0.0011591686030571
176.8,128,0,23.2,8.6264178098106e-05,0.001159164925853
177.2,128,0,23.6,8.6263856568818e-05,0.0011591606072142
177.6,128,0,24,8.626353503953e-05,0.0011591562885753
178,128,0,24.4,8.6263213510241e-05,0.0011591519699364
178.4,128,0,24.8,8.6262891980953e-05,0.0011591476512975
178.8,128,0,25.2,8.6262837770956e-05,0.0011591469222884
179.2,128,0,25.6,8.6262882615387e-05,0.0011591475234067
179.6,128,0,26,8.6262927459819e-05,0.001159148124525
180,128,0,26.4,8.626297230425e-05,0.0011591487256433
180.4,128,0,26.8,8.6263017148682e-05,0.0011591493267616
180.8,128,0,27.2,8.6263061993113e-05,0.0011591499278799
181.2,128,0,27.6,8.6263103996925e-05,0.0011591504905467
181.6,128,0,28,8.6263142208105e-05,0.0011591510018752
182,128,0,28.4,8.6263180419286e-05,0.0011591515132038
182.4,128,0,28.8,8.6263216101187e-05,0.0011591519906565
182.8,128,0,29.2,8.6263205825884e-05,0.0011591518525832
183.2,128,0,29.6,8.6263195988756e-05,0.0011591517203599
183.6,128,0,30,8.626318661325e-05,0.0011591515942996
184,128,0,30.4,8.6263177237743e-05,0.0011591514682394
184.4,128,0,30.8,8.6263167862237e-05,0.0011591513421792
184.8,128,0,31.2,8.626315848673e-05,0.001159151216119
185.2,128,0,31.6,8.6263149111224e-05,0.0011591510900588
185.6,128,0,32,8.6263139735717e-05,0.0011591509639986
186,128,0,32.4,8.6263130360211e-05,0.0011591508379383
186.4,128,0,32.8,8.6263120984704e-05,0.0011591507118781
186.8,128,0,33.2,8.6263111609198e-05,0.0011591505858179
187.2,128,0,33.6,8.6263102233691e-05,0.0011591504597577
187.6,128,0,34,8.626309791303e-05,0.0011591504019859
188,128,0,34.4,8.6263100635185e-05,0.0011591504393591
188.4,128,0,34.8,8.6263103357341e-05,0.0011591504767323
188.8,128,0,35.2,8.6263106079496e-05,0.0011591505141054
189.2,128,0,35.6,8.6263108801652e-05,0.0011591505514786
189.6,128,0,36,8.6263111523807e-05,0.0011591505888518
190,128,0,36.4,8.6263114245962e-05,0.001159150626225
