time,average_xi,average_xv,center_xi,center_xs,center_xv,left_jix,left_jvx,right_jix,right_jvx,total_ci,total_cv
0,0,0,0,0,0,0,0,0,0,0,0
1,1.0001795310608e-07,1.0001895228542e-07,1.0001731733871e-07,1,1.000183165117e-07,6.4568546209839e-29,6.4569191250199e-29,-4.7691290858865e-28,-4.7691767294803e-28,0.0065547765747602,0.0065548420569775
2.2,2.2001163900397e-07,2.2001476798247e-07,2.2001102710358e-07,1,2.2001415606851e-07,6.4918857933552e-29,6.4920282254208e-29,-4.7712601258346e-28,-4.7713649849164e-28,0.014418682773764,0.014418887834499
3.64,3.6399322801688e-07,3.6400064719677e-07,3.6399264766067e-07,1,3.6400006681895e-07,6.535977577185e-29,6.5362146330969e-29,-4.7747799376739e-28,-4.774953547874e-28,0.023854660191315,0.023855146414687
5.368,5.3674721545636e-07,5.3676244712642e-07,5.3674667414185e-07,1,5.3676190578171e-07,6.5940908962191e-29,6.5944435263101e-29,-4.7800077870978e-28,-4.7802640897174e-28,0.035176265512148,0.035177263734877
7.4416,7.4400347158382e-07,7.440319846912e-07,7.4400297735452e-07,1,7.4403149042293e-07,6.6700488965292e-29,6.6705437837746e-29,-4.7876529940119e-28,-4.7880088905813e-28,0.048759011513717,0.048760880148722
9.92992,9.9261690292781e-07,9.9266700715135e-07,9.9261646453246e-07,1,9.9266656870869e-07,6.7663571637051e-29,6.7670288175449e-29,-4.7982178192065e-28,-4.798693852656e-28,0.065052141350277,0.065055424980671
12.915904,1.2907758638815e-06,1.2908600268116e-06,1.2907754904039e-06,1,1.2908596532796e-06,6.8794332821336e-29,6.8803266557033e-29,-4.8113022914294e-28,-4.8119234456591e-28,0.084592287015339,0.084597802717126
16.4990848,1.648239688267e-06,1.6483764527541e-06,1.6482393882967e-06,1,1.6483761527244e-06,6.9922906204718e-29,6.9934637676281e-29,-4.82449667369e-28,-4.8252932674589e-28,0.10801903621027,0.10802799920769
20.79890176,2.0766019048235e-06,2.0768186657698e-06,2.0766016859069e-06,1,2.076818446792e-06,7.0628605856349e-29,7.0643860088826e-29,-4.8318232040238e-28,-4.8328318207977e-28,0.13609218243451,0.13610638807989
