x,y,z,id,xi,xv
0,128,0,0,6.7609696722137e-05,0.014790678125529
1,128,0,1,6.7609696725944e-05,0.014790678127018
2,128,0,2,6.7609696729751e-05,0.014790678128508
3,128,0,3,6.7609696733559e-05,0.014790678129997
4,128,0,4,6.7609696737366e-05,0.014790678131487
5,128,0,5,6.7609696727027e-05,0.014790678136894
6,128,0,6,6.7609696716688e-05,0.014790678142301
7,128,0,7,6.7609696706348e-05,0.014790678147707
8,128,0,8,6.7609696696009e-05,0.014790678153114
9,128,0,9,6.7609696706137e-05,0.014790678147085
10,128,0,10,6.7609696716266e-05,0.014790678141055
11,128,0,11,6.7609696726394e-05,0.014790678135026
12,128,0,12,6.7609696736522e-05,0.014790678128996
13,128,0,13,6.7609696733803e-05,0.014790678130613
14,128,0,14,6.7609696731083e-05,0.01479067813223
15,128,0,15,6.7609696728363e-05,0.014790678133846
16,128,0,16,6.7609696725644e-05,0.014790678135463
17,128,0,17,6.7609696726386e-05,0.014790678135026
18,128,0,18,6.7609696727128e-05,0.014790678134589
19,128,0,19,6.760969672787e-05,0.014790678134152
20,128,0,20,6.7609696728612e-05,0.014790678133715
21,128,0,21,6.7609696728394e-05,0.014790678133836
22,128,0,22,6.7609696728177e-05,0.014790678133957
23,128,0,23,6.7609696727959e-05,0.014790678134079
24,128,0,24,6.7609696727742e-05,0.0147906781342
25,128,0,25,6.7609696727799e-05,0.014790678134168
26,128,0,26,6.7609696727857e-05,0.014790678134137
27,128,0,27,6.7609696727915e-05,0.014790678134106
28,128,0,28,6.7609696727972e-05,0.014790678134074
29,128,0,29,6.7609696727958e-05,0.014790678134082
30,128,0,30,6.7609696727944e-05,0.01479067813409
31,128,0,31,6.7609696727931e-05,0.014790678134098
32,128,0,32,6.7609696727917e-05,0.014790678134106
33,128,0,33,6.7609696727907e-05,0.014790678134107
34,128,0,34,6.7609696727897e-05,0.014790678134108
35,128,0,35,6.7609696727887e-05,0.014790678134109
36,128,0,36,6.7609696727878e-05,0.01479067813411
37,128,0,37,6.7609696727881e-05,0.014790678134109
38,128,0,38,6.7609696727885e-05,0.014790678134109
39,128,0,39,6.7609696727889e-05,0.014790678134108
40,128,0,40,6.7609696727893e-05,0.014790678134107
41,128,0,41,6.7609696727906e-05,0.014790678134105
42,128,0,42,6.7609696727919e-05,0.014790678134103
43,128,0,43,6.7609696727932e-05,0.014790678134102
44,128,0,44,6.7609696727945e-05,0.0147906781341
45,128,0,45,6.7609696727921e-05,0.014790678134101
46,128,0,46,6.7609696727897e-05,0.014790678134101
47,128,0,47,6.7609696727873e-05,0.014790678134102
48,128,0,48,6.760969672785e-05,0.014790678134103
49,128,0,49,6.7609696727558e-05,0.014790678134302
50,128,0,50,6.7609696727266e-05,0.014790678134502
51,128,0,51,6.7609696726975e-05,0.014790678134701
52,128,0,52,6.7609696726683e-05,0.0147906781349
53,128,0,53,6.760969672701e-05,0.01479067813469
54,128,0,54,6.7609696727338e-05,0.014790678134481
55,128,0,55,6.7609696727665e-05,0.014790678134271
56,128,0,56,6.7609696727992e-05,0.014790678134061
57,128,0,57,6.76096967279e-05,0.014790678134128
58,128,0,58,6.7609696727808e-05,0.014790678134194
59,128,0,59,6.7609696727715e-05,0.01479067813426
60,128,0,60,6.7609696727623e-05,0.014790678134327
61,128,0,61,6.7609696727669e-05,0.014790678134297
62,128,0,62,6.7609696727715e-05,0.014790678134266
63,128,0,63,6.7609696727761e-05,0.014790678134236
64,128,0,64,6.7609696727808e-05,0.014790678134206
65,128,0,65,6.7609696727739e-05,0.01479067813425
66,128,0,66,6.760969672767e-05,0.014790678134294
67,128,0,67,6.7609696727602e-05,0.014790678134338
68,128,0,68,6.7609696727533e-05,0.014790678134382
69,128,0,69,6.7609696727491e-05,0.014790678134404
70,128,0,70,6.7609696727449e-05,0.014790678134427
71,128,0,71,6.7609696727408e-05,0.01479067813445
72,128,0,72,6.7609696727366e-05,0.014790678134473
73,128,0,73,6.760969672749e-05,0.014790678134403
74,128,0,74,6.7609696727614e-05,0.014790678134334
75,128,0,75,6.7609696727738e-05,0.014790678134265
76,128,0,76,6.7609696727862e-05,0.014790678134195
77,128,0,77,6.7609696727784e-05,0.014790678134238
78,128,0,78,6.7609696727707e-05,0.014790678134282
79,128,0,79,6.7609696727629e-05,0.014790678134325
80,128,0,80,6.7609696727552e-05,0.014790678134368
81,128,0,81,6.7609696727586e-05,0.01479067813435
82,128,0,82,6.760969672762e-05,0.014790678134332
83,128,0,83,6.7609696727654e-05,0.014790678134314
84,128,0,84,6.7609696727688e-05,0.014790678134296
85,128,0,85,6.7609696727675e-05,0.014790678134302
86,128,0,86,6.7609696727662e-05,0.014790678134308
87,128,0,87,6.7609696727649e-05,0.014790678134313
88,128,0,88,6.7609696727636e-05,0.014790678134319
89,128,0,89,6.7609696727629e-05,0.01479067813432
90,128,0,90,6.7609696727622e-05,0.01479067813432
91,128,0,91,6.7609696727615e-05,0.014790678134321
92,128,0,92,6.7609696727609e-05,0.014790678134322
93,128,0,93,6.7609696727626e-05,0.014790678134318
94,128,0,94,6.7609696727643e-05,0.014790678134315
95,128,0,95,6.7609696727661e-05,0.014790678134311
96,128,0,96,6.7609696727678e-05,0.014790678134307
97,128,0,97,6.7609696727659e-05,0.014790678134312
98,128,0,98,6.760969672764e-05,0.014790678134316
99,128,0,99,6.7609696727621e-05,0.01479067813432
100,128,0,100,6.7609696727602e-05,0.014790678134324
101,128,0,101,6.7609696727617e-05,0.014790678134321
102,128,0,102,6.7609696727631e-05,0.014790678134318
103,128,0,103,6.7609696727645e-05,0.014790678134314
104,128,0,104,6.760969672766e-05,0.014790678134311
105,128,0,105,6.7609696727641e-05,0.014790678134316
106,128,0,106,6.7609696727622e-05,0.01479067813432
107,128,0,107,6.7609696727603e-05,0.014790678134325
108,128,0,108,6.7609696727584e-05,0.014790678134329
109,128,0,109,6.7609696727603e-05,0.014790678134324
110,128,0,110,6.7609696727621e-05,0.014790678134318
111,128,0,111,6.760969672764e-05,0.014790678134313
112,128,0,112,6.7609696727658e-05,0.014790678134307
113,128,0,113,6.7609696727653e-05,0.014790678134314
114,128,0,114,6.7609696727647e-05,0.01479067813432
115,128,0,115,6.7609696727641e-05,0.014790678134326
116,128,0,116,6.7609696727635e-05,0.014790678134333
117,128,0,117,6.7609696727662e-05,0.014790678134308
118,128,0,118,6.7609696727689e-05,0.014790678134283
119,128,0,119,6.7609696727716e-05,0.014790678134259
120,128,0,120,6.7609696727743e-05,0.014790678134234
121,128,0,121,6.7609696727593e-05,0.014790678134337
122,128,0,122,6.7609696727443e-05,0.01479067813444
123,128,0,123,6.7609696727293e-05,0.014790678134543
124,128,0,124,6.7609696727142e-05,0.014790678134646
125,128,0,125,6.7609696727727e-05,0.014790678134256
126,128,0,126,6.7609696728312e-05,0.014790678133867
127,128,0,127,6.7609696728897e-05,0.014790678133477
128,128,0,128,6.7609696729482e-05,0.014790678133088
129,128,0,129,6.7609696727285e-05,0.014790678134532
130,128,0,130,6.7609696725087e-05,0.014790678135976
131,128,0,131,6.760969672289e-05,0.01479067813742
132,128,0,132,6.7609696720692e-05,0.014790678138864
133,128,0,133,6.7609696721662e-05,0.014790678138306
134,128,0,134,6.7609696722632e-05,0.014790678137748
135,128,0,135,6.7609696723601e-05,0.01479067813719
