x,y,z,id,xi,xv,jvx,jix
0,128,0,0,4.4422005269737e-57,4.4422005269737e-57,-6.798447819666e-21,-6.798447819666e-21
1,128,0,1,6.7984409879609e-06,6.7984409879609e-06,-6.798447819666e-21,-6.798447819666e-21
2,128,0,2,4.9774090154622e-06,4.9774090154622e-06,1.8210351249595e-21,1.8210351249595e-21
3,128,0,3,5.4653923273001e-06,5.4653923273001e-06,-4.8798266836618e-22,-4.8798266836618e-22
4,128,0,4,5.3346388967502e-06,5.3346388967502e-06,1.3075350042221e-22,1.3075350042221e-22
5,128,0,5,5.3696815326554e-06,5.3696815326554e-06,-3.5039080990111e-23,-3.5039080990111e-23
6,128,0,6,5.3602975171616e-06,5.3602975171616e-06,9.3835684443946e-24,9.383568444394e-24
7,128,0,7,5.3628194817718e-06,5.3628194817718e-06,-2.5191439482297e-24,-2.5191439482304e-24
8,128,0,8,5.362142847884e-06,5.362142847884e-06,6.8148822161699e-25,6.8148822161381e-25
9,128,0,9,5.3623139023238e-06,5.3623139023238e-06,-1.7955661682493e-25,-1.7955661682143e-25
10,128,0,10,5.3622766455425e-06,5.3622766455425e-06,4.400798307869e-26,4.4007983078584e-26
11,128,0,11,5.3622832479052e-06,5.3622832479052e-06,-1.1529171116748e-26,-1.152917111823e-26
12,128,0,12,5.3622732520987e-06,5.3622732520987e-06,1.5149153677401e-27,1.5149153679519e-27
13,128,0,13,5.3622707608865e-06,5.3622707608865e-06,1.8562307579892e-27,1.856230760848e-27
14,128,0,14,5.3622796832663e-06,5.3622796832663e-06,-4.2053623960655e-27,-4.2053623980772e-27
15,128,0,15,5.3622803049383e-06,5.3622803049383e-06,4.7859930994313e-28,4.7859930994313e-28
16,128,0,16,5.3622826165632e-06,5.3622826165632e-06,-2.5162367101545e-27,-2.5162367086722e-27
17,128,0,17,5.3622832556487e-06,5.3622832556487e-06,6.8462782659455e-27,6.8462782661573e-27
18,128,0,18,5.3622871285954e-06,5.3622871285954e-06,-6.9153688598635e-27,-6.9153688607106e-27
19,128,0,19,5.3622709139793e-06,5.3622709139793e-06,1.1449899694389e-26,1.1449899694389e-26
20,128,0,20,5.3622810015805e-06,5.3622810015805e-06,-5.3767133444863e-27,-5.3767133448039e-27
21,128,0,21,5.3622733708751e-06,5.3622733708751e-06,3.8287646241748e-27,3.8287646234336e-27
22,128,0,22,5.362274708686e-06,5.362274708686e-06,1.2313713889199e-27,1.2313713908257e-27
23,128,0,23,5.3622731862239e-06,5.3622731862239e-06,-7.2409073907202e-27,-7.2409073916731e-27
24,128,0,24,5.3622889097811e-06,5.3622889097811e-06,-7.9189097324728e-27,-7.9189097313082e-27
25,128,0,25,5.3622746020969e-06,5.3622746020969e-06,1.106727672007e-26,1.1067276716681e-26
26,128,0,26,5.3622703070795e-06,5.3622703070795e-06,9.1175392202589e-28,9.1175392456699e-28
27,128,0,27,5.3622695081213e-06,5.3622695081213e-06,-1.1544299151232e-27,-1.1544299137468e-27
28,128,0,28,5.3622747381207e-06,5.3622747381207e-06,3.425870179747e-27,3.4258701787941e-27
29,128,0,29,5.3622704880753e-06,5.3622704880753e-06,4.6840511466527e-27,4.6840511449587e-27
30,128,0,30,5.3622761795458e-06,5.3622761795458e-06,-9.9013820090233e-27,-9.9013820089174e-27
31,128,0,31,5.3622707085685e-06,5.3622707085685e-06,6.5104482794858e-27,6.5104482796975e-27
32,128,0,32,5.3622745342554e-06,5.3622745342554e-06,-4.3118070007618e-27,-4.3118069991736e-27
33,128,0,33,5.3622712167298e-06,5.3622712167298e-06,-1.461944263971e-27,-1.4619442668297e-27
34,128,0,34,5.3622875899666e-06,5.3622875899666e-06,-8.1937930815752e-27,-8.1937930801988e-27
35,128,0,35,5.3622857203781e-06,5.3622857203781e-06,7.5005951427082e-27,7.5005951418612e-27
36,128,0,36,5.3622757771766e-06,5.3622757771766e-06,-2.1469704922899e-27,-2.1469704897488e-27
37,128,0,37,5.3622850311964e-06,5.3622850311964e-06,2.175341990666e-27,2.1753419890778e-27
38,128,0,38,5.3622724572019e-06,5.3622724572019e-06,8.8436939101393e-27,8.8436939092922e-27
39,128,0,39,5.3622694926397e-06,5.3622694926397e-06,-6.2792219016811e-27,-6.2792219013635e-27
40,128,0,40,5.3622876981675e-06,5.3622876981675e-06,-6.0592809227741e-27,-6.0592809240447e-27
41,128,0,41,5.3622755307894e-06,5.3622755307894e-06,6.7098962125119e-27,6.7098962135707e-27
42,128,0,42,5.3622734293924e-06,5.3622734293924e-06,7.5996430180048e-28,7.5996430232987e-28
43,128,0,43,5.3622845468487e-06,5.3622845468487e-06,-8.7524676526976e-27,-8.7524676533329e-27
44,128,0,44,5.3622869909716e-06,5.3622869909716e-06,-1.8772275132939e-27,-1.8772275115999e-27
45,128,0,45,5.3622760537305e-06,5.3622760537305e-06,8.355326712916e-27,8.3553267124925e-27
46,128,0,46,5.3622824966111e-06,5.3622824966111e-06,-3.9847402126159e-27,-3.9847402106042e-27
47,128,0,47,5.3622865308911e-06,5.3622865308911e-06,-5.1607160118565e-27,-5.1607160121742e-27
48,128,0,48,5.3622873146249e-06,5.3622873146249e-06,8.0664134049487e-27,8.0664134025134e-27
49,128,0,49,5.3622698284312e-06,5.3622698284312e-06,5.7887981036974e-27,5.7887981043327e-27
50,128,0,50,5.3622804670598e-06,5.3622804670598e-06,-6.6947062945417e-27,-6.6947062931652e-27
51,128,0,51,5.3622830546154e-06,5.3622830546154e-06,-6.3208682422846e-28,-6.3208682391082e-28
52,128,0,52,5.3622715403398e-06,5.3622715403398e-06,1.5626119204785e-27,1.5626119177256e-27
53,128,0,53,5.3622807474433e-06,5.3622807474433e-06,-2.981167804017e-27,-2.9811678009465e-27
54,128,0,54,5.3622711411792e-06,5.3622711411792e-06,2.7013750139417e-27,2.7013750135182e-27
55,128,0,55,5.3622858671457e-06,5.3622858671457e-06,-5.8571635775909e-27,-5.8571635782261e-27
56,128,0,56,5.3622878198921e-06,5.3622878198921e-06,3.8596103821286e-27,3.8596103848815e-27
57,128,0,57,5.3622723762758e-06,5.3622723762758e-06,9.8800270823428e-27,9.8800270803311e-27
