x,y,z,id,xi,xv
153.6,128,0,0,0,0
154,128,0,0.40000000000001,5.1743363873661e-06,5.3865835071475e-05
154.4,128,0,0.80000000000001,1.0348672774733e-05,0.00010773167014296
154.8,128,0,1.2,1.5523009162098e-05,0.00016159750521442
155.2,128,0,1.6,2.0697345549463e-05,0.00021546334028589
155.6,128,0,2,2.5871681936829e-05,0.00026932917535736
156,128,0,2.4,3.1046018324195e-05,0.00032319501042884
156.4,128,0,2.8,3.3468988505053e-05,0.00034841839064427
156.8,128,0,3.2,3.2685066373147e-05,0.00034025729958932
157.2,128,0,3.6,3.2126754492827e-05,0.00033444505207508
157.6,128,0,4,3.1568442612507e-05,0.00032863280456085
158,128,0,4.4,3.1010130732188e-05,0.00032282055704661
158.4,128,0,4.8,3.0741291564434e-05,0.00032002182124889
158.8,128,0,5.2,3.0756104348377e-05,0.00032017600102056
159.2,128,0,5.6,3.0770917132321e-05,0.00032033018079223
159.6,128,0,6,3.0855024534291e-05,0.00032120578295264
160,128,0,6.4,3.0963023923176e-05,0.0003223301232512
160.4,128,0,6.8,3.1071023312061e-05,0.00032345446354976
160.8,128,0,7.2,3.1179022700946e-05,0.00032457880384832
161.2,128,0,7.6,3.1164206849412e-05,0.00032442456538247
161.6,128,0,8,3.1095715433902e-05,0.00032371153277973
162,128,0,8.4,3.1027224018393e-05,0.00032299850017699
162.4,128,0,8.8,3.1005026322709e-05,0.00032276740715558
162.8,128,0,9.2,3.0993879268154e-05,0.00032265135654986
163.2,128,0,9.6,3.0982732213599e-05,0.00032253530594413
163.6,128,0,10,3.0971585159044e-05,0.0003224192553384
164,128,0,10.4,3.0960438104489e-05,0.00032230320473267
164.4,128,0,10.8,3.095462300845e-05,0.00032224266362891
164.8,128,0,11.2,3.0970397031713e-05,0.00032240688069925
165.2,128,0,11.6,3.0986171054976e-05,0.00032257109776959
165.6,128,0,12,3.1000032433472e-05,0.00032271540357931
166,128,0,12.4,3.1000643910761e-05,0.00032272177356286
166.4,128,0,12.8,3.100125538805e-05,0.00032272814354642
166.8,128,0,13.2,3.1001866865339e-05,0.00032273451352997
167.2,128,0,13.6,3.1001968285385e-05,0.00032273557177557
167.6,128,0,14,3.10008228846e-05,0.00032272364562459
168,128,0,14.4,3.0999677483816e-05,0.00032271171947361
168.4,128,0,14.8,3.0998532083032e-05,0.00032269979332263
168.8,128,0,15.2,3.099723612947e-05,0.00032268630010018
169.2,128,0,15.6,3.0994576763968e-05,0.00032265861541623
169.6,128,0,16,3.0991917398465e-05,0.00032263093073227
170,128,0,16.4,3.0989258032962e-05,0.00032260324604832
170.4,128,0,16.8,3.0986598667459e-05,0.00032257556136437
170.8,128,0,17.2,3.0986465020516e-05,0.00032257416848667
171.2,128,0,17.6,3.09868479045e-05,0.00032257815250698
171.6,128,0,18,3.0987230788484e-05,0.00032258213652728
172,128,0,18.4,3.0987613672468e-05,0.00032258612054759
172.4,128,0,18.8,3.0987996556453e-05,0.0003225901045679
172.8,128,0,19.2,3.0988379440437e-05,0.0003225940885882
173.2,128,0,19.6,3.098876209648e-05,0.00032259807025641
173.6,128,0,20,3.098911537874e-05,0.00032260174882068
174,128,0,20.4,3.0989468661001e-05,0.00032260542738495
174.4,128,0,20.8,3.0989821943261e-05,0.00032260910594922
174.8,128,0,21.2,3.0989955439793e-05,0.00032261049472589
175.2,128,0,21.6,3.0989908320677e-05,0.00032261000245662
175.6,128,0,22,3.098981657898e-05,0.00032260905320327
176,128,0,22.4,3.0989724837283e-05,0.00032260810394993
176.4,128,0,22.8,3.0989633095586e-05,0.00032260715469659
176.8,128,0,23.2,3.0989534531786e-05,0.00032260613377574
177.2,128,0,23.6,3.0989418900413e-05,0.00032260493355675
177.6,128,0,24,3.0989303269041e-05,0.00032260373333776
178,128,0,24.4,3.0989187637668e-05,0.00032260253311877
178.4,128,0,24.8,3.0989072006295e-05,0.00032260133289979
178.8,128,0,25.2,3.098905256154e-05,0.00032260112958517
179.2,128,0,25.6,3.0989068758471e-05,0.00032260129567072
179.6,128,0,26,3.0989084955403e-05,0.00032260146175627
180,128,0,26.4,3.0989101152334e-05,0.00032260162784182
180.4,128,0,26.8,3.0989117349265e-05,0.00032260179392737
180.8,128,0,27.2,3.0989133546197e-05,0.00032260196001293
181.2,128,0,27.6,3.0989148739953e-05,0.0003226021151542
181.6,128,0,28,3.0989162594327e-05,0.00032260225568331
182,128,0,28.4,3.0989176448701e-05,0.00032260239621242
182.4,128,0,28.8,3.0989189388031e-05,0.00032260252740318
182.8,128,0,29.2,3.098918570093e-05,0.0003226024889155
183.2,128,0,29.6,3.0989182167046e-05,0.00032260245211566
183.6,128,0,30,3.0989178794575e-05,0.00032260241709398
184,128,0,30.4,3.0989175422103e-05,0.0003226023820723
184.4,128,0,30.8,3.0989172049632e-05,0.00032260234705062
184.8,128,0,31.2,3.0989168677161e-05,0.00032260231202894
185.2,128,0,31.6,3.098916530469e-05,0.00032260227700726
185.6,128,0,32,3.0989161932219e-05,0.00032260224198558
186,128,0,32.4,3.0989158559748e-05,0.0003226022069639
186.4,128,0,32.8,3.0989155187276e-05,0.00032260217194222
186.8,128,0,33.2,3.0989151814805e-05,0.00032260213692054
187.2,128,0,33.6,3.0989148442334e-05,0.00032260210189886
187.6,128,0,34,3.0989146864959e-05,0.00032260208617447
188,128,0,34.4,3.0989147788658e-05,0.0003226020973366
188.4,128,0,34.8,3.0989148712356e-05,0.00032260210849873
188.8,128,0,35.2,3.0989149636055e-05,0.00032260211966086
189.2,128,0,35.6,3.0989150559753e-05,0.00032260213082299
189.6,128,0,36,3.0989151483451e-05,0.00032260214198512
190,128,0,36.4,3.098915240715e-05,0.00032260215314725
190.4,128,0,36.8,3.0989153330848e-05,0.00032260216430938
190.8,128,0,37.2,3.0989154254546e-05,0.00032260217547151
191.2,128,0,37.6,3.0989155023566e-05,0.00032260218417287
191.6,128,0,38,3.0989155741048e-05,0.00032260219205433
192,128,0,38.4,3.0989156458531e-05,0.0003226021999358
192.4,128,0,38.8,3.0989157176013e-05,0.00032260220781726
192.8,128,0,39.2,3.0989157507237e-05,0.00032260221143611
193.2,128,0,39.6,3.0989157337363e-05,0.00032260220952505
193.6,128,0,40,3.0989157167489e-05,0.00032260220761398
194,128,0,40.4,3.0989156997616e-05,0.00032260220570292
194.4,128,0,40.8,3.0989156827742e-05,0.00032260220379185
194.8,128,0,41.2,3.0989156657869e-05,0.00032260220188079
195.2,128,0,41.6,3.0989156495691e-05,0.00032260219965641
195.6,128,0,42,3.0989156351507e-05,0.0003226021966994
196,128,0,42.4,3.0989156207324e-05,0.00032260219374239
196.4,128,0,42.8,3.098915606314e-05,0.00032260219078537
196.8,128,0,43.2,3.0989155918956e-05,0.00032260218782836
197.2,128,0,43.6,3.0989155774773e-05,0.00032260218487134
197.6,128,0,44,3.0989155630589e-05,0.00032260218191433
198,128,0,44.4,3.0989155486406e-05,0.00032260217895731
198.4,128,0,44.8,3.0989155342222e-05,0.0003226021760003
198.8,128,0,45.2,3.098915534132e-05,0.00032260217661435
199.2,128,0,45.6,3.0989155347444e-05,0.00032260217740349
199.6,128,0,46,3.0989155353567e-05,0.00032260217819262
200,128,0,46.4,3.098915535969e-05,0.00032260217898176
200.4,128,0,46.8,3.0989155392336e-05,0.00032260217932953
200.8,128,0,47.2,3.0989155438287e-05,0.0003226021794559
201.2,128,0,47.6,3.0989155484238e-05,0.00032260217958226
201.6,128,0,48,3.0989155530189e-05,0.00032260217970862
202,128,0,48.4,3.0989155576141e-05,0.00032260217983499
202.4,128,0,48.8,3.0989155622092e-05,0.00032260217996135
202.8,128,0,49.2,3.0989155668043e-05,0.00032260218008771
203.2,128,0,49.6,3.0989155713994e-05,0.00032260218021408
203.6,128,0,50,3.0989155759945e-05,0.00032260218034044
204,128,0,50.4,3.0989155805897e-05,0.00032260218046681
204.4,128,0,50.8,3.0989155851848e-05,0.00032260218059317
204.8,128,0,51.2,3.0989155897799e-05,0.00032260218071953
205.2,128,0,51.6,3.098915594375e-05,0.0003226021808459
205.6,128,0,52,3.0989155962511e-05,0.00032260218092248
206,128,0,52.4,3.0989155945571e-05,0.00032260218093369
206.4,128,0,52.8,3.0989155928631e-05,0.0003226021809449
206.8,128,0,53.2,3.0989155911691e-05,0.00032260218095612
207.2,128,0,53.6,3.0989155894751e-05,0.00032260218096733
207.6,128,0,54,3.0989155877811e-05,0.00032260218097854
208,128,0,54.4,3.0989155860871e-05,0.00032260218098976
208.4,128,0,54.8,3.0989155843931e-05,0.00032260218100097
208.8,128,0,55.2,3.0989155826992e-05,0.00032260218101218
209.2,128,0,55.6,3.0989155810052e-05,0.0003226021810234
209.6,128,0,56,3.0989155793112e-05,0.00032260218103461
210,128,0,56.4,3.0989155776172e-05,0.00032260218104582
210.4,128,0,56.8,3.0989155759232e-05,0.00032260218105704
210.8,128,0,57.2,3.0989155742292e-05,0.00032260218106825
211.2,128,0,57.6,3.098915572594e-05,0.00032260218108578
211.6,128,0,58,3.0989155720622e-05,0.00032260218120712
212,128,0,58.4,3.0989155725303e-05,0.00032260218119814
212.4,128,0,58.8,3.0989155729983e-05,0.00032260218118916
212.8,128,0,59.2,3.0989155734664e-05,0.00032260218118018
213.2,128,0,59.6,3.0989155739344e-05,0.00032260218117119
213.6,128,0,60,3.0989155744025e-05,0.00032260218116221
214,128,0,60.4,3.0989155748705e-05,0.00032260218115323
214.4,128,0,60.8,3.0989155753385e-05,0.00032260218114425
214.8,128,0,61.2,3.0989155758066e-05,0.00032260218113526
215.2,128,0,61.6,3.0989155762746e-05,0.00032260218112628
215.6,128,0,62,3.0989155767427e-05,0.0003226021811173
216,128,0,62.4,3.0989155772107e-05,0.00032260218110832
216.4,128,0,62.8,3.0989155776788e-05,0.00032260218109933
216.8,128,0,63.2,3.0989155781468e-05,0.00032260218109035
217.2,128,0,63.6,3.0989155786149e-05,0.00032260218108137
217.6,128,0,64,3.0989155790829e-05,0.00032260218107239
218,128,0,64.4,3.0989155769789e-05,0.00032260218142739
218.4,128,0,64.8,3.0989155716084e-05,0.00032260218224464
218.8,128,0,65.2,3.0989155662378e-05,0.00032260218306188
219.2,128,0,65.6,3.0989155635704e-05,0.00032260218346318
219.6,128,0,66,3.0989155660794e-05,0.00032260218306792
220,128,0,66.4,3.0989155685883e-05,0.00032260218267265
220.4,128,0,66.8,3.0989155710973e-05,0.00032260218227738
220.8,128,0,67.2,3.0989155736063e-05,0.00032260218188212
221.2,128,0,67.6,3.0989155761153e-05,0.00032260218148685
221.6,128,0,68,3.0989155786243e-05,0.00032260218109158
222,128,0,68.4,3.0989155808951e-05,0.00032260218073301
222.4,128,0,68.8,3.0989155821914e-05,0.00032260218052456
222.8,128,0,69.2,3.0989155834876e-05,0.00032260218031611
223.2,128,0,69.6,3.0989155847838e-05,0.00032260218010766
223.6,128,0,70,3.0989155860801e-05,0.00032260217989921
224,128,0,70.4,3.0989155873763e-05,0.00032260217969076
224.4,128,0,70.8,3.0989155886726e-05,0.00032260217948231
224.8,128,0,71.2,3.0989155899688e-05,0.00032260217927386
225.2,128,0,71.6,3.0989155912651e-05,0.00032260217906541
225.6,128,0,72,3.0989155925613e-05,0.00032260217885696
226,128,0,72.4,3.0989155938576e-05,0.00032260217864851
226.4,128,0,72.8,3.0989155951538e-05,0.00032260217844006
226.8,128,0,73.2,3.0989155955286e-05,0.00032260217838323
227.2,128,0,73.6,3.0989155947656e-05,0.00032260217851362
227.6,128,0,74,3.0989155940027e-05,0.00032260217864401
228,128,0,74.4,3.0989155932397e-05,0.0003226021787744
228.4,128,0,74.8,3.0989155924768e-05,0.00032260217890479
228.8,128,0,75.2,3.0989155917138e-05,0.00032260217903517
229.2,128,0,75.6,3.0989155909509e-05,0.00032260217916556
229.6,128,0,76,3.0989155901879e-05,0.00032260217929595
230,128,0,76.4,3.0989155894249e-05,0.00032260217942634
230.4,128,0,76.8,3.098915588662e-05,0.00032260217955673
230.8,128,0,77.2,3.098915587899e-05,0.00032260217968712
231.2,128,0,77.6,3.0989155871361e-05,0.00032260217981751
231.6,128,0,78,3.0989155863731e-05,0.0003226021799479
232,128,0,78.4,3.0989155856101e-05,0.00032260218007828
232.4,128,0,78.8,3.0989155848472e-05,0.00032260218020867
