x,y,z,id,xi,xv
0,128,0,0,4.4422005313506e-57,4.4422005313506e-57
1,128,0,1,6.7984409879609e-06,6.7984409879609e-06
2,128,0,2,4.9774090154622e-06,4.9774090154622e-06
3,128,0,3,5.4653923273001e-06,5.4653923273001e-06
4,128,0,4,5.3346388967502e-06,5.3346388967502e-06
5,128,0,5,5.3696815326554e-06,5.3696815326554e-06
6,128,0,6,5.3602975171616e-06,5.3602975171616e-06
7,128,0,7,5.3628194817718e-06,5.3628194817718e-06
8,128,0,8,5.362142847884e-06,5.362142847884e-06
9,128,0,9,5.3623139023238e-06,5.3623139023238e-06
10,128,0,10,5.3622766455425e-06,5.3622766455425e-06
11,128,0,11,5.3622832479052e-06,5.3622832479052e-06
12,128,0,12,5.3622732520987e-06,5.3622732520987e-06
13,128,0,13,5.3622707608865e-06,5.3622707608865e-06
14,128,0,14,5.3622796832663e-06,5.3622796832663e-06
15,128,0,15,5.3622803049383e-06,5.3622803049383e-06
16,128,0,16,5.3622826165632e-06,5.3622826165632e-06
17,128,0,17,5.3622832556487e-06,5.3622832556487e-06
18,128,0,18,5.3622871285954e-06,5.3622871285954e-06
19,128,0,19,5.3622709139793e-06,5.3622709139793e-06
20,128,0,20,5.3622810015805e-06,5.3622810015805e-06
21,128,0,21,5.3622733708751e-06,5.3622733708751e-06
22,128,0,22,5.362274708686e-06,5.362274708686e-06
23,128,0,23,5.3622731862239e-06,5.3622731862239e-06
24,128,0,24,5.3622889097811e-06,5.3622889097811e-06
25,128,0,25,5.3622746020969e-06,5.3622746020969e-06
26,128,0,26,5.3622703070795e-06,5.3622703070795e-06
27,128,0,27,5.3622695081213e-06,5.3622695081213e-06
28,128,0,28,5.3622747381207e-06,5.3622747381207e-06
29,128,0,29,5.3622704880753e-06,5.3622704880753e-06
30,128,0,30,5.3622761795458e-06,5.3622761795458e-06
31,128,0,31,5.3622707085685e-06,5.3622707085685e-06
32,128,0,32,5.3622745342554e-06,5.3622745342554e-06
33,128,0,33,5.3622712167298e-06,5.3622712167298e-06
34,128,0,34,5.3622875899666e-06,5.3622875899666e-06
35,128,0,35,5.3622857203781e-06,5.3622857203781e-06
36,128,0,36,5.3622757771766e-06,5.3622757771766e-06
37,128,0,37,5.3622850311964e-06,5.3622850311964e-06
38,128,0,38,5.3622724572019e-06,5.3622724572019e-06
39,128,0,39,5.3622694926397e-06,5.3622694926397e-06
40,128,0,40,5.3622876981675e-06,5.3622876981675e-06
41,128,0,41,5.3622755307894e-06,5.3622755307894e-06
42,128,0,42,5.3622734293924e-06,5.3622734293924e-06
43,128,0,43,5.3622845468487e-06,5.3622845468487e-06
44,128,0,44,5.3622869909716e-06,5.3622869909716e-06
45,128,0,45,5.3622760537305e-06,5.3622760537305e-06
46,128,0,46,5.3622824966111e-06,5.3622824966111e-06
47,128,0,47,5.3622865308911e-06,5.3622865308911e-06
48,128,0,48,5.3622873146249e-06,5.3622873146249e-06
49,128,0,49,5.3622698284312e-06,5.3622698284312e-06
50,128,0,50,5.3622804670598e-06,5.3622804670598e-06
51,128,0,51,5.3622830546154e-06,5.3622830546154e-06
52,128,0,52,5.3622715403399e-06,5.3622715403399e-06
53,128,0,53,5.3622807474433e-06,5.3622807474433e-06
54,128,0,54,5.3622711411792e-06,5.3622711411792e-06
55,128,0,55,5.3622858671457e-06,5.3622858671457e-06
56,128,0,56,5.3622878198921e-06,5.3622878198921e-06
57,128,0,57,5.3622723762758e-06,5.3622723762758e-06
58,128,0,58,5.3622703603601e-06,5.3622703603601e-06
59,128,0,59,5.3622756443605e-06,5.3622756443605e-06
60,128,0,60,5.3622829628281e-06,5.3622829628281e-06
61,128,0,61,5.362270599219e-06,5.362270599219e-06
62,128,0,62,5.3622871727961e-06,5.3622871727961e-06
63,128,0,63,5.3622774121192e-06,5.3622774121192e-06
64,128,0,64,5.3622872746321e-06,5.3622872746321e-06
65,128,0,65,5.3622796399823e-06,5.3622796399823e-06
66,128,0,66,5.3622743537416e-06,5.3622743537416e-06
67,128,0,67,5.3622748479671e-06,5.3622748479671e-06
68,128,0,68,5.3622865133688e-06,5.3622865133688e-06
69,128,0,69,5.3622865681112e-06,5.3622865681112e-06
70,128,0,70,5.3622820249709e-06,5.3622820249709e-06
71,128,0,71,5.362271596158e-06,5.362271596158e-06
72,128,0,72,5.3622758365508e-06,5.3622758365508e-06
73,128,0,73,5.362280661307e-06,5.362280661307e-06
74,128,0,74,5.3622781535789e-06,5.3622781535789e-06
75,128,0,75,5.3622881186558e-06,5.3622881186558e-06
76,128,0,76,5.3622864685482e-06,5.3622864685482e-06
77,128,0,77,5.3622820818035e-06,5.3622820818035e-06
78,128,0,78,5.3622722943649e-06,5.3622722943649e-06
79,128,0,79,5.362282257139e-06,5.362282257139e-06
80,128,0,80,5.3622880395321e-06,5.3622880395321e-06
81,128,0,81,5.3622811762297e-06,5.3622811762297e-06
82,128,0,82,5.3622701783812e-06,5.3622701783812e-06
83,128,0,83,5.3622751658056e-06,5.3622751658056e-06
84,128,0,84,5.3622791382516e-06,5.3622791382516e-06
85,128,0,85,5.3622800019799e-06,5.3622800019799e-06
86,128,0,86,5.3622784041717e-06,5.3622784041717e-06
87,128,0,87,5.362280270674e-06,5.362280270674e-06
88,128,0,88,5.3622746565741e-06,5.3622746565741e-06
89,128,0,89,5.3622696074649e-06,5.3622696074649e-06
90,128,0,90,5.3622714171367e-06,5.3622714171367e-06
91,128,0,91,5.362287812921e-06,5.362287812921e-06
92,128,0,92,5.3622737736509e-06,5.3622737736509e-06
93,128,0,93,5.3622810052543e-06,5.3622810052543e-06
94,128,0,94,5.3622740963422e-06,5.3622740963422e-06
95,128,0,95,5.3622824325348e-06,5.3622824325348e-06
96,128,0,96,5.3622757914084e-06,5.3622757914084e-06
97,128,0,97,5.3622796186475e-06,5.3622796186475e-06
98,128,0,98,5.3622725304001e-06,5.3622725304001e-06
99,128,0,99,5.3622859907005e-06,5.3622859907005e-06
100,128,0,100,5.3622761710796e-06,5.3622761710796e-06
101,128,0,101,5.3622779913995e-06,5.3622779913995e-06
102,128,0,102,5.3622735678707e-06,5.3622735678707e-06
103,128,0,103,5.3622765445921e-06,5.3622765445921e-06
104,128,0,104,5.3622784313473e-06,5.3622784313473e-06
105,128,0,105,5.3622882987858e-06,5.3622882987858e-06
106,128,0,106,5.3622791594589e-06,5.3622791594589e-06
107,128,0,107,5.3622739240281e-06,5.3622739240281e-06
108,128,0,108,5.3622811133874e-06,5.3622811133874e-06
109,128,0,109,5.3622741146122e-06,5.3622741146122e-06
110,128,0,110,5.3622768631777e-06,5.3622768631777e-06
111,128,0,111,5.3622699832558e-06,5.3622699832558e-06
112,128,0,112,5.3622785994636e-06,5.3622785994636e-06
113,128,0,113,5.3622713780849e-06,5.3622713780849e-06
114,128,0,114,5.3622741769641e-06,5.3622741769641e-06
115,128,0,115,5.3622868897084e-06,5.3622868897084e-06
116,128,0,116,5.3622864741743e-06,5.3622864741743e-06
117,128,0,117,5.3622816468471e-06,5.3622816468471e-06
118,128,0,118,5.3622710819413e-06,5.3622710819414e-06
119,128,0,119,5.3622761883057e-06,5.3622761883057e-06
120,128,0,120,5.3622893339885e-06,5.3622893339885e-06
121,128,0,121,5.3622720532195e-06,5.3622720532195e-06
122,128,0,122,5.3622861971304e-06,5.3622861971304e-06
123,128,0,123,5.3622881576884e-06,5.3622881576884e-06
124,128,0,124,5.3622883977562e-06,5.3622883977562e-06
125,128,0,125,5.3622856249191e-06,5.3622856249191e-06
126,128,0,126,5.362276073374e-06,5.362276073374e-06
127,128,0,127,5.3622697200255e-06,5.3622697200255e-06
128,128,0,128,5.3622750695891e-06,5.3622750695891e-06
129,128,0,129,5.3622777636664e-06,5.3622777636664e-06
130,128,0,130,5.3622874979171e-06,5.3622874979171e-06
131,128,0,131,5.3622853776635e-06,5.3622853776635e-06
132,128,0,132,5.3622806204202e-06,5.3622806204202e-06
133,128,0,133,5.3622784265606e-06,5.3622784265606e-06
134,128,0,134,5.3622793682413e-06,5.3622793682413e-06
135,128,0,135,5.3622794045873e-06,5.3622794045873e-06
136,128,0,136,5.3622780272358e-06,5.3622780272358e-06
137,128,0,137,5.3622838818044e-06,5.3622838818044e-06
138,128,0,138,5.3622771521312e-06,5.3622771521312e-06
139,128,0,139,5.3622881880727e-06,5.3622881880727e-06
140,128,0,140,5.3622748792208e-06,5.3622748792208e-06
141,128,0,141,5.3622797142107e-06,5.3622797142107e-06
142,128,0,142,5.3622850247952e-06,5.3622850247952e-06
143,128,0,143,5.3622842619162e-06,5.3622842619162e-06
144,128,0,144,5.3622854211083e-06,5.3622854211083e-06
145,128,0,145,5.3622784433291e-06,5.3622784433291e-06
146,128,0,146,5.3622880410081e-06,5.3622880410081e-06
147,128,0,147,5.3622744329686e-06,5.3622744329686e-06
148,128,0,148,5.3622872996977e-06,5.3622872996977e-06
149,128,0,149,5.3622886655443e-06,5.3622886655443e-06
150,128,0,150,5.3622850325572e-06,5.3622850325572e-06
151,128,0,151,5.3622772728811e-06,5.3622772728811e-06
152,128,0,152,5.3622719770591e-06,5.3622719770591e-06
153,128,0,153,5.3622730338455e-06,5.3622730338455e-06
154,128,0,154,5.3622737303102e-06,5.3622737303102e-06
155,128,0,155,5.3622835730419e-06,5.3622835730419e-06
