x,y,z,id,xi,xv
153.6,128,0,0,9.8566238346086e-264,9.8566238346086e-264
154,128,0,0.40000000000001,1.6451170911929e-05,1.6451170911939e-05
154.4,128,0,0.80000000000001,3.2902341823859e-05,3.2902341823881e-05
154.8,128,0,1.2,4.9353512735785e-05,4.9353512735817e-05
155.2,128,0,1.6,6.5804683647712e-05,6.5804683647755e-05
155.6,128,0,2,8.225585455964e-05,8.2255854559694e-05
156,128,0,2.4,9.8707025471568e-05,9.8707025471632e-05
156.4,128,0,2.8,0.00010637835599169,0.00010637835599176
156.8,128,0,3.2,0.00010383674973484,0.00010383674973491
157.2,128,0,3.6,0.0001020432645262,0.00010204326452626
157.6,128,0,4,0.00010024977931755,0.00010024977931762
158,128,0,4.4,9.8456294108906e-05,9.845629410897e-05
158.4,128,0,4.8,9.7590313700246e-05,9.7590313700309e-05
158.8,128,0,5.2,9.7633187685469e-05,9.7633187685532e-05
159.2,128,0,5.6,9.7676061670692e-05,9.7676061670755e-05
159.6,128,0,6,9.7947914728872e-05,9.7947914728935e-05
160,128,0,6.4,9.8298717136521e-05,9.8298717136585e-05
160.4,128,0,6.8,9.8649519544171e-05,9.8649519544234e-05
160.8,128,0,7.2,9.900032195182e-05,9.9000321951884e-05
161.2,128,0,7.6,9.8952610826673e-05,9.8952610826737e-05
161.6,128,0,8,9.8730732077444e-05,9.8730732077508e-05
162,128,0,8.4,9.8508853328215e-05,9.8508853328279e-05
162.4,128,0,8.8,9.8436803538418e-05,9.8436803538482e-05
162.8,128,0,9.2,9.8400518989946e-05,9.840051899001e-05
163.2,128,0,9.6,9.8364234441475e-05,9.8364234441538e-05
163.6,128,0,10,9.8327949893003e-05,9.8327949893066e-05
164,128,0,10.4,9.8291665344531e-05,9.8291665344594e-05
164.4,128,0,10.8,9.8272711649e-05,9.8272711649063e-05
164.8,128,0,11.2,9.8323930639667e-05,9.832393063973e-05
165.2,128,0,11.6,9.8375149630334e-05,9.8375149630396e-05
165.6,128,0,12,9.8420162109029e-05,9.8420162109092e-05
166,128,0,12.4,9.8422178798923e-05,9.8422178798986e-05
166.4,128,0,12.8,9.8424195488816e-05,9.842419548888e-05
166.8,128,0,13.2,9.842621217871e-05,9.8426212178774e-05
167.2,128,0,13.6,9.8426562497539e-05,9.8426562497603e-05
167.6,128,0,14,9.8422839418371e-05,9.8422839418435e-05
168,128,0,14.4,9.8419116339203e-05,9.8419116339267e-05
168.4,128,0,14.8,9.8415393260035e-05,9.8415393260099e-05
168.8,128,0,15.2,9.8411181044266e-05,9.841118104433e-05
169.2,128,0,15.6,9.8402539188e-05,9.8402539188063e-05
169.6,128,0,16,9.8393897331733e-05,9.8393897331797e-05
170,128,0,16.4,9.8385255475466e-05,9.838525547553e-05
170.4,128,0,16.8,9.8376613619199e-05,9.8376613619263e-05
170.8,128,0,17.2,9.8376179921067e-05,9.8376179921131e-05
171.2,128,0,17.6,9.8377424861088e-05,9.8377424861152e-05
171.6,128,0,18,9.837866980111e-05,9.8378669801173e-05
172,128,0,18.4,9.8379914741131e-05,9.8379914741194e-05
172.4,128,0,18.8,9.8381159681152e-05,9.8381159681216e-05
172.8,128,0,19.2,9.8382404621174e-05,9.8382404621237e-05
173.2,128,0,19.6,9.8383648815627e-05,9.838364881569e-05
173.6,128,0,20,9.8384796932191e-05,9.8384796932254e-05
174,128,0,20.4,9.8385945048755e-05,9.8385945048819e-05
174.4,128,0,20.8,9.838709316532e-05,9.8387093165383e-05
174.8,128,0,21.2,9.8387526871137e-05,9.83875268712e-05
175.2,128,0,21.6,9.838737338262e-05,9.8387373382683e-05
175.6,128,0,22,9.8387073580296e-05,9.838707358036e-05
176,128,0,22.4,9.8386773777973e-05,9.8386773778037e-05
176.4,128,0,22.8,9.8386473975649e-05,9.8386473975713e-05
176.8,128,0,23.2,9.8386152267647e-05,9.8386152267711e-05
177.2,128,0,23.6,9.8385775755902e-05,9.8385775755966e-05
177.6,128,0,24,9.8385399244157e-05,9.8385399244221e-05
178,128,0,24.4,9.8385022732412e-05,9.8385022732476e-05
178.4,128,0,24.8,9.8384646220667e-05,9.8384646220731e-05
178.8,128,0,25.2,9.838458249266e-05,9.8384582492725e-05
179.2,128,0,25.6,9.8384634665808e-05,9.8384634665873e-05
179.6,128,0,26,9.8384686838956e-05,9.838468683902e-05
180,128,0,26.4,9.8384739012104e-05,9.8384739012168e-05
180.4,128,0,26.8,9.8384791185252e-05,9.8384791185316e-05
180.8,128,0,27.2,9.83848433584e-05,9.8384843358464e-05
181.2,128,0,27.6,9.8384892703779e-05,9.8384892703843e-05
181.6,128,0,28,9.8384938273687e-05,9.838493827375e-05
182,128,0,28.4,9.8384983843594e-05,9.8384983843658e-05
182.4,128,0,28.8,9.8385026205011e-05,9.8385026205074e-05
182.8,128,0,29.2,9.83850102679e-05,9.8385010267963e-05
183.2,128,0,29.6,9.8385000095737e-05,9.8385000095801e-05
183.6,128,0,30,9.8384995996993e-05,9.8384995997057e-05
184,128,0,30.4,9.8384991898249e-05,9.8384991898313e-05
184.4,128,0,30.8,9.8384987799505e-05,9.8384987799569e-05
184.8,128,0,31.2,9.8384983700761e-05,9.8384983700825e-05
185.2,128,0,31.6,9.8384979602017e-05,9.8384979602081e-05
185.6,128,0,32,9.8384975503274e-05,9.8384975503337e-05
186,128,0,32.4,9.838497140453e-05,9.8384971404593e-05
186.4,128,0,32.8,9.8384967305786e-05,9.8384967305849e-05
186.8,128,0,33.2,9.8384963207042e-05,9.8384963207105e-05
187.2,128,0,33.6,9.8384959108298e-05,9.8384959108361e-05
187.6,128,0,34,9.8384958598894e-05,9.8384958598957e-05
188,128,0,34.4,9.8384963090447e-05,9.8384963090511e-05
188.4,128,0,34.8,9.8384967582001e-05,9.8384967582065e-05
188.8,128,0,35.2,9.8384972073554e-05,9.8384972073618e-05
189.2,128,0,35.6,9.8384976565108e-05,9.8384976565172e-05
189.6,128,0,36,9.8384981056662e-05,9.8384981056726e-05
190,128,0,36.4,9.8384985548215e-05,9.8384985548279e-05
190.4,128,0,36.8,9.8384990039769e-05,9.8384990039833e-05
190.8,128,0,37.2,9.8384994531322e-05,9.8384994531387e-05
191.2,128,0,37.6,9.8384959138644e-05,9.8384959138709e-05
191.6,128,0,38,9.8384910457095e-05,9.838491045716e-05
192,128,0,38.4,9.8384861775547e-05,9.8384861775611e-05
192.4,128,0,38.8,9.8384813093998e-05,9.8384813094062e-05
192.8,128,0,39.2,9.8384834368414e-05,9.8384834368478e-05
193.2,128,0,39.6,9.8384946397283e-05,9.8384946397348e-05
193.6,128,0,40,9.8385058426152e-05,9.8385058426217e-05
194,128,0,40.4,9.8385170455022e-05,9.8385170455086e-05
194.4,128,0,40.8,9.8385282483891e-05,9.8385282483955e-05
194.8,128,0,41.2,9.838539451276e-05,9.8385394512824e-05
195.2,128,0,41.6,9.8385481711603e-05,9.8385481711667e-05
195.6,128,0,42,9.8385510847611e-05,9.8385510847675e-05
196,128,0,42.4,9.8385539983618e-05,9.8385539983682e-05
196.4,128,0,42.8,9.8385569119626e-05,9.838556911969e-05
196.8,128,0,43.2,9.8385598255633e-05,9.8385598255697e-05
197.2,128,0,43.6,9.8385627391641e-05,9.8385627391705e-05
197.6,128,0,44,9.8385656527649e-05,9.8385656527712e-05
198,128,0,44.4,9.8385685663656e-05,9.838568566372e-05
198.4,128,0,44.8,9.8385714799664e-05,9.8385714799727e-05
198.8,128,0,45.2,9.8385875984383e-05,9.8385875984446e-05
199.2,128,0,45.6,9.838604364327e-05,9.8386043643334e-05
199.6,128,0,46,9.8386211302157e-05,9.8386211302221e-05
200,128,0,46.4,9.8386378961045e-05,9.8386378961108e-05
200.4,128,0,46.8,9.8386084677016e-05,9.8386084677079e-05
200.8,128,0,47.2,9.8385558654901e-05,9.8385558654965e-05
201.2,128,0,47.6,9.8385032632786e-05,9.838503263285e-05
201.6,128,0,48,9.8384506610671e-05,9.8384506610735e-05
202,128,0,48.4,9.8383980588557e-05,9.838398058862e-05
202.4,128,0,48.8,9.8383454566442e-05,9.8383454566506e-05
202.8,128,0,49.2,9.8382928544327e-05,9.8382928544391e-05
203.2,128,0,49.6,9.8382402522212e-05,9.8382402522276e-05
203.6,128,0,50,9.8381876500098e-05,9.8381876500161e-05
204,128,0,50.4,9.8381350477983e-05,9.8381350478047e-05
204.4,128,0,50.8,9.8380824455868e-05,9.8380824455932e-05
204.8,128,0,51.2,9.8380298433753e-05,9.8380298433817e-05
205.2,128,0,51.6,9.8379772411639e-05,9.8379772411702e-05
205.6,128,0,52,9.8380266461348e-05,9.8380266461411e-05
206,128,0,52.4,9.8382099865332e-05,9.8382099865396e-05
206.4,128,0,52.8,9.8383933269316e-05,9.838393326938e-05
206.8,128,0,53.2,9.83857666733e-05,9.8385766673364e-05
207.2,128,0,53.6,9.8387600077284e-05,9.8387600077348e-05
207.6,128,0,54,9.8389433481269e-05,9.8389433481332e-05
208,128,0,54.4,9.8391266885253e-05,9.8391266885317e-05
208.4,128,0,54.8,9.8393100289237e-05,9.8393100289301e-05
208.8,128,0,55.2,9.8394933693221e-05,9.8394933693285e-05
209.2,128,0,55.6,9.8396767097205e-05,9.8396767097269e-05
209.6,128,0,56,9.839860050119e-05,9.8398600501253e-05
210,128,0,56.4,9.8400433905174e-05,9.8400433905238e-05
210.4,128,0,56.8,9.8402267309158e-05,9.8402267309222e-05
210.8,128,0,57.2,9.8404100713142e-05,9.8404100713206e-05
211.2,128,0,57.6,9.8406162304353e-05,9.8406162304416e-05
211.6,128,0,58,9.8399415090796e-05,9.839941509086e-05
212,128,0,58.4,9.8392421731683e-05,9.8392421731747e-05
212.4,128,0,58.8,9.838542837257e-05,9.8385428372634e-05
212.8,128,0,59.2,9.8378435013457e-05,9.837843501352e-05
213.2,128,0,59.6,9.8371441654344e-05,9.8371441654407e-05
213.6,128,0,60,9.836444829523e-05,9.8364448295294e-05
214,128,0,60.4,9.8357454936117e-05,9.8357454936181e-05
214.4,128,0,60.8,9.8350461577004e-05,9.8350461577068e-05
214.8,128,0,61.2,9.8343468217891e-05,9.8343468217955e-05
215.2,128,0,61.6,9.8336474858778e-05,9.8336474858842e-05
215.6,128,0,62,9.8329481499665e-05,9.8329481499729e-05
216,128,0,62.4,9.8322488140552e-05,9.8322488140616e-05
216.4,128,0,62.8,9.8315494781439e-05,9.8315494781503e-05
216.8,128,0,63.2,9.8308501422326e-05,9.8308501422389e-05
217.2,128,0,63.6,9.8301508063213e-05,9.8301508063276e-05
217.6,128,0,64,9.82945147041e-05,9.8294514704163e-05
218,128,0,64.4,9.8297760548353e-05,9.8297760548416e-05
218.4,128,0,64.8,9.8314009693071e-05,9.8314009693135e-05
218.8,128,0,65.2,9.8330258837789e-05,9.8330258837853e-05
219.2,128,0,65.6,9.8326640925608e-05,9.8326640925672e-05
219.6,128,0,66,9.828497621259e-05,9.8284976212654e-05
220,128,0,66.4,9.8243311499573e-05,9.8243311499636e-05
220.4,128,0,66.8,9.8201646786555e-05,9.8201646786619e-05
220.8,128,0,67.2,9.8159982073537e-05,9.8159982073601e-05
221.2,128,0,67.6,9.8118317360519e-05,9.8118317360583e-05
221.6,128,0,68,9.8076652647502e-05,9.8076652647565e-05
222,128,0,68.4,9.8043680221345e-05,9.8043680221409e-05
222.4,128,0,68.8,9.8046263686221e-05,9.8046263686284e-05
222.8,128,0,69.2,9.8048847151097e-05,9.804884715116e-05
223.2,128,0,69.6,9.8051430615972e-05,9.8051430616035e-05
223.6,128,0,70,9.8054014080848e-05,9.8054014080911e-05
224,128,0,70.4,9.8056597545724e-05,9.8056597545787e-05
224.4,128,0,70.8,9.8059181010599e-05,9.8059181010662e-05
224.8,128,0,71.2,9.8061764475475e-05,9.8061764475538e-05
225.2,128,0,71.6,9.8064347940351e-05,9.8064347940414e-05
225.6,128,0,72,9.8066931405226e-05,9.8066931405289e-05
226,128,0,72.4,9.8069514870102e-05,9.8069514870165e-05
226.4,128,0,72.8,9.8072098334978e-05,9.8072098335041e-05
226.8,128,0,73.2,9.8148651406459e-05,9.8148651406522e-05
227.2,128,0,73.6,9.8316537588125e-05,9.8316537588189e-05
227.6,128,0,74,9.8484423769792e-05,9.8484423769855e-05
228,128,0,74.4,9.8652309951458e-05,9.8652309951522e-05
228.4,128,0,74.8,9.8820196133124e-05,9.8820196133188e-05
228.8,128,0,75.2,9.8988082314791e-05,9.8988082314854e-05
229.2,128,0,75.6,9.9155968496457e-05,9.9155968496521e-05
229.6,128,0,76,9.9323854678123e-05,9.9323854678187e-05
230,128,0,76.4,9.949174085979e-05,9.9491740859854e-05
230.4,128,0,76.8,9.9659627041456e-05,9.965962704152e-05
230.8,128,0,77.2,9.9827513223122e-05,9.9827513223187e-05
231.2,128,0,77.6,9.9995399404788e-05,9.9995399404853e-05
231.6,128,0,78,0.00010016328558645,0.00010016328558652
232,128,0,78.4,0.00010033117176812,0.00010033117176819
232.4,128,0,78.8,0.00010049905794979,0.00010049905794985
232.8,128,0,79.2,0.00010066694413145,0.00010066694413152
233.2,128,0,79.6,0.00010083483031312,0.00010083483031319
233.6,128,0,80,0.00010062778723112,0.00010062778723118
