x,y,z,id,xi,xv
153.6,128,0,0,9.350295903705e-316,9.350295903705e-316
154,128,0,0.40000000000001,1.6701219005706e-05,1.6701219005714e-05
154.4,128,0,0.80000000000001,3.3402438011414e-05,3.3402438011431e-05
154.8,128,0,1.2,5.0103657017117e-05,5.0103657017142e-05
155.2,128,0,1.6,6.6804876022822e-05,6.6804876022855e-05
155.6,128,0,2,8.3506095028527e-05,8.3506095028569e-05
156,128,0,2.4,0.00010020731403423,0.00010020731403428
156.4,128,0,2.8,0.00010802876441126,0.00010802876441131
156.8,128,0,3.2,0.00010549975597358,0.00010549975597362
157.2,128,0,3.6,0.00010369816385548,0.00010369816385552
157.6,128,0,4,0.00010189657173738,0.00010189657173743
158,128,0,4.4,0.00010009497961929,0.00010009497961933
158.4,128,0,4.8,9.9227538911565e-05,9.9227538911601e-05
158.8,128,0,5.2,9.9275465557067e-05,9.9275465557103e-05
159.2,128,0,5.6,9.9323392202569e-05,9.9323392202605e-05
159.6,128,0,6,9.9594748495165e-05,9.9594748495201e-05
160,128,0,6.4,9.994314075905e-05,9.9943140759087e-05
160.4,128,0,6.8,0.00010029153302294,0.00010029153302297
160.8,128,0,7.2,0.00010063992528682,0.00010063992528686
161.2,128,0,7.6,0.00010059212055667,0.00010059212055671
161.6,128,0,8,0.00010037116062991,0.00010037116062995
162,128,0,8.4,0.00010015020070315,0.00010015020070319
162.4,128,0,8.8,0.00010007859196405,0.00010007859196409
162.8,128,0,9.2,0.00010004263441875,0.00010004263441879
163.2,128,0,9.6,0.00010000667687345,0.00010000667687349
163.6,128,0,10,9.9970719328149e-05,9.9970719328186e-05
164,128,0,10.4,9.9934761782847e-05,9.9934761782884e-05
164.4,128,0,10.8,9.991600427837e-05,9.9916004278406e-05
164.8,128,0,11.2,9.9966889801363e-05,9.99668898014e-05
165.2,128,0,11.6,0.00010001777532436,0.00010001777532439
165.6,128,0,12,0.00010006249082242,0.00010006249082246
166,128,0,12.4,0.0001000644632967,0.00010006446329674
166.4,128,0,12.8,0.00010006643577098,0.00010006643577102
166.8,128,0,13.2,0.00010006840824526,0.0001000684082453
167.2,128,0,13.6,0.00010006873527366,0.0001000687352737
167.6,128,0,14,0.00010006504005512,0.00010006504005516
168,128,0,14.4,0.00010006134483658,0.00010006134483662
168.4,128,0,14.8,0.00010005764961804,0.00010005764961807
168.8,128,0,15.2,0.00010005346879016,0.00010005346879019
169.2,128,0,15.6,0.00010004489026484,0.00010004489026487
169.6,128,0,16,0.00010003631173951,0.00010003631173955
170,128,0,16.4,0.00010002773321419,0.00010002773321423
170.4,128,0,16.8,0.00010001915468887,0.00010001915468891
170.8,128,0,17.2,0.0001000187232733,0.00010001872327334
171.2,128,0,17.6,0.00010001995801097,0.000100019958011
171.6,128,0,18,0.00010002119274863,0.00010002119274867
172,128,0,18.4,0.0001000224274863,0.00010002242748634
172.4,128,0,18.8,0.00010002366222397,0.00010002366222401
172.8,128,0,19.2,0.00010002489696164,0.00010002489696167
173.2,128,0,19.6,0.00010002613096812,0.00010002613096816
173.6,128,0,20,0.00010002727075025,0.00010002727075029
174,128,0,20.4,0.00010002841053238,0.00010002841053242
174.4,128,0,20.8,0.00010002955031451,0.00010002955031455
174.8,128,0,21.2,0.00010002998068131,0.00010002998068135
175.2,128,0,21.6,0.00010002982818105,0.00010002982818109
175.6,128,0,22,0.000100029533054,0.00010002953305404
176,128,0,22.4,0.00010002923792695,0.00010002923792699
176.4,128,0,22.8,0.0001000289427999,0.00010002894279994
176.8,128,0,23.2,0.00010002862566864,0.00010002862566867
177.2,128,0,23.6,0.0001000282534871,0.00010002825348714
177.6,128,0,24,0.00010002788130556,0.0001000278813056
178,128,0,24.4,0.00010002750912402,0.00010002750912406
178.4,128,0,24.8,0.00010002713694248,0.00010002713694252
178.8,128,0,25.2,0.00010002707332582,0.00010002707332586
179.2,128,0,25.6,0.00010002712404703,0.00010002712404707
179.6,128,0,26,0.00010002717476824,0.00010002717476828
180,128,0,26.4,0.00010002722548945,0.00010002722548949
180.4,128,0,26.8,0.00010002727621066,0.0001000272762107
180.8,128,0,27.2,0.00010002732693187,0.00010002732693191
181.2,128,0,27.6,0.00010002737462917,0.00010002737462921
181.6,128,0,28,0.00010002741828912,0.00010002741828916
182,128,0,28.4,0.00010002746194908,0.00010002746194912
182.4,128,0,28.8,0.00010002750249479,0.00010002750249482
182.8,128,0,29.2,0.00010002748645439,0.00010002748645443
183.2,128,0,29.6,0.00010002747618631,0.00010002747618635
183.6,128,0,30,0.0001000274719994,0.00010002747199943
184,128,0,30.4,0.00010002746781248,0.00010002746781252
184.4,128,0,30.8,0.00010002746362557,0.0001000274636256
184.8,128,0,31.2,0.00010002745943865,0.00010002745943869
185.2,128,0,31.6,0.00010002745525174,0.00010002745525177
185.6,128,0,32,0.00010002745106482,0.00010002745106486
186,128,0,32.4,0.00010002744687791,0.00010002744687795
186.4,128,0,32.8,0.00010002744269099,0.00010002744269103
186.8,128,0,33.2,0.00010002743850408,0.00010002743850412
187.2,128,0,33.6,0.00010002743431716,0.0001000274343172
187.6,128,0,34,0.00010002743412411,0.00010002743412415
188,128,0,34.4,0.00010002743949562,0.00010002743949566
188.4,128,0,34.8,0.00010002744486714,0.00010002744486718
188.8,128,0,35.2,0.00010002745023865,0.00010002745023869
189.2,128,0,35.6,0.00010002745561017,0.0001000274556102
189.6,128,0,36,0.00010002746098168,0.00010002746098172
190,128,0,36.4,0.0001000274663532,0.00010002746635323
190.4,128,0,36.8,0.00010002747172471,0.00010002747172475
190.8,128,0,37.2,0.00010002747709622,0.00010002747709626
191.2,128,0,37.6,0.00010002744253466,0.0001000274425347
191.6,128,0,38,0.00010002739466796,0.000100027394668
192,128,0,38.4,0.00010002734680125,0.00010002734680129
192.4,128,0,38.8,0.00010002729893455,0.00010002729893459
192.8,128,0,39.2,0.00010002732008383,0.00010002732008387
