x,y,z,id,xi,xv
153.6,128,0,0,1.0086377480764e-266,1.0086377480764e-266
154,128,0,0.40000000000001,1.6451170645233e-05,1.6451170645243e-05
154.4,128,0,0.80000000000001,3.2902341290467e-05,3.2902341290488e-05
154.8,128,0,1.2,4.9353511935697e-05,4.9353511935729e-05
155.2,128,0,1.6,6.5804682580928e-05,6.5804682580971e-05
155.6,128,0,2,8.225585322616e-05,8.2255853226214e-05
156,128,0,2.4,9.8707023871392e-05,9.8707023871456e-05
156.4,128,0,2.8,0.00010637835459173,0.0001063783545918
156.8,128,0,3.2,0.00010383674890527,0.00010383674890534
157.2,128,0,3.6,0.00010204326398977,0.00010204326398984
157.6,128,0,4,0.00010024977907428,0.00010024977907434
158,128,0,4.4,9.8456294158779e-05,9.8456294158843e-05
158.4,128,0,4.8,9.7590313751102e-05,9.7590313751164e-05
158.8,128,0,5.2,9.7633187451016e-05,9.7633187451079e-05
159.2,128,0,5.6,9.767606115093e-05,9.7676061150993e-05
159.6,128,0,6,9.7947913880523e-05,9.7947913880586e-05
160,128,0,6.4,9.8298715944664e-05,9.8298715944727e-05
160.4,128,0,6.8,9.8649518008804e-05,9.8649518008868e-05
160.8,128,0,7.2,9.9000320072945e-05,9.9000320073009e-05
161.2,128,0,7.6,9.8952609383854e-05,9.8952609383919e-05
161.6,128,0,8,9.8730731411385e-05,9.8730731411449e-05
162,128,0,8.4,9.8508853438916e-05,9.850885343898e-05
162.4,128,0,8.8,9.8436803439166e-05,9.843680343923e-05
162.8,128,0,9.2,9.8400518445207e-05,9.8400518445271e-05
163.2,128,0,9.6,9.8364233451248e-05,9.8364233451311e-05
163.6,128,0,10,9.8327948457288e-05,9.8327948457352e-05
164,128,0,10.4,9.8291663463329e-05,9.8291663463392e-05
164.4,128,0,10.8,9.8272709405279e-05,9.8272709405342e-05
164.8,128,0,11.2,9.8323928369373e-05,9.8323928369436e-05
165.2,128,0,11.6,9.8375147333466e-05,9.8375147333529e-05
165.6,128,0,12,9.8420159884121e-05,9.8420159884184e-05
166,128,0,12.4,9.8422177328564e-05,9.8422177328627e-05
166.4,128,0,12.8,9.8424194773006e-05,9.842419477307e-05
166.8,128,0,13.2,9.8426212217449e-05,9.8426212217513e-05
167.2,128,0,13.6,9.8426563084676e-05,9.842656308474e-05
167.6,128,0,14,9.8422840049976e-05,9.842284005004e-05
168,128,0,14.4,9.8419117015277e-05,9.8419117015341e-05
168.4,128,0,14.8,9.8415393980577e-05,9.8415393980641e-05
