time,average_xi,average_xv,center_xi,center_xs,center_xv,left_jix,left_jvx,right_jix,right_jvx,total_ci,total_cv
0,0,0,0,0,0,0,0,0,0,0,0
1,9.8562297935902e-05,9.8572144308491e-05,3.9722539141819e-05,1,3.9726507423088e-05,-1.2514684783793e-19,-1.2515935000679e-19,1.2514684769972e-19,1.2515934986857e-19,6.4593787575272,6.4600240494012
2.2,0.00021400881937241,0.00021403943650926,8.6049704753299e-05,1,8.6062028542432e-05,-2.7142907345098e-19,-2.7146792524664e-19,2.7142907332969e-19,2.7146792512532e-19,14.025281986391,14.027288511071
3.64,0.00034450113142958,0.00034457261288948,0.00013787460131928,1,0.00013790329773114,-4.3595344957644e-19,-4.3604404118876e-19,4.3595344946883e-19,4.3604404108111e-19,22.577226149369,22.581910758325
5.368,0.00048459899539613,0.00048474191376773,0.00019249523411245,1,0.00019255236651378,-6.1102034877691e-19,-6.1120110464735e-19,6.1102034868436e-19,6.1120110455473e-19,31.758679762281,31.768046060682
7.4416,0.00062471942145244,0.00062497633277874,0.00024558563178412,1,0.00024568772593386,-7.8371072312658e-19,-7.8403471470981e-19,7.837107230517e-19,7.8403471463486e-19,40.941612004307,40.958448944987
9.92992,0.00075246484799726,0.00075289107103886,0.00029207253531795,1,0.00029224065132686,-9.3809635306193e-19,-9.3863189995475e-19,9.3809635300664e-19,9.3863189989937e-19,49.313536278348,49.341469231603
12.915904,0.00085616081137357,0.00085682399681362,0.00032782099795818,1,0.00032808035131174,-1.0601696264248e-18,-1.0609994043638e-18,1.0601696263888e-18,1.0609994043277e-18,56.109354934178,56.152817455177
16.4990848,0.00092911668637208,0.00093009543508728,0.00035122599437964,1,0.00035160534066808,-1.143119385358e-18,-1.1443385489971e-18,1.1431193853384e-18,1.1443385489773e-18,60.890591158081,60.95473443388
20.79890176,0.00097194279164435,0.00097332533716292,0.00036363298105451,1,0.00036416421778373,-1.1895027026832e-18,-1.1912173987403e-18,1.1895027026804e-18,1.1912173987374e-18,63.697242793204,63.787849296309
25.958682112,0.00099138946999079,0.00099327369706815,0.00036834651554993,1,0.00036906493829535,-1.2089170574243e-18,-1.2112448405288e-18,1.2089170574334e-18,1.2112448405378e-18,64.971700305316,65.095185011059
32.1504185344,0.00099669456802831,0.00099919018915796,0.00036899584860131,1,0.00036994123706549,-1.213039392789e-18,-1.2161123433123e-18,1.2130393927982e-18,1.2161123433214e-18,65.319375210303,65.482928236656
39.58050224128,0.00099586765978758,0.0009991005273594,0.00036826772233675,1,0.00036948611193829,-1.2112231911689e-18,-1.2151934777037e-18,1.2112231911735e-18,1.2151934777081e-18,65.265182951839,65.477052161026
48.496602689536,0.0009937587871748,0.00099787664803972,0.00036750867137366,1,0.00036905449669648,-1.2086451160806e-18,-1.2136920471524e-18,1.2086451160809e-18,1.2136920471526e-18,65.126975876288,65.396844005931
59.195923227443,0.000992193040354,0.00099737193556597,0.00036704956159185,1,0.00036898792182556,-1.2069348087286e-18,-1.21327246227e-18,1.206934808728e-18,1.2132724622692e-18,65.02436309264,65.363767169252
72.035107872932,0.00099124510530666,0.00099769604837506,0.00036677174819988,1,0.00036918075505701,-1.205911830723e-18,-1.2137969711073e-18,1.2059118307227e-18,1.2137969711067e-18,64.962239221377,65.385008226308
87.442129447518,0.00099049105284175,0.00099846719541225,0.00036651093588161,1,0.00036948429096562,-1.2050314898526e-18,-1.2147721513207e-18,1.2050314898527e-18,1.2147721513205e-18,64.912821639037,65.435546118537
105.93055533702,0.00098963055165129,0.00099943537027151,0.00036618927225236,1,0.00036983927882205,-1.2039809936893e-18,-1.2159464026566e-18,1.2039809936895e-18,1.2159464026565e-18,64.856427833019,65.498996426114
128.11666640443,0.00098856055195253,0.001000557582034,0.00036578929253631,1,0.00037025046621752,-1.2026721642372e-18,-1.217304594031e-18,1.2026721642375e-18,1.2173045940308e-18,64.786304332761,65.572541696177
154.73999968531,0.00098725726009145,0.0010018817648028,0.00036530596293048,1,0.00037073935864076,-1.2010843998958e-18,-1.2189133832522e-18,1.2010843998961e-18,1.218913383252e-18,64.700891797353,65.659323338116
186.68799962237,0.00098569442189789,0.0010034673156993,0.00036472778818703,1,0.00037132615477131,-1.1991831625551e-18,-1.2208424362522e-18,1.1991831625555e-18,1.220842436252e-18,64.5984696335,65.763234001667
225.02559954685,0.00098382677809707,0.001005371161117,0.00036403686762535,1,0.00037203076544593,-1.1969112726777e-18,-1.223158892507e-18,1.1969112726782e-18,1.2231588925068e-18,64.476071729369,65.888004414963
