x,y,z,id,xi,xv
153.6,128,0,0,1.7062762414537e-296,1.7062762414537e-296
154,128,0,0.40000000000001,1.2133798112891e-06,1.2819543881237e-06
154.4,128,0,0.80000000000001,2.4267596225783e-06,2.5639087762476e-06
154.8,128,0,1.2,3.6401394338672e-06,3.8458631643711e-06
155.2,128,0,1.6,4.8535192451562e-06,5.1278175524946e-06
155.6,128,0,2,6.0668990564453e-06,6.4097719406183e-06
156,128,0,2.4,7.2802788677343e-06,7.6917263287419e-06
156.4,128,0,2.8,7.8350715959739e-06,8.2776169616373e-06
156.8,128,0,3.2,7.6308809052732e-06,8.0614990790491e-06
157.2,128,0,3.6,7.4925582090263e-06,7.9152233599312e-06
157.6,128,0,4,7.3542355127794e-06,7.7689476408133e-06
158,128,0,4.4,7.2159128165325e-06,7.6226719216954e-06
158.4,128,0,4.8,7.1484548068828e-06,7.5513216883917e-06
158.8,128,0,5.2,7.1504365260476e-06,7.5533903279579e-06
159.2,128,0,5.6,7.1524182452125e-06,7.555458967524e-06
159.6,128,0,6,7.1738130403155e-06,7.5780922263226e-06
160,128,0,6.4,7.2019012406137e-06,7.6078159291932e-06
160.4,128,0,6.8,7.2299894409119e-06,7.6375396320639e-06
160.8,128,0,7.2,7.2580776412101e-06,7.6672633349345e-06
161.2,128,0,7.6,7.2543791390724e-06,7.6633520700167e-06
161.6,128,0,8,7.236788475226e-06,7.6447408716118e-06
162,128,0,8.4,7.2191978113797e-06,7.626129673207e-06
162.4,128,0,8.8,7.2134359889768e-06,7.6200322849871e-06
162.8,128,0,9.2,7.2104977953998e-06,7.6169220325177e-06
163.2,128,0,9.6,7.2075596018228e-06,7.6138117800484e-06
163.6,128,0,10,7.2046214082458e-06,7.610701527579e-06
164,128,0,10.4,7.2016832146688e-06,7.6075912751096e-06
164.4,128,0,10.8,7.2001390587007e-06,7.6059564393782e-06
164.8,128,0,11.2,7.2042393660495e-06,7.6102955713519e-06
165.2,128,0,11.6,7.2083396733983e-06,7.6146347033256e-06
165.6,128,0,12,7.2119449239573e-06,7.6184500255357e-06
166,128,0,12.4,7.2121206544772e-06,7.6186366406598e-06
166.4,128,0,12.8,7.2122963849971e-06,7.618823255784e-06
166.8,128,0,13.2,7.212472115517e-06,7.6190098709081e-06
167.2,128,0,13.6,7.2125096681394e-06,7.6190500376924e-06
167.6,128,0,14,7.2122094487117e-06,7.6187322155589e-06
