x,y,z,id,xi,xv
153.6,128,0,0,4.9342528481687e-287,4.9342528481687e-287
154,128,0,0.40000000000001,1.6467559935492e-05,1.6892938651448e-05
154.4,128,0,0.80000000000001,3.2935119870986e-05,3.3785877302898e-05
154.8,128,0,1.2,4.9402679806475e-05,5.0678815954343e-05
155.2,128,0,1.6,6.5870239741965e-05,6.7571754605789e-05
155.6,128,0,2,8.2337799677457e-05,8.4464693257237e-05
156,128,0,2.4,9.8805359612948e-05,0.00010135763190868
156.4,128,0,2.8,0.00010651351577745,0.00010926273217704
156.8,128,0,3.2,0.00010401392454434,0.00010669527766251
157.2,128,0,3.6,0.00010223520019499,0.00010486940905991
157.6,128,0,4,0.00010045647584564,0.00010304354045731
158,128,0,4.4,9.8677751496286e-05,0.00010121767185471
158.4,128,0,4.8,9.7820944873193e-05,0.00010033801763696
158.8,128,0,5.2,9.7867517915979e-05,0.00010038555118279
159.2,128,0,5.6,9.7914090958764e-05,0.00010043308472862
159.6,128,0,6,9.8182297452945e-05,0.00010070849027834
160,128,0,6.4,9.8526920610808e-05,0.00010106246347286
160.4,128,0,6.8,9.8871543768671e-05,0.00010141643666738
160.8,128,0,7.2,9.9216166926534e-05,0.0001017704098619
161.2,128,0,7.6,9.9168942911354e-05,0.00010172192943141
161.6,128,0,8,9.8950464759197e-05,0.00010149755938638
162,128,0,8.4,9.873198660704e-05,0.00010127318934135
162.4,128,0,8.8,9.8661165585635e-05,0.00010120044890978
162.8,128,0,9.2,9.8625591374559e-05,0.00010116390354849
163.2,128,0,9.6,9.8590017163483e-05,0.00010112735818719
163.6,128,0,10,9.8554442952406e-05,0.0001010908128259
164,128,0,10.4,9.851886874133e-05,0.00010105426746461
164.4,128,0,10.8,9.8500308440823e-05,0.00010103519872505
164.8,128,0,11.2,9.8550637525713e-05,0.00010108689289005
165.2,128,0,11.6,9.8600966610603e-05,0.00010113858705504
165.6,128,0,12,9.8645193555475e-05,0.00010118401384784
166,128,0,12.4,9.8647147751234e-05,0.00010118602324094
166.4,128,0,12.8,9.8649101946993e-05,0.00010118803263403
166.8,128,0,13.2,9.8651056142752e-05,0.00010119004202712
167.2,128,0,13.6,9.8651381851316e-05,0.00010119037804569
167.6,128,0,14,9.8647726767957e-05,0.00010118662354654
168,128,0,14.4,9.8644071684599e-05,0.00010118286904738
168.4,128,0,14.8,9.864041660124e-05,0.00010117911454823
168.8,128,0,15.2,9.8636281177123e-05,0.00010117486665878
169.2,128,0,15.6,9.8627795768e-05,0.00010116615060725
169.6,128,0,16,9.8619310358878e-05,0.00010115743455572
170,128,0,16.4,9.8610824949756e-05,0.00010114871850419
170.4,128,0,16.8,9.8602339540633e-05,0.00010114000245266
170.8,128,0,17.2,9.8601912980987e-05,0.00010113956433395
171.2,128,0,17.6,9.8603134524605e-05,0.00010114081912291
171.6,128,0,18,9.8604356068223e-05,0.00010114207391187
172,128,0,18.4,9.8605577611841e-05,0.00010114332870082
172.4,128,0,18.8,9.8606799155459e-05,0.00010114458348978
172.8,128,0,19.2,9.8608020699076e-05,0.00010114583827874
173.2,128,0,19.6,9.8609241517609e-05,0.00010114709232255
173.6,128,0,20,9.8610368897884e-05,0.00010114825034251
174,128,0,20.4,9.8611496278159e-05,0.00010114940836248
174.4,128,0,20.8,9.8612623658433e-05,0.00010115056638244
174.8,128,0,21.2,9.8613049379009e-05,0.00010115100368345
175.2,128,0,21.6,9.8612898557214e-05,0.00010115084877382
175.6,128,0,22,9.8612606096746e-05,0.00010115054828687
176,128,0,22.4,9.8612313636278e-05,0.00010115024779993
176.4,128,0,22.8,9.861202117581e-05,0.00010114994731299
176.8,128,0,23.2,9.8611707011065e-05,0.00010114962453742
