x,y,z,id,xi,xv
153.6,128,0,0,0,0
154,128,0,0.40000000000001,8.011366990587e-05,0.0003478687420774
154.4,128,0,0.80000000000001,0.00016022733981175,0.00069573748415484
154.8,128,0,1.2,0.0002403410097176,0.0010436062262322
155.2,128,0,1.6,0.00032045467962347,0.0013914749683095
155.6,128,0,2,0.00040056834952933,0.0017393437103869
156,128,0,2.4,0.0004806820194352,0.0020872124524643
156.4,128,0,2.8,0.00051819659073205,0.002250105814231
156.8,128,0,3.2,0.0005060592059306,0.0021973999180084
157.2,128,0,3.6,0.00049741492357084,0.0021598636861301
157.6,128,0,4,0.00048877064121108,0.0021223274542519
158,128,0,4.4,0.00048012635885132,0.0020847912223736
158.4,128,0,4.8,0.00047596395054788,0.0020667165849814
158.8,128,0,5.2,0.00047619329410275,0.0020677122054044
159.2,128,0,5.6,0.00047642263765761,0.0020687078258275
159.6,128,0,6,0.00047772486493614,0.0020743626002955
160,128,0,6.4,0.0004793970101768,0.0020816237974648
160.4,128,0,6.8,0.00048106915541747,0.0020888849946341
160.8,128,0,7.2,0.00048274130065813,0.0020961461918034
161.2,128,0,7.6,0.00048251190893385,0.0020951500948072
161.6,128,0,8,0.0004814514634359,0.0020905452036602
162,128,0,8.4,0.00048039101793794,0.0020859403125132
162.4,128,0,8.8,0.00048004733203956,0.0020844478776122
162.8,128,0,9.2,0.00047987474177014,0.0020836984082179
163.2,128,0,9.6,0.00047970215150072,0.0020829489388236
163.6,128,0,10,0.0004795295612313,0.0020821994694292
164,128,0,10.4,0.00047935697096188,0.0020814500000349
164.4,128,0,10.8,0.00047926693519315,0.0020810590199735
164.8,128,0,11.2,0.00047951116289613,0.002082119564517
165.2,128,0,11.6,0.00047975539059911,0.0020831801090604
165.6,128,0,12,0.00047997000529888,0.0020841120611946
166,128,0,12.4,0.00047997947507382,0.0020841531857438
166.4,128,0,12.8,0.00047998894484875,0.0020841943102929
166.8,128,0,13.2,0.00047999841462369,0.0020842354348421
167.2,128,0,13.6,0.00047999998620218,0.0020842422610796
167.6,128,0,14,0.00047998225085784,0.0020841652460428
168,128,0,14.4,0.00047996451551349,0.0020840882310059
168.4,128,0,14.8,0.00047994678016915,0.002084011215969
168.8,128,0,15.2,0.00047992671402917,0.0020839240795805
169.2,128,0,15.6,0.00047988554011124,0.0020837452838291
169.6,128,0,16,0.00047984436619331,0.0020835664880777
170,128,0,16.4,0.00047980319227538,0.0020833876923263
170.4,128,0,16.8,0.00047976201835745,0.0020832088965749
170.8,128,0,17.2,0.00047975994799797,0.0020831999061659
171.2,128,0,17.6,0.00047976587464879,0.0020832256423938
171.6,128,0,18,0.0004797718012996,0.0020832513786216
172,128,0,18.4,0.00047977772795042,0.0020832771148495
172.4,128,0,18.8,0.00047978365460124,0.0020833028510773
172.8,128,0,19.2,0.00047978958125206,0.0020833285873052
173.2,128,0,19.6,0.00047979550438959,0.0020833543082777
173.6,128,0,20,0.00047980097478715,0.0020833780633667
174,128,0,20.4,0.00047980644518472,0.0020834018184557
174.4,128,0,20.8,0.00047981191558228,0.0020834255735447
174.8,128,0,21.2,0.00047981398123293,0.0020834345434676
175.2,128,0,21.6,0.00047981324938947,0.0020834313652723
175.6,128,0,22,0.00047981183183307,0.0020834252098806
176,128,0,22.4,0.00047981041427666,0.002083419054489
176.4,128,0,22.8,0.00047980899672026,0.0020834128990973
176.8,128,0,23.2,0.00047980747367444,0.0020834062855805
177.2,128,0,23.6,0.00047980568671465,0.0020833985259236
177.6,128,0,24,0.00047980389975486,0.0020833907662667
178,128,0,24.4,0.00047980211279507,0.0020833830066099
178.4,128,0,24.8,0.00047980032583528,0.002083375246953
178.8,128,0,25.2,0.00047980002068511,0.0020833739217715
179.2,128,0,25.6,0.00047980026461542,0.0020833749808672
179.6,128,0,26,0.00047980050854572,0.0020833760399629
180,128,0,26.4,0.00047980075247603,0.0020833770990586
180.4,128,0,26.8,0.00047980099640634,0.0020833781581542
180.8,128,0,27.2,0.00047980124033664,0.0020833792172499
181.2,128,0,27.6,0.00047980146985498,0.0020833802137352
181.6,128,0,28,0.00047980168013128,0.0020833811266268
182,128,0,28.4,0.00047980189040758,0.0020833820395184
182.4,128,0,28.8,0.00047980208570097,0.0020833828873589
182.8,128,0,29.2,0.00047980200875384,0.0020833825532162
183.2,128,0,29.6,0.00047980195948145,0.002083382339222
183.6,128,0,30,0.00047980193936461,0.0020833822518054
184,128,0,30.4,0.00047980191924778,0.0020833821643887
184.4,128,0,30.8,0.00047980189913095,0.0020833820769721
184.8,128,0,31.2,0.00047980187901412,0.0020833819895554
185.2,128,0,31.6,0.00047980185889729,0.0020833819021388
185.6,128,0,32,0.00047980183878045,0.0020833818147221
