x,y,z,id,xi,xv,jvx,jix
0,128,0,0,1.2371250453143e-302,1.2371250453143e-302,-1.213383014303e-19,-1.2133830143004e-19
1,128,0,1,0.00012133830142993,0.00012133830143019,-1.213383014303e-19,-1.2133830143004e-19
2,128,0,2,9.4020992406193e-05,9.4020992406345e-05,2.7317309024163e-20,2.7317309024054e-20
3,128,0,3,0.00010158165102059,0.00010158165102077,-7.5606586145187e-21,-7.5606586144863e-21
4,128,0,4,9.9574519707595e-05,9.9574519707771e-05,2.0071313130054e-21,2.0071313129969e-21
5,128,0,5,0.00010011364383946,0.00010011364383964,-5.3912413200567e-22,-5.3912413200345e-22
6,128,0,6,9.9969280942378e-05,9.9969280942556e-05,1.4436289709603e-22,1.4436289709547e-22
7,128,0,7,0.00010000796967186,0.00010000796967203,-3.8688729588847e-23,-3.8688729588764e-23
8,128,0,8,9.9997603547082e-05,9.999760354726e-05,1.0366124577694e-23,1.0366124577794e-23
9,128,0,9,0.00010000038117736,0.00010000038117754,-2.7776299367035e-24,-2.7776299368052e-24
10,128,0,10,9.9999636915747e-05,9.9999636915924e-05,7.442613423921e-25,7.4426134260047e-25
11,128,0,11,9.9999836340362e-05,9.9999836340539e-05,-1.9942441710109e-25,-1.9942441729252e-25
12,128,0,12,9.999978290504e-05,9.9999782905218e-05,5.3435661660604e-26,5.3435661736837e-26
13,128,0,13,9.99997972232e-05,9.9999797223377e-05,-1.4318134087491e-26,-1.431813407055e-26
14,128,0,14,9.9999793386329e-05,9.9999793386507e-05,3.8366811287781e-27,3.8366810830383e-27
15,128,0,15,9.9999794414295e-05,9.9999794414472e-05,-1.0280096205176e-27,-1.0280095951066e-27
16,128,0,16,9.9999794138753e-05,9.999979413893e-05,2.7555008886334e-28,2.7555012782686e-28
17,128,0,17,9.9999794212534e-05,9.9999794212711e-05,-7.4080895091271e-29,-7.4081037392806e-29
18,128,0,18,9.9999794192602e-05,9.9999794192779e-05,2.0053674432835e-29,2.0053728642944e-29
19,128,0,19,9.9999794198551e-05,9.9999794198729e-05,-5.7582621125745e-30,-5.758238395652e-30
20,128,0,20,9.9999794196727e-05,9.9999794196904e-05,1.6355325297215e-30,1.6354783196129e-30
21,128,0,21,9.9999794197413e-05,9.9999794197591e-05,-5.3404919104615e-31,-5.3400175720111e-31
22,128,0,22,9.9999794197258e-05,9.9999794197435e-05,5.2549924047657e-32,5.2582111299652e-32
23,128,0,23,9.9999794197346e-05,9.9999794197524e-05,2.6307657495592e-31,2.6313586726223e-31
