x,y,z,id,xi,xv
153.6,128,0,0,1.046773738837e-169,1.046773738837e-169
154,128,0,0.40000000000001,7.5995670730292e-06,7.5995670730295e-06
154.4,128,0,0.80000000000001,1.5199134146059e-05,1.519913414606e-05
154.8,128,0,1.2,2.2798701219087e-05,2.2798701219088e-05
155.2,128,0,1.6,3.0398268292116e-05,3.0398268292117e-05
155.6,128,0,2,3.7997835365144e-05,3.7997835365146e-05
156,128,0,2.4,4.5597402438173e-05,4.5597402438175e-05
156.4,128,0,2.8,4.902935676026e-05,4.9029356760262e-05
156.8,128,0,3.2,4.7685852854189e-05,4.7685852854191e-05
157.2,128,0,3.6,4.679688794154e-05,4.6796887941542e-05
157.6,128,0,4,4.5907923028892e-05,4.5907923028894e-05
158,128,0,4.4,4.5018958116243e-05,4.5018958116245e-05
158.4,128,0,4.8,4.458315266906e-05,4.4583152669062e-05
158.8,128,0,5.2,4.4591394488615e-05,4.4591394488616e-05
159.2,128,0,5.6,4.4599636308169e-05,4.459963630817e-05
159.6,128,0,6,4.4738495508263e-05,4.4738495508265e-05
160,128,0,6.4,4.4922390078141e-05,4.4922390078143e-05
160.4,128,0,6.8,4.5106284648018e-05,4.510628464802e-05
160.8,128,0,7.2,4.5290179217896e-05,4.5290179217897e-05
161.2,128,0,7.6,4.5266365920739e-05,4.5266365920741e-05
161.6,128,0,8,4.5151775315593e-05,4.5151775315595e-05
162,128,0,8.4,4.5037184710448e-05,4.5037184710449e-05
162.4,128,0,8.8,4.4999485156445e-05,4.4999485156447e-05
162.8,128,0,9.2,4.4980140044804e-05,4.4980140044806e-05
163.2,128,0,9.6,4.4960794933164e-05,4.4960794933165e-05
163.6,128,0,10,4.4941449821523e-05,4.4941449821524e-05
164,128,0,10.4,4.4922104709882e-05,4.4922104709883e-05
164.4,128,0,10.8,4.4911908236784e-05,4.4911908236786e-05
164.8,128,0,11.2,4.4938754634219e-05,4.493875463422e-05
165.2,128,0,11.6,4.4965601031653e-05,4.4965601031654e-05
165.6,128,0,12,4.4989209021124e-05,4.4989209021126e-05
166,128,0,12.4,4.4990382847019e-05,4.499038284702e-05
166.4,128,0,12.8,4.4991556672913e-05,4.4991556672915e-05
166.8,128,0,13.2,4.4992730498807e-05,4.4992730498809e-05
167.2,128,0,13.6,4.4992992499722e-05,4.4992992499724e-05
167.6,128,0,14,4.4991025569684e-05,4.4991025569686e-05
168,128,0,14.4,4.4989058639647e-05,4.4989058639649e-05
168.4,128,0,14.8,4.4987091709609e-05,4.4987091709611e-05
168.8,128,0,15.2,4.498486739031e-05,4.4984867390312e-05
169.2,128,0,15.6,4.4980312143623e-05,4.4980312143624e-05
169.6,128,0,16,4.4975756896935e-05,4.4975756896937e-05
170,128,0,16.4,4.4971201650248e-05,4.4971201650249e-05
170.4,128,0,16.8,4.496664640356e-05,4.4966646403562e-05
170.8,128,0,17.2,4.496641889102e-05,4.4966418891022e-05
171.2,128,0,17.6,4.4967076436923e-05,4.4967076436924e-05
171.6,128,0,18,4.4967733982825e-05,4.4967733982827e-05
172,128,0,18.4,4.4968391528728e-05,4.496839152873e-05
172.4,128,0,18.8,4.4969049074631e-05,4.4969049074632e-05
