x,y,z,id,xi,xv
153.6,128,0,0,0,0
154,128,0,0.40000000000001,5.5869180542692e-06,4.9753440287912e-05
154.4,128,0,0.80000000000001,1.1173836108539e-05,9.9506880575829e-05
154.8,128,0,1.2,1.6760754162807e-05,0.00014926032086373
155.2,128,0,1.6,2.2347672217076e-05,0.00019901376115164
155.6,128,0,2,2.7934590271345e-05,0.00024876720143955
156,128,0,2.4,3.3521508325613e-05,0.00029852064172746
156.4,128,0,2.8,3.6137628335941e-05,0.00032181608835018
156.8,128,0,3.2,3.5291125735435e-05,0.00031427463555395
157.2,128,0,3.6,3.4688269854392e-05,0.00030890488353625
157.6,128,0,4,3.4085413973348e-05,0.00030353513151855
158,128,0,4.4,3.3482558092305e-05,0.00029816537950086
158.4,128,0,4.8,3.3192266640965e-05,0.00029557956549421
158.8,128,0,5.2,3.3208254526738e-05,0.00029572170965411
159.2,128,0,5.6,3.3224242412512e-05,0.00029586385381401
159.6,128,0,6,3.3315062522592e-05,0.00029667289475545
160,128,0,6.4,3.3431683922511e-05,0.00029771187403311
160.4,128,0,6.8,3.3548305322431e-05,0.00029875085331077
160.8,128,0,7.2,3.366492672235e-05,0.00029978983258844
161.2,128,0,7.6,3.3648928677961e-05,0.00029964733023693
161.6,128,0,8,3.3574970209093e-05,0.00029898846938988
162,128,0,8.4,3.3501011740224e-05,0.00029832960854284
162.4,128,0,8.8,3.3477041942877e-05,0.00029811606334417
162.8,128,0,9.2,3.3465004797985e-05,0.00029800881816715
163.2,128,0,9.6,3.3452967653093e-05,0.00029790157299013
163.6,128,0,10,3.3440930508201e-05,0.00029779432781311
164,128,0,10.4,3.3428893363309e-05,0.0002976870826361
164.4,128,0,10.8,3.3422613879167e-05,0.00029763113355216
164.8,128,0,11.2,3.3439647184216e-05,0.00029778288253455
165.2,128,0,11.6,3.3456680489265e-05,0.00029793463151693
165.6,128,0,12,3.347164847535e-05,0.00029806798111376
166,128,0,12.4,3.3472308905383e-05,0.00029807386844203
166.4,128,0,12.8,3.3472969335416e-05,0.00029807975577031
166.8,128,0,13.2,3.3473629765448e-05,0.00029808564309858
167.2,128,0,13.6,3.3473739365164e-05,0.00029808662179055
167.6,128,0,14,3.3472502475402e-05,0.00029807560145677
168,128,0,14.4,3.3471265585639e-05,0.00029806458112299
168.4,128,0,14.8,3.3470028695876e-05,0.00029805356078921
168.8,128,0,15.2,3.3468629240208e-05,0.00029804109224646
169.2,128,0,15.6,3.3465757581232e-05,0.00029801550866571
169.6,128,0,16,3.3462885922256e-05,0.00029798992508496
170,128,0,16.4,3.346001426328e-05,0.00029796434150421
170.4,128,0,16.8,3.3457142604304e-05,0.00029793875792346
170.8,128,0,17.2,3.3456998252952e-05,0.00029793747135341
171.2,128,0,17.6,3.3457411659207e-05,0.00029794115372873
171.6,128,0,18,3.3457825065462e-05,0.00029794483610404
172,128,0,18.4,3.3458238471716e-05,0.00029794851847935
172.4,128,0,18.8,3.3458651877971e-05,0.00029795220085466
172.8,128,0,19.2,3.3459065284226e-05,0.00029795588322997
173.2,128,0,19.6,3.345947844482e-05,0.0002979595634241
173.6,128,0,20,3.3459859948257e-05,0.00029796296254026
174,128,0,20.4,3.3460241451695e-05,0.00029796636165641
174.4,128,0,20.8,3.3460622955133e-05,0.00029796976077257
174.8,128,0,21.2,3.3460767086448e-05,0.00029797104449298
175.2,128,0,21.6,3.3460716165065e-05,0.0002979705901938
175.6,128,0,22,3.3460617232317e-05,0.00029796971088175
176,128,0,22.4,3.3460518299569e-05,0.0002979688315697
176.4,128,0,22.8,3.3460419366821e-05,0.00029796795225764
176.8,128,0,23.2,3.3460313052607e-05,0.00029796700694914
177.2,128,0,23.6,3.3460188271401e-05,0.00029796589653037
177.6,128,0,24,3.3460063490195e-05,0.0002979647861116
178,128,0,24.4,3.3459938708988e-05,0.00029796367569283
178.4,128,0,24.8,3.3459813927782e-05,0.00029796256527406
178.8,128,0,25.2,3.3459792910343e-05,0.00029796237770717
179.2,128,0,25.6,3.3459810342282e-05,0.00029796253210051
