x,y,z,id,xi,xv
0,128,0,0,2.5699445602876e-267,2.5699445602876e-267
1,128,0,1,0.00012115575187062,0.00012115575195401
2,128,0,2,9.3641986303434e-05,9.3641986366474e-05
3,128,0,3,0.00010125957281724,0.000101259572886
4,128,0,4,9.9237428917474e-05,9.9237428984721e-05
5,128,0,5,9.9780594862853e-05,9.9780594930507e-05
6,128,0,6,9.9635150362758e-05,9.9635150430303e-05
7,128,0,7,9.967412907768e-05,9.9674129145254e-05
8,128,0,8,9.9663685249906e-05,9.9663685317472e-05
9,128,0,9,9.9666483600524e-05,9.9666483668093e-05
10,128,0,10,9.9665733871153e-05,9.9665733938721e-05
11,128,0,11,9.9665934727663e-05,9.9665934795231e-05
12,128,0,12,9.9665880827901e-05,9.9665880895469e-05
13,128,0,13,9.9665895219755e-05,9.9665895287323e-05
14,128,0,14,9.966589144418e-05,9.9665891511748e-05
15,128,0,15,9.9665892485296e-05,9.9665892552864e-05
16,128,0,16,9.966589223056e-05,9.9665892298128e-05
17,128,0,17,9.9665892311121e-05,9.9665892378689e-05
18,128,0,18,9.9665892329076e-05,9.9665892396644e-05
19,128,0,19,9.9665892175875e-05,9.9665892243443e-05
20,128,0,20,9.9665892273076e-05,9.9665892340644e-05
21,128,0,21,9.9665892198851e-05,9.9665892266419e-05
22,128,0,22,9.9665892211828e-05,9.9665892279396e-05
23,128,0,23,9.966589219697e-05,9.9665892264538e-05
24,128,0,24,9.9665892350697e-05,9.9665892418265e-05
25,128,0,25,9.9665892210808e-05,9.9665892278376e-05
26,128,0,26,9.9665892168814e-05,9.9665892236382e-05
27,128,0,27,9.9665892161002e-05,9.966589222857e-05
28,128,0,28,9.9665892212138e-05,9.9665892279706e-05
29,128,0,29,9.9665892170584e-05,9.9665892238152e-05
30,128,0,30,9.9665892226231e-05,9.9665892293799e-05
31,128,0,31,9.966589217274e-05,9.9665892240308e-05
32,128,0,32,9.9665892210145e-05,9.9665892277713e-05
33,128,0,33,9.9665892177708e-05,9.9665892245276e-05
34,128,0,34,9.9665892337795e-05,9.9665892405362e-05
35,128,0,35,9.9665892319515e-05,9.9665892387083e-05
36,128,0,36,9.9665892222297e-05,9.9665892289865e-05
37,128,0,37,9.9665892312777e-05,9.9665892380345e-05
38,128,0,38,9.9665892189837e-05,9.9665892257405e-05
39,128,0,39,9.9665892160851e-05,9.9665892228419e-05
40,128,0,40,9.9665892338852e-05,9.966589240642e-05
41,128,0,41,9.9665892219888e-05,9.9665892287456e-05
42,128,0,42,9.9665892199342e-05,9.966589226691e-05
43,128,0,43,9.9665892308041e-05,9.9665892375609e-05
44,128,0,44,9.9665892331938e-05,9.9665892399506e-05
45,128,0,45,9.9665892225001e-05,9.9665892292569e-05
46,128,0,46,9.9665892287995e-05,9.9665892355563e-05
47,128,0,47,9.966589232744e-05,9.9665892395008e-05
48,128,0,48,9.9665892335102e-05,9.966589240267e-05
49,128,0,49,9.9665892164134e-05,9.9665892231702e-05
50,128,0,50,9.9665892268152e-05,9.966589233572e-05
51,128,0,51,9.9665892293451e-05,9.9665892361019e-05
52,128,0,52,9.9665892180874e-05,9.9665892248442e-05
53,128,0,53,9.9665892270887e-05,9.9665892338455e-05
54,128,0,54,9.9665892176992e-05,9.966589224456e-05
55,128,0,55,9.9665892320807e-05,9.9665892388375e-05
56,128,0,56,9.9665892338773e-05,9.9665892406342e-05
57,128,0,57,9.9665892192426e-05,9.9665892259993e-05
58,128,0,58,9.9665892161786e-05,9.9665892229356e-05
59,128,0,59,9.9665892228382e-05,9.9665892295948e-05
60,128,0,60,9.9665892305013e-05,9.9665892372578e-05
61,128,0,61,9.9665892170171e-05,9.9665892237739e-05
62,128,0,62,9.9665892395085e-05,9.966589246264e-05
63,128,0,63,9.9665892089963e-05,9.966589215756e-05
64,128,0,64,9.966589296398e-05,9.9665893031422e-05
65,128,0,65,9.9665891016603e-05,9.9665891084352e-05
66,128,0,66,9.9665883905779e-05,9.9665883975397e-05
67,128,0,67,9.9665894447919e-05,9.9665894514935e-05
68,128,0,68,9.966589172534e-05,9.9665891793057e-05
69,128,0,69,9.9665892485898e-05,9.9665892553427e-05
