x,y,z,id,xi,xv,jvx,jix
0,128,0,0,1.4460720134575e-308,1.4460720134575e-308,-1.2133707192064e-19,-1.2133707163837e-19
1,128,0,1,0.00012133707163784,0.00012133707192012,-1.2133707192064e-19,-1.2133707163837e-19
2,128,0,2,9.401598896996e-05,9.401598914352e-05,2.7321082776838e-20,2.7321082668123e-20
3,128,0,3,0.0001015778064624,0.00010157780666842,-7.5618175248597e-21,-7.5618174923971e-21
4,128,0,4,9.9570374202515e-05,9.957037440007e-05,2.0074322683591e-21,2.0074322598922e-21
5,128,0,5,0.00010010957969554,0.00010010957989538,-5.3920549503469e-22,-5.3920549274897e-22
6,128,0,6,9.9965195049733e-05,9.9965195248962e-05,1.4438464638609e-22,1.4438464577474e-22
7,128,0,7,0.00010000388961135,0.00010000388981074,-3.869456155536e-23,-3.8694561391588e-23
8,128,0,8,9.9993521924017e-05,9.9993522123366e-05,1.0367687751551e-23,1.0367687707765e-23
9,128,0,9,9.9996299971786e-05,9.9996300171147e-05,-2.7780484461299e-24,-2.7780484344866e-24
10,128,0,10,9.9995555599323e-05,9.9995555798681e-05,7.4437299443645e-25,7.4437299133461e-25
11,128,0,11,9.999575505324e-05,9.9995755252599e-05,-1.9945430323223e-25,-1.9945430237503e-25
12,128,0,12,9.9995701609093e-05,9.9995701808451e-05,5.3443483222132e-26,5.3443482981574e-26
13,128,0,13,9.9995715929005e-05,9.9995716128364e-05,-1.4319961986285e-26,-1.4319961981203e-26
14,128,0,14,9.9995712092643e-05,9.9995712292001e-05,3.8367318067593e-27,3.8367319422846e-27
15,128,0,15,9.9995713120829e-05,9.9995713320187e-05,-1.0280999023713e-27,-1.0281000057094e-27
16,128,0,16,9.9995712845521e-05,9.9995713044879e-05,2.7529163200608e-28,2.7529153375026e-28
17,128,0,17,9.9995712919388e-05,9.9995713118746e-05,-7.328095886995e-29,-7.3280858920062e-29
18,128,0,18,9.9995712899912e-05,9.9995713099271e-05,1.9237751311667e-29,1.9237736065074e-29
19,128,0,19,9.9995712903942e-05,9.9995713103301e-05,-4.4033160228945e-30,-4.4033363516853e-30
20,128,0,20,9.9995712903312e-05,9.9995713102671e-05,9.9904656216624e-31,9.991515942517e-31
21,128,0,21,9.9995712903095e-05,9.9995713102454e-05,-8.0722239873335e-32,-8.0729016136913e-32
22,128,0,22,9.9995712903098e-05,9.9995713102456e-05,1.9837681031285e-31,1.9836664591748e-31
23,128,0,23,9.9995712903006e-05,9.9995713102365e-05,-5.9422749381678e-31,-5.9427323359593e-31
24,128,0,24,9.999571290423e-05,9.9995713103588e-05,-6.1263013162883e-31,-6.1275210437323e-31
25,128,0,25,9.9995712903112e-05,9.999571310247e-05,8.6449029629721e-31,8.6461904530519e-31
26,128,0,26,9.9995712902775e-05,9.9995713102133e-05,7.1919873485468e-32,7.189785062884e-32
27,128,0,27,9.9995712902712e-05,9.9995713102071e-05,-9.0547822061485e-32,-9.0480059425704e-32
28,128,0,28,9.9995712903122e-05,9.999571310248e-05,2.6819773615502e-31,2.6831462670174e-31
29,128,0,29,9.9995712902789e-05,9.9995713102148e-05,3.6679406528132e-31,3.6665515187797e-31
30,128,0,30,9.9995712903235e-05,9.9995713102593e-05,-7.752164117884e-31,-7.7525029310629e-31
31,128,0,31,9.9995712902806e-05,9.9995713102165e-05,5.0974950985532e-31,5.0973595732817e-31
32,128,0,32,9.9995712903106e-05,9.9995713102464e-05,-3.3762394464378e-31,-3.3755787607389e-31
33,128,0,33,9.9995712902846e-05,9.9995713102205e-05,-1.1440874018564e-31,-1.1452224260057e-31
34,128,0,34,9.9995712904128e-05,9.9995713103487e-05,-6.4160204655671e-31,-6.4147329754873e-31
35,128,0,35,9.9995712903982e-05,9.999571310334e-05,5.8728351771519e-31,5.8722422540888e-31
36,128,0,36,9.9995712903203e-05,9.9995713102562e-05,-1.6817839167734e-31,-1.68007291022e-31
37,128,0,37,9.9995712903928e-05,9.9995713103286e-05,1.7032816129747e-31,1.7030105624316e-31
38,128,0,38,9.9995712902943e-05,9.9995713102302e-05,6.9244265811681e-31,6.9238844800819e-31
39,128,0,39,9.9995712902711e-05,9.999571310207e-05,-4.9159928786156e-31,-4.9166535643144e-31
40,128,0,40,9.9995712904137e-05,9.9995713103495e-05,-4.7442993002071e-31,-4.7439266057103e-31
41,128,0,41,9.9995712903184e-05,9.9995713102542e-05,5.2535355080964e-31,5.2534846861196e-31
42,128,0,42,9.9995712903019e-05,9.9995713102378e-05,5.9488817951564e-32,5.9517617071771e-32
43,128,0,43,9.999571290389e-05,9.9995713103248e-05,-6.8526151278999e-31,-6.8528353564662e-31
44,128,0,44,9.9995712904081e-05,9.999571310344e-05,-1.4695852228273e-31,-1.4701103832546e-31
45,128,0,45,9.9995712903225e-05,9.9995713102583e-05,6.5416523923039e-31,6.5421606120723e-31
46,128,0,46,9.9995712903729e-05,9.9995713103088e-05,-3.1195715227608e-31,-3.120418555708e-31
47,128,0,47,9.9995712904045e-05,9.9995713103404e-05,-4.0409062001482e-31,-4.0402963364262e-31
48,128,0,48,9.9995712904107e-05,9.9995713103465e-05,6.3151388415492e-31,6.3160705777911e-31
49,128,0,49,9.9995712902737e-05,9.9995713102096e-05,4.5328290545956e-31,4.5322700128504e-31
50,128,0,50,9.9995712903571e-05,9.9995713102929e-05,-5.2419819786959e-31,-5.2421852666032e-31
51,128,0,51,9.9995712903773e-05,9.9995713103131e-05,-4.9422678406394e-32,-4.9380326759031e-32
52,128,0,52,9.9995712902873e-05,9.9995713102231e-05,1.2189989957116e-31,1.2177962089265e-31
53,128,0,53,9.9995712903589e-05,9.9995713102948e-05,-2.3173635590752e-31,-2.3156864338396e-31
54,128,0,54,9.9995712902852e-05,9.9995713102211e-05,2.0510055784816e-31,2.0495995037891e-31
