x,y,z,id,xi,xv,jvx,jix
0,128,0,0,1.3766291950451e-23,1.3766291950451e-23,-1.2678354515201e-21,-1.2678354515201e-21
1,128,0,1,1.2678285987328e-06,1.2678285987329e-06,-1.2678354515201e-21,-1.2678354515201e-21
2,128,0,2,9.2812780951628e-07,9.2812780951629e-07,3.397039524481e-22,3.397039524481e-22
3,128,0,3,1.0191471418992e-06,1.0191471418992e-06,-9.1018687286315e-23,-9.1018687286313e-23
4,128,0,4,9.9475683403326e-07,9.9475683403327e-07,2.4390377971601e-23,2.43903779716e-23
5,128,0,5,1.0012993585102e-06,1.0012993585102e-06,-6.5389594250329e-24,-6.5389594250326e-24
6,128,0,6,9.9955192512695e-07,9.9955192512696e-07,1.746985053426e-24,1.746985053426e-24
7,128,0,7,1.0000276940509e-06,1.0000276940509e-06,-4.7294021876414e-25,-4.729402187644e-25
8,128,0,8,9.9989933406722e-07,9.9989933406723e-07,1.332281547467e-25,1.3322815474649e-25
9,128,0,9,9.9992344973384e-07,9.9992344973385e-07,-3.2642080706195e-26,-3.2642080705759e-26
10,128,0,10,9.9992558952881e-07,9.9992558952882e-07,4.6306525919552e-27,4.6306525916243e-27
11,128,0,11,9.9992162597359e-07,9.9992162597359e-07,-9.7729820414012e-28,-9.7729820419306e-28
12,128,0,12,9.9991443784413e-07,9.9991443784414e-07,-1.3169384205852e-27,-1.3169384204264e-27
13,128,0,13,9.9991117958011e-07,9.9991117958012e-07,2.6214724733551e-27,2.6214724733551e-27
14,128,0,14,9.999203310232e-07,9.9992033102321e-07,-4.4209787655555e-27,-4.4209787655687e-27
15,128,0,15,9.9992089990546e-07,9.9992089990547e-07,5.3452562767664e-28,5.3452562758399e-28
16,128,0,16,9.9992323273998e-07,9.9992323273999e-07,-2.5380296626654e-27,-2.5380296625992e-27
17,128,0,17,9.9992386973005e-07,9.9992386973006e-07,6.869712553003e-27,6.8697125529235e-27
18,128,0,18,9.9992775476717e-07,9.9992775476718e-07,-6.9361323898475e-27,-6.9361323897152e-27
19,128,0,19,9.9991149364623e-07,9.9991149364624e-07,1.1482821554713e-26,1.1482821554369e-26
20,128,0,20,9.9992161007984e-07,9.9992161007985e-07,-5.3921162743418e-27,-5.392116273733e-27
21,128,0,21,9.9991395760111e-07,9.9991395760112e-07,3.8396995956689e-27,3.8396995952057e-27
22,128,0,22,9.999152992312e-07,9.9991529923121e-07,1.2348762859609e-27,1.2348762860536e-27
23,128,0,23,9.9991377242754e-07,9.9991377242755e-07,-7.2615478248205e-27,-7.2615478242514e-27
24,128,0,24,9.999295408088e-07,9.9992954080881e-07,-7.9414848386615e-27,-7.9414848394159e-27
25,128,0,25,9.9991519233706e-07,9.9991519233707e-07,1.1098826697947e-26,1.1098826698264e-26
26,128,0,26,9.9991088507575e-07,9.9991088507576e-07,9.1435304676706e-28,9.1435304642295e-28
27,128,0,27,9.9991008383996e-07,9.9991008383997e-07,-1.1577208796071e-27,-1.1577208792233e-27
28,128,0,28,9.9991532874867e-07,9.9991532874868e-07,3.4356364275022e-27,3.4356364270522e-27
29,128,0,29,9.9991106658758e-07,9.9991106658759e-07,4.6974041015571e-27,4.6974041016894e-27
30,128,0,30,9.999167742829e-07,9.9991677428291e-07,-9.9296081718054e-27,-9.929608171329e-27
31,128,0,31,9.9991128770927e-07,9.9991128770928e-07,6.5290078105769e-27,6.5290078099946e-27
32,128,0,32,9.9991512430222e-07,9.9991512430223e-07,-4.3240987996984e-27,-4.3240987992352e-27
33,128,0,33,9.9991179731926e-07,9.9991179731927e-07,-1.4661118838913e-27,-1.4661118842089e-27
34,128,0,34,9.9992821723173e-07,9.9992821723174e-07,-8.2171513976653e-27,-8.217151397877e-27
35,128,0,35,9.999263423135e-07,9.9992634231351e-07,7.5219773455966e-27,7.5219773458083e-27
36,128,0,36,9.9991637076665e-07,9.9991637076666e-07,-2.1530909335279e-27,-2.1530909340705e-27
37,128,0,37,9.9992565116716e-07,9.9992565116717e-07,2.1815433146698e-27,2.1815433150404e-27
38,128,0,38,9.9991304132763e-07,9.9991304132764e-07,8.8689048927169e-27,8.8689048927831e-27
39,128,0,39,9.9991006831424e-07,9.9991006831425e-07,-6.2971222686357e-27,-6.2971222688607e-27
40,128,0,40,9.9992832574111e-07,9.9992832574112e-07,-6.0765543090723e-27,-6.076554309059e-27
41,128,0,41,9.9991612367704e-07,9.9991612367705e-07,6.7290243318198e-27,6.7290243321242e-27
42,128,0,42,9.9991401628949e-07,9.999140162895e-07,7.621307596902e-28,7.6213075872406e-28
43,128,0,43,9.9992516543876e-07,9.9992516543877e-07,-8.777418605822e-27,-8.7774186043926e-27
44,128,0,44,9.9992761652912e-07,9.9992761652913e-07,-1.8825789929952e-27,-1.8825789938158e-27
45,128,0,45,9.9991664810892e-07,9.9991664810893e-07,8.379145533913e-27,8.3791455342836e-27
46,128,0,46,9.9992310935642e-07,9.9992310935642e-07,-3.996099643821e-27,-3.9960996440063e-27
47,128,0,47,9.9992715513715e-07,9.9992715513716e-07,-5.1754278537507e-27,-5.1754278538434e-27
48,128,0,48,9.9992794110511e-07,9.9992794110512e-07,8.0894086089066e-27,8.0894086090389e-27
49,128,0,49,9.9991040506302e-07,9.9991040506303e-07,5.8053004094206e-27,5.8053004090898e-27
50,128,0,50,9.9992107401938e-07,9.9992107401939e-07,-6.7137910915289e-27,-6.7137910909731e-27
51,128,0,51,9.9992366895148e-07,9.9992366895149e-07,-6.3388874251051e-28,-6.3388874289432e-28
52,128,0,52,9.9991212185174e-07,9.9991212185175e-07,1.5670665279727e-27,1.5670665284888e-27
53,128,0,53,9.9992135520236e-07,9.9992135520236e-07,-2.9896664012025e-27,-2.9896664017319e-27
54,128,0,54,9.9991172155275e-07,9.9991172155276e-07,2.7090762346659e-27,2.7090762353938e-27
55,128,0,55,9.9992648950343e-07,9.9992648950344e-07,-5.8738627449545e-27,-5.8738627452457e-27
56,128,0,56,9.9992844784473e-07,9.9992844784474e-07,3.8706040621513e-27,3.8706040618072e-27
57,128,0,57,9.9991296008394e-07,9.9991296008395e-07,9.9082312072335e-27,9.9082312076173e-27
58,128,0,58,9.9991093871003e-07,9.9991093871004e-07,-6.2357709102541e-27,-6.2357709104791e-27
59,128,0,59,9.999162373489e-07,9.9991623734891e-07,2.7364433868726e-27,2.7364433870976e-27
60,128,0,60,9.9992357640593e-07,9.9992357640594e-07,-7.672574418302e-27,-7.6725744179844e-27
61,128,0,61,9.9991117844164e-07,9.9991117844165e-07,8.6900278608963e-27,8.6900278605786e-27
62,128,0,62,9.9992779585656e-07,9.9992779585657e-07,-4.5763868661682e-27,-4.576386866155e-27
63,128,0,63,9.9991801966467e-07,9.9991801966468e-07,1.6592582823249e-27,1.6592582828014e-27
64,128,0,64,9.9992786442649e-07,9.999278644265e-07,-1.9085509086666e-27,-1.9085509101621e-27
65,128,0,65,9.9992035430878e-07,9.9992035430879e-07,-3.7630837130918e-27,-3.7630837074538e-27
66,128,0,66,9.999152247688e-07,9.9991522476882e-07,1.9806622282344e-27,1.9806622326548e-27
67,128,0,67,9.9991536345669e-07,9.9991536345669e-07,2.944152009855e-27,2.9441519983803e-27
68,128,0,68,9.9992715788447e-07,9.9992715788449e-07,-8.5070355320613e-27,-8.5070355287394e-27
69,128,0,69,9.9992718712264e-07,9.9992718712265e-07,7.625107506188e-27,7.6251075052616e-27
70,128,0,70,9.9992263790126e-07,9.9992263790127e-07,-3.2181458851331e-27,-3.2181458853581e-27
71,128,0,71,9.9991217738151e-07,9.9991217738152e-07,5.2487309730937e-27,5.2487309737422e-27
72,128,0,72,9.9991643043904e-07,9.9991643043905e-07,-2.3416623403332e-27,-2.3416623406243e-27
