x,y,z,id,xi,xv
153.6,128,0,0,2.2716180124314e-156,2.2716180124314e-156
154,128,0,0.40000000000001,6.35781383932e-06,6.357813839455e-06
154.4,128,0,0.80000000000001,1.2715627678641e-05,1.2715627678911e-05
154.8,128,0,1.2,1.9073441517959e-05,1.9073441518365e-05
155.2,128,0,1.6,2.5431255357279e-05,2.5431255357819e-05
155.6,128,0,2,3.1789069196598e-05,3.1789069197274e-05
156,128,0,2.4,3.8146883035918e-05,3.8146883036728e-05
156.4,128,0,2.8,4.1012636207774e-05,4.1012636208635e-05
156.8,128,0,3.2,3.9880481195179e-05,3.9880481196e-05
157.2,128,0,3.6,3.9133948739884e-05,3.9133948740684e-05
157.6,128,0,4,3.8387416284589e-05,3.8387416285368e-05
158,128,0,4.4,3.7640883829294e-05,3.7640883830052e-05
158.4,128,0,4.8,3.7274630784246e-05,3.7274630784991e-05
158.8,128,0,5.2,3.7281010433834e-05,3.7281010434574e-05
159.2,128,0,5.6,3.7287390083421e-05,3.7287390084158e-05
159.6,128,0,6,3.7404162744297e-05,3.740416274504e-05
160,128,0,6.4,3.755899764516e-05,3.7558997645914e-05
160.4,128,0,6.8,3.7713832546023e-05,3.7713832546788e-05
160.8,128,0,7.2,3.7868667446887e-05,3.7868667447662e-05
161.2,128,0,7.6,3.784866574197e-05,3.7848665742749e-05
161.6,128,0,8,3.7752252889815e-05,3.7752252890595e-05
162,128,0,8.4,3.765584003766e-05,3.7655840038441e-05
162.4,128,0,8.8,3.7624099324002e-05,3.7624099324775e-05
162.8,128,0,9.2,3.7607796311099e-05,3.7607796311864e-05
163.2,128,0,9.6,3.7591493298197e-05,3.7591493298953e-05
163.6,128,0,10,3.7575190285295e-05,3.7575190286042e-05
164,128,0,10.4,3.7558887272393e-05,3.7558887273131e-05
164.4,128,0,10.8,3.7550290323378e-05,3.7550290324109e-05
164.8,128,0,11.2,3.7572895254893e-05,3.7572895255625e-05
165.2,128,0,11.6,3.7595500186407e-05,3.7595500187141e-05
165.6,128,0,12,3.7615378969196e-05,3.7615378969932e-05
166,128,0,12.4,3.7616372278887e-05,3.7616372279637e-05
166.4,128,0,12.8,3.7617365588579e-05,3.7617365589341e-05
166.8,128,0,13.2,3.761835889827e-05,3.7618358899046e-05
167.2,128,0,13.6,3.7618582826772e-05,3.7618582827556e-05
167.6,128,0,14,3.7616926024231e-05,3.761692602501e-05
168,128,0,14.4,3.761526922169e-05,3.7615269222464e-05
168.4,128,0,14.8,3.7613612419148e-05,3.7613612419918e-05
168.8,128,0,15.2,3.7611738868035e-05,3.7611738868801e-05
169.2,128,0,15.6,3.7607902433232e-05,3.7607902433999e-05
169.6,128,0,16,3.760406599843e-05,3.7604065999197e-05
170,128,0,16.4,3.7600229563628e-05,3.7600229564396e-05
170.4,128,0,16.8,3.7596393128825e-05,3.7596393129594e-05
170.8,128,0,17.2,3.7596201263223e-05,3.759620126399e-05
171.2,128,0,17.6,3.7596754743022e-05,3.7596754743785e-05
171.6,128,0,18,3.7597308222821e-05,3.7597308223581e-05
172,128,0,18.4,3.759786170262e-05,3.7597861703376e-05
172.4,128,0,18.8,3.7598415182419e-05,3.7598415183172e-05
172.8,128,0,19.2,3.7598968662217e-05,3.7598968662968e-05
173.2,128,0,19.6,3.7599521802038e-05,3.7599521802785e-05
173.6,128,0,20,3.760003113051e-05,3.7600031131258e-05
174,128,0,20.4,3.7600540458982e-05,3.7600540459731e-05
174.4,128,0,20.8,3.7601049787454e-05,3.7601049788203e-05
174.8,128,0,21.2,3.7601242767296e-05,3.7601242768045e-05
175.2,128,0,21.6,3.7601175597112e-05,3.7601175597861e-05
175.6,128,0,22,3.760104202332e-05,3.7601042024078e-05
176,128,0,22.4,3.7600908449527e-05,3.7600908450296e-05
