x,y,z,id,xi,xv
153.6,128,0,0,0,0
154,128,0,0.40000000000001,1.6696534911777e-05,1.6696534924856e-05
154.4,128,0,0.80000000000001,3.3393069823557e-05,3.3393069849713e-05
154.8,128,0,1.2,5.0089604735331e-05,5.0089604774566e-05
155.2,128,0,1.6,6.6786139647107e-05,6.678613969942e-05
155.6,128,0,2,8.3482674558884e-05,8.3482674624275e-05
156,128,0,2.4,0.00010017920947066,0.00010017920954913
156.4,128,0,2.8,0.00010799763773188,0.00010799763781416
156.8,128,0,3.2,0.00010546807254071,0.00010546807261745
157.2,128,0,3.6,0.00010366651258691,0.00010366651266088
157.6,128,0,4,0.00010186495263311,0.00010186495270431
158,128,0,4.4,0.00010006339267931,0.00010006339274774
158.4,128,0,4.8,9.9195904387823e-05,9.919590445469e-05
158.8,128,0,5.2,9.9243705305102e-05,9.924370537157e-05
159.2,128,0,5.6,9.9291506222381e-05,9.9291506288451e-05
159.6,128,0,6,9.9562902254488e-05,9.9562902321208e-05
160,128,0,6.4,9.9911391309256e-05,9.9911391376986e-05
160.4,128,0,6.8,0.00010025988036402,0.00010025988043276
160.8,128,0,7.2,0.00010060836941879,0.00010060836948854
161.2,128,0,7.6,0.00010056056179832,0.00010056056186813
161.6,128,0,8,0.00010033955541626,0.00010033955548571
162,128,0,8.4,0.0001001185490342,0.00010011854910328
162.4,128,0,8.8,0.0001000469219793,0.00010004692204803
162.8,128,0,9.2,0.00010001095283529,0.00010001095290368
163.2,128,0,9.6,9.997498369129e-05,9.9974983759327e-05
163.6,128,0,10,9.9939014547286e-05,9.9939014614974e-05
164,128,0,10.4,9.9903045403281e-05,9.9903045470621e-05
164.4,128,0,10.8,9.9884281304943e-05,9.9884281372031e-05
164.8,128,0,11.2,9.9935180498699e-05,9.9935180565924e-05
165.2,128,0,11.6,9.9986079692454e-05,9.9986079759817e-05
165.6,128,0,12,0.00010003080723559,0.00010003080730312
166,128,0,12.4,0.00010003278049291,0.00010003278056086
166.4,128,0,12.8,0.00010003475375024,0.00010003475381859
166.8,128,0,13.2,0.00010003672700757,0.00010003672707632
167.2,128,0,13.6,0.00010003705434628,0.00010003705441528
167.6,128,0,14,0.00010003335828247,0.00010003335835132
168,128,0,14.4,0.00010002966221866,0.00010002966228735
168.4,128,0,14.8,0.00010002596615485,0.00010002596622339
168.8,128,0,15.2,0.00010002178431602,0.00010002178438442
169.2,128,0,15.6,0.00010001320327936,0.00010001320334778
169.6,128,0,16,0.00010000462224271,0.00010000462231113
170,128,0,16.4,9.9996041206054e-05,9.9996041274489e-05
170.4,128,0,16.8,9.9987460169398e-05,9.9987460237843e-05
170.8,128,0,17.2,9.9987028764436e-05,9.9987028832797e-05
171.2,128,0,17.6,9.9988264028472e-05,9.998826409673e-05
171.6,128,0,18,9.9989499292509e-05,9.9989499360663e-05
