x,y,z,id,xi,xv
153.6,128,0,0,0,0
154,128,0,0.40000000000001,1.6697206414619e-05,1.6697206427803e-05
154.4,128,0,0.80000000000001,3.3394412829239e-05,3.3394412855608e-05
154.8,128,0,1.2,5.0091619243856e-05,5.0091619283409e-05
155.2,128,0,1.6,6.6788825658473e-05,6.678882571121e-05
155.6,128,0,2,8.3486032073091e-05,8.3486032139013e-05
156,128,0,2.4,0.00010018323848771,0.00010018323856681
156.4,128,0,2.8,0.00010800198611872,0.00010800198620183
156.8,128,0,3.2,0.00010547232535379,0.00010547232543158
157.2,128,0,3.6,0.00010367069250902,0.00010367069258411
157.6,128,0,4,0.00010186905966424,0.00010186905973663
158,128,0,4.4,0.00010006742681946,0.00010006742688916
158.4,128,0,4.8,9.9199901493078e-05,9.9199901561276e-05
158.8,128,0,5.2,9.9247700510531e-05,9.9247700578407e-05
159.2,128,0,5.6,9.9295499527984e-05,9.9295499595538e-05
159.6,128,0,6,9.9566908778963e-05,9.9566908847184e-05
160,128,0,6.4,9.9915416265355e-05,9.9915416334583e-05
160.4,128,0,6.8,0.00010026392375175,0.00010026392382198
160.8,128,0,7.2,0.00010061243123814,0.00010061243130938
161.2,128,0,7.6,0.00010056462161636,0.0001005646216876
161.6,128,0,8,0.00010034360430292,0.00010034360437372
162,128,0,8.4,0.00010012258698948,0.00010012258705983
162.4,128,0,8.8,0.00010005095618734,0.00010005095625738
162.8,128,0,9.2,0.00010001498501099,0.00010001498508075
163.2,128,0,9.6,9.9979013834646e-05,9.9979013904129e-05
163.6,128,0,10,9.99430426583e-05,9.9943042727504e-05
164,128,0,10.4,9.9907071481954e-05,9.9907071550879e-05
164.4,128,0,10.8,9.9888306265299e-05,9.9888306334029e-05
164.8,128,0,11.2,9.993920804163e-05,9.9939208110493e-05
165.2,128,0,11.6,9.999010981796e-05,9.9990109886958e-05
165.6,128,0,12,0.00010003483967783,0.00010003483974699
166,128,0,12.4,0.00010003681341033,0.00010003681347978
166.4,128,0,12.8,0.00010003878714282,0.00010003878721257
166.8,128,0,13.2,0.00010004076087532,0.00010004076094536
167.2,128,0,13.6,0.00010004108845922,0.00010004108852943
167.6,128,0,14,0.00010003739207841,0.00010003739214847
168,128,0,14.4,0.0001000336956976,0.0001000336957675
168.4,128,0,14.8,0.00010002999931679,0.00010002999938654
168.8,128,0,15.2,0.00010002581714897,0.00010002581721859
169.2,128,0,15.6,0.00010001723567474,0.0001000172357444
169.6,128,0,16,0.00010000865420051,0.00010000865427022
170,128,0,16.4,0.00010000007272628,0.00010000007279604
170.4,128,0,16.8,9.9991491252045e-05,9.9991491321862e-05
170.8,128,0,17.2,9.9991059774533e-05,9.9991059844226e-05
171.2,128,0,17.6,9.9992295040671e-05,9.9992295110205e-05
171.6,128,0,18,9.9993530306809e-05,9.9993530376184e-05
172,128,0,18.4,9.9994765572948e-05,9.9994765642162e-05
172.4,128,0,18.8,9.9996000839086e-05,9.9996000908141e-05
172.8,128,0,19.2,9.9997236105224e-05,9.9997236174119e-05
173.2,128,0,19.6,9.999847063866e-05,9.9998470707396e-05
173.6,128,0,20,9.9999610752092e-05,9.9999610820875e-05
174,128,0,20.4,0.00010000075086553,0.00010000075093435
174.4,128,0,20.8,0.00010000189097896,0.00010000189104783
174.8,128,0,21.2,0.00010000232162591,0.00010000232169471
175.2,128,0,21.6,0.00010000216933682,0.00010000216940551
175.6,128,0,22,0.00010000187408633,0.00010000187415546
176,128,0,22.4,0.00010000157883584,0.00010000157890542
176.4,128,0,22.8,0.00010000128358534,0.00010000128365538
176.8,128,0,23.2,0.00010000096623241,0.00010000096630285
177.2,128,0,23.6,0.0001000005935835,0.00010000059365421
177.6,128,0,24,0.00010000022093458,0.00010000022100556
178,128,0,24.4,9.9999848285659e-05,9.9999848356924e-05
178.4,128,0,24.8,9.9999475636742e-05,9.9999475708283e-05
178.8,128,0,25.2,9.9999412769183e-05,9.9999412840658e-05
179.2,128,0,25.6,9.9999464690257e-05,9.9999464761538e-05
179.6,128,0,26,9.999951661133e-05,9.9999516682417e-05
180,128,0,26.4,9.9999568532403e-05,9.9999568603296e-05
180.4,128,0,26.8,9.9999620453476e-05,9.9999620524176e-05
180.8,128,0,27.2,9.9999672374549e-05,9.9999672445055e-05
