x,y,z,id,xi,xv
153.6,128,0,0,8.9551587775062e-185,8.9551587775062e-185
154,128,0,0.40000000000001,1.677287653735e-08,1.5790941069308e-06
154.4,128,0,0.80000000000001,3.3545753074702e-08,3.1581882138618e-06
154.8,128,0,1.2,5.0318629612049e-08,4.7372823207924e-06
155.2,128,0,1.6,6.7091506149397e-08,6.3163764277231e-06
155.6,128,0,2,8.3864382686747e-08,7.8954705346539e-06
156,128,0,2.4,1.006372592241e-07,9.4745646415846e-06
156.4,128,0,2.8,1.0817119142234e-07,1.0183566168413e-05
156.8,128,0,3.2,1.0514472100353e-07,9.8982004956153e-06
157.2,128,0,3.6,1.0316164266446e-07,9.7113394035776e-06
157.6,128,0,4,1.0117856432539e-07,9.5244783115399e-06
158,128,0,4.4,9.9195485986327e-08,9.3376172195022e-06
158.4,128,0,4.8,9.822126434729e-08,9.2457719024921e-06
158.8,128,0,5.2,9.8235613165932e-08,9.2470317690063e-06
159.2,128,0,5.6,9.8249961984574e-08,9.2482916355205e-06
159.6,128,0,6,9.8560917233636e-08,9.2776656498639e-06
160,128,0,6.4,9.8974138966826e-08,9.3167330988664e-06
160.4,128,0,6.8,9.9387360700015e-08,9.3558005478689e-06
160.8,128,0,7.2,9.9800582433205e-08,9.3948679968714e-06
161.2,128,0,7.6,9.9747428360454e-08,9.3899503872289e-06
161.6,128,0,8,9.949044791955e-08,9.365809407415e-06
162,128,0,8.4,9.9233467478646e-08,9.3416684276011e-06
162.4,128,0,8.8,9.914877274546e-08,9.3335626282649e-06
162.8,128,0,9.2,9.9105203839596e-08,9.3292845408856e-06
163.2,128,0,9.6,9.9061634933732e-08,9.3250064535062e-06
163.6,128,0,10,9.9018066027868e-08,9.3207283661268e-06
164,128,0,10.4,9.8974497122004e-08,9.3164502787475e-06
164.4,128,0,10.8,9.8951506108879e-08,9.3141482493044e-06
164.8,128,0,11.2,9.9011835057831e-08,9.3198472855877e-06
165.2,128,0,11.6,9.9072164006783e-08,9.325546321871e-06
165.6,128,0,12,9.9125217825982e-08,9.330591512487e-06
166,128,0,12.4,9.9127872976205e-08,9.3311071685829e-06
166.4,128,0,12.8,9.9130528126429e-08,9.3316228246788e-06
166.8,128,0,13.2,9.9133183276652e-08,9.3321384807747e-06
167.2,128,0,13.6,9.9133784111065e-08,9.3323564840938e-06
167.6,128,0,14,9.9129363227277e-08,9.3318468834293e-06
168,128,0,14.4,9.912494234349e-08,9.3313372827648e-06
168.4,128,0,14.8,9.9120521459702e-08,9.3308276821003e-06
168.8,128,0,15.2,9.911552121822e-08,9.330274683394e-06
169.2,128,0,15.6,9.9105274290421e-08,9.3293286702961e-06
169.6,128,0,16,9.9095027362623e-08,9.3283826571981e-06
170,128,0,16.4,9.9084780434824e-08,9.3274366441002e-06
170.4,128,0,16.8,9.9074533507025e-08,9.3264906310023e-06
170.8,128,0,17.2,9.9074025961911e-08,9.3263886023238e-06
171.2,128,0,17.6,9.9075510203395e-08,9.3264591756376e-06
171.6,128,0,18,9.907699444488e-08,9.3265297489515e-06
172,128,0,18.4,9.9078478686364e-08,9.3266003222653e-06
172.4,128,0,18.8,9.9079962927848e-08,9.3266708955792e-06
172.8,128,0,19.2,9.9081447169332e-08,9.3267414688931e-06
173.2,128,0,19.6,9.9082930464545e-08,9.3268126033578e-06
173.6,128,0,20,9.9084291818203e-08,9.3269560506865e-06
174,128,0,20.4,9.9085653171861e-08,9.3270994980152e-06
174.4,128,0,20.8,9.908701452552e-08,9.3272429453439e-06
174.8,128,0,21.2,9.9087529882386e-08,9.3272841126471e-06
175.2,128,0,21.6,9.9087348343745e-08,9.3272592332816e-06
175.6,128,0,22,9.9086974929928e-08,9.3274302238765e-06
176,128,0,22.4,9.9086601516111e-08,9.3276012144713e-06
176.4,128,0,22.8,9.9086228102293e-08,9.3277722050662e-06
176.8,128,0,23.2,9.9085830664068e-08,9.3279173887187e-06
177.2,128,0,23.6,9.9085373121454e-08,9.3279980084281e-06
177.6,128,0,24,9.908491557884e-08,9.3280786281375e-06
178,128,0,24.4,9.9084458036226e-08,9.328159247847e-06
178.4,128,0,24.8,9.9084000493611e-08,9.3282398675564e-06
178.8,128,0,25.2,9.9083927413865e-08,9.3282019017107e-06
179.2,128,0,25.6,9.9083996795778e-08,9.3281199943134e-06
179.6,128,0,26,9.9084066177691e-08,9.3280380869162e-06
180,128,0,26.4,9.9084135559604e-08,9.3279561795189e-06
180.4,128,0,26.8,9.9084204941517e-08,9.3278742721216e-06
180.8,128,0,27.2,9.908427432343e-08,9.3277923647244e-06
181.2,128,0,27.6,9.9084341974923e-08,9.3276910654742e-06
181.6,128,0,28,9.9084407316059e-08,9.3275638753489e-06
182,128,0,28.4,9.9084472657196e-08,9.3274366852236e-06
182.4,128,0,28.8,9.9084533710053e-08,9.3273147466353e-06
182.8,128,0,29.2,9.9084516844524e-08,9.3272882288867e-06
183.2,128,0,29.6,9.9084506446618e-08,9.3272685036647e-06
183.6,128,0,30,9.9084502862404e-08,9.3272559344229e-06
184,128,0,30.4,9.908449927819e-08,9.3272433651811e-06
184.4,128,0,30.8,9.9084495693976e-08,9.3272307959393e-06
184.8,128,0,31.2,9.9084492109762e-08,9.3272182266975e-06
185.2,128,0,31.6,9.9084488525548e-08,9.3272056574557e-06
185.6,128,0,32,9.9084484941334e-08,9.3271930882139e-06
186,128,0,32.4,9.908448135712e-08,9.3271805189721e-06
186.4,128,0,32.8,9.9084477772906e-08,9.3271679497303e-06
186.8,128,0,33.2,9.9084474188692e-08,9.3271553804885e-06
187.2,128,0,33.6,9.9084470604478e-08,9.3271428112467e-06
187.6,128,0,34,9.9084467945009e-08,9.3271692404365e-06
188,128,0,34.4,9.908446657397e-08,9.3272500053787e-06
188.4,128,0,34.8,9.908446520293e-08,9.3273307703209e-06
188.8,128,0,35.2,9.908446383189e-08,9.3274115352631e-06
189.2,128,0,35.6,9.9084462460851e-08,9.3274923002052e-06
189.6,128,0,36,9.9084461089811e-08,9.3275730651474e-06
190,128,0,36.4,9.9084459718771e-08,9.3276538300896e-06
190.4,128,0,36.8,9.9084458347731e-08,9.3277345950318e-06
190.8,128,0,37.2,9.9084456976692e-08,9.327815359974e-06
191.2,128,0,37.6,9.9084410336586e-08,9.3278513914099e-06
191.6,128,0,38,9.9084348613457e-08,9.3278725182643e-06
192,128,0,38.4,9.9084286890329e-08,9.3278936451187e-06
192.4,128,0,38.8,9.9084225167201e-08,9.3279147719731e-06
192.8,128,0,39.2,9.9084250194864e-08,9.3279233950222e-06
193.2,128,0,39.6,9.9084387765047e-08,9.3279157967812e-06
193.6,128,0,40,9.908452533523e-08,9.3279081985402e-06
194,128,0,40.4,9.9084662905413e-08,9.3279006002992e-06
194.4,128,0,40.8,9.9084800475596e-08,9.3278930020582e-06
194.8,128,0,41.2,9.9084938045779e-08,9.3278854038172e-06
195.2,128,0,41.6,9.9085046905605e-08,9.3278579369344e-06
195.6,128,0,42,9.9085088628784e-08,9.3277840089779e-06
196,128,0,42.4,9.9085130351963e-08,9.3277100810213e-06
196.4,128,0,42.8,9.9085172075142e-08,9.3276361530648e-06
196.8,128,0,43.2,9.908521379832e-08,9.3275622251082e-06
197.2,128,0,43.6,9.9085255521499e-08,9.3274882971517e-06
197.6,128,0,44,9.9085297244678e-08,9.3274143691951e-06
198,128,0,44.4,9.9085338967857e-08,9.3273404412386e-06
198.4,128,0,44.8,9.9085380691035e-08,9.327266513282e-06
198.8,128,0,45.2,9.9085573061355e-08,9.3273295003811e-06
199.2,128,0,45.6,9.9085772817698e-08,9.3273992002387e-06
199.6,128,0,46,9.9085972574041e-08,9.3274689000962e-06
200,128,0,46.4,9.9086172330385e-08,9.3275385999538e-06
200.4,128,0,46.8,9.9085814118549e-08,9.3275148434665e-06
200.8,128,0,47.2,9.9085175996636e-08,9.3274442037093e-06
201.2,128,0,47.6,9.9084537874723e-08,9.327373563952e-06
201.6,128,0,48,9.9083899752809e-08,9.3273029241947e-06
202,128,0,48.4,9.9083261630896e-08,9.3272322844375e-06
