x,y,z,id,xi,xv
153.6,128,0,0,0,0
154,128,0,0.40000000000001,9.943526780709e-07,0.0001162648524101
154.4,128,0,0.80000000000001,1.9887053561419e-06,0.00023252970482022
154.8,128,0,1.2,2.9830580342126e-06,0.0003487945572303
155.2,128,0,1.6,3.9774107122834e-06,0.0004650594096404
155.6,128,0,2,4.9717633903543e-06,0.0005813242620505
156,128,0,2.4,5.9661160684251e-06,0.00069758911446059
156.4,128,0,2.8,6.4248933725384e-06,0.00075071478855785
156.8,128,0,3.2,6.2638365896555e-06,0.0007310996648017
157.2,128,0,3.6,6.1527553886627e-06,0.00071783153483186
157.6,128,0,4,6.04167418767e-06,0.00070456340486202
158,128,0,4.4,5.9305929866772e-06,0.00069129527489218
158.4,128,0,4.8,5.8766556209598e-06,0.00068482340894731
158.8,128,0,5.2,5.8787130336783e-06,0.0006850111467276
159.2,128,0,5.6,5.8807704463968e-06,0.0006851988845079
159.6,128,0,6,5.8978020467437e-06,0.00068725145180353
160,128,0,6.4,5.9199965746754e-06,0.00068994699085726
160.4,128,0,6.8,5.9421911026072e-06,0.00069264252991099
160.8,128,0,7.2,5.9643856305389e-06,0.00069533806896473
161.2,128,0,7.6,5.9614211766474e-06,0.00069498329771921
161.6,128,0,8,5.9474611611805e-06,0.00069329540914187
162,128,0,8.4,5.9335011457136e-06,0.00069160752056453
162.4,128,0,8.8,5.9289463947273e-06,0.00069105464077405
162.8,128,0,9.2,5.926636747459e-06,0.00069077269567685
163.2,128,0,9.6,5.9243271001906e-06,0.00069049075057965
163.6,128,0,10,5.9220174529222e-06,0.00069020880548245
164,128,0,10.4,5.9197078056539e-06,0.00068992686038525
164.4,128,0,10.8,5.9184973019898e-06,0.00068977868942381
164.8,128,0,11.2,5.9217372347526e-06,0.00069017217042162
165.2,128,0,11.6,5.9249771675153e-06,0.00069056565141942
165.6,128,0,12,5.9278251988807e-06,0.00069091160060603
166,128,0,12.4,5.9279583221326e-06,0.00069092827181414
166.4,128,0,12.8,5.9280914453844e-06,0.00069094494302225
166.8,128,0,13.2,5.9282245686363e-06,0.00069096161423036
167.2,128,0,13.6,5.9282504104897e-06,0.00069096509057603
167.6,128,0,14,5.928014005931e-06,0.00069093631244528
168,128,0,14.4,5.9277776013722e-06,0.00069090753431452
168.4,128,0,14.8,5.9275411968134e-06,0.00069087875618377
168.8,128,0,15.2,5.9272738345523e-06,0.00069084621361861
169.2,128,0,15.6,5.926726118108e-06,0.00069077958018579
169.6,128,0,16,5.9261784016636e-06,0.00069071294675296
170,128,0,16.4,5.9256306852193e-06,0.00069064631332014
170.4,128,0,16.8,5.925082968775e-06,0.00069057967988732
170.8,128,0,17.2,5.9250554203646e-06,0.00069057633561424
171.2,128,0,17.6,5.9251342507416e-06,0.00069058593451264
171.6,128,0,18,5.9252130811187e-06,0.00069059553341104
172,128,0,18.4,5.9252919114957e-06,0.00069060513230944
172.4,128,0,18.8,5.9253707418727e-06,0.00069061473120784
172.8,128,0,19.2,5.9254495722497e-06,0.00069062433010625
173.2,128,0,19.6,5.9255283564073e-06,0.00069063392332248
173.6,128,0,20,5.9256011844978e-06,0.00069064278430446
174,128,0,20.4,5.9256740125882e-06,0.00069065164528643
174.4,128,0,20.8,5.9257468406786e-06,0.00069066050626841
174.8,128,0,21.2,5.9257743259487e-06,0.0006906638514418
175.2,128,0,21.6,5.9257645745281e-06,0.00069066266567482
175.6,128,0,22,5.9257459199766e-06,0.00069066038223446
176,128,0,22.4,5.9257272654251e-06,0.00069065809879409
176.4,128,0,22.8,5.9257086108736e-06,0.00069065581535373
176.8,128,0,23.2,5.9256885272804e-06,0.00069065335926055
177.2,128,0,23.6,5.9256648685033e-06,0.00069065047122366
177.6,128,0,24,5.9256412097261e-06,0.00069064758318677
178,128,0,24.4,5.9256175509489e-06,0.00069064469514989
178.4,128,0,24.8,5.9255938921718e-06,0.000690641807113
178.8,128,0,25.2,5.9255897961286e-06,0.00069064131048228
179.2,128,0,25.6,5.9255929490026e-06,0.00069064169998054
179.6,128,0,26,5.9255961018767e-06,0.0006906420894788
180,128,0,26.4,5.9255992547508e-06,0.00069064247897707
180.4,128,0,26.8,5.9256024076249e-06,0.00069064286847533
180.8,128,0,27.2,5.925605560499e-06,0.00069064325797359
181.2,128,0,27.6,5.9256085013465e-06,0.00069064362275694
181.6,128,0,28,5.9256111591084e-06,0.00069064395454235
182,128,0,28.4,5.9256138168704e-06,0.00069064428632776
182.4,128,0,28.8,5.9256162812768e-06,0.00069064459418449
182.8,128,0,29.2,5.9256152323971e-06,0.00069064446725516
183.2,128,0,29.6,5.9256145616036e-06,0.00069064438625031
183.6,128,0,30,5.9256142891269e-06,0.00069064435362727
184,128,0,30.4,5.9256140166502e-06,0.00069064432100424
184.4,128,0,30.8,5.9256137441734e-06,0.00069064428838121
184.8,128,0,31.2,5.9256134716967e-06,0.00069064425575817
185.2,128,0,31.6,5.92561319922e-06,0.00069064422313514
185.6,128,0,32,5.9256129267433e-06,0.00069064419051211
186,128,0,32.4,5.9256126542665e-06,0.00069064415788907
186.4,128,0,32.8,5.9256123817898e-06,0.00069064412526604
186.8,128,0,33.2,5.9256121093131e-06,0.000690644092643
187.2,128,0,33.6,5.9256118368364e-06,0.00069064406001997
187.6,128,0,34,5.9256118563138e-06,0.00069064406069675
