x,y,z,id,xi,xv
153.6,128,0,0,0,0
154,128,0,0.40000000000001,4.5190015365029e-07,0.00045233002696378
154.4,128,0,0.80000000000001,9.0380030730063e-07,0.00090466005392759
154.8,128,0,1.2,1.3557004609508e-06,0.0013569900808913
155.2,128,0,1.6,1.8076006146011e-06,0.001809320107855
155.6,128,0,2,2.2595007682514e-06,0.0022616501348188
156,128,0,2.4,2.7114009219016e-06,0.0027139801617825
156.4,128,0,2.8,2.9216279456947e-06,0.002924410816737
156.8,128,0,3.2,2.8510626889212e-06,0.0028537839785477
157.2,128,0,3.6,2.8015406493213e-06,0.0028042168320886
157.6,128,0,4,2.7520186097214e-06,0.0027546496856295
158,128,0,4.4,2.7024965701214e-06,0.0027050825391704
158.4,128,0,4.8,2.6785592522761e-06,0.0026811236445663
158.8,128,0,5.2,2.67969219475e-06,0.0026822580672348
159.2,128,0,5.6,2.680825137224e-06,0.0026833924899033
159.6,128,0,6,2.6883460937419e-06,0.0026909201497261
160,128,0,6.4,2.6980695639946e-06,0.002700652124152
160.4,128,0,6.8,2.7077930342473e-06,0.002710384098578
160.8,128,0,7.2,2.7175165045e-06,0.0027201160730039
161.2,128,0,7.6,2.7161988428769e-06,0.0027187972171067
161.6,128,0,8,2.7100557298005e-06,0.0027126486711158
162,128,0,8.4,2.7039126167242e-06,0.0027065001251249
162.4,128,0,8.8,2.7019155567839e-06,0.0027045013173301
162.8,128,0,9.2,2.7009081893005e-06,0.0027034930816422
163.2,128,0,9.6,2.699900821817e-06,0.0027024848459543
163.6,128,0,10,2.6988934543336e-06,0.0027014766102664
164,128,0,10.4,2.6978860868501e-06,0.0027004683745786
164.4,128,0,10.8,2.697359445893e-06,0.0026999412834364
164.8,128,0,11.2,2.6987792683785e-06,0.0027013623482991
165.2,128,0,11.6,2.7001990908641e-06,0.0027027834131619
165.6,128,0,12,2.7014469415427e-06,0.0027040323546706
166,128,0,12.4,2.7015034526215e-06,0.0027040889067331
166.4,128,0,12.8,2.7015599637003e-06,0.0027041454587957
166.8,128,0,13.2,2.701616474779e-06,0.0027042020108582
167.2,128,0,13.6,2.7016265859644e-06,0.0027042121254961
167.6,128,0,14,2.701523273893e-06,0.0027041087251335
168,128,0,14.4,2.7014199618216e-06,0.0027040053247709
168.4,128,0,14.8,2.7013166497502e-06,0.0027039019244083
168.8,128,0,15.2,2.701199777598e-06,0.0027037849519384
169.2,128,0,15.6,2.7009601048143e-06,0.002703545069925
169.6,128,0,16,2.7007204320306e-06,0.0027033051879116
170,128,0,16.4,2.7004807592469e-06,0.0027030653058982
170.4,128,0,16.8,2.7002410864633e-06,0.0027028254238848
170.8,128,0,17.2,2.7002290448399e-06,0.0027028133725969
171.2,128,0,17.6,2.7002635557249e-06,0.0027028479146302
171.6,128,0,18,2.70029806661e-06,0.0027028824566635
172,128,0,18.4,2.700332577495e-06,0.0027029169986968
172.4,128,0,18.8,2.7003670883801e-06,0.0027029515407301
172.8,128,0,19.2,2.7004015992651e-06,0.0027029860827634
173.2,128,0,19.6,2.7004360896652e-06,0.0027030206042834
173.6,128,0,20,2.7004679402684e-06,0.0027030524823495
174,128,0,20.4,2.7004997908716e-06,0.0027030843604156
174.4,128,0,20.8,2.7005316414748e-06,0.0027031162384817
174.8,128,0,21.2,2.7005436684378e-06,0.0027031282759895
175.2,128,0,21.6,2.7005394074629e-06,0.0027031240113711
175.6,128,0,22,2.7005311547661e-06,0.0027031157481657
176,128,0,22.4,2.7005229020693e-06,0.0027031074849603
176.4,128,0,22.8,2.7005146493725e-06,0.0027030992217548
176.8,128,0,23.2,2.7005057821324e-06,0.0027030903438513
177.2,128,0,23.6,2.7004953774247e-06,0.0027030799280927
177.6,128,0,24,2.7004849727169e-06,0.0027030695123341
178,128,0,24.4,2.7004745680092e-06,0.0027030590965756
178.4,128,0,24.8,2.7004641633015e-06,0.002703048680817
178.8,128,0,25.2,2.7004623859871e-06,0.0027030469024762
179.2,128,0,25.6,2.7004638055296e-06,0.0027030483247068
179.6,128,0,26,2.7004652250721e-06,0.0027030497469374
180,128,0,26.4,2.7004666446146e-06,0.002703051169168
180.4,128,0,26.8,2.7004680641571e-06,0.0027030525913986
180.8,128,0,27.2,2.7004694836995e-06,0.0027030540136292
181.2,128,0,27.6,2.7004708191227e-06,0.0027030553519799
181.6,128,0,28,2.7004720422348e-06,0.0027030565783391
182,128,0,28.4,2.7004732653468e-06,0.0027030578046982
182.4,128,0,28.8,2.7004744012494e-06,0.0027030589436788
182.8,128,0,29.2,2.7004739525497e-06,0.0027030584949841
183.2,128,0,29.6,2.7004736657222e-06,0.0027030582081976
183.6,128,0,30,2.7004735494285e-06,0.0027030580919828
184,128,0,30.4,2.7004734331347e-06,0.002703057975768
184.4,128,0,30.8,2.700473316841e-06,0.0027030578595532
184.8,128,0,31.2,2.7004732005472e-06,0.0027030577433384
185.2,128,0,31.6,2.7004730842535e-06,0.0027030576271236
185.6,128,0,32,2.7004729679597e-06,0.0027030575109088
186,128,0,32.4,2.700472851666e-06,0.002703057394694
186.4,128,0,32.8,2.7004727353722e-06,0.0027030572784792
186.8,128,0,33.2,2.7004726190785e-06,0.0027030571622644
187.2,128,0,33.6,2.7004725027847e-06,0.0027030570460496
187.6,128,0,34,2.7004724974748e-06,0.0027030570402741
188,128,0,34.4,2.7004726467965e-06,0.0027030571883717
188.4,128,0,34.8,2.7004727961181e-06,0.0027030573364692
188.8,128,0,35.2,2.7004729454398e-06,0.0027030574845667
189.2,128,0,35.6,2.7004730947614e-06,0.0027030576326643
189.6,128,0,36,2.7004732440831e-06,0.0027030577807618
190,128,0,36.4,2.7004733934047e-06,0.0027030579288593
190.4,128,0,36.8,2.7004735427264e-06,0.0027030580769569
190.8,128,0,37.2,2.7004736920481e-06,0.0027030582250544
191.2,128,0,37.6,2.7004727201915e-06,0.002703057251685
191.6,128,0,38,2.7004713747739e-06,0.0027030559046585
192,128,0,38.4,2.7004700293563e-06,0.002703054557632
192.4,128,0,38.8,2.7004686839387e-06,0.0027030532106055
192.8,128,0,39.2,2.7004692763033e-06,0.0027030538034085
193.2,128,0,39.6,2.7004723825689e-06,0.0027030569127683
193.6,128,0,40,2.7004754888345e-06,0.0027030600221281
194,128,0,40.4,2.7004785951e-06,0.0027030631314879
194.4,128,0,40.8,2.7004817013656e-06,0.0027030662408477
194.8,128,0,41.2,2.7004848076312e-06,0.0027030693502075
195.2,128,0,41.6,2.7004872187039e-06,0.0027030717640581
195.6,128,0,42,2.7004880041292e-06,0.0027030725515214
196,128,0,42.4,2.7004887895545e-06,0.0027030733389847
196.4,128,0,42.8,2.7004895749797e-06,0.002703074126448
196.8,128,0,43.2,2.700490360405e-06,0.0027030749139113
197.2,128,0,43.6,2.7004911458303e-06,0.0027030757013746
197.6,128,0,44,2.7004919312556e-06,0.0027030764888378
198,128,0,44.4,2.7004927166808e-06,0.0027030772763011
198.4,128,0,44.8,2.7004935021061e-06,0.0027030780637644
198.8,128,0,45.2,2.7004979953639e-06,0.002703082560108
199.2,128,0,45.6,2.7005026704117e-06,0.0027030872382929
199.6,128,0,46,2.7005073454595e-06,0.0027030919164778
200,128,0,46.4,2.7005120205074e-06,0.0027030965946627
200.4,128,0,46.8,2.7005038464589e-06,0.0027030884133961
200.8,128,0,47.2,2.7004892265384e-06,0.0027030737810624
201.2,128,0,47.6,2.7004746066178e-06,0.0027030591487288
201.6,128,0,48,2.7004599866973e-06,0.0027030445163952
202,128,0,48.4,2.7004453667767e-06,0.0027030298840615
202.4,128,0,48.8,2.7004307468562e-06,0.0027030152517279
202.8,128,0,49.2,2.7004161269356e-06,0.0027030006193942
203.2,128,0,49.6,2.7004015070151e-06,0.0027029859870606
203.6,128,0,50,2.7003868870945e-06,0.002702971354727
204,128,0,50.4,2.700372267174e-06,0.0027029567223933
204.4,128,0,50.8,2.7003576472534e-06,0.0027029420900597
204.8,128,0,51.2,2.7003430273329e-06,0.002702927457726
205.2,128,0,51.6,2.7003284074123e-06,0.0027029128253924
205.6,128,0,52,2.7003421169727e-06,0.0027029265468067
206,128,0,52.4,2.7003930231406e-06,0.0027029774966912
206.4,128,0,52.8,2.7004439293086e-06,0.0027030284465757
206.8,128,0,53.2,2.7004948354766e-06,0.0027030793964603
207.2,128,0,53.6,2.7005457416446e-06,0.0027031303463448
207.6,128,0,54,2.7005966478125e-06,0.0027031812962293
208,128,0,54.4,2.7006475539805e-06,0.0027032322461138
208.4,128,0,54.8,2.7006984601485e-06,0.0027032831959984
208.8,128,0,55.2,2.7007493663164e-06,0.0027033341458829
209.2,128,0,55.6,2.7008002724844e-06,0.0027033850957674
209.6,128,0,56,2.7008511786524e-06,0.0027034360456519
210,128,0,56.4,2.7009020848204e-06,0.0027034869955364
210.4,128,0,56.8,2.7009529909883e-06,0.002703537945421
210.8,128,0,57.2,2.7010038971563e-06,0.0027035888953055
211.2,128,0,57.6,2.7010611574116e-06,0.0027036462046441
211.6,128,0,58,2.7008737150035e-06,0.0027034586007157
212,128,0,58.4,2.7006794608094e-06,0.0027032641792181
212.4,128,0,58.8,2.7004852066154e-06,0.0027030697577206
212.8,128,0,59.2,2.7002909524213e-06,0.002702875336223
213.2,128,0,59.6,2.7000966982273e-06,0.0027026809147254
213.6,128,0,60,2.6999024440332e-06,0.0027024864932279
214,128,0,60.4,2.6997081898392e-06,0.0027022920717303
214.4,128,0,60.8,2.6995139356451e-06,0.0027020976502327
214.8,128,0,61.2,2.6993196814511e-06,0.0027019032287352
215.2,128,0,61.6,2.699125427257e-06,0.0027017088072376
215.6,128,0,62,2.698931173063e-06,0.00270151438574
216,128,0,62.4,2.6987369188689e-06,0.0027013199642424
216.4,128,0,62.8,2.6985426646749e-06,0.0027011255427449
216.8,128,0,63.2,2.6983484104808e-06,0.0027009311212473
217.2,128,0,63.6,2.6981541562868e-06,0.0027007366997497
217.6,128,0,64,2.6979599020927e-06,0.0027005422782522
218,128,0,64.4,2.6980498680568e-06,0.0027006323224517
218.4,128,0,64.8,2.6985007800809e-06,0.0027010836245341
218.8,128,0,65.2,2.6989516921051e-06,0.0027015349266165
219.2,128,0,65.6,2.6988513317904e-06,0.0027014344783872
219.6,128,0,66,2.697695246464e-06,0.0027002773897946
220,128,0,66.4,2.6965391611376e-06,0.002699120301202
220.4,128,0,66.8,2.6953830758111e-06,0.0026979632126094
220.8,128,0,67.2,2.6942269904847e-06,0.0026968061240168
221.2,128,0,67.6,2.6930709051582e-06,0.0026956490354242
221.6,128,0,68,2.6919148198318e-06,0.0026944919468316
222,128,0,68.4,2.6910000806101e-06,0.0026935764129302
222.4,128,0,68.8,2.6910725701739e-06,0.0026936489610395
222.8,128,0,69.2,2.6911450597377e-06,0.0026937215091488
223.2,128,0,69.6,2.6912175493015e-06,0.0026937940572581
223.6,128,0,70,2.6912900388653e-06,0.0026938666053674
224,128,0,70.4,2.6913625284291e-06,0.0026939391534767
224.4,128,0,70.8,2.6914350179929e-06,0.002694011701586
224.8,128,0,71.2,2.6915075075567e-06,0.0026940842496953
225.2,128,0,71.6,2.6915799971205e-06,0.0026941567978046
225.6,128,0,72,2.6916524866842e-06,0.0026942293459139
226,128,0,72.4,2.691724976248e-06,0.0026943018940232
226.4,128,0,72.8,2.6917974658118e-06,0.0026943744421325
226.8,128,0,73.2,2.69392192215e-06,0.0026965007439068
227.2,128,0,73.6,2.6985800205623e-06,0.0027011628940974
227.6,128,0,74,2.7032381189746e-06,0.0027058250442881
228,128,0,74.4,2.7078962173869e-06,0.0027104871944787
228.4,128,0,74.8,2.7125543157992e-06,0.0027151493446694
228.8,128,0,75.2,2.7172124142115e-06,0.00271981149486
229.2,128,0,75.6,2.7218705126238e-06,0.0027244736450507
229.6,128,0,76,2.7265286110361e-06,0.0027291357952413
230,128,0,76.4,2.7311867094484e-06,0.0027337979454319
230.4,128,0,76.8,2.7358448078607e-06,0.0027384600956226
230.8,128,0,77.2,2.740502906273e-06,0.0027431222458132
231.2,128,0,77.6,2.7451610046853e-06,0.0027477843960039
231.6,128,0,78,2.7498191030976e-06,0.0027524465461945
232,128,0,78.4,2.7544772015099e-06,0.0027571086963852
232.4,128,0,78.8,2.7591352999222e-06,0.0027617708465758
232.8,128,0,79.2,2.7637933983345e-06,0.0027664329967665
233.2,128,0,79.6,2.7684514967468e-06,0.0027710951469571
233.6,128,0,80,2.7627112777692e-06,0.0027653499277322
234,128,0,80.4,2.7551810950703e-06,0.0027578131865726
234.4,128,0,80.8,2.7476509123714e-06,0.0027502764454129
234.8,128,0,81.2,2.7340892883038e-06,0.0027367029653144
235.2,128,0,81.6,2.7167502362144e-06,0.002719348739382
235.6,128,0,82,2.6994111841251e-06,0.0027019945134496
236,128,0,82.4,2.6820721320358e-06,0.0026846402875172
236.4,128,0,82.8,2.6647330799465e-06,0.0026672860615848
236.8,128,0,83.2,2.6473940278572e-06,0.0026499318356524
237.2,128,0,83.6,2.6300549757679e-06,0.0026325776097201
237.6,128,0,84,2.6127159236786e-06,0.0026152233837877
238,128,0,84.4,2.5953768715893e-06,0.0025978691578553
