time,average_xi,average_xv,left_xi,left_xs,left_xv
0,0,0,0,0,0
1,9.077798810232e-07,9.984580233232e-07,9.0902629484113e-07,1,9.9982894143112e-07
2.2,1.9183654791024e-06,2.196233387781e-06,1.9209998403244e-06,1,2.1992493014305e-06
3.64,2.9966332673428e-06,3.6326587807755e-06,3.000748838388e-06,1,3.6376477827361e-06
5.368,4.1080979853509e-06,5.3545487621082e-06,4.1137410136692e-06,1,5.361903683666e-06
7.4416,5.2139600176364e-06,7.4175270915645e-06,5.2211239909189e-06,1,7.4277179284174e-06
9.92992,6.2705852554461e-06,9.887547540386e-06,6.2792044642794e-06,1,9.9011361299247e-06
12.915904,7.2322315302665e-06,1.2842671644369e-05,7.24217835462e-06,1,1.2860328993875e-05
16.4990848,8.0563380713156e-06,1.6375163194677e-05,8.0674274437565e-06,1,1.6397689941044e-05
20.79890176,8.7103635796282e-06,2.0593967096359e-05,8.7223666753914e-06,1,2.0622317669175e-05
25.958682112,9.1784100494449e-06,2.5627624509053e-05,9.1910768600968e-06,1,2.5662935648886e-05
32.1504185344,9.4652380339398e-06,3.1627621368293e-05,9.4783252720674e-06,1,3.1671245685012e-05
39.58050224128,9.595436103195e-06,3.8772073022337e-05,9.6087339243578e-06,1,3.8825618226974e-05
48.496602689536,9.6069539909055e-06,4.7269546392837e-05,9.6203040118146e-06,1,4.7334920659133e-05
59.195923227443,9.5407195223698e-06,5.7362776653037e-05,9.5540189030341e-06,1,5.7442240441088e-05
72.035107872932,9.430349222088e-06,6.9332097885361e-05,9.4435409562041e-06,1,6.9428322228911e-05
87.442129447518,9.2962573414651e-06,8.3498539531659e-05,9.3093124826358e-06,1,8.3614670756866e-05
105.93055533702,9.1460331143015e-06,0.00010022659983441,9.1589332485362e-06,1,0.00010036633053834
128.11666640443,8.9792909810629e-06,0.00011992656216051,8.9920169696549e-06,1,0.0001200942079497
154.73999968531,8.7931396232112e-06,0.00014305592488075,8.8056676310766e-06,1,0.00014325650571622
186.68799962237,8.5854168829184e-06,0.00017011930921208,8.5977188856871e-06,1,0.00017035863325083
225.02559954685,8.3554401715652e-06,0.00020166625633622,8.3674856571158e-06,1,0.00020195100312281
271.03071945622,8.1036396775353e-06,0.00023828651573987,8.1153969826382e-06,1,0.00023862431466159
326.23686334746,7.8312222366135e-06,0.0002806025387821,7.8426595195668e-06,1,0.00028100203785622
392.48423601695,7.5401081508302e-06,0.00032925887014157,7.5511943911914e-06,1,0.00032972978938249
471.98108322034,7.2329406423429e-06,0.00038490807352976,7.2436468014727e-06,1,0.00038546123634461
567.37729986441,6.913026167281e-06,0.00044819278143444,6.9233264179214e-06,1,0.00044884011674755
681.8527598373,6.5841973503681e-06,0.00051972336869317,6.5940702375744e-06,1,0.00052047787575967
819.22331180476,6.2506291666008e-06,0.00060005057719762,6.2600585847587e-06,1,0.00060092624420525
984.06797416571,5.9166346114644e-06,0.00068963219342368,5.9256105107247e-06,1,0.00069064385987159
1181.8815689988,5.5864627627792e-06,0.00078879268019789,5.5949815325824e-06,1,0.00078995583163626
1419.2578827986,5.264120163421e-06,0.00089767460602614,5.2721846818778e-06,1,0.00089900508817202
1704.1094593583,4.9532283175008e-06,0.0010161809088946,4.9608471349742e-06,1,0.0010176945354738
2045.93135123,4.6569424138748e-06,0.0011439080960698,4.6641309615903e-06,1,0.001145620176095
2456.117621476,4.3778894662913e-06,0.0012800713783173,4.3846676728818e-06,1,0.00128199609971
2948.3411457712,4.118175110197e-06,0.0014234261080453,4.1245671552085e-06,1,0.0014255757950161
3539.0093749255,3.8794092798008e-06,0.0015721934025416,3.8854428352791e-06,1,0.0015745776496178
4247.8112499105,3.6627534018191e-06,0.0017240033509382,3.6684588609571e-06,1,0.0017266280593287
5098.3734998927,3.4689746091466e-06,0.0018758757083142,3.4743843745378e-06,1,0.0018787420815103
6119.0481998712,3.2984942672811e-06,0.0020242645027542,3.3036421035585e-06,1,0.0020273681004042
7343.8578398454,3.1514196369754e-06,0.0021651971378742,3.156340272953e-06,1,0.0021685271522075
8813.6294078145,3.0275416952304e-06,0.0022945356419448,3.0322695694634e-06,1,0.0022980745306004
10577.355289377,2.9263051445612e-06,0.0024083736540502,2.9308745293296e-06,1,0.0024120974342912
12693.826347253,2.8467251780155e-06,0.00250354814792,2.8511691738731e-06,1,0.0025074275039119
15233.591616703,2.7872789619418e-06,0.0025781924161246,2.7916286082498e-06,1,0.0025821947060485
18281.309940044,2.7457985332586e-06,0.0026321936425426,2.7500817642678e-06,1,0.0026362856774166
21938.571928053,2.7194325123985e-06,0.0026673751400837,2.7236730492595e-06,1,0.0026715263169857
26327.286313664,2.7047631384729e-06,0.00268724637146,2.7089795444812e-06,1,0.0026914314788894
31593.743576396,2.6981382398219e-06,0.0026962913697261,2.7023434669691e-06,1,0.0027004923082761
37913.492291676,2.6961769111085e-06,0.0026989777175061,2.7003786213707e-06,1,0.0027031836398269
45497.190750011,2.6962699405705e-06,0.002698850219741,2.7004716293992e-06,1,0.0027030561602285
