x,y,z,id,xi,xv
153.6,128,0,0,0,0
154,128,0,0.40000000000001,1.7568254345428e-06,0.0014223633995076
154.4,128,0,0.80000000000001,3.5136508690858e-06,0.0028447267990152
154.8,128,0,1.2,5.2704763036283e-06,0.0042670901985226
155.2,128,0,1.6,7.027301738171e-06,0.00568945359803
155.6,128,0,2,8.7841271727137e-06,0.0071118169975375
156,128,0,2.4,1.0540952607256e-05,0.0085341803970449
156.4,128,0,2.8,1.1362210937426e-05,0.0091982184660538
156.8,128,0,3.2,1.1093913900493e-05,0.008979676869785
157.2,128,0,3.6,1.0903578811917e-05,0.0088250977656679
157.6,128,0,4,1.0713243723341e-05,0.0086705186615508
158,128,0,4.4,1.0522908634764e-05,0.0085159395574336
158.4,128,0,4.8,1.0431163779703e-05,0.0084413722247853
158.8,128,0,5.2,1.0436026690905e-05,0.0084452077748638
159.2,128,0,5.6,1.0440889602107e-05,0.0084490433249422
159.6,128,0,6,1.0469625966293e-05,0.0084724195595329
160,128,0,6.4,1.0506593622353e-05,0.0085025331972866
160.4,128,0,6.8,1.0543561278414e-05,0.0085326468350403
160.8,128,0,7.2,1.0580528934475e-05,0.008562760472794
161.2,128,0,7.6,1.0575474230262e-05,0.0085586531066593
161.6,128,0,8,1.0552053939827e-05,0.0085395896839531
162,128,0,8.4,1.0528633649392e-05,0.008520526261247
162.4,128,0,8.8,1.0521037040594e-05,0.0085143390340085
162.8,128,0,9.2,1.0517217657472e-05,0.0085112254464722
163.2,128,0,9.6,1.051339827435e-05,0.008508111858936
163.6,128,0,10,1.0509578891228e-05,0.0085049982713997
164,128,0,10.4,1.0505759508105e-05,0.0085018846838635
164.4,128,0,10.8,1.0503765901177e-05,0.0085002587814358
164.8,128,0,11.2,1.0509164868659e-05,0.0085046565213901
165.2,128,0,11.6,1.0514563836141e-05,0.0085090542613445
165.6,128,0,12,1.0519308356285e-05,0.0085129190346356
166,128,0,12.4,1.0519519173828e-05,0.0085130916661581
166.4,128,0,12.8,1.051972999137e-05,0.0085132642976805
166.8,128,0,13.2,1.0519940808912e-05,0.008513436929203
167.2,128,0,13.6,1.051997653838e-05,0.0085134666407379
167.6,128,0,14,1.0519584269891e-05,0.0085131469883146
168,128,0,14.4,1.0519192001403e-05,0.0085128273358913
168.4,128,0,14.8,1.0518799732914e-05,0.0085125076834681
168.8,128,0,15.2,1.0518355928314e-05,0.0085121460460247
169.2,128,0,15.6,1.0517445410635e-05,0.0085114041905698
169.6,128,0,16,1.0516534892956e-05,0.008510662335115
170,128,0,16.4,1.0515624375278e-05,0.0085099204796602
170.4,128,0,16.8,1.0514713857599e-05,0.0085091786242054
170.8,128,0,17.2,1.0514668089154e-05,0.0085091413397874
171.2,128,0,17.6,1.0514799169282e-05,0.0085092481461392
171.6,128,0,18,1.051493024941e-05,0.008509354952491
172,128,0,18.4,1.0515061329538e-05,0.0085094617588428
172.4,128,0,18.8,1.0515192409666e-05,0.0085095685651946
172.8,128,0,19.2,1.0515323489794e-05,0.0085096753715465
173.2,128,0,19.6,1.0515454492114e-05,0.0085097821144846
173.6,128,0,20,1.0515575467754e-05,0.0085098806856072
174,128,0,20.4,1.0515696443395e-05,0.0085099792567298
174.4,128,0,20.8,1.0515817419035e-05,0.0085100778278523
174.8,128,0,21.2,1.0515863115932e-05,0.0085101150615259
175.2,128,0,21.6,1.0515846958862e-05,0.008510101896436
175.6,128,0,22,1.0515815622134e-05,0.0085100763643225
176,128,0,22.4,1.0515784285406e-05,0.0085100508322091
176.4,128,0,22.8,1.0515752948678e-05,0.0085100253000957
176.8,128,0,23.2,1.0515719267293e-05,0.0085099978572658
177.2,128,0,23.6,1.0515679720031e-05,0.0085099656341954
177.6,128,0,24,1.051564017277e-05,0.0085099334111251
178,128,0,24.4,1.0515600625509e-05,0.0085099011880548
178.4,128,0,24.8,1.0515561078248e-05,0.0085098689649844
178.8,128,0,25.2,1.0515554408253e-05,0.0085098635299015
179.2,128,0,25.6,1.0515559920839e-05,0.0085098680210336
179.6,128,0,26,1.0515565433424e-05,0.0085098725121658
180,128,0,26.4,1.051557094601e-05,0.0085098770032979
180.4,128,0,26.8,1.0515576458596e-05,0.00850988149443
180.8,128,0,27.2,1.0515581971181e-05,0.0085098859855622
181.2,128,0,27.6,1.0515587133559e-05,0.0085098901911426
181.6,128,0,28,1.0515591828361e-05,0.008509894015471
182,128,0,28.4,1.0515596523163e-05,0.0085098978397994
182.4,128,0,28.8,1.0515600907141e-05,0.0085099014109218
182.8,128,0,29.2,1.0515599643437e-05,0.0085099003812703
183.2,128,0,29.6,1.0515598433225e-05,0.008509899395185
183.6,128,0,30,1.0515597279369e-05,0.0085098984549968
184,128,0,30.4,1.0515596125512e-05,0.0085098975148087
184.4,128,0,30.8,1.0515594971656e-05,0.0085098965746205
184.8,128,0,31.2,1.0515593817799e-05,0.0085098956344324
185.2,128,0,31.6,1.0515592663943e-05,0.0085098946942442
185.6,128,0,32,1.0515591510086e-05,0.0085098937540561
186,128,0,32.4,1.0515590356229e-05,0.0085098928138679
186.4,128,0,32.8,1.0515589202373e-05,0.0085098918736798
186.8,128,0,33.2,1.0515588048516e-05,0.0085098909334916
187.2,128,0,33.6,1.051558689466e-05,0.0085098899933035
187.6,128,0,34,1.0515586363587e-05,0.0085098895607406
188,128,0,34.4,1.0515586700226e-05,0.008509889835442
188.4,128,0,34.8,1.0515587036865e-05,0.0085098901101435
188.8,128,0,35.2,1.0515587373504e-05,0.008509890384845
189.2,128,0,35.6,1.0515587710143e-05,0.0085098906595464
189.6,128,0,36,1.0515588046782e-05,0.0085098909342479
190,128,0,36.4,1.0515588383421e-05,0.0085098912089493
190.4,128,0,36.8,1.051558872006e-05,0.0085098914836508
190.8,128,0,37.2,1.0515589056698e-05,0.0085098917583522
191.2,128,0,37.6,1.0515589329302e-05,0.0085098919806633
191.6,128,0,38,1.051558958057e-05,0.0085098921855187
192,128,0,38.4,1.0515589831838e-05,0.008509892390374
192.4,128,0,38.8,1.0515590083106e-05,0.0085098925952294
192.8,128,0,39.2,1.0515590198893e-05,0.0085098926896304
193.2,128,0,39.6,1.051559013892e-05,0.0085098926407381
193.6,128,0,40,1.0515590078947e-05,0.0085098925918457
194,128,0,40.4,1.0515590018973e-05,0.0085098925429534
194.4,128,0,40.8,1.0515589959e-05,0.0085098924940611
194.8,128,0,41.2,1.0515589899027e-05,0.0085098924451687
195.2,128,0,41.6,1.0515589836491e-05,0.0085098923940804
195.6,128,0,42,1.0515589767961e-05,0.0085098923378569
196,128,0,42.4,1.0515589699432e-05,0.0085098922816334
196.4,128,0,42.8,1.0515589630902e-05,0.0085098922254099
196.8,128,0,43.2,1.0515589562373e-05,0.0085098921691865
197.2,128,0,43.6,1.0515589493843e-05,0.008509892112963
197.6,128,0,44,1.0515589425314e-05,0.0085098920567395
198,128,0,44.4,1.0515589356784e-05,0.008509892000516
198.4,128,0,44.8,1.0515589288255e-05,0.0085098919442925
198.8,128,0,45.2,1.0515589296221e-05,0.0085098919509454
199.2,128,0,45.6,1.0515589307938e-05,0.0085098919606811
199.6,128,0,46,1.0515589319654e-05,0.0085098919704168
200,128,0,46.4,1.0515589331371e-05,0.0085098919801524
200.4,128,0,46.8,1.0515589342676e-05,0.008509891989347
200.8,128,0,47.2,1.0515589353774e-05,0.0085098919982702
201.2,128,0,47.6,1.0515589364872e-05,0.0085098920071933
201.6,128,0,48,1.051558937597e-05,0.0085098920161165
202,128,0,48.4,1.0515589387068e-05,0.0085098920250397
202.4,128,0,48.8,1.0515589398167e-05,0.0085098920339628
202.8,128,0,49.2,1.0515589409265e-05,0.008509892042886
203.2,128,0,49.6,1.0515589420363e-05,0.0085098920518091
203.6,128,0,50,1.0515589431461e-05,0.0085098920607323
204,128,0,50.4,1.0515589442559e-05,0.0085098920696554
204.4,128,0,50.8,1.0515589453657e-05,0.0085098920785786
204.8,128,0,51.2,1.0515589464755e-05,0.0085098920875018
205.2,128,0,51.6,1.0515589475853e-05,0.0085098920964249
205.6,128,0,52,1.0515589480691e-05,0.0085098921003159
206,128,0,52.4,1.0515589477308e-05,0.0085098920975995
206.4,128,0,52.8,1.0515589473926e-05,0.0085098920948831
206.8,128,0,53.2,1.0515589470543e-05,0.0085098920921667
207.2,128,0,53.6,1.051558946716e-05,0.0085098920894503
207.6,128,0,54,1.0515589463777e-05,0.008509892086734
208,128,0,54.4,1.0515589460395e-05,0.0085098920840176
208.4,128,0,54.8,1.0515589457012e-05,0.0085098920813012
208.8,128,0,55.2,1.0515589453629e-05,0.0085098920785848
209.2,128,0,55.6,1.0515589450247e-05,0.0085098920758685
209.6,128,0,56,1.0515589446864e-05,0.0085098920731521
210,128,0,56.4,1.0515589443481e-05,0.0085098920704357
210.4,128,0,56.8,1.0515589440098e-05,0.0085098920677193
