x,y,z,id,xi,xv
153.6,128,0,0,0,0
154,128,0,0.40000000000001,1.1077890196512e-06,8.7703189716785e-05
154.4,128,0,0.80000000000001,2.2155780393026e-06,0.00017540637943358
154.8,128,0,1.2,3.3233670589536e-06,0.00026310956915035
155.2,128,0,1.6,4.4311560786048e-06,0.00035081275886712
155.6,128,0,2,5.538945098256e-06,0.00043851594858391
156,128,0,2.4,6.6467341179071e-06,0.00052621913830068
156.4,128,0,2.8,7.1560968986112e-06,0.00056617627033997
156.8,128,0,3.2,6.9740051965136e-06,0.00055120152775811
157.2,128,0,3.6,6.8492892750945e-06,0.00054112931605345
157.6,128,0,4,6.7245733536753e-06,0.0005310571043488
158,128,0,4.4,6.5998574322562e-06,0.00052098489264414
158.4,128,0,4.8,6.5391967775049e-06,0.00051606543535139
158.8,128,0,5.2,6.5413033564795e-06,0.00051619512010937
159.2,128,0,5.6,6.5434099354541e-06,0.00051632480486736
159.6,128,0,6,6.5625974114838e-06,0.00051788697937795
160,128,0,6.4,6.5876741842664e-06,0.00051994305987143
160.4,128,0,6.8,6.612750957049e-06,0.00052199914036491
160.8,128,0,7.2,6.6378277298316e-06,0.00052405522085839
161.2,128,0,7.6,6.634496521512e-06,0.00052378575831551
161.6,128,0,8,6.6187497986204e-06,0.00052249993303458
162,128,0,8.4,6.6030030757289e-06,0.00052121410775364
162.4,128,0,8.8,6.5978580973041e-06,0.00052079244993773
162.8,128,0,9.2,6.5952438309042e-06,0.0005205770750597
163.2,128,0,9.6,6.5926295645043e-06,0.00052036170018166
163.6,128,0,10,6.5900152981044e-06,0.00052014632530363
164,128,0,10.4,6.5874010317045e-06,0.0005199309504256
164.4,128,0,10.8,6.5860295413177e-06,0.00051981767695131
164.8,128,0,11.2,6.5896900554998e-06,0.00052011781242984
165.2,128,0,11.6,6.5933505696819e-06,0.00052041794790836
165.6,128,0,12,6.5965685134804e-06,0.00052068184114037
166,128,0,12.4,6.5967205383164e-06,0.00052069466517539
166.4,128,0,12.8,6.5968725631524e-06,0.00052070748921041
166.8,128,0,13.2,6.5970245879885e-06,0.00052072031324542
167.2,128,0,13.6,6.5970548681841e-06,0.00052072303709911
167.6,128,0,14,6.5967875469724e-06,0.00052070107133877
168,128,0,14.4,6.5965202257607e-06,0.00052067910557844
168.4,128,0,14.8,6.596252904549e-06,0.0005206571398181
168.8,128,0,15.2,6.5959505938242e-06,0.00052063230167906
169.2,128,0,15.6,6.5953314166781e-06,0.00052058145116424
169.6,128,0,16,6.594712239532e-06,0.00052053060064943
170,128,0,16.4,6.5940930623858e-06,0.00052047975013461
170.4,128,0,16.8,6.5934738852397e-06,0.0005204288996198
170.8,128,0,17.2,6.593442743213e-06,0.00052042634820028
171.2,128,0,17.6,6.5935318593698e-06,0.00052043367435656
171.6,128,0,18,6.5936209755266e-06,0.00052044100051285
172,128,0,18.4,6.5937100916834e-06,0.00052044832666913
172.4,128,0,18.8,6.5937992078402e-06,0.00052045565282542
172.8,128,0,19.2,6.5938883239971e-06,0.0005204629789817
173.2,128,0,19.6,6.593977388033e-06,0.00052047030079832
173.6,128,0,20,6.5940597355015e-06,0.00052047706338207
174,128,0,20.4,6.5941420829701e-06,0.00052048382596581
174.4,128,0,20.8,6.5942244304386e-06,0.00052049058854956
174.8,128,0,21.2,6.5942554790867e-06,0.00052049314112344
175.2,128,0,21.6,6.5942444080346e-06,0.00052049223553261
175.6,128,0,22,6.5942233631753e-06,0.00052049049371928
176,128,0,22.4,6.594202318316e-06,0.00052048875190594
176.4,128,0,22.8,6.5941812734568e-06,0.00052048701009261
176.8,128,0,23.2,6.5941586017142e-06,0.00052048513582312
177.2,128,0,23.6,6.5941318598264e-06,0.00052048293017413
177.6,128,0,24,6.5941051179386e-06,0.00052048072452515
178,128,0,24.4,6.5940783760508e-06,0.00052047851887616
178.4,128,0,24.8,6.5940516341631e-06,0.00052047631322718
178.8,128,0,25.2,6.5940470527906e-06,0.00052047593875766
179.2,128,0,25.6,6.594050682936e-06,0.00052047624282666
179.6,128,0,26,6.5940543130815e-06,0.00052047654689566
180,128,0,26.4,6.594057943227e-06,0.00052047685096467
180.4,128,0,26.8,6.5940615733725e-06,0.00052047715503367
180.8,128,0,27.2,6.594065203518e-06,0.00052047745910267
181.2,128,0,27.6,6.5940685707572e-06,0.00052047774254084
181.6,128,0,28,6.5940715869793e-06,0.00052047799843392
182,128,0,28.4,6.5940746032014e-06,0.000520478254327
182.4,128,0,28.8,6.5940774171308e-06,0.00052047849315933
182.8,128,0,29.2,6.594076555387e-06,0.00052047842199637
183.2,128,0,29.6,6.5940757355401e-06,0.00052047835404312
183.6,128,0,30,6.5940749598318e-06,0.00052047828947134
184,128,0,30.4,6.5940741841236e-06,0.00052047822489955
184.4,128,0,30.8,6.5940734084153e-06,0.00052047816032777
184.8,128,0,31.2,6.5940726327071e-06,0.00052047809575598
185.2,128,0,31.6,6.5940718569988e-06,0.0005204780311842
185.6,128,0,32,6.5940710812906e-06,0.00052047796661241
186,128,0,32.4,6.5940703055823e-06,0.00052047790204063
186.4,128,0,32.8,6.5940695298741e-06,0.00052047783746885
186.8,128,0,33.2,6.5940687541658e-06,0.00052047777289706
187.2,128,0,33.6,6.5940679784576e-06,0.00052047770832528
187.6,128,0,34,6.5940676542092e-06,0.00052047767973585
188,128,0,34.4,6.594067958971e-06,0.00052047770127993
188.4,128,0,34.8,6.5940682637329e-06,0.00052047772282401
188.8,128,0,35.2,6.5940685684947e-06,0.00052047774436809
189.2,128,0,35.6,6.5940688732565e-06,0.00052047776591217
189.6,128,0,36,6.5940691780184e-06,0.00052047778745625
190,128,0,36.4,6.5940694827802e-06,0.00052047780900033
190.4,128,0,36.8,6.594069787542e-06,0.00052047783054441
190.8,128,0,37.2,6.5940700923039e-06,0.00052047785208849
191.2,128,0,37.6,6.5940703094463e-06,0.00052047786856823
191.6,128,0,38,6.5940704973951e-06,0.00052047788336061
192,128,0,38.4,6.5940706853439e-06,0.00052047789815298
192.4,128,0,38.8,6.5940708732928e-06,0.00052047791294536
192.8,128,0,39.2,6.5940709575385e-06,0.00052047791983254
193.2,128,0,39.6,6.5940709072494e-06,0.00052047791646425
193.6,128,0,40,6.5940708569603e-06,0.00052047791309595
194,128,0,40.4,6.5940708066711e-06,0.00052047790972766
194.4,128,0,40.8,6.594070756382e-06,0.00052047790635936
194.8,128,0,41.2,6.5940707060929e-06,0.00052047790299107
