x,y,z,id,xi,xv
153.6,128,0,0,1.0769283338488e-265,1.0769283338488e-265
154,128,0,0.40000000000001,1.5906874502131e-08,1.0617500200581e-05
154.4,128,0,0.80000000000001,3.1813749004264e-08,2.1235000401162e-05
154.8,128,0,1.2,4.7720623506393e-08,3.1852500601741e-05
155.2,128,0,1.6,6.3627498008522e-08,4.2470000802321e-05
155.6,128,0,2,7.9534372510653e-08,5.3087501002901e-05
156,128,0,2.4,9.5441247012783e-08,6.3705001203481e-05
156.4,128,0,2.8,1.0261586820534e-07,6.8486233736724e-05
156.8,128,0,3.2,9.9790344947452e-08,6.6588644694881e-05
157.2,128,0,3.6,9.7925035493634e-08,6.5339481448957e-05
157.6,128,0,4,9.6059726039817e-08,6.4090318203033e-05
158,128,0,4.4,9.4194416585999e-08,6.2841154957108e-05
158.4,128,0,4.8,9.3279527455318e-08,6.2228014781276e-05
158.8,128,0,5.2,9.3295947452883e-08,6.2238108427925e-05
159.2,128,0,5.6,9.3312367450449e-08,6.2248202074573e-05
159.6,128,0,6,9.360396249207e-08,6.2444108735702e-05
160,128,0,6.4,9.3990434722413e-08,6.2704081586055e-05
160.4,128,0,6.8,9.4376906952757e-08,6.2964054436407e-05
160.8,128,0,7.2,9.47633791831e-08,6.3224027286759e-05
161.2,128,0,7.6,9.4713389480222e-08,6.3190770903579e-05
161.6,128,0,8,9.4472647063433e-08,6.3029360681915e-05
162,128,0,8.4,9.4231904646644e-08,6.286795046025e-05
162.4,128,0,8.8,9.4152702829512e-08,6.2814359379656e-05
162.8,128,0,9.2,9.4112061905766e-08,6.2786505497095e-05
163.2,128,0,9.6,9.4071420982019e-08,6.2758651614533e-05
163.6,128,0,10,9.4030780058273e-08,6.2730797731972e-05
164,128,0,10.4,9.3990139134526e-08,6.270294384941e-05
164.4,128,0,10.8,9.3968722382868e-08,6.2688117462654e-05
164.8,128,0,11.2,9.402514437348e-08,6.2726039453501e-05
165.2,128,0,11.6,9.4081566364092e-08,6.2763961444349e-05
165.6,128,0,12,9.4131174993291e-08,6.2797411920825e-05
166,128,0,12.4,9.4133583866866e-08,6.2799885853885e-05
166.4,128,0,12.8,9.4135992740441e-08,6.2802359786946e-05
166.8,128,0,13.2,9.4138401614016e-08,6.2804833720007e-05
167.2,128,0,13.6,9.4138919671895e-08,6.280566688971e-05
167.6,128,0,14,9.4134815683083e-08,6.2802489258752e-05
168,128,0,14.4,9.4130711694271e-08,6.2799311627793e-05
168.4,128,0,14.8,9.4126607705458e-08,6.2796133996835e-05
168.8,128,0,15.2,9.4121957871674e-08,6.2792652284588e-05
169.2,128,0,15.6,9.4112364844114e-08,6.2786416800098e-05
169.6,128,0,16,9.4102771816555e-08,6.2780181315608e-05
170,128,0,16.4,9.4093178788996e-08,6.2773945831118e-05
