x,y,z,id,xi,xv
0,128,0,0,9.8912113100483e-08,1.1085303105516e-05
1,128,0,1,9.8912157202949e-08,1.1084852829033e-05
2,128,0,2,9.8912201305416e-08,1.108440255255e-05
3,128,0,3,9.8912245407883e-08,1.1083952276067e-05
4,128,0,4,9.8912289510349e-08,1.1083501999584e-05
5,128,0,5,9.8912291408191e-08,1.1083482753985e-05
6,128,0,6,9.8912293306033e-08,1.1083463508385e-05
7,128,0,7,9.8912295203875e-08,1.1083444262786e-05
8,128,0,8,9.8912297101717e-08,1.1083425017186e-05
9,128,0,9,9.8912285691665e-08,1.1083541372849e-05
10,128,0,10,9.8912274281613e-08,1.1083657728511e-05
11,128,0,11,9.8912262871562e-08,1.1083774084173e-05
12,128,0,12,9.891225146151e-08,1.1083890439836e-05
13,128,0,13,9.8912254398087e-08,1.1083860495076e-05
14,128,0,14,9.8912257334664e-08,1.1083830550317e-05
15,128,0,15,9.8912260271241e-08,1.1083800605557e-05
16,128,0,16,9.8912263207819e-08,1.1083770660798e-05
17,128,0,17,9.8912262410276e-08,1.108377879367e-05
18,128,0,18,9.8912261612734e-08,1.1083786926543e-05
19,128,0,19,9.8912260815192e-08,1.1083795059416e-05
20,128,0,20,9.891226001765e-08,1.1083803192288e-05
21,128,0,21,9.8912260069371e-08,1.1083802666773e-05
22,128,0,22,9.8912260121093e-08,1.1083802141259e-05
23,128,0,23,9.8912260172814e-08,1.1083801615744e-05
24,128,0,24,9.8912260224536e-08,1.1083801090229e-05
25,128,0,25,9.8912260468338e-08,1.1083798600541e-05
26,128,0,26,9.8912260712141e-08,1.1083796110852e-05
27,128,0,27,9.8912260955943e-08,1.1083793621163e-05
28,128,0,28,9.8912261199746e-08,1.1083791131475e-05
29,128,0,29,9.8912261220361e-08,1.1083790921182e-05
30,128,0,30,9.8912261240977e-08,1.1083790710889e-05
31,128,0,31,9.8912261261593e-08,1.1083790500597e-05
32,128,0,32,9.8912261282209e-08,1.1083790290304e-05
33,128,0,33,9.8912261252399e-08,1.108379059458e-05
34,128,0,34,9.891226122259e-08,1.1083790898856e-05
35,128,0,35,9.891226119278e-08,1.1083791203132e-05
36,128,0,36,9.8912261162971e-08,1.1083791507409e-05
37,128,0,37,9.8912260900798e-08,1.108379418405e-05
38,128,0,38,9.8912260638625e-08,1.1083796860691e-05
39,128,0,39,9.8912260376452e-08,1.1083799537332e-05
40,128,0,40,9.8912260114279e-08,1.1083802213973e-05
